time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3813438_c,3813438_h,3813438_p,3813438_r,3813438_s,3813439_c,3813439_h,3813439_p,3813439_r,3813439_s
2023-05-30 09:05:00,,22.0,32.0,31.6,31.8,26.4,26.4,[26.4],1.0,31.6,0.0,26.9,26.0,1.0,32.0,0.33,25.1,25.0
2023-05-30 09:10:00,,22.0,32.1,31.7,31.9,26.5,26.5,[26.5],1.0,31.7,0.0,26.4,26.0,1.0,32.1,0.78,24.2,25.0
2023-05-30 09:15:00,,22.0,32.1,31.7,31.9,26.5,26.5,[26.5],1.0,31.7,0.0,26.6,26.0,1.0,32.1,0.33,25.6,25.0
2023-05-30 09:20:00,,22.0,32.1,31.6,31.85,26.3,26.3,[26.3],1.0,31.6,0.0,26.1,26.0,1.0,32.1,0.36,25.0,25.0
2023-05-30 09:25:00,,22.0,32.0,31.6,31.8,26.4,26.4,[26.4],1.0,31.6,0.0,26.4,26.0,1.0,32.0,0.69,24.8,25.0
2023-05-30 09:30:00,,22.0,32.0,31.6,31.8,26.3,26.3,[26.3],1.0,31.6,0.0,27.6,26.0,1.0,32.0,0.33,25.9,25.0
2023-05-30 09:35:00,,22.0,32.0,31.6,31.8,26.4,26.4,[26.4],1.0,31.6,0.0,26.3,26.0,1.0,32.0,0.27,25.0,25.0
2023-05-30 09:40:00,,22.0,32.0,31.6,31.8,26.4,26.4,[26.4],1.0,31.6,0.0,26.6,26.0,1.0,32.0,0.36,26.0,25.0
2023-05-30 09:45:00,,22.0,32.0,31.6,31.8,26.6,26.6,[26.6],1.0,31.6,0.0,26.7,26.0,1.0,32.0,0.27,26.3,25.0
2023-05-30 09:50:00,,22.0,32.1,31.6,31.85,26.5,26.5,[26.5],1.0,31.6,0.0,26.2,26.0,1.0,32.1,0.24,25.3,25.0
2023-05-30 09:55:00,,22.0,32.0,31.5,31.75,26.4,26.4,[26.4],1.0,31.5,0.0,26.5,26.0,1.0,32.0,0.78,24.7,25.0
2023-05-30 10:00:00,,22.0,32.0,31.5,31.75,26.5,26.5,[26.5],1.0,31.5,0.0,27.7,26.0,1.0,32.0,0.36,25.9,25.0
2023-05-30 10:05:00,,22.0,32.0,31.6,31.8,26.4,26.4,[26.4],1.0,31.6,0.0,26.4,26.0,1.0,32.0,0.33,24.9,25.0
2023-05-30 10:10:00,,22.0,32.0,31.6,31.8,26.4,26.4,[26.4],1.0,31.6,0.0,26.1,26.0,1.0,32.0,0.33,24.1,25.0
2023-05-30 10:15:00,,22.0,32.0,31.6,31.8,26.5,26.5,[26.5],1.0,31.6,0.0,27.2,26.0,1.0,32.0,0.54,24.9,25.0
2023-05-30 10:20:00,,,32.0,31.7,31.85,26.5,26.5,[26.5],1.0,31.7,0.0,26.5,26.0,1.0,32.0,0.24,25.7,25.0
2023-05-30 10:25:00,,22.0,32.1,31.6,31.85,26.4,26.4,[26.4],1.0,31.6,0.0,26.2,26.0,1.0,32.1,0.3,24.7,25.0
2023-05-30 10:30:00,,22.0,32.1,31.7,31.9,26.5,26.5,[26.5],1.0,31.7,0.0,26.7,26.0,1.0,32.1,0.6,24.3,25.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,,32.1,31.7,31.9,26.4,26.4,[26.4],1.0,31.7,0.06,26.2,26.0,1.0,32.1,0.39,25.3,25.0
2023-05-30 10:45:00,,22.0,32.0,31.5,31.75,26.4,26.4,[26.4],1.0,31.5,0.0,26.1,26.0,1.0,32.0,0.75,24.1,25.0
2023-05-30 10:50:00,,22.0,32.0,31.5,31.75,26.4,26.4,[26.4],1.0,31.5,0.03,27.0,26.0,1.0,32.0,0.87,24.8,25.0
2023-05-30 10:55:00,,22.0,32.0,31.7,31.85,26.4,26.4,[26.4],1.0,31.7,0.0,26.4,26.0,1.0,32.0,0.3,25.7,25.0
2023-05-30 11:00:00,,22.0,32.0,31.5,31.75,26.4,26.4,[26.4],1.0,31.5,0.0,26.0,26.0,1.0,32.0,0.42,24.4,25.0
2023-05-30 11:05:00,,22.0,32.0,31.7,31.85,26.5,26.5,[26.5],1.0,31.7,0.0,26.8,26.0,1.0,32.0,0.72,24.4,25.0
2023-05-30 11:10:00,,22.0,32.0,31.6,31.8,26.5,26.5,[26.5],1.0,31.6,0.0,26.6,26.0,1.0,32.0,0.27,25.9,25.0
2023-05-30 11:15:00,,22.0,32.1,31.5,31.8,26.4,26.4,[26.4],1.0,31.5,0.0,26.2,26.0,1.0,32.1,0.42,25.2,25.0
2023-05-30 11:20:00,,22.0,32.0,31.5,31.75,26.4,26.4,[26.4],1.0,31.5,0.15,26.2,26.0,1.0,32.0,0.96,24.4,25.0
2023-05-30 11:25:00,,22.0,32.0,31.5,31.75,26.4,26.4,[26.4],1.0,31.5,0.0,27.4,26.0,1.0,32.0,0.69,25.3,25.0
2023-05-30 11:30:00,,22.0,32.0,31.6,31.8,26.4,26.4,[26.4],1.0,31.6,0.0,26.4,26.0,1.0,32.0,0.3,25.6,25.0
2023-05-30 11:35:00,,22.0,32.0,31.6,31.8,26.3,26.3,[26.3],1.0,31.6,0.0,26.2,26.0,1.0,32.0,0.33,24.3,25.0
2023-05-30 11:40:00,,22.0,32.0,31.6,31.8,26.3,26.3,[26.3],1.0,31.6,0.0,26.5,26.0,1.0,32.0,0.66,25.4,25.0
2023-05-30 11:45:00,,22.0,32.0,31.5,31.75,26.3,26.3,[26.3],1.0,31.5,0.0,27.4,26.0,1.0,32.0,0.3,25.8,25.0
2023-05-30 11:50:00,,22.0,32.0,31.6,31.8,26.4,26.4,[26.4],1.0,31.6,0.0,26.5,26.0,1.0,32.0,0.33,24.9,25.0
2023-05-30 11:55:00,,22.0,32.0,31.6,31.8,26.4,26.4,[26.4],1.0,31.6,0.03,26.3,26.0,1.0,32.0,0.9,24.4,25.0
2023-05-30 12:00:00,,22.0,32.0,31.5,31.75,26.3,26.3,[26.3],1.0,31.5,0.03,26.4,26.0,1.0,32.0,0.39,25.7,25.0
2023-05-30 12:05:00,,22.0,32.0,31.5,31.75,26.3,26.3,[26.3],1.0,31.5,0.06,26.1,26.0,1.0,32.0,0.42,24.9,25.0
2023-05-30 12:10:00,,22.0,32.0,31.4,31.7,26.3,26.3,[26.3],1.0,31.4,0.0,26.3,26.0,1.0,32.0,0.6,24.6,25.0
2023-05-30 12:15:00,,22.0,31.9,31.5,31.7,26.4,26.4,[26.4],1.0,31.5,0.0,27.6,26.0,1.0,31.9,0.81,25.9,25.0
2023-05-30 12:20:00,,22.0,31.9,31.5,31.7,26.4,26.4,[26.4],1.0,31.5,0.0,26.4,26.0,1.0,31.9,0.3,25.5,25.0
2023-05-30 12:25:00,,22.0,31.9,31.4,31.65,26.3,26.3,[26.3],1.0,31.4,0.0,26.0,26.0,1.0,31.9,0.39,25.5,25.0
2023-05-30 12:30:00,,22.0,32.0,31.4,31.7,26.4,26.4,[26.4],1.0,31.4,0.03,27.0,26.0,1.0,32.0,0.81,24.7,25.0
2023-05-30 12:35:00,,22.0,32.0,31.6,31.8,26.4,26.4,[26.4],1.0,31.6,0.0,26.6,26.0,1.0,32.0,0.72,25.6,25.0
2023-05-30 12:40:00,,22.0,32.0,31.6,31.8,26.3,26.3,[26.3],1.0,31.6,0.03,26.2,26.0,1.0,32.0,0.39,25.4,25.0
2023-05-30 12:45:00,,22.0,32.0,31.5,31.75,26.3,26.3,[26.3],1.0,31.5,0.03,26.1,26.0,1.0,32.0,0.84,24.2,25.0
2023-05-30 12:50:00,,22.0,32.0,31.6,31.8,26.4,26.4,[26.4],1.0,31.6,0.09,27.2,26.0,1.0,32.0,0.84,24.9,25.0
2023-05-30 12:55:00,,22.0,32.0,31.6,31.8,26.4,26.4,[26.4],1.0,31.6,0.12,26.5,26.0,1.0,32.0,0.45,25.8,25.0
2023-05-30 13:00:00,,22.0,32.0,31.5,31.75,26.3,26.3,[26.3],1.0,31.5,0.0,26.2,26.0,1.0,32.0,0.36,25.3,25.0
2023-05-30 13:05:00,,22.0,32.0,31.5,31.75,26.3,26.3,[26.3],1.0,31.5,0.0,26.2,26.0,1.0,32.0,0.75,24.2,25.0
2023-05-30 13:10:00,,22.0,32.0,31.6,31.8,26.4,26.4,[26.4],1.0,31.6,0.03,27.2,26.0,1.0,32.0,0.78,25.0,25.0
2023-05-30 13:15:00,,22.0,32.0,31.6,31.8,26.4,26.4,[26.4],1.0,31.6,0.0,26.6,26.0,1.0,32.0,0.3,25.8,25.0
2023-05-30 13:20:00,,22.0,32.0,31.6,31.8,26.3,26.3,[26.3],1.0,31.6,0.0,26.2,26.0,1.0,32.0,0.33,25.1,25.0
2023-05-30 13:25:00,,22.0,32.0,31.5,31.75,26.3,26.3,[26.3],1.0,31.5,0.0,26.1,26.0,1.0,32.0,0.72,24.3,25.0
2023-05-30 13:30:00,,22.0,32.0,31.5,31.75,26.5,26.5,[26.5],1.0,31.5,0.0,27.3,26.0,1.0,32.0,0.54,24.6,25.0
