time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3816281_c,3816281_h,3816281_p,3816281_r,3816281_s,3816282_c,3816282_h,3816282_p,3816282_r,3816282_s,3816283_c,3816283_h,3816283_p,3816283_r,3816283_s
2023-05-30 09:05:00,,13.0,31.3,31.0,31.1,28.1,28.1,[28.1],1.0,31.0,4.71,28.0,28.0,1.0,31.0,5.85,29.0,25.0,1.0,31.3,0.12,26.9,25.0
2023-05-30 09:10:00,,13.0,31.4,31.0,31.133333333333336,27.7,27.7,[27.7],1.0,31.0,0.66,28.0,28.0,1.0,31.0,6.15,28.0,24.0,1.0,31.4,3.66,26.8,24.0
2023-05-30 09:15:00,,13.0,30.9,30.7,30.83333333333333,26.6,26.6,[26.6],1.0,30.7,0.36,28.0,28.0,1.0,30.9,6.12,27.0,24.0,1.0,30.9,3.87,25.4,24.0
2023-05-30 09:20:00,,13.0,31.3,30.7,31.1,26.8,26.8,[26.8],1.0,31.3,0.36,29.0,28.0,1.0,31.3,6.15,26.0,24.0,1.0,30.7,3.78,25.2,24.0
2023-05-30 09:25:00,,13.0,31.3,30.5,31.03333333333333,25.8,25.8,[25.8],1.0,31.3,4.95,28.0,28.0,1.0,31.3,5.88,26.0,24.0,1.0,30.5,0.03,24.4,24.0
2023-05-30 09:30:00,,13.0,31.0,30.1,30.7,27.0,27.0,[27.0],1.0,31.0,0.36,28.0,28.0,1.0,31.0,6.15,27.0,24.0,1.0,30.1,0.12,25.7,24.0
2023-05-30 09:35:00,,13.0,31.0,30.4,30.8,27.6,27.6,[27.6],1.0,31.0,5.04,29.0,28.0,1.0,31.0,6.06,28.0,25.0,1.0,30.4,0.12,26.3,25.0
2023-05-30 09:40:00,,13.0,31.3,30.5,31.03333333333333,27.6,27.6,[27.6],1.0,31.3,5.16,28.0,28.0,1.0,31.3,6.24,28.0,25.0,1.0,30.5,0.12,26.3,25.0
2023-05-30 09:45:00,,13.0,30.9,30.5,30.766666666666666,28.1,28.1,[28.1],1.0,30.9,0.36,28.0,28.0,1.0,30.9,6.12,29.0,25.0,1.0,30.5,0.12,26.8,25.0
2023-05-30 09:50:00,,13.0,31.3,31.0,31.2,28.2,28.2,[28.2],1.0,31.3,4.92,29.0,28.0,1.0,31.3,6.06,29.0,25.0,1.0,31.0,0.12,27.1,25.0
2023-05-30 09:55:00,,13.0,31.3,31.0,31.133333333333336,28.1,28.1,[28.1],1.0,31.0,5.04,28.0,28.0,1.0,31.1,6.12,29.0,25.0,1.0,31.3,0.12,27.0,25.0
2023-05-30 10:00:00,,13.0,31.4,31.0,31.166666666666668,28.0,28.0,[28.0],1.0,31.0,0.66,28.0,28.0,1.0,31.1,5.94,28.0,25.0,1.0,31.4,0.12,26.8,25.0
2023-05-30 10:05:00,,13.0,31.4,31.1,31.2,28.3,28.3,[28.3],1.0,31.1,0.36,29.0,28.0,1.0,31.1,6.12,29.0,24.0,1.0,31.4,3.87,27.4,24.0
2023-05-30 10:10:00,,13.0,31.1,31.0,31.066666666666663,26.2,26.2,[26.2],1.0,31.0,4.98,28.0,28.0,1.0,31.1,5.85,26.0,24.0,1.0,31.1,3.96,25.2,24.0
