time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3816286_c,3816286_h,3816286_p,3816286_r,3816286_s,3816287_c,3816287_h,3816287_p,3816287_r,3816287_s,3816288_c,3816288_h,3816288_p,3816288_r,3816288_s,3816289_h
2023-05-30 09:05:00,,12.0,34.5,26.8,30.45,28.9,28.9,[28.9],1.0,34.5,25.44,27.3,26.0,1.0,29.2,4.08,26.4,26.0,1.0,26.8,12.72,27.3,26.0,31.3
2023-05-30 09:10:00,,12.0,34.5,26.8,30.45,28.9,28.9,[28.9],1.0,34.5,26.01,27.1,26.0,1.0,29.2,4.02,26.3,26.0,1.0,26.8,12.81,27.2,26.0,31.3
2023-05-30 09:15:00,,12.0,34.4,26.8,30.4,28.9,28.9,[28.9],1.0,34.4,15.51,27.8,26.0,1.0,29.1,4.02,26.5,26.0,1.0,26.8,12.84,27.4,26.0,31.3
2023-05-30 09:20:00,,12.0,34.5,26.9,30.475,28.9,28.9,[28.9],1.0,34.5,27.09,27.3,26.0,1.0,29.2,4.05,26.3,26.0,1.0,26.9,13.11,27.3,26.0,31.3
2023-05-30 09:25:00,,12.0,34.6,26.9,30.5,28.9,28.9,[28.9],1.0,34.6,25.68,27.2,26.0,1.0,29.2,3.99,26.3,26.0,1.0,26.9,12.99,27.3,26.0,31.3
2023-05-30 09:30:00,,12.0,34.5,26.9,30.475,28.9,28.9,[28.9],1.0,34.5,26.13,27.4,26.0,1.0,29.1,3.96,26.4,26.0,1.0,26.9,13.08,27.3,26.0,31.4
2023-05-30 09:35:00,,12.0,34.5,26.9,30.475,28.9,28.9,[28.9],1.0,34.5,26.97,27.4,26.0,1.0,29.1,4.05,26.4,26.0,1.0,26.9,13.05,27.3,26.0,31.4
2023-05-30 09:40:00,,12.0,34.4,26.9,30.475,28.9,28.9,[28.9],1.0,34.4,25.56,27.4,26.0,1.0,29.2,4.02,26.3,26.0,1.0,26.9,12.87,27.2,26.0,31.4
2023-05-30 09:45:00,,12.0,34.4,26.9,30.450000000000003,28.9,28.9,[28.9],1.0,34.4,25.68,27.1,26.0,1.0,29.1,4.02,26.3,26.0,1.0,26.9,13.05,27.2,26.0,31.4
2023-05-30 09:50:00,,12.0,34.4,26.9,30.450000000000003,28.9,28.9,[28.9],1.0,34.4,15.39,28.0,26.0,1.0,29.1,4.02,26.4,26.0,1.0,26.9,13.05,27.2,26.0,31.4
2023-05-30 09:55:00,,12.0,34.6,26.9,30.525,28.9,28.9,[28.9],1.0,34.6,25.77,27.2,26.0,1.0,29.2,4.05,26.4,26.0,1.0,26.9,12.99,27.3,26.0,31.4
2023-05-30 10:00:00,,12.0,34.5,26.9,30.5,28.9,28.9,[28.9],1.0,34.5,26.01,27.1,26.0,1.0,29.2,4.05,26.3,26.0,1.0,26.9,13.02,27.2,26.0,31.4
2023-05-30 10:05:00,,12.0,34.5,26.9,30.475,28.9,28.9,[28.9],1.0,34.5,16.65,27.4,26.0,1.0,29.1,3.99,26.3,26.0,1.0,26.9,13.26,27.3,26.0,31.4
2023-05-30 10:10:00,,12.0,34.4,26.9,30.450000000000003,29.0,29.0,[29.0],1.0,34.4,26.52,27.4,26.0,1.0,29.1,4.08,26.4,26.0,1.0,26.9,13.35,27.3,26.0,31.4
2023-05-30 10:15:00,,12.0,34.4,26.9,30.475,29.0,29.0,[29.0],1.0,34.4,27.45,27.3,26.0,1.0,29.2,4.05,26.4,26.0,1.0,26.9,13.41,27.3,26.0,31.4
2023-05-30 10:20:00,,12.0,34.5,26.9,30.5,29.0,29.0,[29.0],1.0,34.5,26.97,27.1,26.0,1.0,29.2,4.02,26.4,26.0,1.0,26.9,13.53,27.3,26.0,31.4
2023-05-30 10:25:00,,12.0,34.4,26.9,30.475,29.0,29.0,[29.0],1.0,34.4,26.04,27.1,26.0,1.0,29.2,4.02,26.3,26.0,1.0,26.9,13.17,27.4,26.0,31.4
2023-05-30 10:30:00,,12.0,34.5,26.9,30.475,29.0,29.0,[29.0],1.0,34.5,15.78,27.6,26.0,1.0,29.1,3.99,26.4,26.0,1.0,26.9,13.08,27.4,26.0,31.4
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,12.0,34.5,26.9,30.525,29.0,29.0,[29.0],1.0,34.5,28.11,27.3,26.0,1.0,29.2,3.99,26.4,26.0,1.0,26.9,13.74,27.4,26.0,31.5
