time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3816290_c,3816290_h,3816290_p,3816290_r,3816290_s
2023-05-30 09:05:00,,6.0,21.3,21.3,21.3,24.6,24.6,[24.6],1.0,21.3,3.84,20.8,22.0
2023-05-30 09:10:00,,6.0,21.3,21.3,21.3,24.6,24.6,[24.6],1.0,21.3,3.87,20.8,22.0
2023-05-30 09:15:00,,6.0,21.3,21.3,21.3,24.6,24.6,[24.6],1.0,21.3,3.93,20.8,22.0
2023-05-30 09:20:00,,6.0,21.3,21.3,21.3,24.6,24.6,[24.6],1.0,21.3,3.99,20.9,22.0
2023-05-30 09:25:00,,6.0,21.3,21.3,21.3,24.6,24.6,[24.6],1.0,21.3,3.87,20.9,22.0
2023-05-30 09:30:00,,6.0,21.3,21.3,21.3,24.6,24.6,[24.6],1.0,21.3,3.9,20.8,22.0
2023-05-30 09:35:00,,6.0,21.3,21.3,21.3,24.6,24.6,[24.6],1.0,21.3,3.84,20.8,22.0
2023-05-30 09:40:00,,6.0,21.3,21.3,21.3,24.6,24.6,[24.6],1.0,21.3,3.87,20.7,22.0
2023-05-30 09:45:00,,6.0,21.3,21.3,21.3,24.6,24.6,[24.6],1.0,21.3,3.87,20.7,22.0
2023-05-30 09:50:00,,6.0,21.3,21.3,21.3,24.5,24.5,[24.5],1.0,21.3,3.93,20.7,22.0
2023-05-30 09:55:00,,6.0,21.2,21.2,21.2,24.5,24.5,[24.5],1.0,21.2,3.96,20.7,22.0
2023-05-30 10:00:00,,6.0,21.2,21.2,21.2,24.6,24.6,[24.6],1.0,21.2,3.99,20.7,22.0
2023-05-30 10:05:00,,6.0,21.3,21.3,21.3,24.5,24.5,[24.5],1.0,21.3,4.05,20.8,22.0
2023-05-30 10:10:00,,6.0,21.3,21.3,21.3,24.6,24.6,[24.6],1.0,21.3,4.05,20.7,24.0
2023-05-30 10:15:00,,6.0,21.3,21.3,21.3,24.6,24.6,[24.6],1.0,21.3,4.02,20.8,24.0
2023-05-30 10:20:00,,6.0,21.3,21.3,21.3,24.6,24.6,[24.6],1.0,21.3,3.96,20.8,24.0
2023-05-30 10:25:00,,6.0,21.3,21.3,21.3,24.6,24.6,[24.6],1.0,21.3,4.05,20.8,24.0
2023-05-30 10:30:00,,6.0,21.3,21.3,21.3,24.5,24.5,[24.5],1.0,21.3,4.05,20.8,24.0
2023-05-30 10:35:00,,,,,,,,,,,,,
2023-05-30 10:40:00,,6.0,21.3,21.3,21.3,24.6,24.6,[24.6],1.0,21.3,4.17,20.9,25.0
2023-05-30 10:45:00,,6.0,21.3,21.3,21.3,24.6,24.6,[24.6],1.0,21.3,3.99,20.9,25.0
2023-05-30 10:50:00,,6.0,21.3,21.3,21.3,24.6,24.6,[24.6],1.0,21.3,4.35,20.9,25.0
2023-05-30 10:55:00,,6.0,21.4,21.4,21.4,24.6,24.6,[24.6],1.0,21.4,4.08,20.9,25.0
2023-05-30 11:00:00,,6.0,21.4,21.4,21.4,24.6,24.6,[24.6],1.0,21.4,3.99,20.9,25.0
2023-05-30 11:05:00,,6.0,21.4,21.4,21.4,24.6,24.6,[24.6],1.0,21.4,4.35,20.9,26.0
2023-05-30 11:10:00,,6.0,21.4,21.4,21.4,24.6,24.6,[24.6],1.0,21.4,4.17,20.9,26.0
2023-05-30 11:15:00,,6.0,21.4,21.4,21.4,24.6,24.6,[24.6],1.0,21.4,4.14,20.8,26.0
2023-05-30 11:20:00,,6.0,21.4,21.4,21.4,24.6,24.6,[24.6],1.0,21.4,4.17,20.9,26.0
2023-05-30 11:25:00,,6.0,21.4,21.4,21.4,24.6,24.6,[24.6],1.0,21.4,4.29,20.9,26.0
2023-05-30 11:30:00,,6.0,21.4,21.4,21.4,24.6,24.6,[24.6],1.0,21.4,4.23,21.0,26.0
2023-05-30 11:35:00,,6.0,21.4,21.4,21.4,24.6,24.6,[24.6],1.0,21.4,0.6,21.4,27.0
2023-05-30 11:40:00,,6.0,21.4,21.4,21.4,25.0,25.0,[25.0],1.0,21.4,0.57,23.5,27.0
2023-05-30 11:45:00,,6.0,21.9,21.9,21.9,25.4,25.4,[25.4],1.0,21.9,0.6,24.3,27.0
2023-05-30 11:50:00,,6.0,21.9,21.9,21.9,25.7,25.7,[25.7],1.0,21.9,0.6,24.9,27.0
2023-05-30 11:55:00,,6.0,22.8,22.8,22.8,26.1,26.1,[26.1],1.0,22.8,0.6,25.5,27.0
2023-05-30 12:00:00,,6.0,23.3,23.3,23.3,26.4,26.4,[26.4],1.0,23.3,0.6,25.9,27.0
2023-05-30 12:05:00,,6.0,23.8,23.8,23.8,26.7,26.7,[26.7],1.0,23.8,0.6,26.4,26.0
2023-05-30 12:10:00,,6.0,23.8,23.8,23.8,27.0,27.0,[27.0],1.0,23.8,0.6,26.9,26.0
2023-05-30 12:15:00,,6.0,24.6,24.6,24.6,27.1,27.1,[27.1],1.0,24.6,9.66,26.1,24.0
2023-05-30 12:20:00,,6.0,24.6,24.6,24.6,26.5,26.5,[26.5],1.0,24.6,7.56,24.2,24.0
2023-05-30 12:25:00,,6.0,24.2,24.2,24.2,26.0,26.0,[26.0],1.0,24.2,7.56,22.4,23.0
2023-05-30 12:30:00,,6.0,23.7,23.7,23.7,25.7,25.7,[25.7],1.0,23.7,6.12,21.7,23.0
2023-05-30 12:35:00,,6.0,23.7,23.7,23.7,25.5,25.5,[25.5],1.0,23.7,4.47,21.6,23.0
2023-05-30 12:40:00,,6.0,23.0,23.0,23.0,25.5,25.5,[25.5],1.0,23.0,4.44,21.7,23.0
2023-05-30 12:45:00,,6.0,23.0,23.0,23.0,25.5,25.5,[25.5],1.0,23.0,4.35,21.7,23.0
2023-05-30 12:50:00,,6.0,22.7,22.7,22.7,25.4,25.4,[25.4],1.0,22.7,4.38,21.7,23.0
2023-05-30 12:55:00,,6.0,22.6,22.6,22.6,25.4,25.4,[25.4],1.0,22.6,4.53,22.0,23.0
2023-05-30 13:00:00,,6.0,22.4,22.4,22.4,25.3,25.3,[25.3],1.0,22.4,4.32,21.7,23.0
2023-05-30 13:05:00,,6.0,22.4,22.4,22.4,25.3,25.3,[25.3],1.0,22.4,,21.7,23.0
2023-05-30 13:10:00,,6.0,22.4,22.4,22.4,25.2,25.2,[25.2],1.0,22.4,4.38,21.6,23.0
2023-05-30 13:15:00,,6.0,22.3,22.3,22.3,25.2,25.2,[25.2],1.0,22.3,4.35,21.6,23.0
2023-05-30 13:20:00,,6.0,22.3,22.3,22.3,25.3,25.3,[25.3],1.0,22.3,4.32,21.6,23.0
2023-05-30 13:25:00,,6.0,22.3,22.3,22.3,25.2,25.2,[25.2],1.0,22.3,4.5,21.7,23.0
2023-05-30 13:30:00,,6.0,22.2,22.2,22.2,25.2,25.2,[25.2],1.0,22.2,4.5,21.6,23.0
2023-05-30 13:35:00,,6.0,22.2,22.2,22.2,25.2,25.2,[25.2],1.0,22.2,4.38,21.6,23.0
2023-05-30 13:40:00,,6.0,22.2,22.2,22.2,25.2,25.2,[25.2],1.0,22.2,4.56,21.7,23.0
2023-05-30 13:45:00,,6.0,22.2,22.2,22.2,25.2,25.2,[25.2],1.0,22.2,4.38,21.6,23.0
2023-05-30 13:50:00,,6.0,22.1,22.1,22.1,25.2,25.2,[25.2],1.0,22.1,4.44,21.5,23.0
2023-05-30 13:55:00,,6.0,22.1,22.1,22.1,25.1,25.1,[25.1],1.0,22.1,4.56,21.5,23.0
2023-05-30 14:00:00,,6.0,22.1,22.1,22.1,25.2,25.2,[25.2],1.0,22.1,4.41,21.6,23.0
2023-05-30 14:05:00,,6.0,22.1,22.1,22.1,25.2,25.2,[25.2],1.0,22.1,4.35,21.8,23.0
2023-05-30 14:10:00,,6.0,22.1,22.1,22.1,25.2,25.2,[25.2],1.0,22.1,4.71,21.8,23.0
2023-05-30 14:15:00,,6.0,22.2,22.2,22.2,25.2,25.2,[25.2],1.0,22.2,4.56,21.7,23.0
2023-05-30 14:20:00,,6.0,22.2,22.2,22.2,25.3,25.3,[25.3],1.0,22.2,4.41,21.8,23.0
2023-05-30 14:25:00,,6.0,22.2,22.2,22.2,25.3,25.3,[25.3],1.0,22.2,4.44,21.8,23.0
2023-05-30 14:30:00,,6.0,22.2,22.2,22.2,25.3,25.3,[25.3],1.0,22.2,4.65,21.7,23.0
2023-05-30 14:35:00,,6.0,22.2,22.2,22.2,25.2,25.2,[25.2],1.0,22.2,4.35,21.7,24.0
2023-05-30 14:40:00,,6.0,22.2,22.2,22.2,25.2,25.2,[25.2],1.0,22.2,4.41,21.7,24.0
2023-05-30 14:45:00,,6.0,22.2,22.2,22.2,25.2,25.2,[25.2],1.0,22.2,4.41,21.7,24.0
2023-05-30 14:50:00,,6.0,22.2,22.2,22.2,25.3,25.3,[25.3],1.0,22.2,4.38,21.7,24.0
2023-05-30 14:55:00,,6.0,22.2,22.2,22.2,25.3,25.3,[25.3],1.0,22.2,4.41,21.8,24.0
2023-05-30 15:00:00,,6.0,22.2,22.2,22.2,25.3,25.3,[25.3],1.0,22.2,4.38,21.7,24.0
2023-05-30 15:05:00,,6.0,22.2,22.2,22.2,25.2,25.2,[25.2],1.0,22.2,4.47,21.7,24.0
2023-05-30 15:10:00,,6.0,22.2,22.2,22.2,25.2,25.2,[25.2],1.0,22.2,4.62,21.7,24.0
2023-05-30 15:15:00,,6.0,22.2,22.2,22.2,25.2,25.2,[25.2],1.0,22.2,4.5,21.7,24.0
2023-05-30 15:20:00,,6.0,22.2,22.2,22.2,25.2,25.2,[25.2],1.0,22.2,4.59,21.7,24.0
2023-05-30 15:25:00,,6.0,22.2,22.2,22.2,25.2,25.2,[25.2],1.0,22.2,4.59,21.7,24.0
2023-05-30 15:30:00,,6.0,22.2,22.2,22.2,25.2,25.2,[25.2],1.0,22.2,4.5,21.7,24.0
2023-05-30 15:35:00,,6.0,22.2,22.2,22.2,25.2,25.2,[25.2],1.0,22.2,4.44,21.6,24.0
2023-05-30 15:40:00,,6.0,22.2,22.2,22.2,25.2,25.2,[25.2],1.0,22.2,4.41,21.6,24.0
2023-05-30 15:45:00,,6.0,22.1,22.1,22.1,25.1,25.1,[25.1],1.0,22.1,4.44,21.6,24.0
2023-05-30 15:50:00,,6.0,22.1,22.1,22.1,25.1,25.1,[25.1],1.0,22.1,4.32,21.5,24.0
2023-05-30 15:55:00,,6.0,22.1,22.1,22.1,25.2,25.2,[25.2],1.0,22.1,4.56,21.6,24.0
2023-05-30 16:00:00,,6.0,22.1,22.1,22.1,25.1,25.1,[25.1],1.0,22.1,4.59,21.7,24.0
2023-05-30 16:05:00,,6.0,22.1,22.1,22.1,25.1,25.1,[25.1],1.0,22.1,4.47,21.8,24.0
2023-05-30 16:10:00,,6.0,22.1,22.1,22.1,25.1,25.1,[25.1],1.0,22.1,4.44,21.6,24.0
2023-05-30 16:15:00,,,22.1,22.1,22.1,25.1,25.1,[25.1],1.0,22.1,4.38,21.5,24.0
2023-05-30 16:20:00,,6.0,22.0,22.0,22.0,24.5,24.5,[24.5],1.0,22.0,10.02,22.1,24.0
2023-05-30 16:25:00,,6.0,22.0,22.0,22.0,24.2,24.2,[24.2],1.0,22.0,5.46,21.4,24.0
2023-05-30 16:30:00,,6.0,21.6,21.6,21.6,24.5,24.5,[24.5],1.0,21.6,4.5,20.7,24.0
2023-05-30 16:35:00,,6.0,21.6,21.6,21.6,24.6,24.6,[24.6],1.0,21.6,4.41,21.0,25.0
2023-05-30 16:40:00,,6.0,21.6,21.6,21.6,24.7,24.7,[24.7],1.0,21.6,4.35,21.0,25.0
2023-05-30 16:45:00,,6.0,21.6,21.6,21.6,24.8,24.8,[24.8],1.0,21.6,4.41,21.2,25.0
2023-05-30 16:50:00,,6.0,21.6,21.6,21.6,24.8,24.8,[24.8],1.0,21.6,4.5,21.3,25.0
2023-05-30 16:55:00,,6.0,21.7,21.7,21.7,24.8,24.8,[24.8],1.0,21.7,4.44,21.3,25.0
2023-05-30 17:00:00,,6.0,21.7,21.7,21.7,24.9,24.9,[24.9],1.0,21.7,4.47,21.4,25.0
2023-05-30 17:05:00,,6.0,21.8,21.8,21.8,24.9,24.9,[24.9],1.0,21.8,4.38,21.4,24.0
2023-05-30 17:10:00,,6.0,21.8,21.8,21.8,25.0,25.0,[25.0],1.0,21.8,4.35,21.5,24.0
2023-05-30 17:15:00,,6.0,21.8,21.8,21.8,24.9,24.9,[24.9],1.0,21.8,4.26,21.4,24.0
2023-05-30 17:20:00,,6.0,21.8,21.8,21.8,25.0,25.0,[25.0],1.0,21.8,4.29,21.4,24.0
2023-05-30 17:25:00,,6.0,21.8,21.8,21.8,25.0,25.0,[25.0],1.0,21.8,4.41,21.4,24.0
2023-05-30 17:30:00,,6.0,21.8,21.8,21.8,25.0,25.0,[25.0],1.0,21.8,4.35,21.4,24.0
2023-05-30 17:35:00,,6.0,21.8,21.8,21.8,25.0,25.0,[25.0],1.0,21.8,4.41,21.4,24.0
2023-05-30 17:40:00,,6.0,21.8,21.8,21.8,25.0,25.0,[25.0],1.0,21.8,4.32,21.5,24.0
2023-05-30 17:45:00,,6.0,21.9,21.9,21.9,25.0,25.0,[25.0],1.0,21.9,4.29,21.4,24.0
2023-05-30 17:50:00,,6.0,21.9,21.9,21.9,25.0,25.0,[25.0],1.0,21.9,4.23,21.4,24.0
2023-05-30 17:55:00,,6.0,21.9,21.9,21.9,25.0,25.0,[25.0],1.0,21.9,4.29,21.5,24.0
2023-05-30 18:00:00,,6.0,21.9,21.9,21.9,25.0,25.0,[25.0],1.0,21.9,4.23,21.4,24.0
2023-05-30 18:05:00,,6.0,21.9,21.9,21.9,25.0,25.0,[25.0],1.0,21.9,4.2,21.4,24.0
2023-05-30 18:10:00,,6.0,21.9,21.9,21.9,25.0,25.0,[25.0],1.0,21.9,4.2,21.4,24.0
2023-05-30 18:15:00,,6.0,21.9,21.9,21.9,25.0,25.0,[25.0],1.0,21.9,4.23,21.3,24.0
2023-05-30 18:20:00,,6.0,21.8,21.8,21.8,24.9,24.9,[24.9],1.0,21.8,4.2,21.2,24.0
2023-05-30 18:25:00,,6.0,21.8,21.8,21.8,24.9,24.9,[24.9],1.0,21.8,4.2,21.2,24.0
2023-05-30 18:30:00,,6.0,21.8,21.8,21.8,24.9,24.9,[24.9],1.0,21.8,4.17,21.2,24.0
2023-05-30 18:35:00,,6.0,21.8,21.8,21.8,24.9,24.9,[24.9],1.0,21.8,4.17,21.3,24.0
