time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3805688_c,3805688_h,3805688_r,3805688_s
2023-05-30 09:05:00,,13.29,28.9,28.9,28.9,28.0,28.0,[28.0],1.0,28.9,26.6,26.0
2023-05-30 09:10:00,,13.260000000000002,28.9,28.9,28.9,28.0,28.0,[28.0],1.0,28.9,26.6,26.0
2023-05-30 09:15:00,,13.32,28.9,28.9,28.9,28.0,28.0,[28.0],1.0,28.9,26.6,26.0
2023-05-30 09:20:00,,13.29,28.8,28.8,28.8,28.0,28.0,[28.0],1.0,28.8,26.5,26.0
2023-05-30 09:25:00,,13.32,28.8,28.8,28.8,28.0,28.0,[28.0],1.0,28.8,26.6,26.0
2023-05-30 09:30:00,,13.32,28.8,28.8,28.8,28.0,28.0,[28.0],1.0,28.8,26.6,26.0
2023-05-30 09:35:00,,13.260000000000002,28.8,28.8,28.8,28.0,28.0,[28.0],1.0,28.8,26.6,26.0
2023-05-30 09:40:00,,13.32,28.8,28.8,28.8,28.0,28.0,[28.0],1.0,28.8,26.5,26.0
2023-05-30 09:45:00,,13.32,28.8,28.8,28.8,28.0,28.0,[28.0],1.0,28.8,26.6,26.0
2023-05-30 09:50:00,,13.32,28.8,28.8,28.8,28.0,28.0,[28.0],1.0,28.8,26.6,26.0
2023-05-30 09:55:00,,13.29,28.8,28.8,28.8,28.0,28.0,[28.0],1.0,28.8,26.6,26.0
2023-05-30 10:00:00,,13.32,28.8,28.8,28.8,28.0,28.0,[28.0],1.0,28.8,26.6,26.0
2023-05-30 10:05:00,,13.32,28.8,28.8,28.8,28.0,28.0,[28.0],1.0,28.8,26.6,26.0
2023-05-30 10:10:00,,13.29,28.8,28.8,28.8,28.0,28.0,[28.0],1.0,28.8,26.6,26.0
2023-05-30 10:15:00,,13.29,28.9,28.9,28.9,27.9,27.9,[27.9],1.0,28.9,26.6,26.0
2023-05-30 10:20:00,,13.32,28.9,28.9,28.9,28.0,28.0,[28.0],1.0,28.9,26.6,26.0
2023-05-30 10:25:00,,13.29,28.9,28.9,28.9,28.0,28.0,[28.0],1.0,28.9,26.6,26.0
2023-05-30 10:30:00,,13.32,28.9,28.9,28.9,28.0,28.0,[28.0],1.0,28.9,26.6,26.0
2023-05-30 10:35:00,,,,,,,,,,,,
2023-05-30 10:40:00,,13.32,28.9,28.9,28.9,28.0,28.0,[28.0],1.0,28.9,26.6,26.0
2023-05-30 10:45:00,,13.32,28.9,28.9,28.9,28.0,28.0,[28.0],1.0,28.9,26.6,26.0
2023-05-30 10:50:00,,13.29,28.9,28.9,28.9,28.0,28.0,[28.0],1.0,28.9,26.6,26.0
2023-05-30 10:55:00,,13.29,28.9,28.9,28.9,28.0,28.0,[28.0],1.0,28.9,26.7,26.0
2023-05-30 11:00:00,,13.29,28.9,28.9,28.9,28.0,28.0,[28.0],1.0,28.9,26.6,26.0
