time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3805984_c,3805984_p,3805984_r,3805984_s,3805985_c,3805985_h,3805985_p,3805985_r,3805985_s,3805986_c,3805986_h,3805986_r,3805986_s,3805987_c,3805987_h,3805987_p,3805987_r,3805987_s,3805988_c,3805988_h,3805988_r,3805988_s
2023-05-30 09:05:00,,,34.2,30.8,33.075,29.8,29.8,[29.8],1.0,4.3,28.7,27.0,1.0,34.2,4.4,28.0,27.0,1.0,34.2,28.7,27.0,1.0,30.8,4.8,21.0,26.0,1.0,33.1,27.4,27.0
2023-05-30 09:10:00,,,34.2,30.7,33.075,29.8,29.8,[29.8],1.0,4.2,28.6,27.0,1.0,34.2,4.3,28.0,27.0,1.0,34.2,28.2,27.0,1.0,30.7,4.8,21.0,26.0,1.0,33.2,27.0,27.0
2023-05-30 09:15:00,,,34.1,29.9,32.825,29.8,29.8,[29.8],1.0,4.3,28.4,27.0,1.0,34.1,4.4,28.0,27.0,1.0,34.1,27.6,27.0,1.0,29.9,5.1,20.0,26.0,1.0,33.2,28.4,27.0
2023-05-30 09:20:00,,,34.1,29.9,32.8,29.8,29.8,[29.8],1.0,4.3,28.4,27.0,1.0,34.1,4.4,28.0,27.0,1.0,34.1,27.1,27.0,1.0,29.9,4.9,18.0,26.0,1.0,33.1,27.3,27.0
2023-05-30 09:25:00,,,33.8,29.5,32.525,29.8,29.8,[29.8],1.0,4.3,28.4,27.0,1.0,33.8,4.5,28.0,27.0,1.0,33.8,27.1,27.0,1.0,29.5,5.0,18.0,26.0,1.0,33.0,28.4,27.0
2023-05-30 09:30:00,,,33.7,29.5,32.475,29.8,29.8,[29.8],1.0,4.2,28.4,27.0,1.0,33.7,4.4,28.0,27.0,1.0,33.7,27.4,27.0,1.0,29.5,4.8,20.0,26.0,1.0,33.0,27.2,27.0
2023-05-30 09:35:00,,,33.7,29.0,32.325,29.8,29.8,[29.8],1.0,4.3,28.4,27.0,1.0,33.7,4.5,28.0,27.0,1.0,33.7,28.2,27.0,1.0,29.0,5.0,21.0,26.0,1.0,32.9,27.8,27.0
2023-05-30 09:40:00,,,33.7,29.3,32.4,29.9,29.9,[29.9],1.0,4.3,28.4,27.0,1.0,33.7,4.5,28.0,27.0,1.0,33.7,28.4,27.0,1.0,29.3,5.0,21.0,26.0,1.0,32.9,28.2,27.0
2023-05-30 09:45:00,,,33.8,29.5,32.525,30.0,30.0,[30.0],1.0,4.3,28.6,27.0,1.0,33.8,4.4,28.0,27.0,1.0,33.8,28.4,27.0,1.0,29.5,4.8,21.0,26.0,1.0,33.0,27.0,27.0
2023-05-30 09:50:00,,,34.0,29.9,32.725,30.0,30.0,[30.0],1.0,4.3,28.7,27.0,1.0,34.0,4.4,28.0,27.0,1.0,34.0,28.7,27.0,1.0,29.9,4.8,21.0,26.0,1.0,33.0,27.7,27.0
