time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3805894_h,3805895_c,3805895_h,3805895_p,3805895_r,3805895_s,3805896_h,3805897_h
2023-05-30 09:05:00,,,34.1,25.3,29.775,26.1,26.1,[26.1],29.7,1.0,34.1,4.98,29.0,26.0,25.3,30.0
2023-05-30 09:10:00,,,34.0,25.3,29.775,26.1,26.1,[26.1],29.7,1.0,34.0,4.95,27.0,26.0,25.3,30.1
2023-05-30 09:15:00,,,34.0,25.3,29.775,26.2,26.2,[26.2],29.7,1.0,34.0,5.04,27.0,26.0,25.3,30.1
2023-05-30 09:20:00,,,34.0,25.3,29.775,26.2,26.2,[26.2],29.7,1.0,34.0,4.95,27.0,26.0,25.3,30.1
2023-05-30 09:25:00,,,34.0,25.3,29.8,26.3,26.3,[26.3],29.8,1.0,34.0,4.92,27.0,26.0,25.3,30.1
2023-05-30 09:30:00,,,34.2,25.3,29.85,26.3,26.3,[26.3],29.8,1.0,34.2,5.01,29.0,26.0,25.3,30.1
2023-05-30 09:35:00,,,34.2,25.4,29.9,26.4,26.4,[26.4],29.8,1.0,34.2,5.01,27.0,26.0,25.4,30.2
2023-05-30 09:40:00,,,34.2,25.4,29.95,26.2,26.2,[26.2],29.9,1.0,34.2,5.01,27.0,26.0,25.4,30.3
2023-05-30 09:45:00,,,34.3,25.5,30.0,26.2,26.2,[26.2],29.9,1.0,34.3,5.07,27.0,26.0,25.5,30.3
2023-05-30 09:50:00,,,34.3,25.5,30.0,26.2,26.2,[26.2],29.9,1.0,34.3,5.04,27.0,26.0,25.5,30.3
2023-05-30 09:55:00,,,34.3,25.5,30.0,26.1,26.1,[26.1],29.9,1.0,34.3,5.04,27.0,26.0,25.5,30.3
2023-05-30 10:00:00,,,34.3,25.5,30.025,26.2,26.2,[26.2],30.0,1.0,34.3,5.07,28.0,26.0,25.5,30.3
2023-05-30 10:05:00,,,34.3,25.6,30.05,26.1,26.1,[26.1],30.0,1.0,34.3,5.1,27.0,26.0,25.6,30.3
2023-05-30 10:10:00,,,34.3,25.6,30.05,26.2,26.2,[26.2],30.0,1.0,34.3,5.1,27.0,26.0,25.6,30.3
2023-05-30 10:15:00,,,34.3,25.6,30.075000000000003,26.2,26.2,[26.2],30.0,1.0,34.3,5.1,27.0,26.0,25.6,30.4
2023-05-30 10:20:00,,,34.3,25.6,30.075000000000003,26.2,26.2,[26.2],30.0,1.0,34.3,5.16,27.0,26.0,25.6,30.4
2023-05-30 10:25:00,,,34.3,25.6,30.1,26.2,26.2,[26.2],30.1,1.0,34.3,5.34,27.0,26.0,25.6,30.4
2023-05-30 10:30:00,,,34.4,25.6,30.125,26.2,26.2,[26.2],30.1,1.0,34.4,5.1,27.0,26.0,25.6,30.4
2023-05-30 10:35:00,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,,34.4,25.6,30.125,26.2,26.2,[26.2],30.1,1.0,34.4,5.16,27.0,26.0,25.6,30.4
2023-05-30 10:45:00,,,34.4,25.6,30.15,26.3,26.3,[26.3],30.1,1.0,34.4,5.19,27.0,26.0,25.6,30.5
2023-05-30 10:50:00,,,34.4,25.6,30.175,26.3,26.3,[26.3],30.2,1.0,34.4,5.19,27.0,26.0,25.6,30.5
2023-05-30 10:55:00,,,34.4,25.7,30.2,26.4,26.4,[26.4],30.2,1.0,34.4,5.34,27.0,26.0,25.7,30.5
2023-05-30 11:00:00,,,34.4,25.7,30.225,26.5,26.5,[26.5],30.2,1.0,34.4,5.22,28.0,26.0,25.7,30.6
2023-05-30 11:05:00,,,34.4,25.8,30.275,26.6,26.6,[26.6],30.3,1.0,34.4,5.22,28.0,26.0,25.8,30.6
2023-05-30 11:10:00,,,34.5,25.8,30.3,26.6,26.6,[26.6],30.3,1.0,34.5,5.19,28.0,26.0,25.8,30.6
