time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3793296_c,3793296_h,3793296_r,3793296_s,3836227_c,3836227_h,3836227_r,3836227_s
2023-05-30 09:05:00,,13.53,31.1,28.7,29.9,26.0,26.0,[26.0],1.0,31.1,27.0,27.0,1.0,28.7,27.7,27.0
2023-05-30 09:10:00,,13.59,31.1,28.7,29.9,26.8,26.8,[26.8],1.0,31.1,28.5,27.0,1.0,28.7,28.3,27.0
2023-05-30 09:15:00,,13.62,34.1,29.1,31.6,27.2,27.2,[27.2],1.0,34.1,29.1,27.0,1.0,29.1,28.4,27.0
2023-05-30 09:20:00,,13.65,34.1,29.4,31.75,27.4,27.4,[27.4],1.0,34.1,29.5,27.0,1.0,29.4,28.4,27.0
2023-05-30 09:25:00,,13.56,35.2,29.4,32.3,26.4,26.4,[26.4],1.0,35.2,27.3,27.0,1.0,29.4,28.4,27.0
2023-05-30 09:30:00,,13.5,34.1,29.2,31.65,26.2,26.2,[26.2],1.0,34.1,27.1,27.0,1.0,29.2,27.7,27.0
2023-05-30 09:35:00,,13.65,32.1,29.4,30.75,27.1,27.1,[27.1],1.0,32.1,29.1,28.0,1.0,29.4,28.4,28.0
2023-05-30 09:40:00,,13.68,33.3,29.4,31.35,27.5,27.5,[27.5],1.0,33.3,29.5,28.0,1.0,29.4,28.7,28.0
2023-05-30 09:45:00,,13.62,34.7,29.9,32.3,27.7,27.7,[27.7],1.0,34.7,29.8,28.0,1.0,29.9,29.0,28.0
2023-05-30 09:50:00,,13.62,36.1,29.9,33.0,27.8,27.8,[27.8],1.0,36.1,30.1,28.0,1.0,29.9,29.0,28.0
2023-05-30 09:55:00,,13.65,36.5,30.1,33.3,28.0,28.0,[28.0],1.0,36.5,30.3,28.0,1.0,30.1,29.0,28.0
2023-05-30 10:00:00,,13.68,36.5,30.5,33.5,28.1,28.1,[28.1],1.0,36.5,30.4,28.0,1.0,30.5,29.0,28.0
2023-05-30 10:05:00,,13.77,36.7,30.5,33.6,28.0,28.0,[28.0],1.0,36.7,30.2,25.0,1.0,30.5,29.4,25.0
2023-05-30 10:10:00,,13.8,33.9,30.7,32.3,26.4,26.4,[26.4],1.0,33.9,27.4,25.0,1.0,30.7,28.7,25.0
2023-05-30 10:15:00,,13.62,33.9,30.4,32.15,25.9,25.9,[25.9],1.0,33.9,26.7,25.0,1.0,30.4,28.1,25.0
2023-05-30 10:20:00,,13.62,31.6,30.1,30.85,25.7,25.7,[25.7],1.0,31.6,26.2,25.0,1.0,30.1,27.7,25.0
2023-05-30 10:25:00,,13.68,29.8,29.4,29.6,25.5,25.5,[25.5],1.0,29.8,25.8,25.0,1.0,29.4,27.4,25.0
2023-05-30 10:30:00,,13.59,29.4,29.4,29.4,25.2,25.2,[25.2],1.0,29.4,25.4,25.0,1.0,29.4,27.1,25.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,13.56,29.0,29.0,29.0,26.4,26.4,[26.4],1.0,29.0,27.1,26.0,1.0,29.0,28.1,26.0
