time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1630591_c,1630591_h,1630591_p,1630591_r,1630591_s,1630592_c,1630592_h,1630592_p,1630592_r,1630592_s
2023-05-30 09:00:00,,,,,,,,,,,14.88,,,,,1.71,,
2023-05-30 09:10:00,,0.0,28.6,28.6,28.6,25.75,27.7,"[27.7, 23.8]",1.0,28.6,14.28,26.8,27.0,1.0,28.6,1.68,26.3,27.0
2023-05-30 09:15:00,,0.0,28.5,28.5,28.5,25.8,27.8,"[27.8, 23.8]",1.0,28.5,13.89,26.4,27.0,1.0,28.5,1.68,26.8,27.0
2023-05-30 09:20:00,,0.0,29.1,29.1,29.1,26.05,28.0,"[28.0, 24.1]",1.0,29.1,15.57,27.3,27.0,1.0,29.1,1.71,27.4,27.0
2023-05-30 09:25:00,,0.0,29.1,29.1,29.1,26.0,27.9,"[27.9, 24.1]",1.0,29.1,28.71,27.4,27.0,1.0,29.1,1.68,26.5,27.0
2023-05-30 09:30:00,,0.0,28.8,28.8,28.8,25.9,27.9,"[27.9, 23.9]",1.0,28.8,14.91,26.6,27.0,1.0,28.8,1.77,26.7,27.0
2023-05-30 09:35:00,,0.0,28.7,28.7,28.7,26.05,28.0,"[28.0, 24.1]",1.0,28.7,28.86,27.5,27.0,1.0,28.7,1.71,26.8,27.0
2023-05-30 09:40:00,,0.0,28.8,28.8,28.8,25.9,27.9,"[27.9, 23.9]",1.0,28.8,28.2,26.6,27.0,1.0,28.8,1.74,26.4,27.0
2023-05-30 09:45:00,,0.0,28.6,28.6,28.6,25.9,28.0,"[28.0, 23.8]",1.0,28.6,14.49,26.3,27.0,1.0,28.6,1.77,26.8,27.0
2023-05-30 09:50:00,,0.0,28.8,28.8,28.8,26.1,28.1,"[28.1, 24.1]",1.0,28.8,14.52,27.0,27.0,1.0,28.8,1.71,27.5,27.0
2023-05-30 09:55:00,,0.0,29.2,29.2,29.2,26.0,28.0,"[28.0, 24.0]",1.0,29.2,28.71,27.6,27.0,1.0,29.2,1.71,26.6,27.0
2023-05-30 10:00:00,,0.0,28.8,28.8,28.8,25.95,28.0,"[28.0, 23.9]",1.0,28.8,14.73,26.9,27.0,1.0,28.8,1.71,26.6,27.0
