time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,157955_c,157955_h,157955_p,157955_r,157955_s,157956_c,157956_h,157956_p,157956_r,157956_s
2023-05-30 09:00:00,,,,,,,,,,,11.1,,,,,12.57,,
2023-05-30 09:10:00,,31.0,33.2,30.9,32.05,27.15,27.4,"[26.9, 27.4]",0.0,30.9,11.16,28.2,5.0,0.0,33.2,12.39,28.2,27.0
2023-05-30 09:15:00,,31.0,33.2,30.8,32.0,27.3,27.6,"[27.0, 27.6]",0.0,30.8,4.41,28.6,5.0,0.0,33.2,12.03,28.6,27.0
2023-05-30 09:20:00,,31.0,33.1,31.2,32.15,27.35,27.6,"[27.1, 27.6]",0.0,31.2,11.4,28.4,5.0,0.0,33.1,12.66,28.4,27.0
2023-05-30 09:25:00,,31.0,33.2,31.2,32.2,27.2,27.5,"[26.9, 27.5]",0.0,31.2,11.4,28.3,5.0,0.0,33.2,12.54,28.3,27.0
2023-05-30 09:30:00,,31.0,33.1,31.0,32.05,27.15,27.4,"[26.9, 27.4]",0.0,31.0,5.1,28.2,5.0,0.0,33.1,12.72,28.2,27.0
2023-05-30 09:35:00,,31.0,33.0,30.8,31.9,27.4,27.7,"[27.1, 27.7]",0.0,30.8,11.01,28.6,5.0,0.0,33.0,12.39,28.6,27.0
2023-05-30 09:40:00,,31.0,,,,27.25,27.5,"[27.0, 27.5]",0.0,,11.34,28.4,5.0,0.0,,12.36,28.4,27.0
2023-05-30 09:45:00,,31.0,33.2,31.1,32.150000000000006,27.15,27.4,"[26.9, 27.4]",0.0,31.1,4.5,28.3,5.0,0.0,33.2,12.36,28.3,27.0
2023-05-30 09:50:00,,31.0,33.1,31.1,32.1,27.4,27.7,"[27.1, 27.7]",0.0,31.1,11.52,28.7,5.0,0.0,33.1,12.42,28.7,27.0
2023-05-30 09:55:00,,31.0,33.2,31.1,32.150000000000006,27.4,27.7,"[27.1, 27.7]",0.0,31.1,11.34,28.4,5.0,0.0,33.2,12.42,28.4,27.0
2023-05-30 10:00:00,,31.0,33.3,31.3,32.3,27.25,27.5,"[27.0, 27.5]",0.0,31.3,,28.3,5.0,0.0,33.3,,28.3,27.0
2023-05-30 10:05:00,,31.0,33.2,31.1,32.150000000000006,26.9,26.9,"[26.9, nan]",0.0,31.1,,28.3,5.0,0.0,33.2,,28.3,27.0
2023-05-30 10:10:00,,31.0,33.2,31.1,32.150000000000006,27.15,27.4,"[26.9, 27.4]",0.0,31.1,4.47,28.5,5.0,0.0,33.2,12.6,28.5,27.0
2023-05-30 10:15:00,,31.0,33.0,30.8,31.9,27.4,27.7,"[27.1, 27.7]",0.0,30.8,11.16,28.6,5.0,0.0,33.0,12.42,28.6,27.0
2023-05-30 10:20:00,,31.0,33.2,31.2,32.2,27.3,27.5,"[27.1, 27.5]",0.0,31.2,,28.3,5.0,0.0,33.2,,28.3,27.0
2023-05-30 10:25:00,,31.0,33.2,31.1,32.150000000000006,27.4,27.7,"[27.1, 27.7]",0.0,31.1,10.02,28.6,5.0,0.0,33.2,12.45,28.6,27.0
2023-05-30 10:30:00,,31.0,33.1,31.1,32.1,27.4,27.7,"[27.1, 27.7]",0.0,31.1,10.95,28.6,5.0,0.0,33.1,12.57,28.6,27.0
2023-05-30 10:45:00,,31.0,33.2,31.1,32.150000000000006,27.45,27.7,"[27.2, 27.7]",0.0,31.1,10.86,28.6,5.0,0.0,33.2,12.54,28.6,27.0
2023-05-30 10:50:00,,31.0,33.3,31.3,32.3,27.35,27.6,"[27.1, 27.6]",0.0,31.3,10.98,28.4,5.0,0.0,33.3,12.75,28.4,27.0
2023-05-30 10:55:00,,31.0,33.2,31.1,32.150000000000006,27.4,27.7,"[27.1, 27.7]",0.0,31.1,4.44,28.6,5.0,0.0,33.2,12.66,28.6,27.0
2023-05-30 11:00:00,,31.0,33.2,31.1,32.150000000000006,27.45,27.7,"[27.2, 27.7]",0.0,31.1,11.04,28.6,5.0,0.0,33.2,12.72,28.6,27.0
2023-05-30 11:05:00,,31.0,33.3,31.3,32.3,27.35,27.6,"[27.1, 27.6]",0.0,31.3,11.1,28.5,5.0,0.0,33.3,12.57,28.5,27.0
2023-05-30 11:10:00,,31.0,33.3,31.1,32.2,27.25,27.5,"[27.0, 27.5]",0.0,31.1,4.44,28.4,5.0,0.0,33.3,12.51,28.4,27.0
2023-05-30 11:15:00,,31.0,33.2,30.9,32.05,27.45,27.7,"[27.2, 27.7]",0.0,30.9,11.22,28.7,5.0,0.0,33.2,12.6,28.7,27.0
2023-05-30 11:20:00,,31.0,33.3,31.2,32.25,27.4,27.6,"[27.2, 27.6]",0.0,31.2,10.98,28.5,5.0,0.0,33.3,12.84,28.5,27.0
2023-05-30 11:25:00,,31.0,33.3,31.0,32.15,27.3,27.5,"[27.1, 27.5]",0.0,31.0,4.47,28.5,5.0,0.0,33.3,12.66,28.5,27.0
2023-05-30 11:30:00,,31.0,33.3,31.0,32.15,27.5,27.8,"[27.2, 27.8]",0.0,31.0,11.25,28.8,5.0,0.0,33.3,12.84,28.8,27.0
2023-05-30 11:35:00,,31.0,33.3,31.2,32.25,27.45,27.7,"[27.2, 27.7]",0.0,31.2,11.61,28.5,5.0,0.0,33.3,12.72,28.5,27.0
2023-05-30 11:40:00,,31.0,33.3,31.2,32.25,27.3,27.5,"[27.1, 27.5]",0.0,31.2,11.55,28.4,5.0,0.0,33.3,12.78,28.4,27.0
2023-05-30 11:45:00,,31.0,33.3,30.9,32.099999999999994,27.2,27.4,"[27.0, 27.4]",0.0,30.9,11.58,28.3,5.0,0.0,33.3,12.9,28.3,27.0
2023-05-30 11:50:00,,31.0,33.2,30.8,32.0,27.15,27.4,"[26.9, 27.4]",0.0,30.8,11.49,28.3,5.0,0.0,33.2,12.75,28.3,27.0
2023-05-30 11:55:00,,31.0,33.1,30.8,31.950000000000003,27.35,27.6,"[27.1, 27.6]",0.0,30.8,11.55,28.6,5.0,0.0,33.1,12.81,28.6,27.0
