time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3811208_c,3811208_h,3811208_p,3811208_r,3811208_s,3811209_c,3811209_h,3811209_p,3811209_r,3811209_s,3811210_c,3811210_h,3811210_p,3811210_r,3811210_s
2023-05-30 09:00:00,,,,,,,,,,,4.1,,,,,0.8,,,,,0.8,,
2023-05-30 09:05:00,,6.7,31.6,27.2,28.666666666666668,26.6,26.6,[26.6],1.0,31.6,0.5,26.7,26.0,1.0,27.2,0.8,27.0,26.0,1.0,27.2,4.8,27.0,26.0
2023-05-30 09:10:00,,6.7,31.3,27.0,28.433333333333334,26.6,26.6,[26.6],1.0,31.3,4.5,26.1,26.0,1.0,27.0,0.8,27.0,26.0,1.0,27.0,0.8,27.0,26.0
2023-05-30 09:15:00,,6.7,31.2,26.7,28.2,26.3,26.3,[26.3],1.0,31.2,0.4,26.4,26.0,1.0,26.7,0.8,27.0,26.0,1.0,26.7,0.8,27.0,26.0
2023-05-30 09:20:00,,6.7,31.2,27.2,28.53333333333333,26.6,26.6,[26.6],1.0,31.2,4.1,26.4,26.0,1.0,27.2,0.8,27.0,26.0,1.0,27.2,0.8,28.0,26.0
2023-05-30 09:25:00,,6.7,31.2,27.2,28.53333333333333,26.6,26.6,[26.6],1.0,31.2,4.2,26.1,26.0,1.0,27.2,0.8,27.0,26.0,1.0,27.2,0.8,28.0,26.0
2023-05-30 09:30:00,,6.7,,,,26.4,26.4,[26.4],1.0,,0.5,26.1,26.0,1.0,,0.8,27.0,26.0,1.0,,0.8,27.0,26.0
2023-05-30 09:35:00,,6.7,31.1,27.7,28.83333333333333,26.6,26.6,[26.6],1.0,31.1,0.5,26.8,26.0,1.0,27.7,0.8,27.0,26.0,1.0,27.7,0.8,28.0,26.0
2023-05-30 09:40:00,,6.7,31.1,26.6,28.100000000000005,26.4,26.4,[26.4],1.0,31.1,4.2,26.1,26.0,1.0,26.6,0.8,26.0,26.0,1.0,26.6,0.8,27.0,26.0
2023-05-30 09:45:00,,6.7,31.0,26.8,28.2,26.4,26.4,[26.4],1.0,31.0,4.2,26.1,26.0,1.0,26.8,0.8,27.0,26.0,1.0,26.8,0.8,27.0,26.0
2023-05-30 09:50:00,,6.7,30.9,27.0,28.3,26.5,26.5,[26.5],1.0,30.9,4.2,26.1,26.0,1.0,27.0,0.8,27.0,26.0,1.0,27.0,0.8,27.0,26.0
2023-05-30 09:55:00,,6.7,30.8,27.4,28.53333333333333,26.6,26.6,[26.6],1.0,30.8,0.5,26.4,26.0,1.0,27.4,0.8,27.0,26.0,1.0,27.4,0.8,28.0,26.0
2023-05-30 10:00:00,,6.7,30.8,27.4,28.53333333333333,,,,1.0,30.8,4.1,26.7,26.0,1.0,27.4,0.8,28.0,26.0,1.0,27.4,0.8,28.0,26.0
2023-05-30 10:05:00,,6.7,31.1,27.4,28.633333333333336,26.7,26.7,[26.7],1.0,31.1,0.4,26.7,26.0,1.0,27.4,0.8,27.0,26.0,1.0,27.4,4.7,27.0,26.0
2023-05-30 10:10:00,,6.7,31.1,27.3,28.566666666666663,26.6,26.6,[26.6],1.0,31.1,4.3,26.4,26.0,1.0,27.3,0.8,27.0,26.0,1.0,27.3,0.8,28.0,26.0
2023-05-30 10:15:00,,6.7,31.2,27.3,28.6,26.4,26.4,[26.4],1.0,31.2,4.2,26.1,26.0,1.0,27.3,0.8,27.0,26.0,1.0,27.3,0.8,27.0,26.0
2023-05-30 10:20:00,,6.7,31.0,27.0,28.33333333333333,26.4,26.4,[26.4],1.0,31.0,4.2,26.1,26.0,1.0,27.0,0.8,27.0,26.0,1.0,27.0,0.8,28.0,26.0
2023-05-30 10:25:00,,6.7,30.9,27.2,28.433333333333334,26.6,26.6,[26.6],1.0,30.9,0.4,26.1,26.0,1.0,27.2,0.8,27.0,26.0,1.0,27.2,0.8,28.0,26.0
2023-05-30 10:30:00,,6.7,30.9,26.6,28.03333333333333,26.5,26.5,[26.5],1.0,30.9,0.4,26.4,26.0,1.0,26.6,0.8,27.0,26.0,1.0,26.6,4.8,27.0,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,6.7,30.9,27.4,28.566666666666663,26.6,26.6,[26.6],1.0,30.9,0.4,26.4,26.0,1.0,27.4,0.8,27.0,26.0,1.0,27.4,0.8,28.0,26.0
2023-05-30 10:45:00,,6.7,31.2,27.6,28.8,26.7,26.7,[26.7],1.0,31.2,4.3,26.4,26.0,1.0,27.6,0.8,27.0,26.0,1.0,27.6,0.8,28.0,26.0
2023-05-30 10:50:00,,6.7,31.1,26.7,28.166666666666668,26.4,26.4,[26.4],1.0,31.1,4.3,25.8,26.0,1.0,26.7,0.8,27.0,26.0,1.0,26.7,0.8,27.0,26.0
