time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3637023_c,3637023_h,3637023_p,3637023_r,3637023_s,791656_c,791656_h,791656_r,791656_s,979071_c,979071_h,979071_p,979071_r,979071_s,979072_c,979072_h,979072_p,979072_r,979072_s
2023-05-30 09:05:00,,81.0,32.0,24.6,30.0,23.6,23.6,[23.6],1.0,24.6,4.5,21.6,26.0,1.0,31.4,0.0,0.0,1.0,32.0,22.4,26.0,26.0,1.0,32.0,6.2,25.2,26.0
2023-05-30 09:10:00,,81.0,31.8,24.6,29.9,23.4,23.4,[23.4],1.0,24.6,4.5,21.4,26.0,1.0,31.4,0.0,0.0,1.0,31.8,22.5,25.9,26.0,1.0,31.8,10.0,24.9,26.0
2023-05-30 09:15:00,,81.0,31.8,24.6,29.875,23.4,23.4,[23.4],1.0,24.6,4.5,21.3,26.0,1.0,31.3,0.0,0.0,1.0,31.8,22.5,25.8,26.0,1.0,31.8,7.3,24.9,26.0
2023-05-30 09:20:00,,81.0,31.8,24.5,29.85,23.3,23.3,[23.3],1.0,24.5,9.5,21.5,26.0,1.0,31.3,0.0,0.0,1.0,31.8,22.5,25.6,26.0,1.0,31.8,4.9,25.3,26.0
2023-05-30 09:25:00,,81.0,32.0,24.5,29.925,23.1,23.1,[23.1],1.0,24.5,9.1,21.1,26.0,1.0,31.2,0.0,0.0,1.0,32.0,22.7,25.5,26.0,1.0,32.0,4.7,25.2,26.0
2023-05-30 09:30:00,,81.0,32.3,24.4,30.05,23.2,23.2,[23.2],1.0,24.4,4.5,21.1,26.0,1.0,31.2,0.0,0.0,1.0,32.3,22.5,25.8,26.0,1.0,32.3,4.7,24.9,26.0
2023-05-30 09:35:00,,81.0,32.1,24.3,29.925,23.3,23.3,[23.3],1.0,24.3,4.5,21.3,26.0,1.0,31.2,0.0,0.0,1.0,32.1,22.6,25.8,26.0,1.0,32.1,4.7,25.0,26.0
2023-05-30 09:40:00,,81.0,32.0,24.3,29.875,23.4,23.4,[23.4],1.0,24.3,4.5,21.3,26.0,1.0,31.2,0.0,0.0,1.0,32.0,22.4,25.8,26.0,1.0,32.0,4.7,25.0,26.0
2023-05-30 09:45:00,,81.0,31.8,24.3,29.8,23.3,23.3,[23.3],1.0,24.3,4.7,21.6,26.0,1.0,31.3,0.0,0.0,1.0,31.8,22.5,25.8,26.0,1.0,31.8,4.7,25.1,26.0
2023-05-30 09:50:00,,81.0,31.8,24.3,29.8,23.4,23.4,[23.4],1.0,24.3,4.6,21.5,26.0,1.0,31.3,0.0,0.0,1.0,31.8,22.6,25.9,26.0,1.0,31.8,4.7,25.0,26.0
2023-05-30 09:55:00,,81.0,31.8,24.4,29.825,23.4,23.4,[23.4],1.0,24.4,4.6,21.6,26.0,1.0,31.3,0.0,0.0,1.0,31.8,22.4,25.8,26.0,1.0,31.8,4.7,25.2,26.0
2023-05-30 10:00:00,,81.0,31.8,24.4,29.825,23.4,23.4,[23.4],1.0,24.4,4.5,21.6,26.0,1.0,31.3,0.0,0.0,1.0,31.8,22.5,25.9,26.0,1.0,31.8,4.8,25.1,26.0
2023-05-30 10:05:00,,81.0,31.8,24.5,29.875,23.4,23.4,[23.4],1.0,24.5,4.5,21.5,26.0,1.0,31.4,0.0,0.0,1.0,31.8,22.6,26.0,26.0,1.0,31.8,4.7,25.2,26.0
2023-05-30 10:10:00,,81.0,31.8,24.5,29.875,23.4,23.4,[23.4],1.0,24.5,4.6,21.5,26.0,1.0,31.4,0.0,0.0,1.0,31.8,22.6,26.0,26.0,1.0,31.8,4.7,25.1,26.0
2023-05-30 10:15:00,,81.0,31.8,24.5,29.875,23.4,23.4,[23.4],1.0,24.5,4.5,21.5,26.0,1.0,31.4,0.0,0.0,1.0,31.8,22.4,25.9,26.0,1.0,31.8,4.9,25.1,26.0
2023-05-30 10:20:00,,81.0,31.8,24.5,29.875,23.4,23.4,[23.4],1.0,24.5,4.5,21.5,26.0,1.0,31.4,0.0,0.0,1.0,31.8,22.6,25.9,26.0,1.0,31.8,4.7,25.2,26.0
2023-05-30 10:25:00,,81.0,31.8,24.5,29.875,23.4,23.4,[23.4],1.0,24.5,4.5,21.5,26.0,1.0,31.4,0.0,0.0,1.0,31.8,22.6,26.0,26.0,1.0,31.8,4.7,25.1,26.0
2023-05-30 10:30:00,,81.0,31.8,24.5,29.875,23.4,23.4,[23.4],1.0,24.5,4.5,21.5,26.0,1.0,31.4,0.0,0.0,1.0,31.8,22.6,25.9,26.0,1.0,31.8,4.7,25.1,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,81.0,31.8,24.5,29.875,23.4,23.4,[23.4],1.0,24.5,4.6,21.5,26.0,1.0,31.4,0.0,0.0,1.0,31.8,22.7,25.9,26.0,1.0,31.8,4.7,25.0,26.0
2023-05-30 10:45:00,,81.0,31.8,24.5,29.875,23.5,23.5,[23.5],1.0,24.5,4.5,21.5,26.0,1.0,31.4,0.0,0.0,1.0,31.8,22.7,26.0,26.0,1.0,31.8,4.9,25.2,26.0
2023-05-30 10:50:00,,81.0,31.9,24.5,29.925,23.4,23.4,[23.4],1.0,24.5,4.6,21.5,26.0,1.0,31.4,0.0,0.0,1.0,31.9,22.6,25.9,26.0,1.0,31.9,4.7,25.1,26.0
2023-05-30 10:55:00,,81.0,31.9,24.5,29.925,23.4,23.4,[23.4],1.0,24.5,4.6,21.5,26.0,1.0,31.4,0.0,0.0,1.0,31.9,22.6,26.0,26.0,1.0,31.9,4.7,25.0,26.0
2023-05-30 11:00:00,,81.0,31.9,24.5,29.925,23.4,23.4,[23.4],1.0,24.5,4.5,21.5,26.0,1.0,31.4,0.0,0.0,1.0,31.9,22.7,26.0,26.0,1.0,31.9,4.7,25.0,26.0
