time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3811203_c,3811203_h,3811203_p,3811203_r,3811203_s,3811204_c,3811204_h,3811204_p,3811204_r,3811204_s,791628_c,791628_h,791628_p,791628_r,791628_s,791629_c,791629_h,791629_p,791629_r,791629_s,791637_c,791637_h,791637_p,791637_r,791637_s,791638_c,791638_h,791638_p,791638_r,791638_s
2023-05-30 09:00:00,,,,,,,,,,,0.7,,,,,0.6,,,,,9.1,,,,,2.6,,,,,2.0,,,,,8.0,,
2023-05-30 09:05:00,,2.98,31.0,28.1,29.13333333333333,29.3,29.3,[29.3],1.0,30.5,0.7,27.0,28.0,1.0,31.0,,29.0,28.0,1.0,28.1,,26.0,26.0,1.0,28.1,,26.0,26.0,1.0,28.4,,26.1,26.0,1.0,28.7,,26.5,26.0
2023-05-30 09:10:00,,2.99,31.0,28.1,29.13333333333333,29.3,29.3,[29.3],1.0,30.5,0.7,27.0,28.0,1.0,31.0,0.6,28.0,28.0,1.0,28.1,9.1,26.0,26.0,1.0,28.1,2.6,26.0,26.0,1.0,28.4,2.0,25.9,26.0,1.0,28.7,2.2,25.7,26.0
2023-05-30 09:15:00,,2.99,30.9,28.1,29.116666666666664,29.2,29.2,[29.2],1.0,30.5,0.6,28.0,28.0,1.0,30.9,4.6,29.0,28.0,1.0,28.1,9.0,26.0,26.0,1.0,28.1,2.6,26.0,26.0,1.0,28.4,2.0,25.9,26.0,1.0,28.7,2.0,26.7,26.0
2023-05-30 09:20:00,,2.99,30.9,28.2,29.149999999999995,29.2,29.2,[29.2],1.0,30.5,0.6,27.0,28.0,1.0,30.9,0.6,28.0,28.0,1.0,28.2,9.2,26.0,26.0,1.0,28.2,2.6,26.0,26.0,1.0,28.4,2.0,25.9,26.0,1.0,28.7,8.1,25.8,26.0
2023-05-30 09:25:00,,2.98,30.9,28.2,29.149999999999995,29.2,29.2,[29.2],1.0,30.5,0.6,28.0,28.0,1.0,30.9,4.7,29.0,28.0,1.0,28.2,9.1,26.0,26.0,1.0,28.2,2.6,26.0,26.0,1.0,28.4,2.0,25.9,26.0,1.0,28.7,2.0,26.6,26.0
2023-05-30 09:30:00,,2.99,30.9,28.2,29.116666666666664,29.3,29.3,[29.3],1.0,30.5,0.7,27.0,28.0,1.0,30.9,0.6,29.0,28.0,1.0,28.2,9.1,26.0,26.0,1.0,28.2,2.6,26.0,26.0,1.0,28.3,2.0,25.9,26.0,1.0,28.6,8.1,26.4,26.0
2023-05-30 09:35:00,,2.99,31.1,28.2,29.166666666666668,29.3,29.3,[29.3],1.0,30.5,0.7,27.0,28.0,1.0,31.1,4.6,29.0,28.0,1.0,28.2,9.0,26.0,26.0,1.0,28.2,2.6,26.0,26.0,1.0,28.4,2.0,26.1,26.0,1.0,28.6,2.0,25.8,26.0
2023-05-30 09:40:00,,2.98,31.0,28.2,29.166666666666668,29.3,29.3,[29.3],1.0,30.5,0.7,28.0,28.0,1.0,31.0,0.6,29.0,28.0,1.0,28.2,9.0,26.0,26.0,1.0,28.2,2.6,26.0,26.0,1.0,28.4,2.0,26.0,26.0,1.0,28.7,2.0,26.8,26.0
2023-05-30 09:45:00,,2.99,31.0,28.2,29.166666666666668,29.3,29.3,[29.3],1.0,30.5,0.7,28.0,28.0,1.0,31.0,0.6,28.0,28.0,1.0,28.2,9.1,26.0,26.0,1.0,28.2,2.6,26.0,26.0,1.0,28.4,2.0,26.1,26.0,1.0,28.7,2.0,26.0,26.0
