time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,979078_c,979078_h,979078_p,979078_r,979078_s,979079_c,979079_h,979079_p,979079_r,979079_s,979080_c,979080_h,979080_p,979080_r,979080_s,979081_c,979081_p,979081_r,979081_s
2023-05-30 09:00:00,,,,,,,,,,,12.7,,,,,19.6,,,,,13.4,,,,9.2,,
2023-05-30 09:05:00,,76.17,30.1,26.0,28.6,23.7,23.7,[23.7],1.0,30.1,12.5,28.2,28.0,1.0,29.7,19.4,28.2,28.0,1.0,26.0,13.6,27.2,28.0,1.0,9.5,27.3,28.0
2023-05-30 09:10:00,,75.24,30.1,26.2,28.666666666666668,23.6,23.6,[23.6],1.0,30.1,13.9,28.1,28.0,1.0,29.7,19.6,28.1,28.0,1.0,26.2,13.4,27.2,28.0,1.0,12.7,27.2,28.0
2023-05-30 09:15:00,,75.01,30.2,26.2,28.633333333333336,23.3,23.3,[23.3],1.0,30.2,12.9,27.8,28.0,1.0,29.5,19.3,27.8,28.0,1.0,26.2,14.0,27.2,28.0,1.0,13.6,26.6,28.0
2023-05-30 09:20:00,,75.09,30.1,26.2,28.566666666666663,23.1,23.1,[23.1],1.0,30.1,12.6,27.8,28.0,1.0,29.4,20.0,27.8,28.0,1.0,26.2,13.5,27.0,28.0,1.0,9.0,26.7,28.0
2023-05-30 09:25:00,,75.12,30.1,26.1,28.5,23.3,23.3,[23.3],1.0,30.1,12.6,27.9,28.0,1.0,29.3,18.9,27.8,28.0,1.0,26.1,13.7,27.1,28.0,1.0,9.2,26.9,28.0
2023-05-30 09:30:00,,75.13,30.1,26.2,28.566666666666663,23.3,23.3,[23.3],1.0,30.1,12.8,27.9,28.0,1.0,29.4,19.6,27.9,28.0,1.0,26.2,14.3,27.1,28.0,1.0,8.4,26.9,28.0
2023-05-30 09:35:00,,75.03999999999999,30.1,26.2,28.566666666666663,23.4,23.4,[23.4],1.0,30.1,12.5,27.9,28.0,1.0,29.4,19.5,27.9,28.0,1.0,26.2,13.9,27.1,28.0,1.0,8.9,27.1,28.0
2023-05-30 09:40:00,,76.14,30.1,26.2,28.53333333333333,23.4,23.4,[23.4],1.0,30.1,13.0,28.0,28.0,1.0,29.3,20.0,28.0,28.0,1.0,26.2,13.8,27.1,28.0,1.0,9.2,27.0,28.0
2023-05-30 09:45:00,,76.35,30.1,26.1,28.5,23.4,23.4,[23.4],1.0,30.1,12.8,28.0,28.0,1.0,29.3,18.9,28.0,28.0,1.0,26.1,13.8,27.1,28.0,1.0,8.9,27.0,28.0
