time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,791641_c,791641_h,791641_p,791641_r,791641_s,791642_c,791642_h,791642_p,791642_r,791642_s,791651_c,791651_h,791651_p,791651_r,791651_s
2023-05-30 09:00:00,,,,,,,,,,,16.3,,,,,6.2,,,,,16.6,,
2023-05-30 09:05:00,,39843.0,30.9,24.1,28.633333333333336,24.2,24.2,[24.2],1.0,30.9,16.2,28.0,28.0,1.0,30.9,6.2,28.0,28.0,1.0,24.1,16.8,27.0,28.0
2023-05-30 09:10:00,,40272.0,31.0,24.3,28.766666666666666,24.2,24.2,[24.2],1.0,31.0,16.1,28.0,28.0,1.0,31.0,6.2,28.0,28.0,1.0,24.3,16.7,27.0,28.0
2023-05-30 09:15:00,,39868.0,31.1,24.3,28.83333333333333,24.2,24.2,[24.2],1.0,31.1,16.2,28.0,28.0,1.0,31.1,6.2,28.0,28.0,1.0,24.3,16.9,27.0,28.0
2023-05-30 09:20:00,,40083.0,31.1,24.3,28.83333333333333,24.2,24.2,[24.2],1.0,31.1,16.5,28.0,28.0,1.0,31.1,15.1,28.0,28.0,1.0,24.3,16.9,27.0,28.0
2023-05-30 09:25:00,,40083.0,31.1,24.3,28.83333333333333,24.2,24.2,[24.2],1.0,31.1,16.2,28.0,28.0,1.0,31.1,16.7,28.0,28.0,1.0,24.3,16.8,27.0,28.0
2023-05-30 09:30:00,,40083.0,31.1,24.2,28.8,24.1,24.1,[24.1],1.0,31.1,15.9,28.0,28.0,1.0,31.1,16.7,28.0,28.0,1.0,24.2,16.9,26.0,28.0
2023-05-30 09:35:00,,39843.0,31.1,24.1,28.76666666666667,24.0,24.0,[24.0],1.0,31.1,15.8,28.0,28.0,1.0,31.1,6.3,28.0,28.0,1.0,24.1,16.8,26.0,28.0
2023-05-30 09:40:00,,39843.0,30.6,24.0,28.4,23.9,23.9,[23.9],1.0,30.6,16.4,28.0,28.0,1.0,30.6,6.2,28.0,28.0,1.0,24.0,16.7,26.0,28.0
2023-05-30 09:45:00,,40055.0,30.6,23.8,28.33333333333333,24.0,24.0,[24.0],1.0,30.6,16.7,28.0,28.0,1.0,30.6,6.2,28.0,28.0,1.0,23.8,16.8,27.0,28.0
2023-05-30 09:50:00,,40083.0,30.6,23.8,28.33333333333333,24.0,24.0,[24.0],1.0,30.6,16.2,28.0,28.0,1.0,30.6,6.2,28.0,28.0,1.0,23.8,16.8,26.0,28.0
2023-05-30 09:55:00,,40083.0,30.5,23.8,28.266666666666666,24.0,24.0,[24.0],1.0,30.5,16.6,28.0,28.0,1.0,30.5,6.2,28.0,28.0,1.0,23.8,16.8,27.0,28.0
2023-05-30 10:00:00,,40298.0,30.5,23.8,28.266666666666666,,,,1.0,30.5,16.5,28.0,28.0,1.0,30.5,15.1,28.0,28.0,1.0,23.8,16.9,27.0,28.0
2023-05-30 10:05:00,,40272.0,30.5,23.8,28.266666666666666,24.1,24.1,[24.1],1.0,30.5,16.0,28.0,28.0,1.0,30.5,6.2,28.0,28.0,1.0,23.8,16.8,27.0,28.0
2023-05-30 10:10:00,,39843.0,,,,24.1,24.1,[24.1],1.0,,16.0,28.0,28.0,1.0,,6.2,28.0,28.0,1.0,,16.8,27.0,28.0
