time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3815511_c,3815511_h,3815511_p,3815511_r,3815511_s,3815512_c,3815512_h,3815512_p,3815512_r,3815512_s
2023-05-30 09:00:00,,,,,,,,,,,0.5,,,,,0.5,,
2023-05-30 09:10:00,,32.0,39.5,38.3,38.9,33.599999999999994,33.8,"[33.4, 33.8]",1.0,38.3,0.5,33.0,24.0,1.0,39.5,0.5,34.0,24.0
2023-05-30 09:15:00,,32.0,39.6,38.4,39.0,33.75,33.9,"[33.6, 33.9]",1.0,38.4,0.5,33.0,24.0,1.0,39.6,0.5,34.0,24.0
2023-05-30 09:20:00,,32.0,39.6,38.6,39.1,33.85,34.0,"[33.7, 34.0]",1.0,38.6,0.5,33.0,24.0,1.0,39.6,0.5,34.0,24.0
2023-05-30 09:25:00,,32.0,39.8,38.6,39.2,33.900000000000006,34.1,"[33.7, 34.1]",1.0,38.6,0.5,33.0,24.0,1.0,39.8,0.5,34.0,24.0
2023-05-30 09:30:00,,32.0,39.9,38.7,39.3,34.0,34.2,"[33.8, 34.2]",1.0,38.7,0.5,33.0,24.0,1.0,39.9,0.5,34.0,24.0
2023-05-30 09:35:00,,32.0,39.9,38.7,39.3,34.05,34.2,"[33.9, 34.2]",1.0,38.7,0.5,33.0,24.0,1.0,39.9,0.5,34.0,24.0
2023-05-30 09:40:00,,32.0,40.0,38.9,39.45,34.05,34.2,"[33.9, 34.2]",1.0,38.9,0.5,33.0,24.0,1.0,40.0,0.5,34.0,24.0
2023-05-30 09:45:00,,32.0,40.1,38.9,39.5,34.05,34.2,"[33.9, 34.2]",1.0,38.9,5.8,33.0,24.0,1.0,40.1,0.8,34.0,24.0
2023-05-30 09:50:00,,31.0,40.1,38.7,39.400000000000006,33.95,34.1,"[33.8, 34.1]",1.0,38.7,6.1,32.0,24.0,1.0,40.1,0.5,34.0,24.0
2023-05-30 09:55:00,,32.0,39.9,38.5,39.2,33.95,34.1,"[33.8, 34.1]",1.0,38.5,0.5,33.0,24.0,1.0,39.9,0.5,34.0,24.0
2023-05-30 10:00:00,,32.0,39.6,38.5,39.05,34.05,34.2,"[33.9, 34.2]",1.0,38.5,0.5,33.0,24.0,1.0,39.6,0.5,34.0,24.0
2023-05-30 10:05:00,,32.0,39.7,38.7,39.2,34.1,34.2,"[34.0, 34.2]",1.0,38.7,0.5,33.0,24.0,1.0,39.7,0.5,34.0,24.0
2023-05-30 10:10:00,,32.0,39.8,38.8,39.3,34.2,34.3,"[34.1, 34.3]",1.0,38.8,0.5,33.0,24.0,1.0,39.8,0.5,34.0,24.0
2023-05-30 10:15:00,,32.0,39.8,38.8,39.3,34.2,34.3,"[34.1, 34.3]",1.0,38.8,0.5,34.0,24.0,1.0,39.8,0.5,34.0,24.0
2023-05-30 10:20:00,,32.0,39.9,39.0,39.45,34.3,34.4,"[34.2, 34.4]",1.0,39.0,0.5,33.0,24.0,1.0,39.9,0.5,34.0,24.0
2023-05-30 10:25:00,,32.0,40.0,39.0,39.5,34.3,34.4,"[34.2, 34.4]",1.0,39.0,0.5,34.0,24.0,1.0,40.0,0.5,34.0,24.0
2023-05-30 10:30:00,,32.0,40.0,39.1,39.55,34.4,34.5,"[34.3, 34.5]",1.0,39.1,0.5,34.0,24.0,1.0,40.0,0.5,34.0,24.0
2023-05-30 10:45:00,,32.0,40.2,39.2,39.7,34.5,34.6,"[34.4, 34.6]",1.0,39.2,0.5,34.0,24.0,1.0,40.2,5.7,34.0,24.0
2023-05-30 10:50:00,,32.0,40.2,39.0,39.6,34.5,34.6,"[34.4, 34.6]",1.0,39.0,0.5,34.0,24.0,1.0,40.2,0.5,34.0,24.0
2023-05-30 10:55:00,,32.0,40.2,39.1,39.650000000000006,34.45,34.6,"[34.3, 34.6]",1.0,39.1,5.8,33.0,24.0,1.0,40.2,0.5,34.0,24.0
2023-05-30 11:00:00,,32.0,40.2,39.0,39.6,34.4,34.5,"[34.3, 34.5]",1.0,39.0,0.5,33.0,24.0,1.0,40.2,0.5,34.0,24.0
2023-05-30 11:05:00,,32.0,40.2,39.0,39.6,34.4,34.5,"[34.3, 34.5]",1.0,39.0,0.5,34.0,24.0,1.0,40.2,0.5,34.0,24.0
2023-05-30 11:10:00,,32.0,40.1,39.0,39.55,34.45,34.5,"[34.4, 34.5]",1.0,39.0,0.5,34.0,24.0,1.0,40.1,0.5,34.0,24.0
2023-05-30 11:15:00,,32.0,40.1,39.1,39.6,34.55,34.6,"[34.5, 34.6]",1.0,39.1,0.5,34.0,24.0,1.0,40.1,0.5,34.0,24.0
2023-05-30 11:20:00,,32.0,40.2,39.1,39.650000000000006,34.6,34.7,"[34.5, 34.7]",1.0,39.1,0.5,34.0,24.0,1.0,40.2,0.5,34.0,24.0
2023-05-30 11:25:00,,32.0,40.3,39.2,39.75,34.650000000000006,34.7,"[34.6, 34.7]",1.0,39.2,0.5,33.0,24.0,1.0,40.3,0.5,35.0,24.0
2023-05-30 11:30:00,,32.0,40.3,39.3,39.8,34.75,34.8,"[34.7, 34.8]",1.0,39.3,0.5,33.0,24.0,1.0,40.3,0.5,35.0,24.0
2023-05-30 11:35:00,,32.0,40.4,39.3,39.85,34.75,34.8,"[34.7, 34.8]",1.0,39.3,0.5,34.0,24.0,1.0,40.4,0.5,35.0,24.0
2023-05-30 11:40:00,,32.0,40.5,39.3,39.9,34.75,34.8,"[34.7, 34.8]",1.0,39.3,0.5,34.0,24.0,1.0,40.5,0.5,35.0,24.0
2023-05-30 11:45:00,,32.0,40.5,39.3,39.9,34.75,34.8,"[34.7, 34.8]",1.0,39.3,0.5,34.0,24.0,1.0,40.5,0.5,35.0,24.0
2023-05-30 11:50:00,,32.0,40.5,39.1,39.8,34.75,34.8,"[34.7, 34.8]",1.0,39.1,0.5,34.0,24.0,1.0,40.5,0.5,35.0,24.0
2023-05-30 11:55:00,,32.0,40.4,39.1,39.75,34.849999999999994,34.9,"[34.8, 34.9]",1.0,39.1,0.5,34.0,24.0,1.0,40.4,0.5,35.0,24.0
2023-05-30 12:00:00,,32.0,40.4,39.3,39.85,34.849999999999994,34.9,"[34.8, 34.9]",1.0,39.3,6.0,33.0,24.0,1.0,40.4,0.5,35.0,24.0
2023-05-30 12:05:00,,32.0,40.4,39.2,39.8,34.7,34.8,"[34.6, 34.8]",1.0,39.2,6.0,33.0,24.0,1.0,40.4,0.5,34.0,24.0
2023-05-30 12:10:00,,32.0,40.3,39.1,39.7,34.55,34.7,"[34.4, 34.7]",1.0,39.1,5.8,33.0,24.0,1.0,40.3,0.5,34.0,24.0
2023-05-30 12:15:00,,32.0,39.9,38.9,39.4,34.5,34.6,"[34.4, 34.6]",1.0,38.9,6.1,32.0,24.0,1.0,39.9,0.5,34.0,24.0
2023-05-30 12:20:00,,31.0,39.9,38.8,39.35,34.5,34.6,"[34.4, 34.6]",1.0,38.8,6.1,32.0,24.0,1.0,39.9,0.5,34.0,24.0
2023-05-30 12:25:00,,31.0,39.7,38.7,39.2,34.4,34.5,"[34.3, 34.5]",1.0,38.7,6.1,32.0,24.0,1.0,39.7,0.5,34.0,24.0
2023-05-30 12:30:00,,32.0,39.5,38.8,39.15,34.4,34.5,"[34.3, 34.5]",1.0,38.8,0.5,33.0,24.0,1.0,39.5,0.5,34.0,24.0
2023-05-30 12:35:00,,32.0,39.6,38.8,39.2,34.5,34.6,"[34.4, 34.6]",1.0,38.8,0.5,33.0,24.0,1.0,39.6,0.5,34.0,24.0
2023-05-30 12:40:00,,32.0,39.6,38.9,39.25,34.6,34.7,"[34.5, 34.7]",1.0,38.9,0.5,33.0,24.0,1.0,39.6,0.5,34.0,24.0
2023-05-30 12:45:00,,32.0,39.7,39.1,39.400000000000006,34.650000000000006,34.7,"[34.6, 34.7]",1.0,39.1,0.5,33.0,24.0,1.0,39.7,0.5,35.0,24.0
2023-05-30 12:50:00,,32.0,40.0,38.9,39.45,34.7,34.7,"[34.7, 34.7]",1.0,38.9,0.5,34.0,24.0,1.0,40.0,0.5,34.0,24.0
2023-05-30 12:55:00,,32.0,40.1,39.1,39.6,34.75,34.8,"[34.7, 34.8]",1.0,39.1,0.5,34.0,24.0,1.0,40.1,0.5,35.0,24.0
2023-05-30 13:00:00,,32.0,40.2,39.1,39.650000000000006,34.8,34.8,"[34.8, 34.8]",1.0,39.1,,34.0,24.0,1.0,40.2,0.5,35.0,24.0
2023-05-30 13:05:00,,32.0,40.3,39.2,39.75,34.849999999999994,34.9,"[34.8, 34.9]",1.0,39.2,0.5,34.0,24.0,1.0,40.3,0.5,35.0,24.0
2023-05-30 13:10:00,,32.0,40.4,39.4,39.9,34.849999999999994,34.9,"[34.8, 34.9]",1.0,39.4,0.5,34.0,24.0,1.0,40.4,0.5,35.0,24.0
2023-05-30 13:15:00,,32.0,40.4,39.4,39.9,34.9,35.0,"[34.8, 35.0]",1.0,39.4,0.5,34.0,24.0,1.0,40.4,0.5,35.0,24.0
2023-05-30 13:20:00,,32.0,40.4,39.4,39.9,34.9,35.0,"[34.8, 35.0]",1.0,39.4,0.5,34.0,24.0,1.0,40.4,0.5,35.0,24.0
2023-05-30 13:25:00,,32.0,40.5,39.5,40.0,35.0,35.1,"[34.9, 35.1]",1.0,39.5,0.5,34.0,24.0,1.0,40.5,0.5,35.0,24.0
