time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,160299_c,160299_h,160299_p,160299_r,160299_s,160300_c,160300_h,160300_p,160300_r,160300_s,160301_c,160301_h,160301_p,160301_r,160301_s
2023-05-30 09:00:00,,,,,,,,,,,10.2,,,,,2.2,,,,,2.1,,
2023-05-30 09:10:00,,18.0,34.5,34.0,34.166666666666664,29.4,29.7,"[29.1, 29.7]",1.0,34.0,10.3,26.0,26.0,1.0,34.0,2.2,26.0,26.0,1.0,34.5,2.1,26.0,26.0
2023-05-30 09:15:00,,18.0,34.3,34.0,34.1,29.65,30.0,"[29.3, 30.0]",1.0,34.0,10.2,26.0,26.0,1.0,34.0,9.4,26.0,26.0,1.0,34.3,2.1,26.0,26.0
2023-05-30 09:20:00,,18.0,34.4,34.0,34.13333333333333,29.4,29.7,"[29.1, 29.7]",1.0,34.0,10.1,26.0,26.0,1.0,34.0,9.4,26.0,26.0,1.0,34.4,2.1,26.0,26.0
2023-05-30 09:25:00,,18.0,34.4,34.0,34.13333333333333,29.700000000000003,30.1,"[29.3, 30.1]",1.0,34.0,10.2,26.0,26.0,1.0,34.0,9.1,26.0,26.0,1.0,34.4,2.0,26.0,26.0
2023-05-30 09:30:00,,18.0,34.5,34.0,34.166666666666664,29.45,29.7,"[29.2, 29.7]",1.0,34.0,10.4,26.0,26.0,1.0,34.0,9.3,26.0,26.0,1.0,34.5,2.1,26.0,26.0
2023-05-30 09:35:00,,18.0,34.3,34.0,34.1,29.35,29.6,"[29.1, 29.6]",1.0,34.0,10.2,26.0,26.0,1.0,34.0,2.3,26.0,26.0,1.0,34.3,2.0,26.0,26.0
2023-05-30 09:40:00,,18.0,34.4,33.9,34.06666666666666,29.700000000000003,30.1,"[29.3, 30.1]",1.0,33.9,10.4,26.0,26.0,1.0,33.9,2.1,26.0,26.0,1.0,34.4,2.1,26.0,26.0
2023-05-30 09:45:00,,18.0,34.3,33.9,34.03333333333333,29.4,29.7,"[29.1, 29.7]",1.0,33.9,10.4,26.0,26.0,1.0,33.9,9.8,26.0,26.0,1.0,34.3,2.0,26.0,26.0
2023-05-30 09:50:00,,18.0,34.4,33.9,34.06666666666666,29.35,29.6,"[29.1, 29.6]",1.0,33.9,10.1,26.0,26.0,1.0,33.9,9.2,26.0,26.0,1.0,34.4,2.1,26.0,26.0
2023-05-30 09:55:00,,18.0,34.4,33.8,34.0,29.5,29.9,"[29.1, 29.9]",1.0,33.8,10.1,26.0,26.0,1.0,33.8,2.1,26.0,26.0,1.0,34.4,2.1,26.0,26.0
2023-05-30 10:00:00,,18.0,34.5,33.9,34.1,29.75,30.2,"[29.3, 30.2]",1.0,33.9,10.4,26.0,26.0,1.0,33.9,9.4,26.0,26.0,1.0,34.5,2.1,26.0,26.0
2023-05-30 10:05:00,,18.0,34.5,33.9,34.1,29.5,29.8,"[29.2, 29.8]",1.0,33.9,10.8,26.0,26.0,1.0,33.9,9.2,26.0,26.0,1.0,34.5,2.1,26.0,26.0
2023-05-30 10:10:00,,18.0,34.5,33.9,34.1,29.35,29.6,"[29.1, 29.6]",1.0,33.9,10.5,26.0,26.0,1.0,33.9,9.6,26.0,26.0,1.0,34.5,2.1,26.0,26.0
2023-05-30 10:15:00,,18.0,34.5,33.9,34.1,29.75,30.2,"[29.3, 30.2]",1.0,33.9,10.5,26.0,26.0,1.0,33.9,2.2,26.0,26.0,1.0,34.5,2.1,26.0,26.0
2023-05-30 10:20:00,,18.0,34.5,33.9,34.1,29.700000000000003,30.1,"[29.3, 30.1]",1.0,33.9,10.3,26.0,26.0,1.0,33.9,9.8,26.0,26.0,1.0,34.5,2.1,26.0,26.0
