time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3794416_c,3794416_h,3794416_p,3794416_r,3794416_s,3794417_c,3794417_h,3794417_p,3794417_r,3794417_s
2023-05-30 09:00:00,,,,,,,,,,,0.06,,,,,3.54,,
2023-05-30 09:10:00,,16.6,33.3,32.3,32.8,28.85,29.0,"[29.0, 28.7]",1.0,33.3,0.06,29.4,27.0,1.0,32.3,3.54,27.8,27.0
2023-05-30 09:15:00,,16.6,34.2,32.4,33.3,29.0,29.3,"[29.3, 28.7]",1.0,34.2,0.06,29.5,27.0,1.0,32.4,3.54,27.7,27.0
2023-05-30 09:20:00,,16.6,34.2,32.4,33.3,28.8,28.9,"[28.9, 28.7]",1.0,34.2,3.48,27.7,27.0,1.0,32.4,0.0,27.2,27.0
2023-05-30 09:25:00,,16.6,34.2,32.3,33.25,28.65,28.7,"[28.6, 28.7]",1.0,34.2,3.48,27.6,27.0,1.0,32.3,0.06,28.6,27.0
2023-05-30 09:30:00,,16.61,33.8,32.1,32.95,28.7,28.9,"[28.5, 28.9]",1.0,33.8,3.48,27.7,27.0,1.0,32.1,0.06,29.6,27.0
2023-05-30 09:35:00,,16.61,33.4,32.2,32.8,28.6,28.8,"[28.4, 28.8]",1.0,33.4,0.0,27.3,27.0,1.0,32.2,3.6,27.8,27.0
2023-05-30 09:40:00,,16.6,33.2,32.2,32.7,28.8,28.8,"[28.8, 28.8]",1.0,33.2,0.06,28.2,27.0,1.0,32.2,3.54,27.6,27.0
2023-05-30 09:45:00,,16.6,33.3,32.2,32.75,28.85,29.0,"[29.0, 28.7]",1.0,33.3,0.06,29.1,27.0,1.0,32.2,3.54,27.7,27.0
2023-05-30 09:50:00,,16.6,33.5,32.3,32.9,29.0,29.3,"[29.3, 28.7]",1.0,33.5,0.06,29.5,27.0,1.0,32.3,3.54,27.7,27.0
