time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,278509_c,278509_h,278509_p,278509_r,278509_s,3796312_c,3796312_h,3796312_p,3796312_r,3796312_s
2023-05-30 09:00:00,,,,,,,,,,,4.5,,,,,4.02,,
2023-05-30 09:05:00,,14.0,28.5,28.5,28.5,25.5,25.5,[25.5],1.0,28.5,4.5,26.0,26.0,1.0,28.5,4.02,26.0,26.0
2023-05-30 09:10:00,,14.0,28.3,28.3,28.3,25.5,25.5,[25.5],1.0,28.3,4.5,27.0,27.0,1.0,28.3,4.02,26.0,26.0
2023-05-30 09:15:00,,14.0,28.3,28.3,28.3,26.7,26.7,[26.7],1.0,28.3,0.84,29.0,27.0,1.0,28.3,0.36,28.0,27.0
2023-05-30 09:20:00,,14.0,29.2,29.2,29.2,26.8,26.8,[26.8],1.0,29.2,4.44,29.0,27.0,1.0,29.2,0.39,28.0,27.0
2023-05-30 09:25:00,,14.0,29.9,29.9,29.9,26.8,26.8,[26.8],1.0,29.9,4.44,29.0,27.0,1.0,29.9,0.39,29.0,27.0
2023-05-30 09:30:00,,14.0,29.9,29.9,29.9,26.9,26.9,[26.9],1.0,29.9,4.47,29.0,27.0,1.0,29.9,0.39,29.0,27.0
2023-05-30 09:35:00,,14.0,30.2,30.2,30.2,27.0,27.0,[27.0],1.0,30.2,4.5,29.0,28.0,1.0,30.2,0.39,29.0,28.0
2023-05-30 09:40:00,,14.0,30.6,30.6,30.6,27.1,27.1,[27.1],1.0,30.6,4.5,29.0,28.0,1.0,30.6,0.39,29.0,28.0
2023-05-30 09:45:00,,14.0,30.6,30.6,30.6,27.3,27.3,[27.3],1.0,30.6,4.47,29.0,28.0,1.0,30.6,0.39,29.0,28.0
2023-05-30 09:50:00,,14.0,30.7,30.7,30.7,27.3,27.3,[27.3],1.0,30.7,4.47,30.0,28.0,1.0,30.7,0.39,29.0,28.0
2023-05-30 09:55:00,,15.0,30.7,30.7,30.7,27.4,27.4,[27.4],1.0,30.7,4.5,30.0,28.0,1.0,30.7,0.39,29.0,28.0
2023-05-30 10:00:00,,15.0,30.9,30.9,30.9,27.4,27.4,[27.4],1.0,30.9,4.56,29.0,26.0,1.0,30.9,0.39,29.0,28.0
2023-05-30 10:05:00,,15.0,30.6,30.6,30.6,27.1,27.1,[27.1],1.0,30.6,4.65,28.0,26.0,1.0,30.6,4.11,28.0,26.0
2023-05-30 10:10:00,,15.0,30.6,30.6,30.6,26.8,26.8,[26.8],1.0,30.6,4.62,28.0,26.0,1.0,30.6,4.14,28.0,26.0
2023-05-30 10:15:00,,15.0,29.9,29.9,29.9,26.6,26.6,[26.6],1.0,29.9,4.62,28.0,26.0,1.0,29.9,4.14,28.0,26.0
2023-05-30 10:20:00,,15.0,29.9,29.9,29.9,26.4,26.4,[26.4],1.0,29.9,4.59,27.0,26.0,1.0,29.9,4.11,28.0,26.0
2023-05-30 10:25:00,,15.0,29.5,29.5,29.5,26.4,26.4,[26.4],1.0,29.5,4.59,27.0,26.0,1.0,29.5,4.11,28.0,26.0
2023-05-30 10:30:00,,15.0,29.5,29.5,29.5,26.3,26.3,[26.3],1.0,29.5,,27.0,26.0,1.0,29.5,,27.0,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,15.0,29.4,29.4,29.4,26.1,26.1,[26.1],1.0,29.4,4.62,27.0,26.0,1.0,29.4,4.17,27.0,26.0
2023-05-30 10:45:00,,15.0,29.1,29.1,29.1,26.1,26.1,[26.1],1.0,29.1,4.62,27.0,26.0,1.0,29.1,4.14,27.0,26.0
2023-05-30 10:50:00,,15.0,29.1,29.1,29.1,26.1,26.1,[26.1],1.0,29.1,4.68,27.0,26.0,1.0,29.1,4.2,27.0,26.0
2023-05-30 10:55:00,,15.0,29.1,29.1,29.1,26.1,26.1,[26.1],1.0,29.1,4.68,27.0,26.0,1.0,29.1,4.23,27.0,26.0
2023-05-30 11:00:00,,15.0,28.9,28.9,28.9,26.0,26.0,[26.0],1.0,28.9,4.65,27.0,26.0,1.0,28.9,4.2,27.0,26.0
2023-05-30 11:05:00,,15.0,28.9,28.9,28.9,26.0,26.0,[26.0],1.0,28.9,4.68,27.0,26.0,1.0,28.9,4.2,27.0,26.0
2023-05-30 11:10:00,,15.0,29.0,29.0,29.0,26.0,26.0,[26.0],1.0,29.0,4.62,27.0,26.0,1.0,29.0,4.14,27.0,26.0
2023-05-30 11:15:00,,15.0,28.8,28.8,28.8,25.9,25.9,[25.9],1.0,28.8,4.59,27.0,26.0,1.0,28.8,4.11,27.0,26.0
2023-05-30 11:20:00,,15.0,28.8,28.8,28.8,26.0,26.0,[26.0],1.0,28.8,4.59,27.0,26.0,1.0,28.8,4.14,27.0,26.0
2023-05-30 11:25:00,,15.0,28.7,28.7,28.7,25.9,25.9,[25.9],1.0,28.7,4.65,27.0,26.0,1.0,28.7,4.2,27.0,26.0
2023-05-30 11:30:00,,15.0,28.7,28.7,28.7,25.9,25.9,[25.9],1.0,28.7,4.65,27.0,26.0,1.0,28.7,4.17,27.0,26.0
2023-05-30 11:35:00,,15.0,28.7,28.7,28.7,25.9,25.9,[25.9],1.0,28.7,4.65,27.0,26.0,1.0,28.7,4.17,27.0,26.0
2023-05-30 11:40:00,,15.0,28.7,28.7,28.7,25.9,25.9,[25.9],1.0,28.7,4.74,27.0,26.0,1.0,28.7,4.26,27.0,26.0
2023-05-30 11:45:00,,15.0,28.8,28.8,28.8,25.9,25.9,[25.9],1.0,28.8,4.68,27.0,26.0,1.0,28.8,4.2,27.0,26.0
2023-05-30 11:50:00,,15.0,28.7,28.7,28.7,25.8,25.8,[25.8],1.0,28.7,4.68,27.0,26.0,1.0,28.7,4.17,27.0,26.0
2023-05-30 11:55:00,,15.0,28.7,28.7,28.7,25.8,25.8,[25.8],1.0,28.7,4.71,27.0,26.0,1.0,28.7,4.26,27.0,26.0
2023-05-30 12:00:00,,15.0,28.7,28.7,28.7,25.9,25.9,[25.9],1.0,28.7,4.71,27.0,26.0,1.0,28.7,4.23,27.0,26.0
2023-05-30 12:05:00,,15.0,28.7,28.7,28.7,26.2,26.2,[26.2],1.0,28.7,4.68,28.0,27.0,1.0,28.7,4.23,27.0,26.0
2023-05-30 12:10:00,,15.0,29.6,29.6,29.6,27.0,27.0,[27.0],1.0,29.6,4.53,29.0,27.0,1.0,29.6,0.39,29.0,27.0
2023-05-30 12:15:00,,15.0,29.6,29.6,29.6,27.1,27.1,[27.1],1.0,29.6,4.71,29.0,27.0,1.0,29.6,0.39,29.0,27.0
2023-05-30 12:20:00,,15.0,29.9,29.9,29.9,27.1,27.1,[27.1],1.0,29.9,4.74,28.0,27.0,1.0,29.9,4.23,29.0,27.0
2023-05-30 12:25:00,,15.0,30.1,30.1,30.1,26.8,26.8,[26.8],1.0,30.1,4.8,28.0,27.0,1.0,30.1,4.32,28.0,27.0
2023-05-30 12:30:00,,15.0,29.9,29.9,29.9,26.7,26.7,[26.7],1.0,29.9,4.8,28.0,27.0,1.0,29.9,4.35,28.0,27.0
2023-05-30 12:35:00,,15.0,29.8,29.8,29.8,26.8,26.8,[26.8],1.0,29.8,0.9,29.0,28.0,1.0,29.8,0.39,28.0,27.0
2023-05-30 12:40:00,,15.0,29.8,29.8,29.8,27.7,27.7,[27.7],1.0,29.8,0.9,30.0,28.0,1.0,29.8,0.39,30.0,28.0
2023-05-30 12:45:00,,15.0,30.6,30.6,30.6,27.7,27.7,[27.7],1.0,30.6,4.71,30.0,28.0,1.0,30.6,0.42,30.0,28.0
2023-05-30 12:50:00,,15.0,30.9,30.9,30.9,27.7,27.7,[27.7],1.0,30.9,4.68,29.0,26.0,1.0,30.9,0.42,30.0,26.0
2023-05-30 12:55:00,,15.0,30.9,30.9,30.9,27.4,27.4,[27.4],1.0,30.9,4.77,28.0,26.0,1.0,30.9,4.29,29.0,26.0
2023-05-30 13:00:00,,15.0,30.6,30.6,30.6,27.1,27.1,[27.1],1.0,30.6,4.71,28.0,26.0,1.0,30.6,4.23,28.0,25.0
2023-05-30 13:05:00,,15.0,30.4,30.4,30.4,27.0,27.0,[27.0],1.0,30.4,,28.0,25.0,1.0,30.4,,28.0,25.0
2023-05-30 13:10:00,,15.0,30.1,30.1,30.1,26.9,26.9,[26.9],1.0,30.1,4.77,28.0,25.0,1.0,30.1,4.29,28.0,25.0
2023-05-30 13:15:00,,15.0,29.8,29.8,29.8,26.8,26.8,[26.8],1.0,29.8,4.71,28.0,25.0,1.0,29.8,4.26,28.0,25.0
2023-05-30 13:20:00,,15.0,29.8,29.8,29.8,26.8,26.8,[26.8],1.0,29.8,4.71,28.0,25.0,1.0,29.8,4.23,28.0,25.0
2023-05-30 13:25:00,,15.0,29.6,29.6,29.6,26.7,26.7,[26.7],1.0,29.6,4.83,28.0,25.0,1.0,29.6,4.44,28.0,25.0
2023-05-30 13:30:00,,15.0,29.5,29.5,29.5,26.7,26.7,[26.7],1.0,29.5,4.83,28.0,25.0,1.0,29.5,4.38,28.0,25.0
2023-05-30 13:35:00,,15.0,29.6,29.6,29.6,26.7,26.7,[26.7],1.0,29.6,4.86,28.0,25.0,1.0,29.6,4.44,28.0,25.0
2023-05-30 13:40:00,,15.0,29.4,29.4,29.4,26.7,26.7,[26.7],1.0,29.4,4.77,28.0,25.0,1.0,29.4,4.35,28.0,25.0
2023-05-30 13:45:00,,15.0,29.5,29.5,29.5,26.6,26.6,[26.6],1.0,29.5,4.77,28.0,25.0,1.0,29.5,4.35,28.0,25.0
2023-05-30 13:50:00,,15.0,29.4,29.4,29.4,26.6,26.6,[26.6],1.0,29.4,4.8,27.0,25.0,1.0,29.4,4.35,28.0,25.0
2023-05-30 13:55:00,,15.0,29.4,29.4,29.4,26.6,26.6,[26.6],1.0,29.4,4.83,28.0,25.0,1.0,29.4,4.41,27.0,25.0
2023-05-30 14:00:00,,15.0,29.3,29.3,29.3,26.6,26.6,[26.6],1.0,29.3,4.83,28.0,25.0,1.0,29.3,4.38,28.0,25.0
2023-05-30 14:05:00,,15.0,29.3,29.3,29.3,26.6,26.6,[26.6],1.0,29.3,,28.0,25.0,1.0,29.3,,28.0,25.0
2023-05-30 14:10:00,,15.0,29.3,29.3,29.3,26.6,26.6,[26.6],1.0,29.3,4.83,28.0,25.0,1.0,29.3,4.38,28.0,25.0
2023-05-30 14:15:00,,15.0,29.3,29.3,29.3,26.6,26.6,[26.6],1.0,29.3,4.8,27.0,25.0,1.0,29.3,4.35,28.0,25.0
2023-05-30 14:20:00,,15.0,29.2,29.2,29.2,26.6,26.6,[26.6],1.0,29.2,4.89,28.0,25.0,1.0,29.2,4.44,28.0,25.0
2023-05-30 14:25:00,,15.0,29.4,29.4,29.4,26.6,26.6,[26.6],1.0,29.4,4.89,27.0,25.0,1.0,29.4,4.44,28.0,25.0
2023-05-30 14:30:00,,15.0,29.3,29.3,29.3,26.6,26.6,[26.6],1.0,29.3,4.86,27.0,25.0,1.0,29.3,4.44,28.0,25.0
2023-05-30 14:35:00,,15.0,29.4,29.4,29.4,26.6,26.6,[26.6],1.0,29.4,4.86,27.0,25.0,1.0,29.4,4.44,28.0,25.0
2023-05-30 14:40:00,,15.0,29.4,29.4,29.4,26.6,26.6,[26.6],1.0,29.4,4.8,28.0,25.0,1.0,29.4,4.38,28.0,25.0
2023-05-30 14:45:00,,15.0,29.3,29.3,29.3,26.5,26.5,[26.5],1.0,29.3,4.83,27.0,25.0,1.0,29.3,4.41,28.0,25.0
2023-05-30 14:50:00,,15.0,29.3,29.3,29.3,26.5,26.5,[26.5],1.0,29.3,4.8,27.0,25.0,1.0,29.3,4.35,28.0,25.0
2023-05-30 14:55:00,,15.0,29.3,29.3,29.3,26.5,26.5,[26.5],1.0,29.3,4.86,27.0,25.0,1.0,29.3,4.38,28.0,25.0
2023-05-30 15:00:00,,15.0,29.3,29.3,29.3,26.5,26.5,[26.5],1.0,29.3,4.83,28.0,25.0,1.0,29.3,4.38,28.0,25.0
2023-05-30 15:05:00,,15.0,29.4,29.4,29.4,26.6,26.6,[26.6],1.0,29.4,4.95,28.0,26.0,1.0,29.4,4.5,28.0,26.0
2023-05-30 15:10:00,,15.0,29.4,29.4,29.4,26.6,26.6,[26.6],1.0,29.4,4.92,27.0,26.0,1.0,29.4,4.44,28.0,26.0
2023-05-30 15:15:00,,15.0,29.3,29.3,29.3,26.6,26.6,[26.6],1.0,29.3,4.89,27.0,26.0,1.0,29.3,4.47,28.0,26.0
2023-05-30 15:20:00,,15.0,29.3,29.3,29.3,26.6,26.6,[26.6],1.0,29.3,4.95,28.0,26.0,1.0,29.3,4.5,28.0,26.0
2023-05-30 15:25:00,,15.0,29.3,29.3,29.3,26.6,26.6,[26.6],1.0,29.3,4.86,27.0,26.0,1.0,29.3,4.44,28.0,26.0
2023-05-30 15:30:00,,15.0,29.4,29.4,29.4,26.6,26.6,[26.6],1.0,29.4,4.86,28.0,26.0,1.0,29.4,4.38,28.0,26.0
2023-05-30 15:35:00,,15.0,29.4,29.4,29.4,26.5,26.5,[26.5],1.0,29.4,4.86,27.0,27.0,1.0,29.4,4.38,28.0,26.0
2023-05-30 15:40:00,,15.0,29.2,29.2,29.2,26.6,26.6,[26.6],1.0,29.2,4.86,28.0,27.0,1.0,29.2,4.41,28.0,27.0
2023-05-30 15:45:00,,15.0,29.3,29.3,29.3,26.6,26.6,[26.6],1.0,29.3,4.86,28.0,27.0,1.0,29.3,4.41,28.0,27.0
2023-05-30 15:50:00,,15.0,29.3,29.3,29.3,26.5,26.5,[26.5],1.0,29.3,4.89,27.0,27.0,1.0,29.3,4.44,27.0,27.0
2023-05-30 15:55:00,,15.0,29.2,29.2,29.2,26.5,26.5,[26.5],1.0,29.2,4.89,27.0,27.0,1.0,29.2,4.41,28.0,27.0
2023-05-30 16:00:00,,15.0,29.3,29.3,29.3,26.6,26.6,[26.6],1.0,29.3,4.83,27.0,27.0,1.0,29.3,4.38,28.0,27.0
2023-05-30 16:05:00,,15.0,29.3,29.3,29.3,26.6,26.6,[26.6],1.0,29.3,,27.0,27.0,1.0,29.3,,28.0,27.0
2023-05-30 16:10:00,,15.0,29.4,29.4,29.4,26.7,26.7,[26.7],1.0,29.4,4.83,28.0,28.0,1.0,29.4,4.35,28.0,27.0
