time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,158349_c,158349_h,158349_p,158349_r,158349_s,158350_c,158350_h,158350_p,158350_r,158350_s,3120161_c,3120161_h,3120161_p,3120161_r,3120161_s
2023-05-30 09:00:00,,,,,,,,,,,8.82,,,,,8.22,,,,,6.8,,
2023-05-30 09:10:00,,39.81,32.0,28.5,30.83333333333333,26.1,26.1,"[26.1, 26.1]",1.0,32.0,8.85,26.2,26.0,1.0,28.5,8.28,27.5,26.0,1.0,32.0,6.7,26.3,26.0
2023-05-30 09:15:00,,40.12,32.0,28.5,30.83333333333333,26.1,26.1,"[26.1, 26.1]",1.0,32.0,8.79,26.2,26.0,1.0,28.5,8.49,27.5,26.0,1.0,32.0,6.8,26.3,26.0
2023-05-30 09:20:00,,40.14,32.0,28.6,30.866666666666664,26.1,26.1,"[26.1, 26.1]",1.0,32.0,8.85,26.1,26.0,1.0,28.6,8.13,27.3,26.0,1.0,32.0,6.7,26.3,26.0
2023-05-30 09:25:00,,39.97,32.0,28.6,30.866666666666664,26.1,26.1,"[26.1, 26.1]",1.0,32.0,8.85,26.2,26.0,1.0,28.6,8.43,27.4,26.0,1.0,32.0,6.7,26.3,26.0
2023-05-30 09:30:00,,39.98,32.0,28.6,30.866666666666664,26.1,26.1,"[26.1, 26.1]",1.0,32.0,8.88,26.1,26.0,1.0,28.6,8.64,27.4,26.0,1.0,32.0,6.7,26.2,26.0
2023-05-30 09:35:00,,40.27,31.9,28.5,30.766666666666666,26.15,26.2,"[26.1, 26.2]",1.0,31.9,3.24,26.8,26.0,1.0,28.5,8.19,27.7,26.0,1.0,31.9,6.9,26.6,26.0
2023-05-30 09:40:00,,39.94,32.0,28.5,30.83333333333333,26.05,26.2,"[25.9, 26.2]",1.0,32.0,8.76,26.4,26.0,1.0,28.5,13.11,27.0,26.0,1.0,32.0,6.7,26.3,26.0
2023-05-30 09:45:00,,40.06,32.0,28.5,30.83333333333333,26.0,26.2,"[25.8, 26.2]",1.0,32.0,8.76,26.2,26.0,1.0,28.5,8.37,27.3,26.0,1.0,32.0,8.0,26.1,26.0
2023-05-30 09:50:00,,40.28,32.0,28.4,30.8,26.05,26.2,"[25.9, 26.2]",1.0,32.0,3.24,27.0,26.0,1.0,28.4,8.22,27.9,26.0,1.0,32.0,7.0,26.6,26.0
2023-05-30 09:55:00,,39.96,31.9,28.4,30.73333333333333,26.05,26.3,"[25.8, 26.3]",1.0,31.9,8.94,26.4,26.0,1.0,28.4,13.47,26.9,26.0,1.0,31.9,6.9,26.3,26.0
2023-05-30 10:00:00,,39.94,32.0,28.4,30.8,25.950000000000003,26.3,"[25.6, 26.3]",1.0,32.0,8.88,26.2,26.0,1.0,28.4,8.19,27.4,26.0,1.0,32.0,6.9,26.2,26.0
2023-05-30 10:05:00,,40.06,32.0,28.3,30.766666666666666,26.1,26.3,"[25.9, 26.3]",1.0,32.0,9.03,26.3,26.0,1.0,28.3,8.46,27.4,26.0,1.0,32.0,7.0,26.2,26.0
2023-05-30 10:10:00,,40.37,32.0,28.4,30.8,26.15,26.3,"[26.0, 26.3]",1.0,32.0,9.03,26.3,26.0,1.0,28.4,8.61,27.4,26.0,1.0,32.0,7.0,26.3,26.0
2023-05-30 10:15:00,,39.92,32.0,28.4,30.8,26.200000000000003,26.3,"[26.1, 26.3]",1.0,32.0,8.97,26.2,26.0,1.0,28.4,8.64,27.5,26.0,1.0,32.0,6.9,26.3,26.0
2023-05-30 10:20:00,,40.11,32.0,28.4,30.8,26.25,26.3,"[26.2, 26.3]",1.0,32.0,9.03,26.2,26.0,1.0,28.4,8.73,27.4,26.0,1.0,32.0,7.0,26.3,26.0
2023-05-30 10:25:00,,31.32,31.9,28.4,30.73333333333333,26.4,26.4,"[nan, 26.4]",1.0,31.9,9.03,26.1,26.0,1.0,28.4,8.73,27.3,26.0,1.0,31.9,7.0,26.3,26.0
2023-05-30 10:30:00,,40.47,31.9,28.4,30.73333333333333,26.35,26.4,"[26.3, 26.4]",1.0,31.9,8.97,26.6,26.0,1.0,28.4,13.08,27.9,26.0,1.0,31.9,7.0,26.6,26.0
2023-05-30 10:45:00,,40.21,32.0,28.4,30.8,26.2,26.4,"[26.0, 26.4]",1.0,32.0,9.09,26.2,26.0,1.0,28.4,8.64,27.3,26.0,1.0,32.0,9.9,26.3,26.0
2023-05-30 10:50:00,,39.85,31.9,28.4,30.73333333333333,26.25,26.3,"[26.2, 26.3]",1.0,31.9,9.03,26.7,26.0,1.0,28.4,8.73,27.7,26.0,1.0,31.9,7.0,26.3,26.0
2023-05-30 10:55:00,,40.07,31.9,28.4,30.73333333333333,26.35,26.4,"[26.3, 26.4]",1.0,31.9,8.94,26.4,26.0,1.0,28.4,13.62,27.6,26.0,1.0,31.9,7.0,26.5,26.0
2023-05-30 11:00:00,,39.82,31.9,28.4,30.73333333333333,26.15,26.5,"[25.8, 26.5]",1.0,31.9,9.12,26.3,26.0,1.0,28.4,8.67,26.9,26.0,1.0,31.9,7.0,26.2,26.0
2023-05-30 11:05:00,,39.96,32.0,28.3,30.766666666666666,26.25,26.5,"[26.0, 26.5]",1.0,32.0,9.06,26.2,26.0,1.0,28.3,8.25,27.4,26.0,1.0,32.0,7.0,26.3,26.0
2023-05-30 11:10:00,,39.89,32.0,28.3,30.766666666666666,26.35,26.5,"[26.2, 26.5]",1.0,32.0,9.0,26.2,26.0,1.0,28.3,8.67,27.4,26.0,1.0,32.0,7.0,26.3,26.0
2023-05-30 11:15:00,,39.96,32.0,28.3,30.766666666666666,26.4,26.5,"[26.3, 26.5]",1.0,32.0,9.03,26.2,26.0,1.0,28.3,8.58,27.4,26.0,1.0,32.0,7.0,26.2,26.0
2023-05-30 11:20:00,,40.05,32.0,28.3,30.766666666666666,26.4,26.5,"[26.3, 26.5]",1.0,32.0,9.0,26.2,26.0,1.0,28.3,8.49,27.5,26.0,1.0,32.0,6.9,26.3,26.0
2023-05-30 11:25:00,,40.18,32.0,28.4,30.8,26.4,26.5,"[26.3, 26.5]",1.0,32.0,9.18,26.1,26.0,1.0,28.4,8.73,27.3,26.0,1.0,32.0,7.2,26.3,26.0
2023-05-30 11:30:00,,39.74,31.9,28.4,30.73333333333333,26.45,26.5,"[26.4, 26.5]",1.0,31.9,9.09,26.2,26.0,1.0,28.4,8.52,27.4,26.0,1.0,31.9,7.0,26.3,26.0
2023-05-30 11:35:00,,40.04,31.9,28.4,30.73333333333333,26.45,26.5,"[26.4, 26.5]",1.0,31.9,3.33,26.3,26.0,1.0,28.4,8.82,27.5,26.0,1.0,31.9,7.1,26.3,26.0
2023-05-30 11:40:00,,39.83,32.0,28.4,30.8,26.45,26.5,"[26.4, 26.5]",1.0,32.0,3.27,26.9,26.0,1.0,28.4,8.4,28.2,26.0,1.0,32.0,7.6,26.6,26.0
2023-05-30 11:45:00,,40.33,32.0,28.5,30.83333333333333,26.25,26.6,"[25.9, 26.6]",1.0,32.0,9.09,26.4,26.0,1.0,28.5,14.19,26.9,26.0,1.0,32.0,7.0,26.4,26.0
2023-05-30 11:50:00,,40.11,32.1,28.4,30.866666666666664,26.25,26.5,"[26.0, 26.5]",1.0,32.1,9.12,26.1,26.0,1.0,28.4,8.7,27.5,26.0,1.0,32.1,10.0,26.3,26.0
2023-05-30 11:55:00,,39.94,32.0,28.4,30.8,26.4,26.5,"[26.3, 26.5]",1.0,32.0,9.09,26.2,26.0,1.0,28.4,8.61,27.4,26.0,1.0,32.0,7.0,26.2,26.0
2023-05-30 12:00:00,,39.84,31.9,28.4,30.73333333333333,26.4,26.5,"[26.3, 26.5]",1.0,31.9,9.09,26.2,26.0,1.0,28.4,8.82,27.6,26.0,1.0,31.9,7.0,26.3,26.0
2023-05-30 12:05:00,,40.05,31.9,28.4,30.73333333333333,26.45,26.5,"[26.4, 26.5]",1.0,31.9,9.18,26.3,26.0,1.0,28.4,8.4,27.5,26.0,1.0,31.9,7.1,26.3,26.0
2023-05-30 12:10:00,,39.72,32.0,28.5,30.83333333333333,26.5,26.6,"[26.4, 26.6]",1.0,32.0,9.15,26.2,26.0,1.0,28.5,8.7,27.4,26.0,1.0,32.0,7.0,26.4,26.0
2023-05-30 12:15:00,,40.19,32.0,28.5,30.83333333333333,26.5,26.6,"[26.4, 26.6]",1.0,32.0,9.03,26.2,26.0,1.0,28.5,8.22,27.3,26.0,1.0,32.0,7.1,26.3,26.0
