time,outdoor_t,room_total_power,env_avg,env_h,env_list,3822442_c,3822442_p,3822442_r,3822442_s,3822443_c,3822443_p,3822443_r,3822443_s
2023-05-30 09:00:00,,,,,,,0.0,,,,1.98,,
2023-05-30 09:10:00,,,25.5,25.5,"[25.5, nan, nan]",0.0,0.0,25.3,22.0,1.0,0.96,25.1,26.0
2023-05-30 09:15:00,,,25.1,25.1,"[25.1, nan, nan]",0.0,0.0,25.0,22.0,1.0,0.96,24.9,26.0
2023-05-30 09:20:00,,,24.9,24.9,"[24.9, nan, nan]",0.0,0.0,24.9,22.0,1.0,0.96,24.7,26.0
2023-05-30 09:25:00,,,24.8,24.8,"[24.8, nan, nan]",0.0,0.0,24.8,22.0,1.0,0.96,24.7,26.0
2023-05-30 09:30:00,,,24.7,24.7,"[24.7, nan, nan]",0.0,0.0,24.7,22.0,1.0,0.96,24.5,26.0
2023-05-30 09:35:00,,,24.5,24.5,"[24.5, nan, nan]",0.0,0.0,24.7,22.0,1.0,0.96,24.4,27.0
2023-05-30 09:40:00,,,25.0,25.0,"[25.0, nan, nan]",0.0,0.0,24.6,22.0,1.0,2.01,24.5,27.0
2023-05-30 09:45:00,,,25.4,25.4,"[25.4, nan, nan]",0.0,0.0,25.0,22.0,1.0,1.98,24.9,27.0
2023-05-30 09:50:00,,,24.8,24.8,"[24.8, nan, nan]",0.0,0.0,24.8,22.0,1.0,0.96,24.5,27.0
2023-05-30 09:55:00,,,24.6,24.6,"[24.6, nan, nan]",0.0,0.0,24.6,22.0,1.0,0.93,24.5,27.0
2023-05-30 10:00:00,,,24.5,24.5,"[24.5, nan, nan]",0.0,0.0,24.5,22.0,1.0,0.93,24.4,27.0
2023-05-30 10:05:00,,,24.9,24.9,"[24.9, nan, nan]",0.0,0.0,24.6,22.0,1.0,2.01,24.5,28.0
2023-05-30 10:10:00,,,25.3,25.3,"[25.3, nan, nan]",0.0,0.0,24.8,22.0,1.0,1.98,24.9,28.0
2023-05-30 10:15:00,,,25.6,25.6,"[25.6, nan, nan]",0.0,0.0,25.1,22.0,1.0,1.98,25.0,28.0
