time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,46061_c,46061_h,46061_r,46061_s,46068_c,46068_h,46068_r,46068_s,46071_c,46071_h,46071_r,46071_s,583987_c,583987_h,583987_r,583987_s,583988_c,583988_h,583988_r,583988_s
2023-05-30 09:05:00,,100.0,23.5,21.7,22.92,24.6,24.6,[24.6],1.0,23.5,25.0,19.0,1.0,23.1,26.0,20.0,1.0,23.4,25.0,21.0,1.0,22.9,25.0,21.0,1.0,21.7,27.0,20.0
2023-05-30 09:10:00,,100.0,23.8,21.7,23.06,24.6,24.6,[24.6],1.0,23.8,25.0,19.0,1.0,23.1,26.0,20.0,1.0,23.8,26.0,21.0,1.0,22.9,26.0,21.0,1.0,21.7,26.0,20.0
2023-05-30 09:15:00,,99.0,23.9,21.9,23.12,24.7,24.7,[24.7],1.0,23.9,26.0,19.0,1.0,23.0,27.0,20.0,1.0,23.9,25.0,21.0,1.0,22.9,25.0,21.0,1.0,21.9,26.0,20.0
2023-05-30 09:20:00,,101.0,23.8,21.9,23.0,24.6,24.6,[24.6],1.0,23.8,26.0,19.0,1.0,23.1,27.0,20.0,1.0,23.3,25.0,21.0,1.0,22.9,25.0,21.0,1.0,21.9,26.0,20.0
2023-05-30 09:25:00,,100.0,23.5,21.7,22.88,24.6,24.6,[24.6],1.0,23.5,25.0,19.0,1.0,23.0,27.0,20.0,1.0,23.3,26.0,21.0,1.0,22.9,26.0,21.0,1.0,21.7,26.0,20.0
2023-05-30 09:30:00,,100.0,23.8,21.7,23.04,24.6,24.6,[24.6],1.0,23.8,25.0,19.0,1.0,23.0,27.0,20.0,1.0,23.8,25.0,21.0,1.0,22.9,25.0,21.0,1.0,21.7,26.0,20.0
2023-05-30 09:35:00,,101.0,23.4,21.7,22.86,24.6,24.6,[24.6],1.0,23.4,26.0,19.0,1.0,23.0,27.0,20.0,1.0,23.3,26.0,21.0,1.0,22.9,26.0,21.0,1.0,21.7,26.0,20.0
2023-05-30 09:40:00,,101.0,23.9,21.9,23.14,24.6,24.6,[24.6],1.0,23.9,26.0,19.0,1.0,23.0,27.0,20.0,1.0,23.9,25.0,21.0,1.0,23.0,25.0,21.0,1.0,21.9,26.0,20.0
2023-05-30 09:45:00,,101.0,23.9,21.9,23.14,24.5,24.5,[24.5],1.0,23.9,25.0,19.0,1.0,23.0,26.0,20.0,1.0,23.9,25.0,21.0,1.0,23.0,25.0,21.0,1.0,21.9,26.0,20.0
2023-05-30 09:50:00,,102.0,23.8,21.5,22.96,24.5,24.5,[24.5],1.0,23.8,25.0,19.0,1.0,22.9,27.0,20.0,1.0,23.8,26.0,21.0,1.0,22.8,26.0,21.0,1.0,21.5,26.0,20.0
2023-05-30 09:55:00,,99.0,23.8,21.8,23.06,24.5,24.5,[24.5],1.0,23.8,26.0,19.0,1.0,23.0,27.0,20.0,1.0,23.8,25.0,21.0,1.0,22.9,25.0,21.0,1.0,21.8,26.0,20.0
2023-05-30 10:00:00,,99.0,23.4,21.8,22.88,24.5,24.5,[24.5],1.0,23.4,26.0,19.0,1.0,23.0,27.0,20.0,1.0,23.2,26.0,21.0,1.0,23.0,26.0,21.0,1.0,21.8,26.0,20.0
2023-05-30 10:05:00,,100.0,23.7,21.8,23.04,24.8,24.8,[24.8],1.0,23.6,25.0,19.0,1.0,23.7,27.0,20.0,1.0,23.2,25.0,21.0,1.0,22.9,25.0,21.0,1.0,21.8,27.0,20.0
2023-05-30 10:10:00,,99.0,24.0,21.8,23.2,24.9,24.9,[24.9],1.0,24.0,25.0,19.0,1.0,23.6,27.0,20.0,1.0,23.7,25.0,21.0,1.0,22.9,25.0,21.0,1.0,21.8,27.0,20.0
2023-05-30 10:15:00,,100.0,23.9,21.7,23.04,24.8,24.8,[24.8],1.0,23.9,26.0,19.0,1.0,23.6,26.0,20.0,1.0,23.1,26.0,21.0,1.0,22.9,26.0,21.0,1.0,21.7,26.0,20.0
2023-05-30 10:20:00,,100.0,23.8,21.7,22.96,24.8,24.8,[24.8],1.0,23.8,25.0,19.0,1.0,23.3,27.0,20.0,1.0,23.1,25.0,21.0,1.0,22.9,25.0,21.0,1.0,21.7,27.0,20.0
2023-05-30 10:25:00,,100.0,23.6,21.7,22.96,24.8,24.8,[24.8],1.0,23.6,25.0,19.0,1.0,23.2,26.0,20.0,1.0,23.4,25.0,21.0,1.0,22.9,26.0,21.0,1.0,21.7,26.0,20.0
2023-05-30 10:30:00,,100.0,23.4,21.6,22.9,24.8,24.8,[24.8],1.0,23.4,26.0,19.0,1.0,23.2,26.0,20.0,1.0,23.4,26.0,21.0,1.0,22.9,26.0,21.0,1.0,21.6,26.0,20.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,100.0,23.5,21.7,22.9,24.7,24.7,[24.7],1.0,23.5,25.0,19.0,1.0,23.2,27.0,20.0,1.0,23.1,26.0,21.0,1.0,23.0,26.0,21.0,1.0,21.7,26.0,20.0
2023-05-30 10:45:00,,100.0,23.6,21.7,22.96,24.7,24.7,[24.7],1.0,23.6,25.0,19.0,1.0,23.2,26.0,20.0,1.0,23.3,25.0,21.0,1.0,23.0,25.0,21.0,1.0,21.7,26.0,20.0
2023-05-30 10:50:00,,100.0,23.4,22.0,22.94,24.8,24.8,[24.8],1.0,23.4,26.0,19.0,1.0,23.0,27.0,20.0,1.0,23.3,25.0,21.0,1.0,23.0,25.0,21.0,1.0,22.0,27.0,20.0
2023-05-30 10:55:00,,102.0,24.1,22.0,23.26,24.8,24.8,[24.8],1.0,24.1,26.0,19.0,1.0,23.1,27.0,20.0,1.0,24.1,26.0,21.0,1.0,23.0,26.0,21.0,1.0,22.0,27.0,20.0
2023-05-30 11:00:00,,101.0,23.6,21.8,23.0,24.8,24.8,[24.8],1.0,23.6,25.0,19.0,1.0,23.1,26.0,20.0,1.0,23.5,25.0,21.0,1.0,23.0,25.0,21.0,1.0,21.8,27.0,20.0
2023-05-30 11:05:00,,100.0,23.7,21.7,23.020000000000003,24.8,24.8,[24.8],1.0,23.7,25.0,19.0,1.0,23.1,27.0,20.0,1.0,23.7,26.0,21.0,1.0,22.9,26.0,21.0,1.0,21.7,27.0,20.0
2023-05-30 11:10:00,,99.0,23.6,21.7,22.96,24.7,24.7,[24.7],1.0,23.6,26.0,19.0,1.0,23.2,26.0,20.0,1.0,23.3,25.0,21.0,1.0,23.0,25.0,21.0,1.0,21.7,26.0,20.0
2023-05-30 11:15:00,,100.0,24.0,21.7,23.14,24.8,24.8,[24.8],1.0,24.0,26.0,19.0,1.0,23.1,27.0,20.0,1.0,24.0,26.0,21.0,1.0,22.9,26.0,21.0,1.0,21.7,26.0,20.0
2023-05-30 11:20:00,,100.0,24.0,21.6,23.16,24.7,24.7,[24.7],1.0,24.0,25.0,19.0,1.0,23.1,26.0,20.0,1.0,24.0,26.0,21.0,1.0,23.1,26.0,21.0,1.0,21.6,26.0,20.0
2023-05-30 11:25:00,,100.0,23.6,21.6,22.94,24.7,24.7,[24.7],1.0,23.6,25.0,19.0,1.0,23.1,27.0,20.0,1.0,23.4,26.0,21.0,1.0,23.0,25.0,21.0,1.0,21.6,26.0,20.0
2023-05-30 11:30:00,,100.0,23.9,21.9,23.160000000000004,24.7,24.7,[24.7],1.0,23.9,26.0,19.0,1.0,23.1,27.0,20.0,1.0,23.9,26.0,21.0,1.0,23.0,26.0,21.0,1.0,21.9,27.0,20.0
2023-05-30 11:35:00,,99.0,23.9,21.9,23.160000000000004,24.7,24.7,[24.7],1.0,23.9,25.0,19.0,1.0,23.1,26.0,20.0,1.0,23.9,25.0,21.0,1.0,23.0,25.0,21.0,1.0,21.9,26.0,20.0
2023-05-30 11:40:00,,100.0,23.8,21.5,23.04,25.0,25.0,[25.0],1.0,23.8,25.0,19.0,1.0,23.8,26.0,20.0,1.0,23.1,26.0,21.0,1.0,23.0,26.0,21.0,1.0,21.5,27.0,20.0
2023-05-30 11:45:00,,101.0,23.9,21.6,23.06,25.2,25.2,[25.2],1.0,23.9,26.0,19.0,1.0,23.8,26.0,20.0,1.0,23.1,26.0,21.0,1.0,22.9,26.0,21.0,1.0,21.6,27.0,20.0
2023-05-30 11:50:00,,100.0,24.0,21.8,23.14,25.2,25.2,[25.2],1.0,23.9,26.0,19.0,1.0,24.0,26.0,20.0,1.0,23.1,25.0,21.0,1.0,22.9,25.0,21.0,1.0,21.8,27.0,20.0
2023-05-30 11:55:00,,100.0,23.9,21.8,23.12,25.1,25.1,[25.1],1.0,23.9,26.0,19.0,1.0,23.7,27.0,20.0,1.0,23.2,26.0,21.0,1.0,23.0,26.0,21.0,1.0,21.8,27.0,20.0
2023-05-30 12:00:00,,100.0,24.1,21.9,23.28,25.0,25.0,[25.0],1.0,24.1,25.0,19.0,1.0,23.6,26.0,20.0,1.0,23.8,25.0,21.0,1.0,23.0,25.0,21.0,1.0,21.9,26.0,20.0
2023-05-30 12:05:00,,100.0,23.7,21.5,23.04,25.0,25.0,[25.0],1.0,23.7,25.0,19.0,1.0,23.4,27.0,20.0,1.0,23.6,25.0,21.0,1.0,23.0,25.0,21.0,1.0,21.5,27.0,20.0
2023-05-30 12:10:00,,100.0,23.9,21.8,23.14,25.0,25.0,[25.0],1.0,23.9,26.0,19.0,1.0,23.4,27.0,20.0,1.0,23.6,26.0,21.0,1.0,23.0,26.0,21.0,1.0,21.8,27.0,20.0
2023-05-30 12:15:00,,99.0,23.8,21.7,23.12,24.9,24.9,[24.9],1.0,23.8,25.0,19.0,1.0,23.3,26.0,20.0,1.0,23.8,25.0,21.0,1.0,23.0,25.0,21.0,1.0,21.7,26.0,20.0
2023-05-30 12:20:00,,101.0,24.0,21.7,23.2,24.9,24.9,[24.9],1.0,24.0,25.0,19.0,1.0,23.3,27.0,20.0,1.0,24.0,26.0,21.0,1.0,23.0,26.0,21.0,1.0,21.7,27.0,20.0
2023-05-30 12:25:00,,100.0,24.0,21.8,23.22,24.8,24.8,[24.8],1.0,24.0,26.0,19.0,1.0,23.2,27.0,20.0,1.0,24.0,25.0,21.0,1.0,23.1,25.0,21.0,1.0,21.8,26.0,20.0
2023-05-30 12:30:00,,99.0,23.5,21.7,22.96,24.9,24.9,[24.9],1.0,23.5,26.0,19.0,1.0,23.2,27.0,20.0,1.0,23.4,25.0,21.0,1.0,23.0,25.0,21.0,1.0,21.7,26.0,20.0
2023-05-30 12:35:00,,100.0,23.8,22.0,23.18,24.8,24.8,[24.8],1.0,23.8,25.0,19.0,1.0,23.2,27.0,20.0,1.0,23.8,26.0,21.0,1.0,23.1,26.0,21.0,1.0,22.0,26.0,20.0
2023-05-30 12:40:00,,100.0,23.6,21.6,23.02,24.7,24.7,[24.7],1.0,23.6,25.0,19.0,1.0,23.2,26.0,20.0,1.0,23.6,25.0,21.0,1.0,23.1,25.0,21.0,1.0,21.6,26.0,20.0
2023-05-30 12:45:00,,100.0,23.9,21.9,23.28,25.0,25.0,[25.0],1.0,23.8,25.0,19.0,1.0,23.9,27.0,20.0,1.0,23.7,26.0,21.0,1.0,23.1,26.0,21.0,1.0,21.9,27.0,20.0
2023-05-30 12:50:00,,100.0,23.9,21.9,23.3,25.0,25.0,[25.0],1.0,23.9,25.0,19.0,1.0,23.9,27.0,20.0,1.0,23.7,25.0,21.0,1.0,23.1,25.0,21.0,1.0,21.9,27.0,20.0
2023-05-30 12:55:00,,100.0,23.9,21.8,23.06,24.9,24.9,[24.9],1.0,23.9,25.0,19.0,1.0,23.4,26.0,20.0,1.0,23.3,25.0,21.0,1.0,22.9,25.0,21.0,1.0,21.8,26.0,20.0
2023-05-30 13:00:00,,100.0,23.8,21.9,23.08,25.1,25.1,[25.1],1.0,23.8,25.0,19.0,1.0,23.4,27.0,20.0,1.0,23.2,26.0,21.0,1.0,23.1,26.0,21.0,1.0,21.9,27.0,20.0
