time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,584007_c,584007_h,584007_r,584007_s,584008_c,584008_h,584008_r,584008_s,584009_c,584009_h,584009_r,584009_s
2023-05-30 09:05:00,,261.31,40.2,25.6,32.2,21.5,21.5,[21.5],1.0,25.6,24.0,25.0,1.0,30.8,25.0,25.0,1.0,40.2,25.0,25.0
2023-05-30 09:10:00,,261.4,40.0,25.6,32.13333333333333,21.0,21.0,[21.0],1.0,25.6,24.0,25.0,1.0,30.8,25.0,25.0,1.0,40.0,25.0,25.0
2023-05-30 09:15:00,,261.41,40.0,25.6,32.4,20.7,20.7,[20.7],1.0,25.6,25.0,25.0,1.0,31.6,25.0,25.0,1.0,40.0,26.0,25.0
2023-05-30 09:20:00,,261.38,39.9,25.6,32.36666666666667,20.4,20.4,[20.4],1.0,25.6,24.0,25.0,1.0,31.6,26.0,25.0,1.0,39.9,26.0,25.0
2023-05-30 09:25:00,,261.41,39.9,25.6,32.43333333333334,20.3,20.3,[20.3],1.0,25.6,24.0,25.0,1.0,31.8,26.0,25.0,1.0,39.9,26.0,25.0
2023-05-30 09:30:00,,261.34,39.8,25.6,32.5,20.2,20.2,[20.2],1.0,25.6,24.0,25.0,1.0,32.1,26.0,25.0,1.0,39.8,26.0,25.0
2023-05-30 09:35:00,,261.97,39.8,25.5,32.5,20.1,20.1,[20.1],1.0,25.5,24.0,25.0,1.0,32.2,26.0,25.0,1.0,39.8,26.0,25.0
2023-05-30 09:40:00,,261.99,40.0,25.6,32.800000000000004,20.1,20.1,[20.1],1.0,25.6,24.0,25.0,1.0,32.8,26.0,25.0,1.0,40.0,25.0,25.0
2023-05-30 09:45:00,,262.09000000000003,40.1,25.8,32.86666666666667,20.0,20.0,[20.0],1.0,25.8,24.0,25.0,1.0,32.7,25.0,25.0,1.0,40.1,25.0,25.0
2023-05-30 09:50:00,,261.81,40.2,25.8,32.9,19.9,19.9,[19.9],1.0,25.8,24.0,25.0,1.0,32.7,25.0,25.0,1.0,40.2,25.0,25.0
2023-05-30 09:55:00,,261.58,40.2,25.8,32.800000000000004,19.9,19.9,[19.9],1.0,25.8,24.0,25.0,1.0,32.4,25.0,25.0,1.0,40.2,24.0,25.0
2023-05-30 10:00:00,,261.53,40.3,25.7,32.8,19.8,19.8,[19.8],1.0,25.7,25.0,25.0,1.0,32.4,24.0,25.0,1.0,40.3,24.0,25.0
2023-05-30 10:05:00,,261.56,40.3,25.7,32.666666666666664,19.7,19.7,[19.7],1.0,25.7,25.0,25.0,1.0,32.0,24.0,25.0,1.0,40.3,24.0,25.0
2023-05-30 10:10:00,,261.52,40.2,25.7,32.63333333333333,19.6,19.6,[19.6],1.0,25.7,24.0,25.0,1.0,32.0,24.0,25.0,1.0,40.2,24.0,25.0
2023-05-30 10:15:00,,261.56,40.2,25.9,32.666666666666664,19.5,19.5,[19.5],1.0,25.9,24.0,25.0,1.0,31.9,25.0,25.0,1.0,40.2,25.0,25.0
2023-05-30 10:20:00,,261.52,40.2,25.9,32.63333333333333,19.6,19.6,[19.6],1.0,25.9,22.0,25.0,1.0,31.8,25.0,25.0,1.0,40.2,25.0,25.0
2023-05-30 10:25:00,,261.43,40.2,25.6,32.63333333333333,19.7,19.7,[19.7],1.0,25.6,21.0,25.0,1.0,32.1,26.0,25.0,1.0,40.2,26.0,25.0
2023-05-30 10:30:00,,261.48,40.1,25.6,32.6,19.8,19.8,[19.8],1.0,25.6,21.0,25.0,1.0,32.1,26.0,25.0,1.0,40.1,26.0,25.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,262.09000000000003,40.4,25.6,32.766666666666666,20.0,20.0,[20.0],1.0,25.6,21.0,25.0,1.0,32.3,26.0,25.0,1.0,40.4,26.0,25.0
2023-05-30 10:45:00,,262.01,40.3,25.3,32.833333333333336,20.0,20.0,[20.0],1.0,25.3,21.0,25.0,1.0,32.9,25.0,25.0,1.0,40.3,25.0,25.0
2023-05-30 10:50:00,,261.85,40.3,25.3,32.833333333333336,20.5,20.5,[20.5],1.0,25.3,21.0,25.0,1.0,32.9,25.0,25.0,1.0,40.3,25.0,25.0
2023-05-30 10:55:00,,261.73,40.2,25.2,32.666666666666664,21.4,21.4,[21.4],1.0,25.2,21.0,25.0,1.0,32.6,25.0,25.0,1.0,40.2,25.0,25.0
2023-05-30 11:00:00,,261.5,40.4,25.2,32.53333333333333,22.3,22.3,[22.3],1.0,25.2,21.0,25.0,1.0,32.0,24.0,25.0,1.0,40.4,25.0,25.0
2023-05-30 11:05:00,,261.36,40.3,25.2,32.36666666666667,23.1,23.1,[23.1],1.0,25.2,21.0,25.0,1.0,31.6,24.0,25.0,1.0,40.3,24.0,25.0
