time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3812780_c,3812780_h,3812780_p,3812780_r,3812780_s
2023-05-30 09:05:00,,,27.7,27.7,27.7,25.4,25.4,[25.4],1.0,27.7,8.7,25.1,25.0
2023-05-30 09:10:00,,,27.9,27.9,27.9,25.5,25.5,[25.5],1.0,27.9,8.64,25.4,25.0
2023-05-30 09:15:00,,,27.9,27.9,27.9,25.5,25.5,[25.5],1.0,27.9,8.64,25.6,25.0
2023-05-30 09:20:00,,,28.0,28.0,28.0,25.6,25.6,[25.6],1.0,28.0,9.6,25.7,25.0
2023-05-30 09:25:00,,,28.0,28.0,28.0,25.6,25.6,[25.6],1.0,28.0,9.36,25.6,25.0
2023-05-30 09:30:00,,,28.1,28.1,28.1,25.7,25.7,[25.7],1.0,28.1,9.72,25.6,25.0
2023-05-30 09:35:00,,,28.1,28.1,28.1,25.7,25.7,[25.7],1.0,28.1,12.12,25.4,23.0
2023-05-30 09:40:00,,,27.7,27.7,27.7,25.6,25.6,[25.6],1.0,27.7,16.32,25.2,23.0
2023-05-30 09:45:00,,,27.1,27.1,27.1,25.5,25.5,[25.5],1.0,27.1,18.12,24.6,23.0
2023-05-30 09:50:00,,,26.6,26.6,26.6,25.4,25.4,[25.4],1.0,26.6,18.06,23.8,23.0
2023-05-30 09:55:00,,,26.3,26.3,26.3,25.2,25.2,[25.2],1.0,26.3,17.46,23.5,23.0
2023-05-30 10:00:00,,,26.1,26.1,26.1,25.1,25.1,[25.1],1.0,26.1,17.7,23.4,23.0
2023-05-30 10:05:00,,,26.1,26.1,26.1,25.0,25.0,[25.0],1.0,26.1,17.28,23.1,23.0
2023-05-30 10:10:00,,,25.7,25.7,25.7,24.8,24.8,[24.8],1.0,25.7,17.16,22.9,23.0
2023-05-30 10:15:00,,,25.5,25.5,25.5,24.7,24.7,[24.7],1.0,25.5,17.1,22.7,23.0
2023-05-30 10:20:00,,,25.5,25.5,25.5,24.6,24.6,[24.6],1.0,25.5,17.94,22.7,23.0
2023-05-30 10:25:00,,,25.4,25.4,25.4,24.6,24.6,[24.6],1.0,25.4,18.0,22.4,23.0
2023-05-30 10:30:00,,,25.3,25.3,25.3,24.5,24.5,[24.5],1.0,25.3,16.38,22.4,23.0
2023-05-30 10:35:00,,,,,,,,,,,,,
2023-05-30 10:40:00,,,25.3,25.3,25.3,24.3,24.3,[24.3],1.0,25.3,13.74,22.8,24.0
2023-05-30 10:45:00,,,25.4,25.4,25.4,24.3,24.3,[24.3],1.0,25.4,13.02,23.0,24.0
2023-05-30 10:50:00,,,25.8,25.8,25.8,24.3,24.3,[24.3],1.0,25.8,11.94,23.2,24.0
2023-05-30 10:55:00,,,25.8,25.8,25.8,24.4,24.4,[24.4],1.0,25.8,12.24,23.2,24.0
2023-05-30 11:00:00,,,26.1,26.1,26.1,24.4,24.4,[24.4],1.0,26.1,12.84,23.7,24.0
2023-05-30 11:05:00,,,26.2,26.2,26.2,24.5,24.5,[24.5],1.0,26.2,10.86,23.9,25.0
2023-05-30 11:10:00,,,26.5,26.5,26.5,24.6,24.6,[24.6],1.0,26.5,,24.2,25.0
2023-05-30 11:15:00,,,26.6,26.6,26.6,24.6,24.6,[24.6],1.0,26.6,10.74,24.4,25.0
2023-05-30 11:20:00,,,26.6,26.6,26.6,24.7,24.7,[24.7],1.0,26.6,10.74,24.5,25.0
2023-05-30 11:25:00,,,26.8,26.8,26.8,24.7,24.7,[24.7],1.0,26.8,11.1,24.8,25.0
2023-05-30 11:30:00,,,26.8,26.8,26.8,24.8,24.8,[24.8],1.0,26.8,11.46,24.7,25.0
2023-05-30 11:35:00,,,26.9,26.9,26.9,24.8,24.8,[24.8],1.0,26.9,13.2,24.5,23.0
2023-05-30 11:40:00,,,26.8,26.8,26.8,24.8,24.8,[24.8],1.0,26.8,14.7,24.2,23.0
2023-05-30 11:45:00,,,26.4,26.4,26.4,24.8,24.8,[24.8],1.0,26.4,14.7,23.9,23.0
2023-05-30 11:50:00,,,26.4,26.4,26.4,24.8,24.8,[24.8],1.0,26.4,14.82,23.7,23.0
2023-05-30 11:55:00,,,26.1,26.1,26.1,24.8,24.8,[24.8],1.0,26.1,14.52,23.6,23.0
2023-05-30 12:00:00,,,26.1,26.1,26.1,24.7,24.7,[24.7],1.0,26.1,14.82,23.5,23.0
2023-05-30 12:05:00,,,26.0,26.0,26.0,24.7,24.7,[24.7],1.0,26.0,14.82,23.4,24.0
2023-05-30 12:10:00,,,26.1,26.1,26.1,24.7,24.7,[24.7],1.0,26.1,13.98,23.4,24.0
2023-05-30 12:15:00,,,26.1,26.1,26.1,24.7,24.7,[24.7],1.0,26.1,13.92,23.7,24.0
2023-05-30 12:20:00,,,26.4,26.4,26.4,24.7,24.7,[24.7],1.0,26.4,14.22,23.8,24.0
2023-05-30 12:25:00,,,26.4,26.4,26.4,24.7,24.7,[24.7],1.0,26.4,18.06,23.7,24.0
2023-05-30 12:30:00,,,26.4,26.4,26.4,24.7,24.7,[24.7],1.0,26.4,18.36,22.8,24.0
2023-05-30 12:35:00,,,26.2,26.2,26.2,24.7,24.7,[24.7],1.0,26.2,11.46,23.3,24.0
2023-05-30 12:40:00,,,26.2,26.2,26.2,24.7,24.7,[24.7],1.0,26.2,10.98,24.3,25.0
2023-05-30 12:45:00,,,26.5,26.5,26.5,24.7,24.7,[24.7],1.0,26.5,11.28,24.3,25.0
2023-05-30 12:50:00,,,26.5,26.5,26.5,24.8,24.8,[24.8],1.0,26.5,11.34,24.7,25.0
2023-05-30 12:55:00,,,26.8,26.8,26.8,24.8,24.8,[24.8],1.0,26.8,11.16,24.7,25.0
2023-05-30 13:00:00,,,26.8,26.8,26.8,24.9,24.9,[24.9],1.0,26.8,11.34,24.8,25.0
2023-05-30 13:05:00,,,26.9,26.9,26.9,24.9,24.9,[24.9],1.0,26.9,12.36,24.8,24.0
2023-05-30 13:10:00,,,26.9,26.9,26.9,24.9,24.9,[24.9],1.0,26.9,12.84,24.7,24.0
2023-05-30 13:15:00,,,26.9,26.9,26.9,24.9,24.9,[24.9],1.0,26.9,12.84,24.6,24.0
2023-05-30 13:20:00,,,26.9,26.9,26.9,24.9,24.9,[24.9],1.0,26.9,13.08,24.7,24.0
2023-05-30 13:25:00,,,26.8,26.8,26.8,24.9,24.9,[24.9],1.0,26.8,13.14,24.7,24.0
2023-05-30 13:30:00,,,26.8,26.8,26.8,24.9,24.9,[24.9],1.0,26.8,12.96,24.5,24.0
2023-05-30 13:35:00,,,26.8,26.8,26.8,24.9,24.9,[24.9],1.0,26.8,13.2,24.5,25.0
2023-05-30 13:40:00,,,26.6,26.6,26.6,24.9,24.9,[24.9],1.0,26.6,13.14,24.4,25.0
2023-05-30 13:45:00,,,26.6,26.6,26.6,24.9,24.9,[24.9],1.0,26.6,12.54,24.5,25.0
2023-05-30 13:50:00,,,26.6,26.6,26.6,24.9,24.9,[24.9],1.0,26.6,12.6,24.5,25.0
2023-05-30 13:55:00,,,26.8,26.8,26.8,24.9,24.9,[24.9],1.0,26.8,12.72,24.6,25.0
