time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3796978_c,3796978_h,3796978_p,3796978_r,3796978_s,3796979_c,3796979_h,3796979_p,3796979_r,3796979_s,3796980_c,3796980_r,3796980_s,3796981_h,3796982_h
2023-05-30 09:00:00,,,,,,,,,,,8.9,,,,,8.7,,,,,,,
2023-05-30 09:05:00,,10.0,34.1,28.0,30.425,28.1,28.1,[28.1],1.0,34.1,8.7,29.0,26.0,1.0,28.0,8.6,27.0,26.0,,,,29.1,30.5
2023-05-30 09:10:00,,10.0,34.1,28.0,30.425,28.1,28.1,[28.1],1.0,34.1,8.6,29.0,26.0,1.0,28.0,8.5,27.0,26.0,,,,29.1,30.5
2023-05-30 09:15:00,,10.0,34.0,28.0,30.4,28.1,28.1,[28.1],1.0,34.0,8.8,29.0,26.0,1.0,28.0,8.7,27.0,26.0,,,,29.1,30.5
2023-05-30 09:20:00,,10.0,34.1,27.9,30.425,28.1,28.1,[28.1],1.0,34.1,8.6,28.0,26.0,1.0,27.9,8.6,27.0,26.0,,,,29.1,30.6
2023-05-30 09:25:00,,10.0,34.1,27.9,30.425,28.1,28.1,[28.1],1.0,34.1,8.6,29.0,26.0,1.0,27.9,8.8,27.0,26.0,,,,29.1,30.6
2023-05-30 09:30:00,,10.0,34.0,27.8,30.375,28.1,28.1,[28.1],1.0,34.0,8.9,29.0,26.0,1.0,27.8,8.7,27.0,26.0,,,,29.1,30.6
2023-05-30 09:35:00,,10.0,34.1,27.7,30.4,28.2,28.2,[28.2],1.0,34.1,8.8,29.0,26.0,1.0,27.7,8.8,27.0,26.0,,,,29.2,30.6
2023-05-30 09:40:00,,10.0,34.1,27.7,30.4,28.2,28.2,[28.2],1.0,34.1,8.7,29.0,26.0,1.0,27.7,8.5,27.0,26.0,,,,29.2,30.6
2023-05-30 09:45:00,,10.0,34.1,27.8,30.425000000000004,28.2,28.2,[28.2],1.0,34.1,8.6,29.0,26.0,1.0,27.8,8.5,27.0,26.0,,,,29.2,30.6
2023-05-30 09:50:00,,10.0,34.1,27.7,30.4,28.2,28.2,[28.2],1.0,34.1,9.1,29.0,26.0,1.0,27.7,8.6,27.0,26.0,,,,29.2,30.6
2023-05-30 09:55:00,,10.0,34.1,27.7,30.4,28.2,28.2,[28.2],1.0,34.1,8.6,29.0,26.0,1.0,27.7,8.5,27.0,26.0,,,,29.2,30.6
2023-05-30 10:00:00,,10.0,34.1,28.1,30.5,28.2,28.2,[28.2],1.0,34.1,8.5,29.0,26.0,1.0,28.1,8.4,27.0,26.0,,,,29.2,30.6
2023-05-30 10:05:00,,10.0,34.2,28.1,30.55,28.2,28.2,[28.2],1.0,34.2,8.8,29.0,26.0,1.0,28.1,8.7,27.0,26.0,,,,29.2,30.7
2023-05-30 10:10:00,,10.0,34.2,28.1,30.55,28.2,28.2,[28.2],1.0,34.2,8.8,29.0,26.0,1.0,28.1,8.8,27.0,26.0,,,,29.2,30.7
2023-05-30 10:15:00,,10.0,34.2,28.0,30.525,28.2,28.2,[28.2],1.0,34.2,8.8,29.0,26.0,1.0,28.0,8.8,27.0,26.0,,,,29.2,30.7
2023-05-30 10:20:00,,10.0,34.2,27.9,30.5,28.2,28.2,[28.2],1.0,34.2,8.5,29.0,26.0,1.0,27.9,8.5,27.0,26.0,,,,29.2,30.7
2023-05-30 10:25:00,,10.0,34.2,27.8,30.5,28.2,28.2,[28.2],1.0,34.2,8.8,29.0,26.0,1.0,27.8,8.8,27.0,26.0,,,,29.3,30.7
2023-05-30 10:30:00,,10.0,34.2,27.9,30.525,28.2,28.2,[28.2],1.0,34.2,9.0,29.0,26.0,1.0,27.9,8.7,27.0,26.0,,,,29.3,30.7
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,10.0,34.2,27.9,30.5,28.2,28.2,[28.2],1.0,34.2,9.0,29.0,26.0,1.0,27.9,8.7,27.0,26.0,,,,29.2,30.7
2023-05-30 10:45:00,,10.0,34.2,28.1,30.55,28.2,28.2,[28.2],1.0,34.2,9.0,29.0,26.0,1.0,28.1,9.1,27.0,26.0,,,,29.2,30.7
2023-05-30 10:50:00,,10.0,34.2,28.1,30.575000000000003,28.2,28.2,[28.2],1.0,34.2,9.2,29.0,26.0,1.0,28.1,8.9,27.0,26.0,,,,29.3,30.7
2023-05-30 10:55:00,,10.0,34.2,28.1,30.6,28.2,28.2,[28.2],1.0,34.2,8.9,29.0,26.0,1.0,28.1,9.1,27.0,26.0,,,,29.3,30.8
2023-05-30 11:00:00,,10.0,34.2,28.2,30.6,28.3,28.3,[28.3],1.0,34.2,8.6,29.0,26.0,1.0,28.2,8.5,27.0,26.0,,,,29.2,30.8
2023-05-30 11:05:00,,10.0,34.2,28.2,30.6,28.3,28.3,[28.3],1.0,34.2,8.8,29.0,26.0,1.0,28.2,8.9,27.0,26.0,,,,29.2,30.8
2023-05-30 11:10:00,,10.0,34.2,28.2,30.625,28.3,28.3,[28.3],1.0,34.2,9.1,29.0,26.0,1.0,28.2,9.0,27.0,26.0,,,,29.3,30.8
2023-05-30 11:15:00,,10.0,34.2,28.2,30.625,28.3,28.3,[28.3],1.0,34.2,9.2,29.0,26.0,1.0,28.2,9.1,27.0,26.0,,,,29.3,30.8
2023-05-30 11:20:00,,10.0,34.2,28.2,30.625,28.3,28.3,[28.3],1.0,34.2,9.0,29.0,26.0,1.0,28.2,9.0,27.0,26.0,,,,29.3,30.8
2023-05-30 11:25:00,,10.0,34.2,28.1,30.6,28.3,28.3,[28.3],1.0,34.2,9.1,29.0,26.0,1.0,28.1,9.0,27.0,26.0,,,,29.3,30.8
