time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,362742_c,362742_h,362742_p,362742_r,362742_s,362743_c,362743_h,362743_p,362743_r,362743_s,362744_c,362744_h,362744_p,362744_r,362744_s
2023-05-30 09:00:00,,,,,,,,,,,25.86,,,,,24.78,,,,,38.64,,
2023-05-30 09:05:00,,39.44,29.5,27.9,28.96666666666667,28.8,28.8,[28.8],1.0,27.9,41.22,26.8,26.0,1.0,29.5,24.72,25.1,25.0,1.0,29.5,39.96,26.6,26.0
2023-05-30 09:10:00,,39.38,29.5,28.3,29.1,28.6,28.6,[28.6],1.0,28.3,40.98,26.5,26.0,1.0,29.5,24.66,24.7,25.0,1.0,29.5,40.2,26.1,26.0
2023-05-30 09:15:00,,39.34,29.3,28.1,28.83333333333333,28.6,28.6,[28.6],1.0,28.1,40.98,26.2,26.0,1.0,29.1,24.72,24.6,25.0,1.0,29.3,26.22,25.9,26.0
2023-05-30 09:20:00,,39.35,29.2,27.6,28.633333333333336,28.4,28.4,[28.4],1.0,27.6,41.28,26.1,26.0,1.0,29.1,24.84,24.4,25.0,1.0,29.2,26.28,26.7,26.0
2023-05-30 09:25:00,,39.32,29.4,27.2,28.666666666666668,28.3,28.3,[28.3],1.0,27.2,41.4,26.1,26.0,1.0,29.4,24.9,24.4,25.0,1.0,29.4,26.1,26.9,26.0
2023-05-30 09:30:00,,39.34,29.2,26.9,28.4,28.2,28.2,[28.2],1.0,26.9,26.16,26.0,26.0,1.0,29.1,24.96,24.3,25.0,1.0,29.2,26.28,26.1,26.0
2023-05-30 09:35:00,,39.39,29.2,26.9,28.4,28.4,28.4,[28.4],1.0,26.9,25.98,26.5,26.0,1.0,29.1,24.96,24.6,25.0,1.0,29.2,26.46,26.7,26.0
2023-05-30 09:40:00,,39.46,29.4,27.9,28.899999999999995,28.7,28.7,[28.7],1.0,27.9,26.16,26.9,26.0,1.0,29.4,24.96,25.0,25.0,1.0,29.4,26.34,27.0,26.0
2023-05-30 09:45:00,,39.44,29.7,28.1,29.166666666666668,28.8,28.8,[28.8],1.0,28.1,41.4,26.9,26.0,1.0,29.7,24.9,25.1,25.0,1.0,29.7,40.74,26.6,26.0
2023-05-30 09:50:00,,39.37,29.4,28.2,29.0,28.7,28.7,[28.7],1.0,28.2,41.82,26.5,26.0,1.0,29.4,25.02,24.7,25.0,1.0,29.4,40.92,26.6,26.0
2023-05-30 09:55:00,,39.34,29.3,27.5,28.566666666666663,28.6,28.6,[28.6],1.0,27.5,41.82,26.3,26.0,1.0,28.9,24.96,24.5,25.0,1.0,29.3,40.62,25.9,26.0
2023-05-30 10:00:00,,39.32,29.3,27.4,28.53333333333333,28.4,28.4,[28.4],1.0,27.4,41.64,26.2,26.0,1.0,28.9,24.9,24.5,25.0,1.0,29.3,26.34,26.6,26.0
2023-05-30 10:05:00,,39.34,29.4,27.1,28.633333333333336,28.3,28.3,[28.3],1.0,27.1,41.82,26.1,26.0,1.0,29.4,25.02,24.3,25.0,1.0,29.4,40.86,26.3,26.0
2023-05-30 10:10:00,,39.35,29.2,26.9,28.433333333333334,28.3,28.3,[28.3],1.0,26.9,26.1,26.1,26.0,1.0,29.2,25.02,24.3,25.0,1.0,29.2,26.4,26.3,26.0
2023-05-30 10:15:00,,39.42,29.3,27.5,28.7,28.6,28.6,[28.6],1.0,27.5,26.04,26.6,26.0,1.0,29.3,25.02,24.8,25.0,1.0,29.3,26.4,26.8,26.0
2023-05-30 10:20:00,,39.48,29.4,27.5,28.766666666666666,28.7,28.7,[28.7],1.0,27.5,26.1,27.0,26.0,1.0,29.4,25.02,24.9,25.0,1.0,29.4,40.44,26.6,26.0
2023-05-30 10:25:00,,39.41,29.4,28.1,28.96666666666667,28.7,28.7,[28.7],1.0,28.1,41.58,26.7,26.0,1.0,29.4,24.96,24.8,25.0,1.0,29.4,40.8,26.3,26.0
2023-05-30 10:30:00,,39.37,29.3,28.1,28.83333333333333,28.6,28.6,[28.6],1.0,28.1,41.82,26.4,26.0,1.0,29.1,25.02,24.6,25.0,1.0,29.3,26.52,26.0,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,39.34,29.2,27.8,28.73333333333333,28.3,28.3,[28.3],1.0,27.8,42.18,26.2,26.0,1.0,29.2,25.14,24.5,25.0,1.0,29.2,26.52,26.6,26.0
2023-05-30 10:45:00,,39.330000000000005,29.6,26.9,28.7,28.2,28.2,[28.2],1.0,26.9,42.12,26.0,26.0,1.0,29.6,25.2,24.3,25.0,1.0,29.6,41.16,26.3,26.0
2023-05-30 10:50:00,,39.38,29.6,26.9,28.7,28.3,28.3,[28.3],1.0,26.9,26.34,26.4,26.0,1.0,29.6,25.2,24.3,25.0,1.0,29.6,26.52,26.7,26.0
2023-05-30 10:55:00,,39.45,29.6,27.1,28.76666666666667,28.6,28.6,[28.6],1.0,27.1,26.58,26.8,26.0,1.0,29.6,25.38,24.9,25.0,1.0,29.6,26.82,26.9,26.0
2023-05-30 11:00:00,,39.44,29.9,27.6,29.133333333333336,28.7,28.7,[28.7],1.0,27.6,42.12,26.8,26.0,1.0,29.9,25.38,25.0,25.0,1.0,29.9,41.04,26.8,26.0
2023-05-30 11:05:00,,39.4,29.9,28.0,29.266666666666666,28.7,28.7,[28.7],1.0,28.0,42.48,26.5,26.0,1.0,29.9,25.44,24.8,25.0,1.0,29.9,41.82,26.2,26.0
2023-05-30 11:10:00,,39.35,29.5,27.9,28.96666666666667,28.4,28.4,[28.4],1.0,27.9,42.48,26.3,26.0,1.0,29.5,25.38,24.5,25.0,1.0,29.5,41.58,26.0,26.0
2023-05-30 11:15:00,,39.35,29.3,27.4,28.63333333333333,28.4,28.4,[28.4],1.0,27.4,42.78,26.3,26.0,1.0,29.2,25.62,24.5,25.0,1.0,29.3,26.88,26.4,26.0
2023-05-30 11:20:00,,39.34,29.8,27.2,28.933333333333334,28.4,28.4,[28.4],1.0,27.2,42.42,26.4,26.0,1.0,29.8,25.32,24.6,25.0,1.0,29.8,41.58,27.1,26.0
2023-05-30 11:25:00,,39.33,29.8,27.0,28.866666666666664,28.3,28.3,[28.3],1.0,27.0,42.48,26.4,26.0,1.0,29.8,25.44,24.6,25.0,1.0,29.8,41.58,26.3,26.0
2023-05-30 11:30:00,,39.33,29.5,26.9,28.633333333333336,28.3,28.3,[28.3],1.0,26.9,42.48,26.3,26.0,1.0,29.5,25.62,24.6,25.0,1.0,29.5,41.94,26.1,26.0
2023-05-30 11:35:00,,39.32,29.3,26.8,28.46666666666667,28.2,28.2,[28.2],1.0,26.8,42.42,26.2,26.0,1.0,29.3,25.5,24.3,25.0,1.0,29.3,26.94,26.1,26.0
2023-05-30 11:40:00,,39.33,29.5,26.7,28.566666666666663,28.2,28.2,[28.2],1.0,26.7,42.66,26.0,26.0,1.0,29.5,25.68,24.3,25.0,1.0,29.5,26.94,27.0,26.0
2023-05-30 11:45:00,,39.35,29.5,26.7,28.566666666666663,28.3,28.3,[28.3],1.0,26.7,26.52,26.2,26.0,1.0,29.5,25.5,24.4,25.0,1.0,29.5,41.7,26.3,26.0
2023-05-30 11:50:00,,39.39,29.3,27.0,28.53333333333333,28.4,28.4,[28.4],1.0,27.0,26.7,26.5,26.0,1.0,29.3,25.44,24.6,25.0,1.0,29.3,41.64,26.1,26.0
2023-05-30 11:55:00,,39.47,29.2,28.0,28.73333333333333,28.7,28.7,[28.7],1.0,28.0,26.52,26.9,26.0,1.0,29.0,25.32,24.8,25.0,1.0,29.2,41.4,26.2,26.0
2023-05-30 12:00:00,,39.46,29.2,28.3,28.83333333333333,28.7,28.7,[28.7],1.0,28.3,42.24,26.8,26.0,1.0,29.0,25.32,24.9,25.0,1.0,29.2,41.46,26.1,26.0
2023-05-30 12:05:00,,39.38,29.1,28.3,28.76666666666667,28.6,28.6,[28.6],1.0,28.3,42.66,26.5,26.0,1.0,28.9,25.38,24.6,25.0,1.0,29.1,26.76,26.2,26.0
2023-05-30 12:10:00,,39.36,29.5,28.1,29.03333333333333,28.6,28.6,[28.6],1.0,28.1,42.72,26.4,26.0,1.0,29.5,25.56,24.6,25.0,1.0,29.5,26.64,26.5,26.0
2023-05-30 12:15:00,,39.370000000000005,29.5,27.7,28.9,28.6,28.6,[28.6],1.0,27.7,42.36,26.3,26.0,1.0,29.5,25.32,24.5,25.0,1.0,29.5,39.9,27.1,26.0
2023-05-30 12:20:00,,39.36,29.8,27.4,29.0,28.4,28.4,[28.4],1.0,27.4,42.12,26.1,26.0,1.0,29.8,25.32,24.4,25.0,1.0,29.8,41.46,26.1,26.0
2023-05-30 12:25:00,,39.34,29.4,27.1,28.633333333333336,28.3,28.3,[28.3],1.0,27.1,42.36,26.0,26.0,1.0,29.4,25.26,24.2,25.0,1.0,29.4,26.7,26.1,26.0
