time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1109517_c,1109517_h,1109517_p,1109517_r,1109517_s,1109518_c,1109518_h,1109518_p,1109518_r,1109518_s,3790217_c,3790217_h,3790217_p,3790217_r,3790217_s
2023-05-30 09:05:00,,50.0,23.4,22.0,22.83333333333333,24.9,24.9,[24.9],1.0,23.1,12.09,26.0,25.0,1.0,23.4,21.48,25.8,25.0,0.0,22.0,0.18,24.0,26.0
2023-05-30 09:10:00,,50.0,23.5,22.1,22.9,24.9,24.9,[24.9],1.0,23.1,12.0,26.0,25.0,1.0,23.5,21.3,25.9,25.0,0.0,22.1,0.18,24.0,26.0
2023-05-30 09:15:00,,50.0,23.5,22.1,22.9,24.9,24.9,[24.9],1.0,23.1,12.27,26.0,25.0,1.0,23.5,21.84,25.8,25.0,0.0,22.1,0.18,24.0,26.0
2023-05-30 09:20:00,,51.0,23.4,22.1,22.866666666666664,24.9,24.9,[24.9],1.0,23.1,12.21,26.0,25.0,1.0,23.4,21.84,25.8,25.0,0.0,22.1,0.18,24.0,26.0
2023-05-30 09:25:00,,51.0,23.4,22.1,22.899999999999995,24.9,24.9,[24.9],1.0,23.2,12.39,26.0,25.0,1.0,23.4,21.9,25.8,25.0,0.0,22.1,0.18,24.0,26.0
2023-05-30 09:30:00,,51.0,23.5,22.1,22.933333333333337,24.9,24.9,[24.9],1.0,23.2,12.18,26.0,25.0,1.0,23.5,21.84,25.9,25.0,0.0,22.1,0.18,24.0,26.0
2023-05-30 09:35:00,,51.0,23.5,22.1,22.933333333333337,24.9,24.9,[24.9],1.0,23.2,11.85,26.0,25.0,1.0,23.5,21.66,25.8,25.0,0.0,22.1,0.15,24.0,26.0
2023-05-30 09:40:00,,51.0,23.5,22.1,22.933333333333337,24.9,24.9,[24.9],1.0,23.2,12.18,26.0,25.0,1.0,23.5,21.6,25.8,25.0,0.0,22.1,0.18,24.0,26.0
2023-05-30 09:45:00,,50.0,23.5,22.1,22.933333333333337,24.9,24.9,[24.9],1.0,23.2,12.42,26.0,25.0,1.0,23.5,22.02,25.9,25.0,0.0,22.1,0.18,24.0,26.0
2023-05-30 09:50:00,,50.0,23.5,22.1,22.933333333333337,24.9,24.9,[24.9],1.0,23.2,12.39,26.1,25.0,1.0,23.5,21.96,25.9,25.0,0.0,22.1,0.18,24.0,26.0
2023-05-30 09:55:00,,50.0,23.6,22.1,23.0,24.9,24.9,[24.9],1.0,23.3,12.0,26.1,25.0,1.0,23.6,21.96,25.9,25.0,0.0,22.1,0.18,24.0,26.0
