time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3797893_c,3797893_h,3797893_p,3797893_r,3797893_s,3797894_c,3797894_h,3797894_p,3797894_r,3797894_s
2023-05-30 09:00:00,,,,,,,,,,,7.56,,,,,8.82,,
2023-05-30 09:05:00,,,36.6,29.5,33.05,29.0,29.0,[29.0],1.0,29.5,7.56,27.6,26.0,1.0,36.6,8.94,29.0,27.0
2023-05-30 09:10:00,,,36.2,29.5,32.85,28.9,28.9,[28.9],1.0,29.5,7.5,27.5,26.0,1.0,36.2,8.88,29.0,27.0
2023-05-30 09:15:00,,,36.2,29.2,32.7,28.8,28.8,[28.8],1.0,29.2,7.44,27.4,26.0,1.0,36.2,8.76,29.0,27.0
2023-05-30 09:20:00,,,35.8,28.9,32.349999999999994,28.7,28.7,[28.7],1.0,28.9,7.5,27.3,26.0,1.0,35.8,8.94,28.0,27.0
2023-05-30 09:25:00,,,35.8,28.9,32.349999999999994,28.6,28.6,[28.6],1.0,28.9,7.56,27.2,26.0,1.0,35.8,8.82,28.0,27.0
2023-05-30 09:30:00,,,35.6,28.9,32.25,28.6,28.6,[28.6],1.0,28.9,7.44,27.2,26.0,1.0,35.6,8.82,28.0,27.0
2023-05-30 09:35:00,,,35.4,28.7,32.05,28.5,28.5,[28.5],1.0,28.7,7.5,27.1,26.0,1.0,35.4,8.76,28.0,27.0
2023-05-30 09:40:00,,,35.4,28.7,32.05,28.4,28.4,[28.4],1.0,28.7,7.56,27.1,26.0,1.0,35.4,8.94,28.0,27.0
2023-05-30 09:45:00,,,35.4,28.6,32.0,28.4,28.4,[28.4],1.0,28.6,7.5,27.0,26.0,1.0,35.4,9.0,28.0,27.0
2023-05-30 09:50:00,,,35.3,28.6,31.95,28.4,28.4,[28.4],1.0,28.6,7.56,26.9,26.0,1.0,35.3,9.0,28.0,27.0
2023-05-30 09:55:00,,,35.2,28.7,31.950000000000003,28.4,28.4,[28.4],1.0,28.7,7.5,26.9,26.0,1.0,35.2,8.7,28.0,27.0
2023-05-30 10:00:00,,,35.2,28.6,31.9,28.3,28.3,[28.3],1.0,28.6,7.56,26.9,26.0,1.0,35.2,8.7,28.0,27.0
2023-05-30 10:05:00,,,35.4,29.0,32.2,28.5,28.5,[28.5],1.0,29.0,7.56,27.1,26.0,1.0,35.4,8.76,29.0,27.0
2023-05-30 10:10:00,,,36.0,29.0,32.5,28.7,28.7,[28.7],1.0,29.0,7.62,27.2,26.0,1.0,36.0,8.82,29.0,27.0
2023-05-30 10:15:00,,,36.4,29.7,33.05,28.9,28.9,[28.9],1.0,29.7,7.56,27.5,26.0,1.0,36.4,9.0,29.0,27.0
2023-05-30 10:20:00,,,36.8,30.2,33.5,29.0,29.0,[29.0],1.0,30.2,7.74,27.6,26.0,1.0,36.8,8.94,30.0,27.0
2023-05-30 10:25:00,,,36.8,30.3,33.55,29.2,29.2,[29.2],1.0,30.3,7.74,27.9,26.0,1.0,36.8,8.94,30.0,27.0
2023-05-30 10:30:00,,,37.0,30.7,33.85,29.2,29.2,[29.2],1.0,30.7,7.74,28.0,26.0,1.0,37.0,9.0,29.0,27.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,,37.0,29.7,33.35,28.9,28.9,[28.9],1.0,29.7,7.68,27.7,26.0,1.0,37.0,8.88,29.0,27.0
2023-05-30 10:45:00,,,36.4,29.4,32.9,28.8,28.8,[28.8],1.0,29.4,7.68,27.6,26.0,1.0,36.4,8.82,29.0,27.0
2023-05-30 10:50:00,,,36.2,29.4,32.8,28.7,28.7,[28.7],1.0,29.4,7.68,27.5,26.0,1.0,36.2,9.0,29.0,27.0
2023-05-30 10:55:00,,,36.0,29.2,32.6,28.7,28.7,[28.7],1.0,29.2,7.74,27.5,26.0,1.0,36.0,9.12,28.0,27.0
2023-05-30 11:00:00,,,35.7,29.2,32.45,28.6,28.6,[28.6],1.0,29.2,7.86,27.3,26.0,1.0,35.7,9.0,28.0,27.0
2023-05-30 11:05:00,,,35.7,29.0,32.35,28.6,28.6,[28.6],1.0,29.0,7.86,27.2,26.0,1.0,35.7,9.12,28.0,27.0
2023-05-30 11:10:00,,,35.6,29.0,32.3,28.5,28.5,[28.5],1.0,29.0,7.8,27.3,26.0,1.0,35.6,8.94,28.0,27.0
2023-05-30 11:15:00,,,35.6,29.0,32.3,28.5,28.5,[28.5],1.0,29.0,7.8,27.2,26.0,1.0,35.6,9.24,28.0,27.0
2023-05-30 11:20:00,,,35.6,28.8,32.2,28.4,28.4,[28.4],1.0,28.8,7.92,27.2,26.0,1.0,35.6,9.12,28.0,27.0
2023-05-30 11:25:00,,,35.5,28.5,32.0,28.4,28.4,[28.4],1.0,28.5,7.86,27.1,26.0,1.0,35.5,9.24,28.0,27.0
2023-05-30 11:30:00,,,35.5,28.4,31.95,28.4,28.4,[28.4],1.0,28.4,7.92,27.1,26.0,1.0,35.5,9.18,28.0,27.0
2023-05-30 11:35:00,,,35.5,28.2,31.85,28.4,28.4,[28.4],1.0,28.2,7.86,27.1,26.0,1.0,35.5,9.24,28.0,27.0
2023-05-30 11:40:00,,,35.4,28.2,31.8,28.3,28.3,[28.3],1.0,28.2,7.98,27.0,26.0,1.0,35.4,9.12,28.0,27.0
2023-05-30 11:45:00,,,35.3,28.2,31.75,28.3,28.3,[28.3],1.0,28.2,7.86,27.1,26.0,1.0,35.3,9.24,28.0,27.0
2023-05-30 11:50:00,,,35.3,28.2,31.75,28.3,28.3,[28.3],1.0,28.2,7.86,27.0,26.0,1.0,35.3,9.12,28.0,27.0
2023-05-30 11:55:00,,,35.5,28.2,31.85,28.3,28.3,[28.3],1.0,28.2,7.74,27.0,26.0,1.0,35.5,9.06,28.0,27.0
2023-05-30 12:00:00,,,35.5,28.7,32.1,28.4,28.4,[28.4],1.0,28.7,7.92,27.1,26.0,1.0,35.5,9.12,29.0,27.0
2023-05-30 12:05:00,,,35.8,29.3,32.55,28.7,28.7,[28.7],1.0,29.3,7.98,27.3,26.0,1.0,35.8,9.24,29.0,27.0
2023-05-30 12:10:00,,,36.4,29.7,33.05,28.9,28.9,[28.9],1.0,29.7,7.86,27.6,26.0,1.0,36.4,9.12,29.0,27.0
2023-05-30 12:15:00,,,36.4,30.3,33.35,29.0,29.0,[29.0],1.0,30.3,7.92,27.7,26.0,1.0,36.4,9.12,30.0,27.0
2023-05-30 12:20:00,,,36.9,30.7,33.8,29.2,29.2,[29.2],1.0,30.7,7.98,28.0,26.0,1.0,36.9,9.24,30.0,27.0
2023-05-30 12:25:00,,,37.0,30.7,33.85,29.2,29.2,[29.2],1.0,30.7,7.86,28.2,26.0,1.0,37.0,9.24,29.0,27.0
2023-05-30 12:30:00,,,36.7,30.7,33.7,29.0,29.0,[29.0],1.0,30.7,8.04,28.1,26.0,1.0,36.7,9.24,29.0,27.0
2023-05-30 12:35:00,,,36.7,30.2,33.45,28.9,28.9,[28.9],1.0,30.2,7.74,28.0,26.0,1.0,36.7,9.0,29.0,27.0
2023-05-30 12:40:00,,,36.3,30.0,33.15,28.9,28.9,[28.9],1.0,30.0,7.86,27.8,26.0,1.0,36.3,9.18,29.0,27.0
2023-05-30 12:45:00,,,36.1,29.2,32.65,28.8,28.8,[28.8],1.0,29.2,7.86,27.7,26.0,1.0,36.1,9.06,29.0,27.0
2023-05-30 12:50:00,,,36.1,29.2,32.65,28.7,28.7,[28.7],1.0,29.2,7.98,27.6,26.0,1.0,36.1,9.24,29.0,27.0
2023-05-30 12:55:00,,,36.0,29.2,32.6,28.7,28.7,[28.7],1.0,29.2,7.92,27.6,26.0,1.0,36.0,9.24,29.0,27.0
2023-05-30 13:00:00,,,36.0,29.2,32.6,28.6,28.6,[28.6],1.0,29.2,7.98,27.5,26.0,1.0,36.0,9.24,29.0,27.0
