time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,40105_c,40105_h,40105_p,40105_r,40105_s,40106_c,40106_h,40106_p,40106_r,40106_s
2023-05-30 09:05:00,,,32.9,29.8,31.35,26.3,26.3,[26.3],1.0,32.9,0.33,27.0,29.0,1.0,29.8,-1.05,28.0,29.0
2023-05-30 09:10:00,,,32.9,29.5,31.2,26.2,26.2,[26.2],1.0,32.9,0.33,26.0,29.0,1.0,29.5,-1.14,27.0,29.0
2023-05-30 09:15:00,,,32.8,29.4,31.1,26.1,26.1,[26.1],1.0,32.8,0.09,26.0,29.0,1.0,29.4,-1.05,27.0,29.0
2023-05-30 09:20:00,,,32.7,29.4,31.05,26.3,26.3,[26.3],1.0,32.7,0.06,27.0,29.0,1.0,29.4,-1.08,28.0,29.0
2023-05-30 09:25:00,,,32.7,29.9,31.3,26.5,26.5,[26.5],1.0,32.7,0.06,27.0,29.0,1.0,29.9,-1.02,29.0,29.0
2023-05-30 09:30:00,,,32.9,29.8,31.35,26.3,26.3,[26.3],1.0,32.9,0.42,27.0,29.0,1.0,29.8,-1.11,28.0,29.0
2023-05-30 09:35:00,,,32.9,29.6,31.25,26.2,26.2,[26.2],1.0,32.9,0.39,26.0,29.0,1.0,29.6,-1.08,27.0,29.0
2023-05-30 09:40:00,,,32.8,29.3,31.05,26.0,26.0,[26.0],1.0,32.8,0.06,26.0,29.0,1.0,29.3,-1.14,27.0,29.0
2023-05-30 09:45:00,,,32.8,29.5,31.15,26.2,26.2,[26.2],1.0,32.8,0.06,27.0,29.0,1.0,29.5,-1.11,27.0,29.0
2023-05-30 09:50:00,,,32.7,29.9,31.3,26.4,26.4,[26.4],1.0,32.7,0.09,27.0,29.0,1.0,29.9,-1.11,28.0,29.0
2023-05-30 09:55:00,,,32.9,29.9,31.4,26.4,26.4,[26.4],1.0,32.9,0.36,27.0,29.0,1.0,29.9,-1.14,28.0,29.0
2023-05-30 10:00:00,,,32.9,29.9,31.4,26.2,26.2,[26.2],1.0,32.9,0.39,26.0,29.0,1.0,29.9,-1.14,27.0,29.0
2023-05-30 10:05:00,,,32.9,29.4,31.15,26.0,26.0,[26.0],1.0,32.9,0.06,26.0,29.0,1.0,29.4,-1.14,27.0,29.0
2023-05-30 10:10:00,,,32.9,29.6,31.25,26.3,26.3,[26.3],1.0,32.9,0.06,27.0,29.0,1.0,29.6,-1.11,28.0,29.0
2023-05-30 10:15:00,,,32.8,29.9,31.35,26.5,26.5,[26.5],1.0,32.8,0.33,28.0,29.0,1.0,29.9,-1.08,28.0,29.0
2023-05-30 10:20:00,,,32.9,29.9,31.4,26.3,26.3,[26.3],1.0,32.9,0.36,27.0,29.0,1.0,29.9,-1.08,28.0,29.0
2023-05-30 10:25:00,,,32.9,29.5,31.2,26.2,26.2,[26.2],1.0,32.9,0.42,26.0,29.0,1.0,29.5,-1.14,27.0,29.0
2023-05-30 10:30:00,,,32.9,29.5,31.2,26.1,26.1,[26.1],1.0,32.9,0.03,26.0,29.0,1.0,29.5,-1.08,27.0,29.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,
