time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,1227965_c,1227965_h,1227965_p,1227965_r,1227965_s
2023-05-30 09:05:00,,18.0,32.6,32.6,32.6,1.0,32.6,8.4,24.2,26.0
2023-05-30 09:10:00,,18.0,32.6,32.6,32.6,1.0,32.6,0.8,24.2,26.0
2023-05-30 09:15:00,,18.0,33.2,33.2,33.2,1.0,33.2,0.8,24.8,26.0
2023-05-30 09:20:00,,18.0,33.2,33.2,33.2,1.0,33.2,0.9,25.1,26.0
2023-05-30 09:25:00,,18.0,33.9,33.9,33.9,1.0,33.9,0.9,25.4,26.0
2023-05-30 09:30:00,,18.0,35.0,35.0,35.0,1.0,35.0,0.9,25.7,26.0
2023-05-30 09:35:00,,18.0,35.6,35.6,35.6,1.0,35.6,0.9,26.1,26.0
2023-05-30 09:40:00,,18.0,36.2,36.2,36.2,1.0,36.2,0.9,26.3,26.0
2023-05-30 09:45:00,,18.0,36.2,36.2,36.2,1.0,36.2,0.9,26.6,26.0
2023-05-30 09:50:00,,18.0,36.7,36.7,36.7,1.0,36.7,0.9,26.9,26.0
2023-05-30 09:55:00,,18.0,37.5,37.5,37.5,1.0,37.5,0.9,26.9,26.0
2023-05-30 10:00:00,,18.0,37.5,37.5,37.5,1.0,37.5,0.9,27.4,26.0
2023-05-30 10:05:00,,18.0,37.8,37.8,37.8,1.0,37.8,21.1,26.6,26.0
2023-05-30 10:10:00,,18.0,38.1,38.1,38.1,1.0,38.1,15.3,26.6,26.0
2023-05-30 10:15:00,,18.0,37.2,37.2,37.2,1.0,37.2,15.6,25.7,26.0
2023-05-30 10:20:00,,18.0,35.1,35.1,35.1,1.0,35.1,13.1,25.1,26.0
2023-05-30 10:25:00,,18.0,34.8,34.8,34.8,1.0,34.8,10.6,24.9,26.0
2023-05-30 10:30:00,,18.0,34.3,34.3,34.3,1.0,34.3,8.7,24.5,26.0
2023-05-30 10:35:00,,,,,,,,,,
2023-05-30 10:40:00,,18.0,33.7,33.7,33.7,1.0,33.7,8.7,24.3,26.0
2023-05-30 10:45:00,,18.0,33.5,33.5,33.5,1.0,33.5,8.8,24.3,26.0
2023-05-30 10:50:00,,18.0,33.5,33.5,33.5,1.0,33.5,8.7,24.1,26.0
2023-05-30 10:55:00,,18.0,33.3,33.3,33.3,1.0,33.3,8.9,23.9,26.0
2023-05-30 11:00:00,,18.0,33.2,33.2,33.2,1.0,33.2,8.7,23.9,26.0
2023-05-30 11:05:00,,18.0,33.2,33.2,33.2,1.0,33.2,8.8,23.9,26.0
2023-05-30 11:10:00,,18.0,33.1,33.1,33.1,1.0,33.1,8.8,23.9,26.0
2023-05-30 11:15:00,,18.0,33.0,33.0,33.0,1.0,33.0,0.8,24.7,26.0
2023-05-30 11:20:00,,18.0,33.1,33.1,33.1,1.0,33.1,0.8,25.6,26.0
2023-05-30 11:25:00,,18.0,34.2,34.2,34.2,1.0,34.2,0.9,25.6,26.0
2023-05-30 11:30:00,,18.0,35.0,35.0,35.0,1.0,35.0,,25.6,26.0
2023-05-30 11:35:00,,18.0,35.0,35.0,35.0,1.0,35.0,0.9,26.4,26.0
2023-05-30 11:40:00,,18.0,36.0,36.0,36.0,1.0,36.0,0.9,26.3,26.0
2023-05-30 11:45:00,,18.0,36.0,36.0,36.0,1.0,36.0,0.9,26.5,26.0
2023-05-30 11:50:00,,18.0,36.6,36.6,36.6,1.0,36.6,0.9,26.5,26.0
2023-05-30 11:55:00,,18.0,37.0,37.0,37.0,1.0,37.0,0.9,27.3,26.0
2023-05-30 12:00:00,,18.0,37.4,37.4,37.4,1.0,37.4,0.9,27.4,26.0
2023-05-30 12:05:00,,18.0,38.2,38.2,38.2,1.0,38.2,15.1,27.0,26.0
2023-05-30 12:10:00,,18.0,38.2,38.2,38.2,1.0,38.2,17.0,25.6,26.0
2023-05-30 12:15:00,,18.0,36.5,36.5,36.5,1.0,36.5,15.1,26.0,26.0
2023-05-30 12:20:00,,18.0,36.5,36.5,36.5,1.0,36.5,15.4,25.4,26.0
2023-05-30 12:25:00,,18.0,35.2,35.2,35.2,1.0,35.2,13.3,24.9,26.0
2023-05-30 12:30:00,,18.0,34.5,34.5,34.5,1.0,34.5,9.8,24.6,26.0
2023-05-30 12:35:00,,18.0,34.0,34.0,34.0,1.0,34.0,8.9,24.5,26.0
2023-05-30 12:40:00,,18.0,33.7,33.7,33.7,1.0,33.7,9.1,24.5,26.0
2023-05-30 12:45:00,,18.0,33.5,33.5,33.5,1.0,33.5,9.2,24.4,26.0
2023-05-30 12:50:00,,18.0,33.5,33.5,33.5,1.0,33.5,9.2,24.2,26.0
2023-05-30 12:55:00,,18.0,33.5,33.5,33.5,1.0,33.5,9.1,24.0,26.0
2023-05-30 13:00:00,,18.0,33.5,33.5,33.5,1.0,33.5,9.4,24.1,26.0
2023-05-30 13:05:00,,18.0,33.4,33.4,33.4,1.0,33.4,9.1,24.0,26.0
2023-05-30 13:10:00,,18.0,33.3,33.3,33.3,1.0,33.3,9.1,23.8,26.0
2023-05-30 13:15:00,,18.0,33.2,33.2,33.2,1.0,33.2,9.5,23.9,26.0
2023-05-30 13:20:00,,18.0,33.0,33.0,33.0,1.0,33.0,0.8,24.9,26.0
2023-05-30 13:25:00,,18.0,33.4,33.4,33.4,1.0,33.4,0.8,25.2,26.0
2023-05-30 13:30:00,,18.0,33.9,33.9,33.9,1.0,33.9,0.9,25.6,26.0
2023-05-30 13:35:00,,18.0,34.5,34.5,34.5,1.0,34.5,0.9,25.6,26.0
2023-05-30 13:40:00,,18.0,35.8,35.8,35.8,1.0,35.8,0.9,26.4,26.0
2023-05-30 13:45:00,,18.0,35.8,35.8,35.8,1.0,35.8,0.9,26.7,26.0
2023-05-30 13:50:00,,18.0,36.3,36.3,36.3,1.0,36.3,0.9,26.7,26.0
2023-05-30 13:55:00,,18.0,36.9,36.9,36.9,1.0,36.9,0.9,27.0,26.0
2023-05-30 14:00:00,,18.0,37.6,37.6,37.6,1.0,37.6,0.9,27.3,26.0
2023-05-30 14:05:00,,18.0,37.6,37.6,37.6,1.0,37.6,0.9,27.5,26.0
2023-05-30 14:10:00,,18.0,38.0,38.0,38.0,1.0,38.0,22.1,26.6,26.0
2023-05-30 14:15:00,,18.0,38.0,38.0,38.0,1.0,38.0,15.4,25.8,26.0
