time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,43294_c,43294_p,43294_r,43294_s,43295_c,43295_h,43295_p,43295_r,43295_s
2023-05-30 09:05:00,,26.0,30.9,30.9,30.9,26.2,26.2,[26.2],1.0,3.99,25.7,27.0,1.0,30.9,26.16,26.1,27.0
2023-05-30 09:10:00,,26.0,31.2,31.2,31.2,26.2,26.2,[26.2],1.0,3.99,25.6,27.0,1.0,31.2,26.34,25.8,27.0
2023-05-30 09:15:00,,26.0,31.3,31.3,31.3,26.2,26.2,[26.2],1.0,45.81,25.8,27.0,1.0,31.3,26.16,25.1,27.0
2023-05-30 09:20:00,,26.0,30.8,30.8,30.8,25.6,25.6,[25.6],1.0,3.99,25.1,27.0,1.0,30.8,26.28,25.0,27.0
2023-05-30 09:25:00,,26.0,30.4,30.4,30.4,26.0,26.0,[26.0],1.0,3.99,26.3,27.0,1.0,30.4,25.26,26.5,27.0
2023-05-30 09:30:00,,26.0,30.8,30.8,30.8,26.2,26.2,[26.2],1.0,3.99,25.6,27.0,1.0,30.8,26.82,25.9,27.0
2023-05-30 09:35:00,,26.0,31.1,31.1,31.1,26.2,26.2,[26.2],1.0,3.98,25.4,27.0,1.0,31.1,2.82,25.8,27.0
2023-05-30 09:40:00,,26.0,31.1,31.1,31.1,26.4,26.4,[26.4],1.0,3.98,26.3,27.0,1.0,31.1,26.16,26.6,27.0
2023-05-30 09:45:00,,26.0,31.4,31.4,31.4,26.4,26.4,[26.4],1.0,3.99,25.7,27.0,1.0,31.4,26.1,26.1,27.0
2023-05-30 09:50:00,,26.0,31.4,31.4,31.4,26.4,26.4,[26.4],1.0,3.99,26.6,27.0,1.0,31.4,2.52,26.6,27.0
2023-05-30 09:55:00,,26.0,31.4,31.4,31.4,25.9,25.9,[25.9],1.0,46.82,25.1,27.0,1.0,31.4,26.1,24.0,27.0
2023-05-30 10:00:00,,26.0,31.1,31.1,31.1,25.8,25.8,[25.8],1.0,3.98,26.5,27.0,1.0,31.1,25.56,26.2,27.0
2023-05-30 10:05:00,,26.0,31.0,31.0,31.0,26.1,26.1,[26.1],1.0,3.99,25.7,27.0,1.0,31.0,26.28,26.0,27.0
2023-05-30 10:10:00,,26.0,31.0,31.0,31.0,26.1,26.1,[26.1],1.0,3.99,25.6,27.0,1.0,31.0,26.28,25.8,27.0
2023-05-30 10:15:00,,26.0,31.0,31.0,31.0,26.3,26.3,[26.3],1.0,3.98,26.6,27.0,1.0,31.0,28.2,26.8,27.0
