time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3804555_c,3804555_h,3804555_p,3804555_r,3804555_s,547213_c,547213_h,547213_p,547213_r,547213_s,547214_c,547214_h,547214_p,547214_r,547214_s
2023-05-30 09:00:00,,,,,,,,,,,0.0,,,,,0.3,,,,,19.68,,
2023-05-30 09:05:00,,1.15,34.4,28.8,32.53333333333333,33.5,33.5,[33.5],0.0,34.4,0.0,30.0,26.0,0.0,34.4,0.3,29.0,26.0,1.0,28.8,19.32,29.0,21.0
2023-05-30 09:10:00,,1.15,34.3,28.9,32.5,33.5,33.5,[33.5],0.0,34.3,0.0,30.0,26.0,0.0,34.3,0.3,29.0,26.0,1.0,28.9,19.92,29.0,21.0
2023-05-30 09:15:00,,1.15,34.3,28.9,32.5,33.5,33.5,[33.5],0.0,34.3,0.0,30.0,26.0,0.0,34.3,0.3,29.0,26.0,1.0,28.9,19.86,29.0,21.0
2023-05-30 09:20:00,,1.15,34.4,28.9,32.56666666666666,33.5,33.5,[33.5],0.0,34.4,0.0,30.0,26.0,0.0,34.4,0.3,29.0,26.0,1.0,28.9,19.98,29.0,21.0
2023-05-30 09:25:00,,1.15,34.3,28.8,32.46666666666666,33.5,33.5,[33.5],0.0,34.3,0.0,30.0,26.0,0.0,34.3,0.3,29.0,26.0,1.0,28.8,19.62,29.0,21.0
2023-05-30 09:30:00,,1.16,34.4,28.9,32.56666666666666,33.5,33.5,[33.5],0.0,34.4,0.0,30.0,26.0,0.0,34.4,0.3,29.0,26.0,1.0,28.9,19.68,29.0,21.0
2023-05-30 09:35:00,,1.16,34.3,28.9,32.5,33.5,33.5,[33.5],0.0,34.3,0.0,30.0,26.0,0.0,34.3,0.3,29.0,26.0,1.0,28.9,20.1,29.0,21.0
2023-05-30 09:40:00,,1.15,34.4,28.9,32.56666666666666,33.5,33.5,[33.5],0.0,34.4,0.0,30.0,26.0,0.0,34.4,0.3,29.0,26.0,1.0,28.9,19.62,29.0,21.0
2023-05-30 09:45:00,,1.16,34.4,28.9,32.56666666666666,33.5,33.5,[33.5],0.0,34.4,0.0,30.0,26.0,0.0,34.4,0.3,29.0,26.0,1.0,28.9,19.68,29.0,21.0
2023-05-30 09:50:00,,1.16,34.4,28.9,32.56666666666666,33.5,33.5,[33.5],0.0,34.4,0.0,30.0,26.0,0.0,34.4,0.3,29.0,26.0,1.0,28.9,19.56,29.0,21.0
2023-05-30 09:55:00,,1.16,34.4,28.9,32.56666666666666,33.5,33.5,[33.5],0.0,34.4,0.0,30.0,26.0,0.0,34.4,0.3,29.0,26.0,1.0,28.9,19.74,29.0,21.0
2023-05-30 10:00:00,,1.15,34.3,28.9,32.5,33.5,33.5,[33.5],0.0,34.3,0.0,30.0,26.0,0.0,34.3,0.3,29.0,26.0,1.0,28.9,19.56,29.0,21.0
2023-05-30 10:05:00,,1.15,34.4,28.9,32.56666666666666,33.5,33.5,[33.5],0.0,34.4,0.0,30.0,26.0,0.0,34.4,0.3,29.0,26.0,1.0,28.9,19.8,29.0,21.0
2023-05-30 10:10:00,,1.15,34.4,28.9,32.56666666666666,33.5,33.5,[33.5],0.0,34.4,0.0,30.0,26.0,0.0,34.4,0.3,29.0,26.0,1.0,28.9,20.04,29.0,21.0
