time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3805503_c,3805503_h,3805503_r,3805503_s
2023-05-30 09:05:00,,12.46,31.5,31.5,31.5,26.4,26.4,[26.4],1.0,31.5,25.0,26.0
2023-05-30 09:10:00,,12.29,31.5,31.5,31.5,26.4,26.4,[26.4],1.0,31.5,26.0,26.0
2023-05-30 09:15:00,,12.44,32.0,32.0,32.0,26.3,26.3,[26.3],1.0,32.0,27.0,26.0
2023-05-30 09:20:00,,12.45,31.7,31.7,31.7,26.4,26.4,[26.4],1.0,31.7,27.0,26.0
2023-05-30 09:25:00,,12.39,31.8,31.8,31.8,26.1,26.1,[26.1],1.0,31.8,27.0,26.0
2023-05-30 09:30:00,,12.37,32.0,32.0,32.0,26.4,26.4,[26.4],1.0,32.0,26.0,26.0
2023-05-30 09:35:00,,12.33,31.5,31.5,31.5,26.2,26.2,[26.2],1.0,31.5,26.0,26.0
2023-05-30 09:40:00,,12.39,31.9,31.9,31.9,26.5,26.5,[26.5],1.0,31.9,25.0,26.0
2023-05-30 09:45:00,,12.34,31.9,31.9,31.9,26.6,26.6,[26.6],1.0,31.9,26.0,26.0
2023-05-30 09:50:00,,12.41,31.7,31.7,31.7,26.4,26.4,[26.4],1.0,31.7,27.0,26.0
2023-05-30 09:55:00,,12.38,31.9,31.9,31.9,26.4,26.4,[26.4],1.0,31.9,27.0,26.0
2023-05-30 10:00:00,,12.45,31.6,31.6,31.6,26.0,26.0,[26.0],1.0,31.6,26.0,26.0
2023-05-30 10:05:00,,12.44,31.6,31.6,31.6,26.2,26.2,[26.2],1.0,31.6,25.0,26.0
2023-05-30 10:10:00,,12.31,31.9,31.9,31.9,26.3,26.3,[26.3],1.0,31.9,26.0,26.0
2023-05-30 10:15:00,,12.35,31.6,31.6,31.6,26.4,26.4,[26.4],1.0,31.6,27.0,26.0
2023-05-30 10:20:00,,12.31,31.6,31.6,31.6,26.6,26.6,[26.6],1.0,31.6,27.0,26.0
2023-05-30 10:25:00,,12.37,31.8,31.8,31.8,26.2,26.2,[26.2],1.0,31.8,26.0,26.0
2023-05-30 10:30:00,,12.33,31.9,31.9,31.9,26.4,26.4,[26.4],1.0,31.9,25.0,26.0
2023-05-30 10:35:00,,,,,,,,,,,,
2023-05-30 10:40:00,,12.36,31.9,31.9,31.9,26.4,26.4,[26.4],1.0,31.9,26.0,26.0
2023-05-30 10:45:00,,12.41,31.9,31.9,31.9,26.5,26.5,[26.5],1.0,31.9,27.0,26.0
2023-05-30 10:50:00,,12.4,31.6,31.6,31.6,26.1,26.1,[26.1],1.0,31.6,27.0,26.0
2023-05-30 10:55:00,,12.59,31.6,31.6,31.6,26.3,26.3,[26.3],1.0,31.6,26.0,26.0
2023-05-30 11:00:00,,12.36,31.7,31.7,31.7,26.5,26.5,[26.5],1.0,31.7,26.0,26.0
2023-05-30 11:05:00,,12.44,31.7,31.7,31.7,26.3,26.3,[26.3],1.0,31.7,27.0,26.0
2023-05-30 11:10:00,,12.47,31.9,31.9,31.9,26.5,26.5,[26.5],1.0,31.9,27.0,26.0
