time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,29900_c,29900_h,29900_r,29900_s,3802119_c,3802119_h,3802119_r,3802119_s
2023-05-30 09:05:00,,13.86,23.3,23.3,23.3,28.7,28.7,[28.7],1.0,23.3,27.0,28.0,1.0,23.3,28.0,28.0
2023-05-30 09:10:00,,13.74,23.3,23.3,23.3,28.7,28.7,[28.7],1.0,23.3,27.0,28.0,1.0,23.3,28.0,28.0
2023-05-30 09:15:00,,13.44,24.1,24.1,24.1,28.9,28.9,[28.9],1.0,24.1,28.0,28.0,1.0,24.1,28.0,28.0
2023-05-30 09:20:00,,13.62,23.8,23.8,23.8,28.8,28.8,[28.8],1.0,23.8,27.0,28.0,1.0,23.8,28.0,28.0
2023-05-30 09:25:00,,13.86,23.8,23.8,23.8,28.9,28.9,[28.9],1.0,23.8,28.0,28.0,1.0,23.8,28.0,28.0
2023-05-30 09:30:00,,13.44,24.4,24.4,24.4,28.9,28.9,[28.9],1.0,24.4,27.0,28.0,1.0,24.4,28.0,28.0
2023-05-30 09:35:00,,13.44,24.0,24.0,24.0,28.9,28.9,[28.9],1.0,24.0,27.0,26.0,1.0,24.0,28.0,27.0
2023-05-30 09:40:00,,13.8,24.0,24.0,24.0,28.7,28.7,[28.7],1.0,24.0,26.0,26.0,1.0,24.0,26.0,27.0
2023-05-30 09:45:00,,13.5,23.8,23.8,23.8,28.8,28.8,[28.8],1.0,23.8,27.0,26.0,1.0,23.8,27.0,27.0
2023-05-30 09:50:00,,13.38,23.7,23.7,23.7,28.8,28.8,[28.8],1.0,23.7,26.0,26.0,1.0,23.7,26.0,27.0
2023-05-30 09:55:00,,13.44,23.7,23.7,23.7,28.8,28.8,[28.8],1.0,23.7,27.0,26.0,1.0,23.7,26.0,27.0
2023-05-30 10:00:00,,13.44,23.6,23.6,23.6,28.8,28.8,[28.8],1.0,23.6,26.0,26.0,1.0,23.6,26.0,27.0
2023-05-30 10:05:00,,13.38,23.7,23.7,23.7,28.8,28.8,[28.8],1.0,23.7,27.0,26.0,1.0,23.7,27.0,27.0
2023-05-30 10:10:00,,14.04,23.5,23.5,23.5,28.7,28.7,[28.7],1.0,23.5,25.0,26.0,1.0,23.5,26.0,26.0
2023-05-30 10:15:00,,13.38,23.5,23.5,23.5,28.7,28.7,[28.7],1.0,23.5,26.0,26.0,1.0,23.5,27.0,26.0
2023-05-30 10:20:00,,13.38,22.9,22.9,22.9,28.7,28.7,[28.7],1.0,22.9,26.0,26.0,1.0,22.9,27.0,26.0
2023-05-30 10:25:00,,13.98,22.8,22.8,22.8,28.6,28.6,[28.6],1.0,22.8,26.0,26.0,1.0,22.8,27.0,26.0
2023-05-30 10:30:00,,13.8,22.7,22.7,22.7,28.6,28.6,[28.6],1.0,22.7,26.0,26.0,1.0,22.7,27.0,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,13.44,22.6,22.6,22.6,28.6,28.6,[28.6],1.0,22.6,26.0,27.0,1.0,22.6,27.0,27.0
2023-05-30 10:45:00,,13.98,22.4,22.4,22.4,28.7,28.7,[28.7],1.0,22.4,27.0,27.0,1.0,22.4,28.0,27.0
2023-05-30 10:50:00,,13.56,23.2,23.2,23.2,28.7,28.7,[28.7],1.0,23.2,27.0,27.0,1.0,23.2,27.0,27.0
2023-05-30 10:55:00,,13.98,23.1,23.1,23.1,28.7,28.7,[28.7],1.0,23.1,26.0,27.0,1.0,23.1,27.0,27.0
2023-05-30 11:00:00,,13.44,23.1,23.1,23.1,28.7,28.7,[28.7],1.0,23.1,26.0,27.0,1.0,23.1,27.0,27.0
2023-05-30 11:05:00,,13.38,22.9,22.9,22.9,28.7,28.7,[28.7],1.0,22.9,26.0,28.0,1.0,22.9,27.0,28.0
2023-05-30 11:10:00,,13.56,24.0,24.0,24.0,28.9,28.9,[28.9],1.0,24.0,28.0,28.0,1.0,24.0,29.0,28.0
