time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1510225_c,1510225_h,1510225_r,1510225_s,1510226_c,1510226_h,1510226_r,1510226_s,1510227_c,1510227_h,1510227_r,1510227_s
2023-05-30 15:25:00,,29.2,24.4,26.6,24.525,26.4,"[24.2, 23.1, 24.4, 26.4]",1.0,29.2,24.5,24.0,1.0,24.4,28.0,27.0,1.0,26.2,26.7,26.0
2023-05-30 15:30:00,,29.2,24.4,26.6,24.875,26.3,"[24.1, 23.7, 25.4, 26.3]",1.0,29.2,24.7,24.0,1.0,24.4,28.1,27.0,1.0,26.2,26.8,26.0
2023-05-30 15:35:00,,,,,25.35,26.6,"[24.2, 24.4, 26.2, 26.6]",1.0,,25.3,25.0,1.0,,28.0,28.0,1.0,,26.9,27.0
2023-05-30 15:40:00,,29.2,24.4,26.899999999999995,25.825,27.4,"[24.3, 25.0, 26.6, 27.4]",1.0,29.2,25.7,25.0,1.0,24.4,28.7,28.0,1.0,27.1,27.7,27.0
2023-05-30 15:45:00,,29.5,25.3,27.53333333333333,26.05,27.7,"[24.4, 25.1, 27.0, 27.7]",1.0,29.5,25.5,25.0,1.0,25.3,28.6,28.0,1.0,27.8,27.7,27.0
2023-05-30 15:50:00,,29.8,26.0,28.0,26.15,27.8,"[24.4, 25.2, 27.2, 27.8]",1.0,29.8,25.5,25.0,1.0,26.0,28.9,28.0,1.0,28.2,27.7,27.0
2023-05-30 15:55:00,,29.8,26.3,28.133333333333336,26.1,27.4,"[24.4, 25.3, 27.4, 27.3]",1.0,29.8,25.6,25.0,1.0,26.3,28.7,28.0,1.0,28.3,27.7,27.0
2023-05-30 16:00:00,,29.7,26.0,28.0,25.975,27.4,"[24.4, 25.3, 27.4, 26.8]",1.0,29.7,25.5,25.0,1.0,26.0,28.7,28.0,1.0,28.3,27.6,27.0
2023-05-30 16:05:00,,29.7,25.4,27.7,25.85,27.3,"[24.4, 25.2, 27.3, 26.5]",1.0,29.7,25.4,24.0,1.0,25.4,28.4,27.0,1.0,28.0,27.4,26.0
2023-05-30 16:10:00,,29.6,24.9,27.5,25.175,26.2,"[24.4, 24.3, 25.8, 26.2]",1.0,29.6,24.7,24.0,1.0,24.9,27.8,27.0,1.0,28.0,27.2,26.0
2023-05-30 16:15:00,,29.5,24.4,27.03333333333333,24.55,25.8,"[24.3, 23.4, 24.7, 25.8]",1.0,29.5,24.5,24.0,1.0,24.4,27.6,27.0,1.0,27.2,26.7,26.0
2023-05-30 16:20:00,,29.3,23.9,26.53333333333333,24.775,26.1,"[24.2, 23.6, 25.2, 26.1]",1.0,29.3,24.7,24.0,1.0,23.9,28.1,27.0,1.0,26.4,26.8,26.0
2023-05-30 16:25:00,,29.2,24.2,26.666666666666668,25.1,26.1,"[24.2, 24.1, 26.0, 26.1]",1.0,29.2,24.8,24.0,1.0,24.2,28.0,27.0,1.0,26.6,26.9,26.0
2023-05-30 16:30:00,,29.1,24.1,26.7,25.2,26.4,"[24.1, 24.4, 26.4, 25.9]",1.0,29.1,24.9,24.0,1.0,24.1,28.0,27.0,1.0,26.9,26.9,26.0
2023-05-30 16:35:00,,29.0,23.8,26.633333333333336,25.375,26.6,"[24.1, 24.7, 26.6, 26.1]",1.0,29.0,25.1,25.0,1.0,23.8,28.0,28.0,1.0,27.1,27.2,27.0
2023-05-30 16:40:00,,29.1,23.8,26.73333333333333,25.975,27.4,"[24.3, 25.2, 27.0, 27.4]",1.0,29.1,25.7,25.0,1.0,23.8,28.6,28.0,1.0,27.3,27.8,27.0
2023-05-30 16:45:00,,29.7,25.0,27.7,26.175,27.7,"[24.4, 25.3, 27.3, 27.7]",1.0,29.7,25.7,25.0,1.0,25.0,28.7,28.0,1.0,28.4,27.8,27.0
2023-05-30 16:50:00,,29.7,26.2,28.166666666666668,26.3,27.8,"[24.5, 25.4, 27.5, 27.8]",1.0,29.7,25.6,25.0,1.0,26.2,28.6,28.0,1.0,28.6,27.8,27.0
2023-05-30 16:55:00,,29.8,26.2,28.2,26.4,28.0,"[24.5, 25.4, 27.7, 28.0]",1.0,29.8,25.7,25.0,1.0,26.2,28.8,28.0,1.0,28.6,27.9,27.0
2023-05-30 17:00:00,,29.8,26.5,28.33333333333333,26.5,28.1,"[24.6, 25.5, 27.8, 28.1]",1.0,29.8,25.8,25.0,1.0,26.5,29.0,28.0,1.0,28.7,27.9,27.0
2023-05-30 17:05:00,,29.8,26.7,28.433333333333334,26.275,27.7,"[24.5, 25.4, 27.7, 27.5]",1.0,29.8,24.8,23.0,1.0,26.7,28.7,26.0,1.0,28.8,27.3,25.0
2023-05-30 17:10:00,,29.7,26.3,27.83333333333333,25.175,26.6,"[24.3, 23.8, 26.0, 26.6]",1.0,29.7,24.0,23.0,1.0,26.3,27.5,26.0,1.0,27.5,26.2,25.0
2023-05-30 17:15:00,,28.8,25.4,26.933333333333337,24.45,26.1,"[24.0, 23.0, 24.7, 26.1]",1.0,28.8,24.3,23.0,1.0,25.4,27.4,26.0,1.0,26.6,26.2,25.0
2023-05-30 17:20:00,,28.2,24.6,26.46666666666667,24.0,25.7,"[23.8, 22.5, 24.0, 25.7]",1.0,28.2,24.0,23.0,1.0,24.6,27.1,26.0,1.0,26.6,26.1,25.0
2023-05-30 17:25:00,,28.1,24.0,26.0,23.725,25.5,"[23.8, 22.2, 23.4, 25.5]",1.0,28.1,23.8,23.0,1.0,24.0,26.8,26.0,1.0,25.9,26.0,25.0
2023-05-30 17:30:00,,28.1,23.1,25.53333333333333,23.525,25.2,"[23.7, 22.0, 23.2, 25.2]",1.0,28.1,23.7,23.0,1.0,23.1,26.7,26.0,1.0,25.4,25.7,25.0
2023-05-30 17:35:00,,28.1,23.1,25.433333333333337,23.975,25.6,"[23.6, 22.6, 24.1, 25.6]",1.0,28.1,24.3,25.0,1.0,23.1,27.3,28.0,1.0,25.1,26.2,27.0
2023-05-30 17:40:00,,28.2,23.4,25.7,24.95,26.9,"[23.8, 23.8, 25.3, 26.9]",1.0,28.2,25.4,25.0,1.0,23.4,28.3,28.0,1.0,25.5,27.3,27.0
2023-05-30 17:45:00,,28.7,24.5,26.600000000000005,25.775,27.8,"[24.2, 24.9, 26.2, 27.8]",1.0,28.7,25.7,25.0,1.0,24.5,28.7,28.0,1.0,26.6,27.9,27.0
2023-05-30 17:50:00,,29.7,25.8,27.73333333333333,26.075,27.9,"[24.4, 25.2, 26.8, 27.9]",1.0,29.7,25.6,25.0,1.0,25.8,28.7,28.0,1.0,27.7,27.8,27.0
2023-05-30 17:55:00,,30.0,26.5,28.23333333333333,26.175,27.9,"[24.5, 25.2, 27.1, 27.9]",1.0,30.0,25.6,25.0,1.0,26.5,28.8,28.0,1.0,28.2,27.8,27.0
2023-05-30 18:00:00,,30.0,26.5,28.3,26.325,28.0,"[24.6, 25.3, 27.4, 28.0]",1.0,30.0,25.6,25.0,1.0,26.5,28.9,28.0,1.0,28.4,27.8,27.0
2023-05-30 18:05:00,,29.9,26.7,28.399999999999995,26.325,28.0,"[24.6, 25.3, 27.4, 28.0]",1.0,29.9,25.5,24.0,1.0,26.7,28.8,27.0,1.0,28.6,27.8,26.0
2023-05-30 18:10:00,,29.8,26.8,28.4,25.525,27.2,"[24.5, 24.4, 26.0, 27.2]",1.0,29.8,25.0,24.0,1.0,26.8,28.4,27.0,1.0,28.6,27.4,26.0
2023-05-30 18:15:00,,29.6,26.0,27.8,24.9,26.6,"[24.4, 23.6, 25.0, 26.6]",1.0,29.6,24.8,24.0,1.0,26.0,28.2,27.0,1.0,27.8,27.1,26.0
2023-05-30 18:20:00,,29.6,25.0,27.166666666666668,24.425,26.1,"[24.4, 23.0, 24.2, 26.1]",1.0,29.6,24.6,24.0,1.0,25.0,27.6,27.0,1.0,26.9,26.8,26.0
2023-05-30 18:25:00,,29.4,24.4,26.666666666666668,24.375,26.2,"[24.2, 22.9, 24.2, 26.2]",1.0,29.4,24.6,24.0,1.0,24.4,27.9,27.0,1.0,26.2,26.7,26.0
2023-05-30 18:30:00,,29.2,24.2,26.46666666666667,24.775,26.3,"[24.2, 23.5, 25.1, 26.3]",1.0,29.2,24.7,24.0,1.0,24.2,28.1,27.0,1.0,26.0,26.9,26.0
2023-05-30 18:35:00,,29.1,24.6,26.73333333333333,25.125,26.3,"[24.2, 24.1, 25.9, 26.3]",1.0,29.1,25.3,25.0,1.0,24.6,28.3,28.0,1.0,26.5,27.1,27.0
2023-05-30 18:40:00,,29.1,24.3,26.76666666666667,25.675,26.8,"[24.4, 25.0, 26.5, 26.8]",1.0,29.1,25.9,25.0,1.0,24.3,28.8,28.0,1.0,26.9,27.6,27.0
2023-05-30 18:45:00,,29.6,24.8,27.3,25.95,27.2,"[24.5, 25.2, 26.9, 27.2]",1.0,29.6,25.5,25.0,1.0,24.8,28.6,28.0,1.0,27.5,27.6,27.0
2023-05-30 18:50:00,,29.9,25.4,27.73333333333333,26.1,27.6,"[24.5, 25.2, 27.1, 27.6]",1.0,29.9,25.5,25.0,1.0,25.4,28.6,28.0,1.0,27.9,27.6,27.0
2023-05-30 18:55:00,,29.8,25.8,27.933333333333334,26.225,27.8,"[24.6, 25.2, 27.3, 27.8]",1.0,29.8,25.5,25.0,1.0,25.8,29.0,28.0,1.0,28.2,27.7,27.0
2023-05-30 19:00:00,,29.8,25.9,28.03333333333333,26.15,27.5,"[24.5, 25.3, 27.5, 27.3]",1.0,29.8,25.5,25.0,1.0,25.9,28.9,28.0,1.0,28.4,27.7,27.0
2023-05-30 19:05:00,,29.7,25.9,28.0,25.975,27.3,"[24.5, 25.2, 27.3, 26.9]",1.0,29.7,25.3,24.0,1.0,25.9,28.7,27.0,1.0,28.4,27.6,26.0
2023-05-30 19:10:00,,29.6,25.2,27.666666666666668,25.275,26.4,"[24.5, 24.3, 25.9, 26.4]",1.0,29.6,24.9,24.0,1.0,25.2,28.2,27.0,1.0,28.2,27.2,26.0
2023-05-30 19:15:00,,29.5,24.6,27.133333333333336,24.625,26.0,"[24.4, 23.4, 24.7, 26.0]",1.0,29.5,24.6,24.0,1.0,24.6,27.8,27.0,1.0,27.3,26.8,26.0
2023-05-30 19:20:00,,29.4,24.1,26.666666666666668,24.525,25.8,"[24.3, 23.3, 24.7, 25.8]",1.0,29.4,24.5,24.0,1.0,24.1,27.6,27.0,1.0,26.5,26.7,26.0
2023-05-30 19:25:00,,29.2,23.6,26.433333333333334,24.825,25.7,"[24.2, 23.8, 25.6, 25.7]",1.0,29.2,24.7,24.0,1.0,23.6,27.7,27.0,1.0,26.5,26.7,26.0
2023-05-30 19:30:00,,29.1,23.6,26.4,25.025,26.1,"[24.1, 24.2, 26.1, 25.7]",1.0,29.1,24.8,24.0,1.0,23.6,27.7,27.0,1.0,26.5,26.7,26.0
2023-05-30 19:35:00,,29.0,23.4,26.4,25.25,26.4,"[24.1, 24.5, 26.4, 26.0]",1.0,29.0,25.2,25.0,1.0,23.4,27.8,28.0,1.0,26.8,27.0,27.0
2023-05-30 19:40:00,,29.0,23.4,26.46666666666667,25.875,27.2,"[24.3, 25.2, 26.8, 27.2]",1.0,29.0,25.8,25.0,1.0,23.4,28.5,28.0,1.0,27.0,27.8,27.0
2023-05-30 19:45:00,,29.5,24.6,27.3,26.125,27.5,"[24.5, 25.3, 27.2, 27.5]",1.0,29.5,25.6,25.0,1.0,24.6,28.2,28.0,1.0,27.8,27.8,27.0
