time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1510228_c,1510228_h,1510228_p,1510228_r,1510228_s,1510229_c,1510229_h,1510229_r,1510229_s
2023-05-30 09:05:00,,23.7,34.0,24.1,29.05,26.9,26.9,[26.9],1.0,34.0,38.0,25.7,26.0,0.0,24.1,27.9,28.0
2023-05-30 09:10:00,,23.7,34.0,24.1,29.05,27.0,27.0,[27.0],1.0,34.0,37.9,26.6,26.0,0.0,24.1,28.0,28.0
2023-05-30 09:15:00,,23.7,35.6,26.2,30.9,27.2,27.2,[27.2],1.0,35.6,77.6,27.0,26.0,0.0,26.2,28.1,28.0
2023-05-30 09:20:00,,23.7,35.6,26.2,30.9,27.3,27.3,[27.3],1.0,35.6,74.7,26.5,26.0,0.0,26.2,28.3,28.0
2023-05-30 09:25:00,,23.7,35.6,25.1,30.35,27.2,27.2,[27.2],1.0,35.6,73.5,26.2,26.0,0.0,25.1,28.3,28.0
2023-05-30 09:30:00,,23.7,35.1,25.1,30.1,27.2,27.2,[27.2],1.0,35.1,38.1,26.2,26.0,0.0,25.1,28.3,28.0
2023-05-30 09:35:00,,23.7,35.3,24.9,30.1,27.3,27.3,[27.3],1.0,35.3,77.3,26.9,25.0,0.0,24.9,28.3,28.0
2023-05-30 09:40:00,,23.7,35.4,25.7,30.55,27.4,27.4,[27.4],1.0,35.4,73.9,26.7,25.0,0.0,25.7,28.4,28.0
2023-05-30 09:45:00,,23.7,35.4,25.4,30.4,27.4,27.4,[27.4],1.0,35.4,75.7,26.5,25.0,0.0,25.4,28.3,28.0
2023-05-30 09:50:00,,23.7,35.0,25.1,30.05,27.3,27.3,[27.3],1.0,35.0,74.8,26.4,25.0,0.0,25.1,28.3,28.0
2023-05-30 09:55:00,,23.7,34.9,24.6,29.75,27.2,27.2,[27.2],1.0,34.9,76.0,26.3,25.0,0.0,24.6,28.3,28.0
2023-05-30 10:00:00,,23.7,34.9,24.6,29.75,27.2,27.2,[27.2],1.0,34.9,74.2,26.3,25.0,0.0,24.6,28.2,28.0
2023-05-30 10:05:00,,23.7,34.4,24.5,29.45,27.1,27.1,[27.1],1.0,34.4,75.2,26.2,26.0,0.0,24.5,28.2,28.0
2023-05-30 10:10:00,,23.7,34.5,24.5,29.5,27.1,27.1,[27.1],1.0,34.5,38.1,26.4,26.0,0.0,24.5,28.1,28.0
2023-05-30 10:15:00,,23.7,35.2,26.1,30.65,27.3,27.3,[27.3],1.0,35.2,75.7,27.2,26.0,0.0,26.1,28.2,28.0
2023-05-30 10:20:00,,23.7,35.2,26.1,30.65,27.4,27.4,[27.4],1.0,35.2,74.0,26.5,26.0,0.0,26.1,28.3,28.0
2023-05-30 10:25:00,,23.7,35.4,25.7,30.55,27.4,27.4,[27.4],1.0,35.4,74.5,26.5,26.0,0.0,25.7,28.3,28.0
2023-05-30 10:30:00,,23.7,35.0,25.1,30.05,27.4,27.4,[27.4],1.0,35.0,78.0,26.4,26.0,0.0,25.1,28.3,28.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,23.7,35.1,25.1,30.1,27.3,27.3,[27.3],1.0,35.1,109.6,26.0,24.0,0.0,25.1,28.2,28.0
2023-05-30 10:45:00,,23.7,34.6,24.5,29.55,27.2,27.2,[27.2],1.0,34.6,110.2,25.2,24.0,0.0,24.5,28.1,28.0
2023-05-30 10:50:00,,23.7,33.5,23.0,28.25,26.9,26.9,[26.9],1.0,33.5,74.6,25.0,24.0,0.0,23.0,27.9,28.0
2023-05-30 10:55:00,,23.7,33.2,22.1,27.65,26.8,26.8,[26.8],1.0,33.2,75.0,25.2,24.0,0.0,22.1,27.7,28.0
2023-05-30 11:00:00,,23.7,33.2,22.6,27.9,26.7,26.7,[26.7],1.0,33.2,77.2,25.1,24.0,0.0,22.6,27.6,28.0
2023-05-30 11:05:00,,23.7,33.2,23.0,28.1,26.7,26.7,[26.7],1.0,33.2,73.0,25.1,24.0,0.0,23.0,27.6,28.0
2023-05-30 11:10:00,,23.7,33.2,23.5,28.35,26.7,26.7,[26.7],1.0,33.2,38.0,25.3,25.0,0.0,23.5,27.5,28.0
2023-05-30 11:15:00,,23.7,33.3,23.5,28.4,26.8,26.8,[26.8],1.0,33.3,38.2,25.9,25.0,0.0,23.5,27.6,28.0
2023-05-30 11:20:00,,23.7,34.0,24.8,29.4,26.9,26.9,[26.9],1.0,34.0,77.1,26.0,25.0,0.0,24.8,27.7,28.0
2023-05-30 11:25:00,,23.7,34.3,24.5,29.4,26.9,26.9,[26.9],1.0,34.3,74.6,25.6,25.0,0.0,24.5,27.7,28.0
2023-05-30 11:30:00,,23.7,34.4,24.2,29.3,26.8,26.8,[26.8],1.0,34.4,78.2,25.5,25.0,0.0,24.2,27.8,28.0
2023-05-30 11:35:00,,23.7,34.3,24.2,29.25,26.8,26.8,[26.8],1.0,34.3,76.0,25.5,24.0,0.0,24.2,27.8,28.0
2023-05-30 11:40:00,,23.7,33.8,24.0,28.9,26.8,26.8,[26.8],1.0,33.8,76.0,25.4,24.0,0.0,24.0,27.8,28.0
2023-05-30 11:45:00,,23.7,33.8,23.8,28.8,26.8,26.8,[26.8],1.0,33.8,74.7,25.4,24.0,0.0,23.8,27.7,28.0
2023-05-30 11:50:00,,23.7,33.9,23.7,28.8,26.8,26.8,[26.8],1.0,33.9,77.7,25.5,24.0,0.0,23.7,27.7,28.0
2023-05-30 11:55:00,,23.7,33.5,23.7,28.6,26.8,26.8,[26.8],1.0,33.5,77.3,25.4,24.0,0.0,23.7,27.7,28.0
2023-05-30 12:00:00,,,33.8,23.7,28.75,26.7,26.7,[26.7],1.0,33.8,78.0,25.4,24.0,0.0,23.7,27.6,28.0
2023-05-30 12:05:00,,23.7,33.5,23.7,28.6,26.7,26.7,[26.7],1.0,33.5,76.7,25.3,25.0,0.0,23.7,27.6,28.0
2023-05-30 12:10:00,,23.7,33.6,23.6,28.6,26.7,26.7,[26.7],1.0,33.6,75.8,25.4,25.0,0.0,23.6,27.6,28.0
2023-05-30 12:15:00,,23.7,33.7,23.5,28.6,26.6,26.6,[26.6],1.0,33.7,75.3,25.5,25.0,0.0,23.5,27.6,28.0
2023-05-30 12:20:00,,23.7,33.7,23.6,28.65,26.7,26.7,[26.7],1.0,33.7,76.4,25.5,25.0,0.0,23.6,27.6,28.0
2023-05-30 12:25:00,,23.7,33.7,23.7,28.700000000000003,26.6,26.6,[26.6],1.0,33.7,77.1,25.5,25.0,0.0,23.7,27.6,28.0
2023-05-30 12:30:00,,23.7,33.5,23.6,28.55,26.6,26.6,[26.6],1.0,33.5,76.1,25.4,25.0,0.0,23.6,27.5,28.0
2023-05-30 12:35:00,,23.7,33.6,23.6,28.6,26.6,26.6,[26.6],1.0,33.6,38.1,25.5,26.0,0.0,23.6,27.5,28.0
2023-05-30 12:40:00,,23.7,34.6,23.9,29.25,26.7,26.7,[26.7],1.0,34.6,37.9,26.3,26.0,0.0,23.9,27.6,28.0
2023-05-30 12:45:00,,23.7,34.6,25.1,29.85,27.0,27.0,[27.0],1.0,34.6,37.9,26.6,26.0,0.0,25.1,27.8,28.0
2023-05-30 12:50:00,,23.7,35.1,26.0,30.55,27.1,27.1,[27.1],1.0,35.1,77.7,27.0,26.0,0.0,26.0,28.0,28.0
2023-05-30 12:55:00,,23.7,36.3,26.5,31.4,27.2,27.2,[27.2],1.0,36.3,77.6,26.4,26.0,0.0,26.5,28.2,28.0
2023-05-30 13:00:00,,23.7,35.3,25.7,30.5,27.2,27.2,[27.2],1.0,35.3,78.8,26.3,26.0,0.0,25.7,28.2,28.0
2023-05-30 13:05:00,,23.7,35.3,25.2,30.25,27.2,27.2,[27.2],1.0,35.3,37.9,26.7,27.0,0.0,25.2,28.3,28.0
2023-05-30 13:10:00,,23.7,35.3,25.6,30.45,27.3,27.3,[27.3],1.0,35.3,38.0,27.3,27.0,0.0,25.6,28.4,28.0
2023-05-30 13:15:00,,23.7,35.8,26.6,31.2,27.5,27.5,[27.5],1.0,35.8,37.8,27.7,27.0,0.0,26.6,28.6,28.0
2023-05-30 13:20:00,,23.7,36.9,27.4,32.15,27.7,27.7,[27.7],1.0,36.9,80.0,27.8,27.0,0.0,27.4,28.8,28.0
2023-05-30 13:25:00,,23.7,37.1,27.5,32.3,27.8,27.8,[27.8],1.0,37.1,38.2,27.4,27.0,0.0,27.5,28.9,28.0
2023-05-30 13:30:00,,23.7,37.0,26.7,31.85,27.8,27.8,[27.8],1.0,37.0,38.0,27.8,27.0,0.0,26.7,29.0,28.0
2023-05-30 13:35:00,,23.7,37.0,27.3,32.15,28.0,28.0,[28.0],1.0,37.0,113.9,27.7,25.0,0.0,27.3,29.1,28.0
2023-05-30 13:40:00,,23.7,37.3,27.2,32.25,27.8,27.8,[27.8],1.0,37.3,113.3,26.5,25.0,0.0,27.2,29.1,28.0
2023-05-30 13:45:00,,23.7,35.8,25.1,30.45,27.5,27.5,[27.5],1.0,35.8,80.0,26.1,25.0,0.0,25.1,28.9,28.0
