time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1958194_c,1958194_h,1958194_r,1958194_s,1958195_c,1958195_h,1958195_r,1958195_s,1958196_c,1958196_h,1958196_r,1958196_s,1958197_c,1958197_h,1958197_r,1958197_s,1958198_c,1958198_h,1958198_r,1958198_s,1958287_c,1958287_h,1958287_r,1958287_s,1958288_c,1958288_h,1958288_r,1958288_s
2023-05-30 09:10:00,,22.17,33.5,23.5,28.4,27.14,33.5,"[27.5, 33.5, 26.5, 25.1, 23.1]",1.0,33.5,26.2,25.0,1.0,33.5,25.2,25.0,1.0,23.5,25.2,25.0,1.0,25.4,26.7,25.0,1.0,29.1,26.2,25.0,1.0,25.6,25.7,25.0,0.0,28.2,25.7,25.0
2023-05-30 09:15:00,,22.11,33.4,23.9,28.428571428571427,27.18,33.4,"[27.3, 33.4, 26.6, 25.1, 23.5]",1.0,33.4,26.5,25.0,1.0,33.4,26.0,25.0,1.0,23.9,25.1,25.0,1.0,25.4,26.6,25.0,1.0,29.1,26.1,25.0,1.0,25.3,26.6,25.0,0.0,28.5,26.0,25.0
2023-05-30 09:20:00,,22.16,33.4,24.3,28.514285714285712,27.26,33.4,"[27.4, 33.4, 26.7, 25.0, 23.8]",1.0,33.4,26.5,25.0,1.0,33.4,25.5,25.0,1.0,24.3,26.6,25.0,1.0,25.5,27.0,25.0,1.0,29.1,26.7,25.0,1.0,25.4,26.3,25.0,0.0,28.5,26.1,25.0
2023-05-30 09:25:00,,22.1,33.4,24.3,28.557142857142853,27.22,33.4,"[27.5, 33.4, 26.6, 25.0, 23.6]",1.0,33.4,26.4,25.0,1.0,33.4,25.5,25.0,1.0,24.3,25.5,25.0,1.0,25.5,25.8,25.0,1.0,29.1,26.4,25.0,1.0,25.6,26.0,25.0,0.0,28.6,26.0,25.0
2023-05-30 09:30:00,,22.19,33.5,23.7,28.414285714285715,27.24,33.5,"[27.6, 33.5, 26.6, 25.1, 23.4]",1.0,33.5,26.3,25.0,1.0,33.5,25.1,25.0,1.0,23.7,26.0,25.0,1.0,25.5,26.7,25.0,1.0,29.1,26.6,25.0,1.0,26.0,26.0,25.0,0.0,27.6,25.9,25.0
2023-05-30 09:35:00,,22.28,33.5,23.5,28.4,27.2,33.5,"[27.5, 33.5, 26.6, 25.1, 23.3]",1.0,33.5,26.3,25.0,1.0,33.5,25.2,25.0,1.0,23.5,25.3,25.0,1.0,25.5,26.5,25.0,1.0,29.0,26.1,25.0,1.0,26.0,25.9,25.0,0.0,27.8,25.9,25.0
2023-05-30 09:40:00,,22.18,33.4,23.6,28.31428571428572,27.26,33.4,"[27.4, 33.4, 26.6, 25.1, 23.8]",1.0,33.4,26.7,25.0,1.0,33.4,26.1,25.0,1.0,23.6,25.7,25.0,1.0,25.4,26.5,25.0,1.0,29.0,26.1,25.0,1.0,25.4,26.8,25.0,0.0,28.0,26.1,25.0
2023-05-30 09:45:00,,22.37,33.6,24.4,28.571428571428573,27.4,33.6,"[27.6, 33.6, 26.7, 25.1, 24.0]",1.0,33.6,26.5,25.0,1.0,33.6,25.6,25.0,1.0,24.4,26.0,25.0,1.0,25.4,26.9,25.0,1.0,29.0,26.5,25.0,1.0,25.8,26.4,25.0,0.0,28.2,26.2,25.0
2023-05-30 09:50:00,,22.23,33.6,24.1,28.557142857142857,27.32,33.6,"[27.5, 33.6, 26.7, 25.1, 23.7]",1.0,33.6,26.4,25.0,1.0,33.6,25.4,25.0,1.0,24.1,25.8,25.0,1.0,25.5,26.0,25.0,1.0,29.1,26.4,25.0,1.0,25.8,26.1,25.0,0.0,28.2,26.1,25.0
2023-05-30 09:55:00,,22.22,33.6,24.0,28.557142857142857,27.32,33.6,"[27.7, 33.6, 26.7, 25.1, 23.5]",1.0,33.6,26.4,25.0,1.0,33.6,25.3,25.0,1.0,24.0,25.9,25.0,1.0,25.5,26.6,25.0,1.0,29.1,26.6,25.0,1.0,26.1,26.0,25.0,0.0,28.0,26.0,25.0
