time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1958596_h,1958597_h,3818996_c,3818996_h,3818996_r,3818996_s,3818997_c,3818997_h,3818997_r,3818997_s,3818998_c,3818998_h,3818998_r,3818998_s,3818999_c,3818999_h,3818999_r,3818999_s,3819000_c,3819000_h,3819000_r,3819000_s
2023-05-30 09:05:00,,31.1,19.1,26.85714285714285,23.6,23.6,[23.6],26.0,19.1,1.0,26.3,26.0,26.0,1.0,31.1,25.0,26.0,1.0,31.1,26.0,26.0,1.0,27.2,27.4,26.0,1.0,27.2,27.2,26.0
2023-05-30 09:10:00,,31.1,19.5,26.985714285714288,23.7,23.7,[23.7],26.2,19.5,1.0,26.4,26.0,26.0,1.0,31.1,25.0,26.0,1.0,31.1,27.0,26.0,1.0,27.3,27.4,26.0,1.0,27.3,27.2,26.0
2023-05-30 09:15:00,,31.1,19.6,27.042857142857144,23.7,23.7,[23.7],26.4,19.6,1.0,26.5,26.0,26.0,1.0,31.1,25.0,26.0,1.0,31.1,27.0,26.0,1.0,27.3,27.4,26.0,1.0,27.3,27.1,26.0
2023-05-30 09:20:00,,31.1,19.7,27.042857142857144,23.8,23.8,[23.8],26.3,19.7,1.0,26.5,26.0,26.0,1.0,31.1,25.0,26.0,1.0,31.1,27.0,26.0,1.0,27.3,27.4,26.0,1.0,27.3,27.3,26.0
2023-05-30 09:25:00,,31.2,19.4,27.05714285714286,23.4,23.4,[23.4],26.3,19.4,1.0,26.7,26.0,26.0,1.0,31.2,25.0,26.0,1.0,31.2,27.0,26.0,1.0,27.3,27.3,26.0,1.0,27.3,27.0,26.0
2023-05-30 09:30:00,,31.1,19.1,26.800000000000004,23.4,23.4,[23.4],25.0,19.1,1.0,26.7,26.0,26.0,1.0,31.1,25.0,26.0,1.0,31.1,27.0,26.0,1.0,27.3,27.4,26.0,1.0,27.3,27.1,26.0
2023-05-30 09:35:00,,31.1,19.1,26.85714285714286,23.6,23.6,[23.6],25.4,19.1,,26.7,,,,31.1,,,,31.1,,,,27.3,,,,27.3,,
2023-05-30 09:40:00,,31.1,19.1,26.85714285714286,23.6,23.6,[23.6],25.4,19.1,1.0,26.7,26.0,26.0,1.0,31.1,25.0,26.0,1.0,31.1,27.0,26.0,1.0,27.3,27.4,26.0,1.0,27.3,27.2,26.0
2023-05-30 09:45:00,,31.2,19.2,26.97142857142857,23.8,23.8,[23.8],25.9,19.2,1.0,26.7,26.0,26.0,1.0,31.2,25.0,26.0,1.0,31.2,27.0,26.0,1.0,27.3,27.5,26.0,1.0,27.3,27.1,26.0
2023-05-30 09:50:00,,31.2,19.5,27.028571428571432,23.7,23.7,[23.7],25.9,19.5,1.0,26.8,26.0,26.0,1.0,31.2,25.0,26.0,1.0,31.2,27.0,26.0,1.0,27.3,27.5,26.0,1.0,27.3,27.2,26.0
2023-05-30 09:55:00,,31.3,19.6,27.142857142857142,23.8,23.8,[23.8],26.3,19.6,1.0,26.7,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,26.0,26.0,1.0,27.4,27.5,26.0,1.0,27.4,27.3,26.0
2023-05-30 10:00:00,,31.3,19.7,27.1,23.7,23.7,[23.7],25.8,19.7,1.0,26.8,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.4,27.4,26.0,1.0,27.4,27.3,26.0
2023-05-30 10:05:00,,31.2,19.4,27.042857142857144,23.5,23.5,[23.5],25.8,19.4,1.0,26.9,26.0,26.0,1.0,31.2,25.0,26.0,1.0,31.2,27.0,26.0,1.0,27.4,27.4,26.0,1.0,27.4,27.1,26.0
2023-05-30 10:10:00,,31.3,19.4,26.95714285714286,23.6,23.6,[23.6],25.0,19.4,1.0,26.9,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,26.0,26.0,1.0,27.4,27.4,26.0,1.0,27.4,27.1,26.0
2023-05-30 10:15:00,,31.2,19.4,26.985714285714288,23.7,23.7,[23.7],25.3,19.4,1.0,27.0,26.0,26.0,1.0,31.2,25.0,26.0,1.0,31.2,27.0,26.0,1.0,27.4,27.5,26.0,1.0,27.4,27.3,26.0
2023-05-30 10:20:00,,31.3,19.4,27.071428571428573,23.8,23.8,[23.8],25.8,19.4,1.0,26.9,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.4,27.5,26.0,1.0,27.4,27.3,26.0
2023-05-30 10:25:00,,31.3,19.6,27.142857142857142,23.8,23.8,[23.8],26.1,19.6,1.0,26.9,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.4,27.5,26.0,1.0,27.4,27.3,26.0
2023-05-30 10:30:00,,31.3,19.7,27.142857142857142,23.9,23.9,[23.9],26.1,19.7,1.0,26.8,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,26.0,26.0,1.0,27.4,27.5,26.0,1.0,27.4,27.3,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,31.3,19.7,26.985714285714288,23.4,23.4,[23.4],25.0,19.7,1.0,26.8,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.4,27.4,26.0,1.0,27.4,27.1,26.0
