time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3833950_c,3833950_h,3833950_r,3833950_s,3833951_c,3833951_h,3833951_r,3833951_s,3833952_c,3833952_h,3833952_r,3833952_s,3833953_c,3833953_h,3833953_r,3833953_s
2023-05-30 09:10:00,,6.9,37.2,25.0,30.225,26.9,28.1,"[25.7, 28.1]",1.0,32.3,26.0,21.0,1.0,26.4,25.0,21.0,1.0,25.0,25.8,21.0,1.0,37.2,26.7,21.0
2023-05-30 09:15:00,,6.9,37.2,25.0,30.25,26.9,28.1,"[25.7, 28.1]",1.0,32.3,26.0,21.0,1.0,26.5,25.0,21.0,1.0,25.0,25.8,21.0,1.0,37.2,26.7,21.0
2023-05-30 09:20:00,,6.9,37.2,25.0,30.275,26.85,28.0,"[25.7, 28.0]",1.0,32.3,26.0,21.0,1.0,26.6,25.0,21.0,1.0,25.0,25.8,21.0,1.0,37.2,26.7,21.0
2023-05-30 09:25:00,,6.9,37.2,25.0,30.275,26.9,28.1,"[25.7, 28.1]",1.0,32.3,26.0,21.0,1.0,26.6,25.0,21.0,1.0,25.0,25.8,21.0,1.0,37.2,26.7,21.0
2023-05-30 09:30:00,,6.8,37.2,25.0,30.275,26.9,28.1,"[25.7, 28.1]",1.0,32.3,26.0,21.0,1.0,26.6,25.0,21.0,1.0,25.0,25.8,21.0,1.0,37.2,26.7,21.0
2023-05-30 09:35:00,,6.9,37.2,25.0,30.275,26.85,28.1,"[25.6, 28.1]",1.0,32.3,26.0,22.0,1.0,26.6,25.0,22.0,1.0,25.0,25.8,22.0,1.0,37.2,26.7,22.0
2023-05-30 09:40:00,,6.9,37.2,25.0,30.275,26.9,28.1,"[25.7, 28.1]",1.0,32.3,26.0,21.0,1.0,26.6,25.0,21.0,1.0,25.0,25.8,21.0,1.0,37.2,26.7,21.0
2023-05-30 09:45:00,,6.9,37.2,25.1,30.3,26.8,28.0,"[25.6, 28.0]",1.0,32.3,26.0,21.0,1.0,26.6,25.0,21.0,1.0,25.1,25.8,21.0,1.0,37.2,26.7,21.0
2023-05-30 09:50:00,,6.9,37.2,25.0,30.275,26.9,28.1,"[25.7, 28.1]",1.0,32.4,26.0,21.0,1.0,26.5,25.0,21.0,1.0,25.0,25.8,21.0,1.0,37.2,26.4,21.0
2023-05-30 09:55:00,,6.9,37.1,25.0,30.225,26.8,28.0,"[25.6, 28.0]",1.0,32.3,26.0,21.0,1.0,26.5,25.0,21.0,1.0,25.0,25.8,21.0,1.0,37.1,26.4,21.0
2023-05-30 10:00:00,,6.9,37.1,25.0,30.200000000000003,26.8,28.0,"[25.6, 28.0]",1.0,32.2,26.0,21.0,1.0,26.5,25.0,21.0,1.0,25.0,25.8,21.0,1.0,37.1,26.4,21.0
2023-05-30 10:05:00,,6.9,37.2,25.0,30.25,26.8,28.0,"[25.6, 28.0]",1.0,32.3,26.0,21.0,1.0,26.5,25.0,21.0,1.0,25.0,25.8,21.0,1.0,37.2,26.7,21.0
2023-05-30 10:10:00,,6.9,37.2,25.0,30.2,26.8,28.0,"[25.6, 28.0]",1.0,32.2,26.0,21.0,1.0,26.4,25.0,21.0,1.0,25.0,25.8,21.0,1.0,37.2,26.7,21.0
2023-05-30 10:15:00,,6.9,37.1,24.9,30.200000000000003,26.85,28.1,"[25.6, 28.1]",1.0,32.2,26.0,21.0,1.0,26.6,25.0,21.0,1.0,24.9,25.8,21.0,1.0,37.1,26.7,21.0
2023-05-30 10:20:00,,6.9,37.1,25.0,30.225,26.85,28.1,"[25.6, 28.1]",1.0,32.2,26.0,21.0,1.0,26.6,25.0,21.0,1.0,25.0,25.8,21.0,1.0,37.1,26.4,21.0
