time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3820499_c,3820499_h,3820499_r,3820499_s,3820500_c,3820500_h,3820500_r,3820500_s,3820501_c,3820501_h,3820501_r,3820501_s,3820502_c,3820502_h,3820502_r,3820502_s
2023-05-30 09:05:00,,38.6,27.6,31.75,27.3,27.3,[27.3],1.0,38.6,27.0,27.0,1.0,27.6,27.4,28.0,1.0,30.4,27.0,29.0,1.0,30.4,26.0,27.0
2023-05-30 09:10:00,,38.6,28.3,31.925000000000004,27.7,27.7,[27.7],1.0,38.6,28.0,27.0,1.0,28.3,28.0,28.0,1.0,30.4,27.8,29.0,1.0,30.4,27.0,27.0
2023-05-30 09:15:00,,39.5,29.1,32.75,28.0,28.0,[28.0],1.0,39.5,28.0,27.0,1.0,29.1,28.4,28.0,1.0,31.2,28.0,29.0,1.0,31.2,27.0,27.0
2023-05-30 09:20:00,,40.0,29.7,33.025,27.9,27.9,[27.9],1.0,40.0,28.0,27.0,1.0,29.7,27.4,28.0,1.0,31.2,27.6,29.0,1.0,31.2,27.0,27.0
2023-05-30 09:25:00,,40.6,29.7,33.225,27.6,27.6,[27.6],1.0,40.6,28.0,27.0,1.0,29.7,27.4,28.0,1.0,31.3,27.2,29.0,1.0,31.3,27.0,27.0
2023-05-30 09:30:00,,41.0,30.1,33.425,28.0,28.0,[28.0],1.0,41.0,28.0,27.0,1.0,30.1,28.4,28.0,1.0,31.3,28.0,29.0,1.0,31.3,27.0,27.0
2023-05-30 09:35:00,,41.0,30.0,33.4,27.8,27.8,[27.8],1.0,41.0,28.0,26.0,1.0,30.0,27.1,27.0,1.0,31.3,27.2,28.0,1.0,31.3,27.0,26.0
2023-05-30 09:40:00,,40.7,29.2,33.125,27.4,27.4,[27.4],1.0,40.7,27.0,26.0,1.0,29.2,26.4,27.0,1.0,31.3,26.5,28.0,1.0,31.3,26.0,26.0
2023-05-30 09:45:00,,40.0,29.2,32.55,27.1,27.1,[27.1],1.0,40.0,27.0,26.0,1.0,29.2,26.1,27.0,1.0,30.5,26.1,28.0,1.0,30.5,25.0,26.0
2023-05-30 09:50:00,,40.0,27.8,32.2,27.4,27.4,[27.4],1.0,40.0,27.0,26.0,1.0,27.8,27.4,27.0,1.0,30.5,27.2,28.0,1.0,30.5,26.0,26.0
2023-05-30 09:55:00,,39.1,27.8,31.975,27.5,27.5,[27.5],1.0,39.1,27.0,26.0,1.0,27.8,26.8,27.0,1.0,30.5,27.2,28.0,1.0,30.5,26.0,26.0
2023-05-30 10:00:00,,39.1,28.0,31.975,27.2,27.2,[27.2],1.0,39.1,27.0,26.0,1.0,28.0,26.1,27.0,1.0,30.4,26.1,28.0,1.0,30.4,26.0,26.0
2023-05-30 10:05:00,,38.8,27.6,31.800000000000004,27.3,27.3,[27.3],1.0,38.8,27.0,26.0,1.0,27.6,27.0,28.0,1.0,30.4,27.0,29.0,1.0,30.4,26.0,27.0
2023-05-30 10:10:00,,38.2,27.6,31.65000000000001,27.5,27.5,[27.5],1.0,38.2,27.0,26.0,1.0,27.6,27.0,28.0,1.0,30.4,27.3,29.0,1.0,30.4,26.0,27.0
2023-05-30 10:15:00,,38.1,27.6,31.825,27.6,27.6,[27.6],1.0,38.1,27.0,26.0,1.0,27.6,27.4,28.0,1.0,30.8,27.4,29.0,1.0,30.8,27.0,27.0
2023-05-30 10:20:00,,37.8,28.0,31.85,27.7,27.7,[27.7],1.0,37.8,27.0,26.0,1.0,28.0,27.4,28.0,1.0,30.8,27.5,29.0,1.0,30.8,27.0,27.0
2023-05-30 10:25:00,,37.6,28.2,32.05,27.8,27.8,[27.8],1.0,37.6,27.0,26.0,1.0,28.2,27.4,28.0,1.0,31.2,27.5,29.0,1.0,31.2,27.0,27.0
2023-05-30 10:30:00,,37.6,28.3,32.125,27.8,27.8,[27.8],1.0,37.6,28.0,26.0,1.0,28.3,27.4,28.0,1.0,31.3,27.6,29.0,1.0,31.3,27.0,27.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,37.9,27.8,31.825,27.2,27.2,[27.2],1.0,37.9,27.0,25.0,1.0,27.8,26.1,27.0,1.0,30.8,26.2,28.0,1.0,30.8,25.0,26.0
2023-05-30 10:45:00,,37.8,27.8,31.7,27.3,27.3,[27.3],1.0,37.8,27.0,25.0,1.0,27.8,27.0,27.0,1.0,30.6,26.8,28.0,1.0,30.6,26.0,26.0
2023-05-30 10:50:00,,37.8,27.7,31.775,27.6,27.6,[27.6],1.0,37.8,28.0,25.0,1.0,27.7,27.4,27.0,1.0,30.8,27.4,28.0,1.0,30.8,27.0,26.0
2023-05-30 10:55:00,,37.9,27.7,31.7,27.2,27.2,[27.2],1.0,37.9,27.0,25.0,1.0,27.7,26.1,27.0,1.0,30.6,26.3,28.0,1.0,30.6,26.0,26.0
2023-05-30 11:00:00,,37.8,27.3,31.525,27.3,27.3,[27.3],1.0,37.8,27.0,25.0,1.0,27.3,27.0,27.0,1.0,30.5,27.0,28.0,1.0,30.5,26.0,26.0
2023-05-30 11:05:00,,37.7,27.6,31.625,27.5,27.5,[27.5],1.0,37.7,27.0,26.0,1.0,27.6,27.0,28.0,1.0,30.6,27.2,29.0,1.0,30.6,26.0,27.0
2023-05-30 11:10:00,,37.6,27.8,31.75,27.6,27.6,[27.6],1.0,37.6,27.0,26.0,1.0,27.8,27.3,28.0,1.0,30.8,27.3,29.0,1.0,30.8,27.0,27.0
2023-05-30 11:15:00,,37.4,27.9,31.825,27.7,27.7,[27.7],1.0,37.4,27.0,26.0,1.0,27.9,27.4,28.0,1.0,31.0,27.4,29.0,1.0,31.0,27.0,27.0
2023-05-30 11:20:00,,37.4,28.1,31.925,27.7,27.7,[27.7],1.0,37.4,27.0,26.0,1.0,28.1,27.4,28.0,1.0,31.1,27.5,29.0,1.0,31.1,27.0,27.0
