time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,2060168_c,2060168_h,2060168_r,2060168_s,2060169_c,2060169_h,2060169_r,2060169_s,2060170_c,2060170_h,2060170_r,2060170_s,2060171_c,2060171_h,2060171_r,2060171_s
2023-05-30 09:10:00,,32.9,24.7,28.525,23.166666666666668,25.9,"[24.3, 19.3, 25.9]",1.0,26.7,25.4,25.0,1.0,29.8,25.4,24.0,1.0,24.7,30.1,24.0,1.0,32.9,25.7,24.0
2023-05-30 09:15:00,,32.9,24.7,28.55,23.166666666666668,25.9,"[24.3, 19.3, 25.9]",1.0,26.8,25.4,25.0,1.0,29.8,25.4,24.0,1.0,24.7,30.1,24.0,1.0,32.9,25.7,24.0
2023-05-30 09:20:00,,32.9,24.7,28.525,23.2,25.9,"[24.3, 19.4, 25.9]",1.0,26.7,25.4,25.0,1.0,29.8,25.4,24.0,1.0,24.7,30.1,24.0,1.0,32.9,25.7,24.0
2023-05-30 09:25:00,,32.9,24.7,28.525,23.2,25.9,"[24.3, 19.4, 25.9]",1.0,26.7,25.4,25.0,1.0,29.8,25.4,24.0,1.0,24.7,30.1,24.0,1.0,32.9,25.7,24.0
2023-05-30 09:30:00,,32.8,24.6,28.5,23.166666666666668,25.9,"[24.3, 19.3, 25.9]",1.0,26.8,25.4,25.0,1.0,29.8,25.4,24.0,1.0,24.6,30.1,24.0,1.0,32.8,25.7,24.0
2023-05-30 09:35:00,,32.9,24.6,28.525,23.166666666666668,25.9,"[24.3, 19.3, 25.9]",1.0,26.8,25.4,25.0,1.0,29.8,25.4,24.0,1.0,24.6,30.1,24.0,1.0,32.9,25.7,24.0
2023-05-30 09:40:00,,32.8,24.7,28.475,23.166666666666668,25.9,"[24.3, 19.3, 25.9]",1.0,26.7,25.4,25.0,1.0,29.7,25.4,24.0,1.0,24.7,30.1,24.0,1.0,32.8,25.7,24.0
2023-05-30 09:45:00,,32.9,24.7,28.525,23.166666666666668,25.9,"[24.3, 19.3, 25.9]",1.0,26.8,25.4,25.0,1.0,29.7,25.4,24.0,1.0,24.7,30.1,24.0,1.0,32.9,25.7,24.0
2023-05-30 09:50:00,,32.8,24.6,28.475,23.166666666666668,25.9,"[24.3, 19.3, 25.9]",1.0,26.7,25.4,25.0,1.0,29.8,25.4,24.0,1.0,24.6,30.1,24.0,1.0,32.8,25.7,24.0
2023-05-30 09:55:00,,32.8,24.7,28.475,23.133333333333336,25.9,"[24.3, 19.2, 25.9]",1.0,26.7,25.4,25.0,1.0,29.7,25.4,24.0,1.0,24.7,30.1,24.0,1.0,32.8,25.7,24.0
2023-05-30 10:00:00,,32.9,24.6,28.5,23.133333333333336,25.9,"[24.3, 19.2, 25.9]",1.0,26.7,25.4,25.0,1.0,29.8,25.4,24.0,1.0,24.6,30.1,24.0,1.0,32.9,25.7,24.0
2023-05-30 10:05:00,,32.8,24.6,28.45,23.133333333333336,25.9,"[24.3, 19.2, 25.9]",1.0,26.7,25.4,25.0,1.0,29.7,25.4,24.0,1.0,24.6,30.1,24.0,1.0,32.8,25.7,24.0
2023-05-30 10:10:00,,32.9,24.6,28.475,23.133333333333336,25.9,"[24.3, 19.2, 25.9]",1.0,26.7,25.4,25.0,1.0,29.7,25.4,24.0,1.0,24.6,30.1,24.0,1.0,32.9,25.7,24.0
2023-05-30 10:15:00,,32.8,24.6,28.45,23.133333333333336,25.9,"[24.3, 19.2, 25.9]",1.0,26.7,25.4,25.0,1.0,29.7,25.4,24.0,1.0,24.6,30.1,24.0,1.0,32.8,25.7,24.0
2023-05-30 10:20:00,,32.9,24.6,28.475,23.133333333333336,25.9,"[24.3, 19.2, 25.9]",1.0,26.7,25.4,25.0,1.0,29.7,25.4,24.0,1.0,24.6,30.1,24.0,1.0,32.9,25.7,24.0
2023-05-30 10:25:00,,32.8,24.6,28.475,23.133333333333336,25.9,"[24.3, 19.2, 25.9]",1.0,26.8,25.4,25.0,1.0,29.7,25.4,24.0,1.0,24.6,30.1,24.0,1.0,32.8,25.7,24.0
2023-05-30 10:30:00,,32.9,24.5,28.475,23.133333333333336,25.9,"[24.3, 19.2, 25.9]",1.0,26.8,25.4,25.0,1.0,29.7,25.4,24.0,1.0,24.5,30.1,24.0,1.0,32.9,25.7,24.0
2023-05-30 10:45:00,,32.9,24.5,28.450000000000003,23.133333333333336,25.9,"[24.3, 19.2, 25.9]",1.0,26.7,25.4,25.0,1.0,29.7,25.4,24.0,1.0,24.5,30.1,24.0,1.0,32.9,25.7,24.0
2023-05-30 10:50:00,,32.9,24.6,28.450000000000003,23.133333333333336,25.9,"[24.3, 19.2, 25.9]",1.0,26.7,25.4,25.0,1.0,29.6,25.4,24.0,1.0,24.6,30.1,24.0,1.0,32.9,25.7,24.0
2023-05-30 10:55:00,,32.9,24.6,28.450000000000003,23.1,25.9,"[24.3, 19.1, 25.9]",1.0,26.7,25.4,25.0,1.0,29.6,25.4,24.0,1.0,24.6,30.1,24.0,1.0,32.9,25.7,24.0
2023-05-30 11:00:00,,32.8,24.6,28.425,23.1,25.9,"[24.3, 19.1, 25.9]",1.0,26.7,25.4,25.0,1.0,29.6,25.4,24.0,1.0,24.6,30.1,24.0,1.0,32.8,25.7,24.0
2023-05-30 11:05:00,,32.8,24.5,28.4,23.133333333333336,25.9,"[24.3, 19.2, 25.9]",1.0,26.7,25.4,25.0,1.0,29.6,25.4,24.0,1.0,24.5,30.1,24.0,1.0,32.8,25.7,24.0
2023-05-30 11:10:00,,32.8,24.5,28.4,23.133333333333336,25.9,"[24.3, 19.2, 25.9]",1.0,26.7,25.4,25.0,1.0,29.6,25.4,24.0,1.0,24.5,30.1,24.0,1.0,32.8,25.7,24.0
2023-05-30 11:15:00,,32.8,24.5,28.4,23.2,25.9,"[24.4, 19.3, 25.9]",1.0,26.7,25.4,25.0,1.0,29.6,25.4,24.0,1.0,24.5,30.1,24.0,1.0,32.8,25.7,24.0
