time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3835716_c,3835716_h,3835716_r,3835716_s,3835717_c,3835717_h,3835717_r,3835717_s,3835718_c,3835718_h,3835718_r,3835718_s,3835719_c,3835719_h,3835719_r,3835719_s,3835720_c,3835720_h,3835720_r,3835720_s
2023-05-30 09:05:00,,35.6,26.0,30.76,26.0,26.0,[26.0],1.0,28.3,24.0,24.0,1.0,35.6,25.0,24.0,1.0,26.0,24.0,24.0,1.0,28.3,26.0,25.0,1.0,35.6,27.0,24.0
2023-05-30 09:10:00,,35.6,25.9,30.74,26.1,26.1,[26.1],1.0,28.3,24.0,24.0,1.0,35.6,26.0,24.0,1.0,25.9,24.0,24.0,1.0,28.3,27.0,25.0,1.0,35.6,27.0,24.0
2023-05-30 09:15:00,,35.7,26.2,30.76,26.2,26.2,[26.2],1.0,28.1,25.0,24.0,1.0,35.7,25.0,24.0,1.0,26.2,25.0,24.0,1.0,28.1,26.0,25.0,1.0,35.7,26.0,24.0
2023-05-30 09:20:00,,35.7,26.6,30.880000000000003,26.0,26.0,[26.0],1.0,28.2,26.0,24.0,1.0,35.7,25.0,24.0,1.0,26.6,26.0,24.0,1.0,28.2,27.0,25.0,1.0,35.7,26.0,24.0
2023-05-30 09:25:00,,35.3,26.8,30.96,26.3,26.3,[26.3],1.0,28.7,26.0,24.0,1.0,35.3,25.0,24.0,1.0,26.8,25.0,24.0,1.0,28.7,26.0,25.0,1.0,35.3,26.0,24.0
2023-05-30 09:30:00,,35.9,26.8,31.32,26.2,26.2,[26.2],1.0,29.0,26.0,24.0,1.0,35.9,25.0,24.0,1.0,26.8,26.0,24.0,1.0,29.0,27.0,25.0,1.0,35.9,26.0,24.0
2023-05-30 09:35:00,,35.9,27.1,31.340000000000003,26.2,26.2,[26.2],1.0,28.9,25.0,24.0,1.0,35.9,25.0,24.0,1.0,27.1,25.0,24.0,1.0,28.9,26.0,25.0,1.0,35.9,26.0,24.0
2023-05-30 09:40:00,,35.9,26.3,31.02,26.1,26.1,[26.1],1.0,28.5,24.0,24.0,1.0,35.9,25.0,24.0,1.0,26.3,24.0,24.0,1.0,28.5,26.0,25.0,1.0,35.9,26.0,24.0
2023-05-30 09:45:00,,36.1,26.8,31.28,26.4,26.4,[26.4],1.0,28.7,26.0,24.0,1.0,36.1,25.0,24.0,1.0,26.8,26.0,24.0,1.0,28.7,26.0,25.0,1.0,36.1,26.0,24.0
2023-05-30 09:50:00,,36.1,26.9,31.46,26.7,26.7,[26.7],1.0,29.1,26.0,24.0,1.0,36.1,25.0,24.0,1.0,26.9,25.0,24.0,1.0,29.1,27.0,25.0,1.0,36.1,26.0,24.0
2023-05-30 09:55:00,,36.3,27.0,31.6,26.7,26.7,[26.7],1.0,29.2,26.0,24.0,1.0,36.3,25.0,24.0,1.0,27.0,25.0,24.0,1.0,29.2,27.0,25.0,1.0,36.3,26.0,24.0
2023-05-30 10:00:00,,36.3,26.5,31.379999999999995,26.4,26.4,[26.4],1.0,28.9,25.0,24.0,1.0,36.3,25.0,24.0,1.0,26.5,25.0,24.0,1.0,28.9,26.0,25.0,1.0,36.3,26.0,24.0
2023-05-30 10:05:00,,36.1,26.3,31.14,26.4,26.4,[26.4],1.0,28.6,25.0,24.0,1.0,36.1,25.0,24.0,1.0,26.3,25.0,24.0,1.0,28.6,26.0,25.0,1.0,36.1,26.0,24.0
2023-05-30 10:10:00,,36.0,26.3,31.1,26.2,26.2,[26.2],1.0,28.6,25.0,24.0,1.0,36.0,25.0,24.0,1.0,26.3,25.0,24.0,1.0,28.6,26.0,25.0,1.0,36.0,26.0,24.0
2023-05-30 10:15:00,,36.2,26.6,31.2,26.1,26.1,[26.1],1.0,28.5,25.0,24.0,1.0,36.2,26.0,24.0,1.0,26.6,25.0,24.0,1.0,28.5,26.0,25.0,1.0,36.2,27.0,24.0
2023-05-30 10:20:00,,36.3,27.0,31.44,26.4,26.4,[26.4],1.0,28.8,26.0,24.0,1.0,36.3,25.0,24.0,1.0,27.0,25.0,24.0,1.0,28.8,26.0,25.0,1.0,36.3,26.0,24.0
