time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1358269_c,1358269_h,1358269_r,1358269_s,1358270_c,1358270_h,1358270_r,1358270_s,1358271_c,1358271_h,1358271_r,1358271_s,3825303_c,3825303_h,3825303_r,3825303_s,3825304_c,3825304_h,3825304_r,3825304_s,3825305_c,3825305_h,3825305_r,3825305_s,3825306_c,3825306_h,3825306_r,3825306_s
2023-05-30 09:05:00,,35.489999999999995,23.5,23.5,23.5,25.8,25.8,[25.8],1.0,,23.4,24.3,1.0,,25.1,25.5,1.0,,23.9,25.0,0.0,,23.4,24.5,1.0,23.5,24.9,25.0,1.0,,25.8,25.0,1.0,,27.3,26.0
2023-05-30 09:10:00,,35.370000000000005,23.5,23.5,23.5,25.8,25.8,[25.8],1.0,,23.4,24.3,1.0,,25.1,25.5,1.0,,23.9,25.0,0.0,,23.4,24.5,1.0,23.5,24.9,25.0,1.0,,25.8,25.0,1.0,,27.2,26.0
2023-05-30 09:15:00,,35.5,23.5,23.5,23.5,25.8,25.8,[25.8],1.0,,23.4,24.3,1.0,,25.1,25.5,1.0,,23.9,25.0,0.0,,23.4,24.5,1.0,23.5,24.8,25.0,1.0,,25.8,25.0,1.0,,27.2,26.0
2023-05-30 09:20:00,,35.54,23.4,23.4,23.4,25.8,25.8,[25.8],1.0,,23.4,24.3,1.0,,25.1,25.5,1.0,,23.9,25.0,0.0,,23.4,24.5,1.0,23.4,24.4,25.0,1.0,,25.6,25.0,1.0,,27.2,26.0
2023-05-30 09:25:00,,35.45,23.4,23.4,23.4,25.3,25.3,[25.3],1.0,,23.4,24.3,1.0,,25.1,25.5,1.0,,23.9,25.0,0.0,,23.4,24.5,1.0,23.4,24.2,25.0,1.0,,25.4,25.0,1.0,,27.2,26.0
2023-05-30 09:30:00,,35.5,23.2,23.2,23.2,25.3,25.3,[25.3],1.0,,23.4,24.3,1.0,,25.1,25.5,1.0,,23.9,25.0,0.0,,23.3,24.5,1.0,23.2,23.9,25.0,1.0,,25.2,25.0,1.0,,27.2,26.0
2023-05-30 09:35:00,,35.41,23.2,23.2,23.2,24.8,24.8,[24.8],1.0,,23.4,24.3,1.0,,25.1,25.5,1.0,,23.9,25.0,0.0,,23.3,24.5,1.0,23.2,23.8,25.0,1.0,,25.1,25.0,1.0,,27.1,26.0
2023-05-30 09:40:00,,35.5,23.1,23.1,23.1,24.8,24.8,[24.8],1.0,,23.4,24.3,1.0,,25.1,25.5,1.0,,23.9,25.0,0.0,,23.2,24.5,1.0,23.1,23.9,25.0,1.0,,25.5,25.0,1.0,,27.2,26.0
2023-05-30 09:45:00,,35.629999999999995,23.1,23.1,23.1,24.8,24.8,[24.8],1.0,,23.4,24.3,1.0,,25.1,25.5,1.0,,23.9,25.0,0.0,,23.2,24.5,1.0,23.1,24.1,25.0,1.0,,25.9,25.0,1.0,,27.2,26.0
2023-05-30 09:50:00,,35.629999999999995,23.1,23.1,23.1,24.8,24.8,[24.8],1.0,,23.4,24.3,1.0,,25.1,25.5,1.0,,23.9,25.0,0.0,,23.2,24.5,1.0,23.1,24.2,25.0,1.0,,26.0,25.0,1.0,,27.3,26.0
2023-05-30 09:55:00,,35.76,23.1,23.1,23.1,24.8,24.8,[24.8],1.0,,23.4,24.3,1.0,,25.1,25.5,1.0,,23.9,25.0,0.0,,23.2,24.5,1.0,23.1,24.2,25.0,1.0,,26.3,25.0,1.0,,27.4,26.0
2023-05-30 10:00:00,,35.849999999999994,23.1,23.1,23.1,24.8,24.8,[24.8],1.0,,23.4,24.3,1.0,,25.1,25.5,1.0,,23.9,25.0,0.0,,23.2,24.5,1.0,23.1,24.3,25.0,1.0,,26.4,25.0,1.0,,27.4,26.0
2023-05-30 10:05:00,,36.03,23.1,23.1,23.1,24.8,24.8,[24.8],1.0,,23.4,24.3,1.0,,25.1,25.5,1.0,,23.9,25.0,0.0,,23.2,24.5,1.0,23.1,24.4,25.0,1.0,,26.7,25.0,1.0,,27.5,26.0
2023-05-30 10:10:00,,35.81,23.0,23.0,23.0,24.8,24.8,[24.8],1.0,,23.4,24.3,1.0,,25.1,25.5,1.0,,23.9,25.0,0.0,,23.2,24.5,1.0,23.0,24.4,25.0,1.0,,26.9,25.0,1.0,,27.6,26.0
2023-05-30 10:15:00,,35.629999999999995,23.0,23.0,23.0,24.8,24.8,[24.8],1.0,,23.4,24.3,1.0,,25.1,25.5,1.0,,23.9,25.0,0.0,,23.2,24.5,1.0,23.0,24.2,25.0,1.0,,26.2,25.0,1.0,,27.4,26.0
2023-05-30 10:20:00,,35.42,23.0,23.0,23.0,24.8,24.8,[24.8],1.0,,23.4,24.3,1.0,,25.1,25.5,1.0,,23.9,25.0,0.0,,23.1,24.5,1.0,23.0,24.1,25.0,1.0,,26.0,25.0,1.0,,27.4,26.0
2023-05-30 10:25:00,,35.45,23.0,23.0,23.0,24.8,24.8,[24.8],1.0,,23.4,24.3,1.0,,25.1,25.5,1.0,,23.9,25.0,0.0,,23.1,24.5,1.0,23.0,24.0,25.0,1.0,,25.7,25.0,1.0,,27.3,26.0
2023-05-30 10:30:00,,35.489999999999995,23.0,23.0,23.0,24.3,24.3,[24.3],1.0,,23.4,24.3,1.0,,25.1,25.5,1.0,,23.9,25.0,0.0,,23.1,24.5,1.0,23.0,23.9,25.0,1.0,,25.5,25.0,1.0,,27.2,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,35.32,22.9,22.9,22.9,24.3,24.3,[24.3],1.0,,23.4,24.3,1.0,,25.1,25.5,1.0,,23.9,25.0,0.0,,23.1,24.5,1.0,22.9,23.6,25.0,1.0,,25.2,25.0,1.0,,27.1,26.0
2023-05-30 10:45:00,,35.27,22.9,22.9,22.9,24.3,24.3,[24.3],1.0,,23.4,24.3,1.0,,25.1,25.5,1.0,,23.9,25.0,0.0,,23.0,24.5,1.0,22.9,23.6,25.0,1.0,,25.1,25.0,1.0,,27.1,26.0
2023-05-30 10:50:00,,35.45,22.9,22.9,22.9,24.3,24.3,[24.3],1.0,,23.4,24.3,1.0,,25.1,25.5,1.0,,23.9,25.0,0.0,,23.0,24.5,1.0,22.9,23.6,25.0,1.0,,25.3,25.0,1.0,,27.2,26.0
