time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1358339_c,1358339_h,1358339_r,1358339_s,1358340_c,1358340_h,1358340_r,1358340_s,1358343_c,1358343_h,1358343_r,1358343_s,1358344_c,1358344_h,1358344_r,1358344_s
2023-05-30 09:05:00,,120.16,27.9,26.2,27.1,25.7,25.7,[25.7],1.0,26.2,26.6,25.0,1.0,,26.2,25.0,1.0,27.9,27.0,26.0,1.0,27.2,24.9,24.0
2023-05-30 09:10:00,,119.84,28.2,26.4,27.266666666666666,25.7,25.7,[25.7],1.0,26.4,26.4,25.0,1.0,,25.9,25.0,1.0,28.2,26.8,26.0,1.0,27.2,27.0,24.0
2023-05-30 09:15:00,,119.39,28.2,26.3,27.2,25.7,25.7,[25.7],1.0,26.3,27.1,25.0,1.0,,25.7,25.0,1.0,28.2,27.1,26.0,1.0,27.1,26.4,24.0
2023-05-30 09:20:00,,119.07,28.1,26.3,27.33333333333333,25.7,25.7,[25.7],1.0,26.3,26.3,25.0,1.0,,26.1,25.0,1.0,28.1,26.7,26.0,1.0,27.6,24.7,24.0
2023-05-30 09:25:00,,119.2,27.9,26.1,27.133333333333336,25.7,25.7,[25.7],1.0,26.1,26.2,25.0,1.0,,25.8,25.0,1.0,27.9,26.7,26.0,1.0,27.4,26.9,24.0
2023-05-30 09:30:00,,119.07,27.9,26.1,27.0,25.7,25.7,[25.7],1.0,26.1,26.8,25.0,1.0,,25.5,25.0,1.0,27.9,26.8,26.0,1.0,27.0,24.2,24.0
2023-05-30 09:35:00,,119.74,27.9,26.2,27.266666666666666,25.7,25.7,[25.7],1.0,26.2,26.2,25.0,1.0,,26.7,25.0,1.0,27.9,26.8,26.0,1.0,27.7,25.9,24.0
2023-05-30 09:40:00,,119.08,27.9,26.3,27.23333333333333,25.7,25.7,[25.7],1.0,26.3,26.7,25.0,1.0,,25.9,25.0,1.0,27.9,26.7,26.0,1.0,27.5,26.8,24.0
2023-05-30 09:45:00,,119.39,27.9,26.1,27.03333333333333,25.7,25.7,[25.7],1.0,26.1,26.3,25.0,1.0,,25.6,25.0,1.0,27.9,26.9,26.0,1.0,27.1,24.5,24.0
2023-05-30 09:50:00,,119.57,28.0,26.3,27.399999999999995,25.7,25.7,[25.7],1.0,26.3,27.0,25.0,1.0,,26.7,25.0,1.0,28.0,27.0,26.0,1.0,27.9,26.5,24.0
2023-05-30 09:55:00,,119.83,28.1,26.2,27.066666666666663,25.7,25.7,[25.7],1.0,26.2,26.4,25.0,1.0,,26.0,25.0,1.0,28.1,27.1,26.0,1.0,26.9,25.9,24.0
2023-05-30 10:00:00,,119.98,28.0,26.2,27.100000000000005,25.7,25.7,[25.7],1.0,26.2,26.2,25.0,1.0,,26.2,25.0,1.0,28.0,27.1,26.0,1.0,27.1,25.3,24.0
2023-05-30 10:05:00,,119.17,28.2,26.3,27.133333333333336,25.7,25.7,[25.7],1.0,26.3,27.1,25.0,1.0,,26.4,25.0,1.0,28.2,26.9,26.0,1.0,26.9,26.8,24.0
2023-05-30 10:10:00,,119.26,28.0,26.2,27.066666666666663,25.7,25.7,[25.7],1.0,26.2,26.4,25.0,1.0,,25.3,25.0,1.0,28.0,26.5,26.0,1.0,27.0,25.3,24.0
2023-05-30 10:15:00,,,28.1,26.4,27.2,25.7,25.7,[25.7],1.0,26.4,27.3,25.0,1.0,,26.9,25.0,1.0,28.1,28.4,26.0,1.0,27.1,26.5,24.0
2023-05-30 10:20:00,,119.28,28.0,25.9,27.0,25.7,25.7,[25.7],1.0,25.9,26.3,25.0,1.0,,25.5,25.0,1.0,28.0,25.8,26.0,1.0,27.1,25.8,24.0
2023-05-30 10:25:00,,119.22,28.2,26.3,27.1,25.7,25.7,[25.7],1.0,26.3,27.1,25.0,1.0,,25.8,25.0,1.0,28.2,27.2,26.0,1.0,26.8,25.1,24.0
2023-05-30 10:30:00,,119.18,28.1,26.3,27.0,25.7,25.7,[25.7],1.0,26.3,26.1,25.0,1.0,,26.7,25.0,1.0,28.1,26.9,26.0,1.0,26.6,26.2,24.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,119.27,28.2,26.4,27.13333333333333,25.7,25.7,[25.7],1.0,26.4,26.4,25.0,1.0,,25.9,25.0,1.0,28.2,27.9,26.0,1.0,26.8,26.2,24.0
2023-05-30 10:45:00,,119.23,28.0,26.0,26.933333333333334,25.7,25.7,[25.7],1.0,26.0,26.4,25.0,1.0,,25.7,25.0,1.0,28.0,26.4,26.0,1.0,26.8,25.5,24.0
2023-05-30 10:50:00,,119.61,28.2,26.0,27.166666666666668,25.8,25.8,[25.8],1.0,26.0,26.6,25.0,1.0,,25.7,25.0,1.0,28.2,27.2,26.0,1.0,27.3,26.1,24.0
