time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3838169_c,3838169_h,3838169_r,3838169_s,3838170_c,3838170_h,3838170_r,3838170_s
2023-05-30 09:05:00,,4.29,33.2,29.0,31.1,25.0,25.0,[25.0],1.0,29.0,26.0,26.0,1.0,33.2,25.0,26.0
2023-05-30 09:10:00,,4.28,33.3,28.9,31.1,25.0,25.0,[25.0],1.0,28.9,26.0,26.0,1.0,33.3,25.0,26.0
2023-05-30 09:15:00,,4.29,33.3,29.0,31.15,25.0,25.0,[25.0],1.0,29.0,26.0,26.0,1.0,33.3,25.0,26.0
2023-05-30 09:20:00,,4.29,33.3,29.0,31.15,25.0,25.0,[25.0],1.0,29.0,26.0,26.0,1.0,33.3,25.0,26.0
2023-05-30 09:25:00,,4.28,33.2,29.0,31.1,25.0,25.0,[25.0],1.0,29.0,26.0,26.0,1.0,33.2,25.0,26.0
2023-05-30 09:30:00,,4.28,33.2,29.0,31.1,24.9,24.9,[24.9],1.0,29.0,26.0,26.0,1.0,33.2,25.0,26.0
2023-05-30 09:35:00,,4.3,33.2,29.0,31.1,24.9,24.9,[24.9],1.0,29.0,26.0,26.0,1.0,33.2,25.0,26.0
2023-05-30 09:40:00,,4.28,33.1,28.9,31.0,24.9,24.9,[24.9],1.0,28.9,26.0,26.0,1.0,33.1,25.0,26.0
2023-05-30 09:45:00,,4.28,33.2,28.9,31.05,24.9,24.9,[24.9],1.0,28.9,26.0,26.0,1.0,33.2,25.0,26.0
2023-05-30 09:50:00,,4.28,33.2,28.9,31.05,24.9,24.9,[24.9],1.0,28.9,26.0,26.0,1.0,33.2,25.0,26.0
2023-05-30 09:55:00,,4.29,33.2,28.9,31.05,24.9,24.9,[24.9],1.0,28.9,26.0,26.0,1.0,33.2,25.0,26.0
2023-05-30 10:00:00,,4.28,33.2,28.9,31.05,24.9,24.9,[24.9],1.0,28.9,26.0,26.0,1.0,33.2,25.0,26.0
2023-05-30 10:05:00,,4.28,33.2,28.9,31.05,24.9,24.9,[24.9],1.0,28.9,26.0,26.0,1.0,33.2,25.0,26.0
2023-05-30 10:10:00,,4.29,33.3,28.9,31.1,25.0,25.0,[25.0],1.0,28.9,26.0,26.0,1.0,33.3,25.0,26.0
2023-05-30 10:15:00,,4.28,33.3,28.9,31.1,24.9,24.9,[24.9],1.0,28.9,26.0,26.0,1.0,33.3,25.0,26.0
2023-05-30 10:20:00,,4.28,33.3,28.9,31.1,25.0,25.0,[25.0],1.0,28.9,26.0,26.0,1.0,33.3,25.0,26.0
2023-05-30 10:25:00,,4.29,33.3,28.9,31.1,25.0,25.0,[25.0],1.0,28.9,26.0,26.0,1.0,33.3,25.0,26.0
2023-05-30 10:30:00,,4.29,33.3,29.0,31.15,25.0,25.0,[25.0],1.0,29.0,26.0,26.0,1.0,33.3,25.0,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,4.28,33.3,29.0,31.15,25.0,25.0,[25.0],1.0,29.0,26.0,26.0,1.0,33.3,25.0,26.0
2023-05-30 10:45:00,,4.29,33.3,29.0,31.15,25.0,25.0,[25.0],1.0,29.0,26.0,26.0,1.0,33.3,25.0,26.0
2023-05-30 10:50:00,,4.29,33.3,29.0,31.15,25.0,25.0,[25.0],1.0,29.0,26.0,26.0,1.0,33.3,25.0,26.0
2023-05-30 10:55:00,,4.29,33.3,29.0,31.15,25.0,25.0,[25.0],1.0,29.0,26.0,26.0,1.0,33.3,25.0,26.0
2023-05-30 11:00:00,,4.28,33.3,29.0,31.15,25.0,25.0,[25.0],1.0,29.0,26.0,26.0,1.0,33.3,25.0,26.0
