time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3838171_c,3838171_h,3838171_r,3838171_s,3838172_c,3838172_h,3838172_r,3838172_s,3838173_c,3838173_h,3838173_r,3838173_s,3838174_c,3838174_h,3838174_r,3838174_s
2023-05-30 09:05:00,,24090.0,33.6,29.9,31.75,25.7,25.7,[25.7],1.0,33.6,26.2,26.0,1.0,33.6,27.7,26.0,1.0,29.9,27.2,26.0,1.0,29.9,29.4,26.0
2023-05-30 09:10:00,,24090.0,33.7,30.1,31.9,25.6,25.6,[25.6],1.0,33.7,26.4,26.0,1.0,33.7,28.0,26.0,1.0,30.1,27.3,26.0,1.0,30.1,29.3,26.0
2023-05-30 09:15:00,,24057.0,33.7,30.2,31.950000000000003,25.7,25.7,[25.7],1.0,33.7,26.3,26.0,1.0,33.7,28.0,26.0,1.0,30.2,27.3,26.0,1.0,30.2,29.4,26.0
2023-05-30 09:20:00,,24156.0,33.8,30.3,32.05,25.7,25.7,[25.7],1.0,33.8,26.4,26.0,1.0,33.8,28.5,26.0,1.0,30.3,27.3,26.0,1.0,30.3,29.4,26.0
2023-05-30 09:25:00,,24090.0,33.8,30.5,32.15,25.7,25.7,[25.7],1.0,33.8,26.5,26.0,1.0,33.8,28.4,26.0,1.0,30.5,27.3,26.0,1.0,30.5,29.5,26.0
2023-05-30 09:30:00,,24189.0,33.9,30.7,32.3,25.8,25.8,[25.8],1.0,33.9,26.5,26.0,1.0,33.9,28.0,26.0,1.0,30.7,27.3,26.0,1.0,30.7,29.4,26.0
2023-05-30 09:35:00,,23991.0,33.9,30.8,32.35,25.8,25.8,[25.8],1.0,33.9,26.5,26.0,1.0,33.9,28.2,26.0,1.0,30.8,27.4,26.0,1.0,30.8,29.6,26.0
2023-05-30 09:40:00,,24123.0,34.0,30.8,32.4,25.8,25.8,[25.8],1.0,34.0,26.4,26.0,1.0,34.0,28.0,26.0,1.0,30.8,27.3,26.0,1.0,30.8,29.6,26.0
2023-05-30 09:45:00,,24090.0,34.0,30.8,32.4,25.8,25.8,[25.8],1.0,34.0,26.5,26.0,1.0,34.0,28.2,26.0,1.0,30.8,27.4,26.0,1.0,30.8,29.5,26.0
2023-05-30 09:50:00,,24486.0,34.3,30.9,32.6,25.9,25.9,[25.9],1.0,34.3,26.6,26.0,1.0,34.3,28.5,26.0,1.0,30.9,27.4,26.0,1.0,30.9,29.5,26.0
2023-05-30 09:55:00,,24090.0,34.4,31.0,32.7,25.9,25.9,[25.9],1.0,34.4,26.6,26.0,1.0,34.4,28.3,26.0,1.0,31.0,27.6,26.0,1.0,31.0,29.5,26.0
2023-05-30 10:00:00,,24189.0,34.4,30.9,32.65,25.9,25.9,[25.9],1.0,34.4,26.6,26.0,1.0,34.4,28.2,26.0,1.0,30.9,27.5,26.0,1.0,30.9,29.6,26.0
2023-05-30 10:05:00,,24288.0,34.5,30.9,32.7,25.9,25.9,[25.9],1.0,34.5,26.6,26.0,1.0,34.5,28.4,26.0,1.0,30.9,27.6,26.0,1.0,30.9,29.7,26.0
2023-05-30 10:10:00,,24321.0,34.5,30.9,32.7,25.9,25.9,[25.9],1.0,34.5,26.7,26.0,1.0,34.5,28.6,26.0,1.0,30.9,27.5,26.0,1.0,30.9,29.8,26.0
2023-05-30 10:15:00,,24420.0,34.6,30.9,32.75,25.9,25.9,[25.9],1.0,34.6,26.7,26.0,1.0,34.6,28.3,26.0,1.0,30.9,27.8,26.0,1.0,30.9,29.7,26.0
2023-05-30 10:20:00,,24783.0,34.5,31.0,32.75,26.0,26.0,[26.0],1.0,34.5,26.7,26.0,1.0,34.5,28.2,26.0,1.0,31.0,27.8,26.0,1.0,31.0,29.8,26.0
2023-05-30 10:25:00,,24420.0,34.5,31.1,32.8,26.0,26.0,[26.0],1.0,34.5,26.8,26.0,1.0,34.5,28.6,26.0,1.0,31.1,27.7,26.0,1.0,31.1,29.8,26.0
2023-05-30 10:30:00,,24189.0,34.5,31.1,32.8,26.0,26.0,[26.0],1.0,34.5,26.8,26.0,1.0,34.5,28.3,26.0,1.0,31.1,27.7,26.0,1.0,31.1,29.9,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,24123.0,34.5,31.2,32.85,26.1,26.1,[26.1],,34.5,,,,34.5,,,,31.2,,,,31.2,,
2023-05-30 10:45:00,,24321.0,34.5,31.2,32.85,26.1,26.1,[26.1],1.0,34.5,26.9,26.0,1.0,34.5,28.5,26.0,1.0,31.2,28.0,26.0,1.0,31.2,30.0,26.0
2023-05-30 10:50:00,,24321.0,34.5,31.2,32.85,26.1,26.1,[26.1],1.0,34.5,26.9,26.0,1.0,34.5,28.8,26.0,1.0,31.2,27.9,26.0,1.0,31.2,30.0,26.0
2023-05-30 10:55:00,,24453.0,34.5,31.1,32.8,26.1,26.1,[26.1],1.0,34.5,26.9,26.0,1.0,34.5,28.5,26.0,1.0,31.1,27.8,26.0,1.0,31.1,30.0,26.0
2023-05-30 11:00:00,,24420.0,34.6,31.1,32.85,26.1,26.1,[26.1],1.0,34.6,27.0,26.0,1.0,34.6,29.0,26.0,1.0,31.1,27.8,26.0,1.0,31.1,30.1,26.0
2023-05-30 11:05:00,,24519.0,34.6,30.9,32.75,26.1,26.1,[26.1],1.0,34.6,27.1,26.0,1.0,34.6,29.0,26.0,1.0,30.9,28.2,26.0,1.0,30.9,30.1,26.0
2023-05-30 11:10:00,,24684.0,34.8,30.9,32.85,26.4,26.4,[26.4],1.0,34.8,27.2,26.0,1.0,34.8,29.0,26.0,1.0,30.9,28.3,26.0,1.0,30.9,30.2,26.0
2023-05-30 11:15:00,,24783.0,34.8,31.0,32.9,26.4,26.4,[26.4],1.0,34.8,27.3,26.0,1.0,34.8,29.2,26.0,1.0,31.0,28.2,26.0,1.0,31.0,30.2,26.0
2023-05-30 11:20:00,,24816.0,34.7,31.0,32.85,26.4,26.4,[26.4],1.0,34.7,27.3,26.0,1.0,34.7,29.1,26.0,1.0,31.0,28.2,26.0,1.0,31.0,30.3,26.0
2023-05-30 11:25:00,,24387.0,34.6,31.1,32.85,26.4,26.4,[26.4],1.0,34.6,27.3,26.0,1.0,34.6,29.1,26.0,1.0,31.1,28.3,26.0,1.0,31.1,30.3,26.0
2023-05-30 11:30:00,,24255.0,34.5,31.1,32.8,26.4,26.4,[26.4],1.0,34.5,27.3,26.0,1.0,34.5,28.9,26.0,1.0,31.1,28.3,26.0,1.0,31.1,30.4,26.0
2023-05-30 11:35:00,,23628.0,34.4,31.1,32.75,26.4,26.4,[26.4],1.0,34.4,27.4,26.0,1.0,34.4,29.1,26.0,1.0,31.1,28.3,26.0,1.0,31.1,30.4,26.0
2023-05-30 11:40:00,,23265.0,34.4,31.3,32.85,26.5,26.5,[26.5],1.0,34.4,27.4,26.0,1.0,34.4,29.0,26.0,1.0,31.3,28.1,26.0,1.0,31.3,30.3,26.0
2023-05-30 11:45:00,,23133.0,34.2,31.3,32.75,26.4,26.4,[26.4],1.0,34.2,27.2,26.0,1.0,34.2,29.1,26.0,1.0,31.3,28.2,26.0,1.0,31.3,30.4,26.0
2023-05-30 11:50:00,,23100.0,34.2,31.3,32.75,26.4,26.4,[26.4],1.0,34.2,27.3,26.0,1.0,34.2,28.7,26.0,1.0,31.3,28.2,26.0,1.0,31.3,30.3,26.0
2023-05-30 11:55:00,,23100.0,34.1,31.3,32.7,26.4,26.4,[26.4],1.0,34.1,27.4,26.0,1.0,34.1,28.9,26.0,1.0,31.3,28.1,26.0,1.0,31.3,30.3,26.0
2023-05-30 12:00:00,,23166.0,34.0,31.1,32.55,26.4,26.4,[26.4],1.0,34.0,27.3,26.0,1.0,34.0,29.0,26.0,1.0,31.1,28.2,26.0,1.0,31.1,30.3,26.0
2023-05-30 12:05:00,,22968.0,33.9,31.1,32.5,26.4,26.4,[26.4],1.0,33.9,27.4,26.0,1.0,33.9,28.7,26.0,1.0,31.1,28.2,26.0,1.0,31.1,30.2,26.0
2023-05-30 12:10:00,,22671.0,33.9,30.9,32.4,26.4,26.4,[26.4],1.0,33.9,27.3,26.0,1.0,33.9,29.0,26.0,1.0,30.9,28.1,26.0,1.0,30.9,30.3,26.0
2023-05-30 12:15:00,,22506.0,33.8,30.9,32.35,26.4,26.4,[26.4],1.0,33.8,27.2,26.0,1.0,33.8,29.0,26.0,1.0,30.9,28.0,26.0,1.0,30.9,30.2,26.0
2023-05-30 12:20:00,,22506.0,33.7,30.9,32.300000000000004,26.4,26.4,[26.4],1.0,33.7,27.3,26.0,1.0,33.7,28.7,26.0,1.0,30.9,28.0,26.0,1.0,30.9,30.2,26.0
2023-05-30 12:25:00,,22704.0,33.6,30.7,32.15,26.4,26.4,[26.4],1.0,33.6,27.3,26.0,1.0,33.6,28.9,26.0,1.0,30.7,28.0,26.0,1.0,30.7,30.1,26.0
2023-05-30 12:30:00,,22440.0,33.5,30.6,32.05,26.4,26.4,[26.4],1.0,33.5,27.2,26.0,1.0,33.5,28.9,26.0,1.0,30.6,28.2,26.0,1.0,30.6,30.3,26.0
2023-05-30 12:35:00,,22572.0,33.5,30.7,32.1,26.4,26.4,[26.4],1.0,33.5,27.3,26.0,1.0,33.5,28.7,26.0,1.0,30.7,28.1,26.0,1.0,30.7,30.1,26.0
2023-05-30 12:40:00,,22506.0,33.5,30.7,32.1,26.4,26.4,[26.4],1.0,33.5,27.3,26.0,1.0,33.5,28.9,26.0,1.0,30.7,28.0,26.0,1.0,30.7,30.2,26.0
2023-05-30 12:45:00,,22605.0,33.5,30.7,32.1,26.4,26.4,[26.4],1.0,33.5,27.3,26.0,1.0,33.5,29.0,26.0,1.0,30.7,28.0,26.0,1.0,30.7,30.2,26.0
2023-05-30 12:50:00,,22836.0,33.5,30.7,32.1,26.4,26.4,[26.4],1.0,33.5,27.2,26.0,1.0,33.5,28.9,26.0,1.0,30.7,28.0,26.0,1.0,30.7,30.2,26.0
