time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3838236_c,3838236_h,3838236_r,3838236_s,3838237_c,3838237_h,3838237_r,3838237_s,3838238_c,3838238_h,3838238_r,3838238_s,3838239_c,3838239_h,3838239_r,3838239_s
2023-05-30 09:05:00,,15.22,29.1,26.5,27.8,26.3,26.3,[26.3],0.0,29.1,0.0,0.0,1.0,,27.0,26.0,1.0,,27.5,26.0,1.0,26.5,26.0,26.0
2023-05-30 09:10:00,,15.21,29.1,26.5,27.8,26.3,26.3,[26.3],0.0,29.1,0.0,0.0,1.0,,27.0,26.0,1.0,,27.5,26.0,1.0,26.5,26.0,26.0
2023-05-30 09:15:00,,15.2,29.1,26.4,27.75,26.3,26.3,[26.3],0.0,29.1,0.0,0.0,1.0,,26.9,26.0,1.0,,27.4,26.0,1.0,26.4,26.0,26.0
2023-05-30 09:20:00,,15.23,29.2,26.5,27.85,26.4,26.4,[26.4],0.0,29.2,0.0,0.0,1.0,,27.2,26.0,1.0,,28.0,26.0,1.0,26.5,26.0,26.0
2023-05-30 09:25:00,,15.22,29.4,26.5,27.95,26.6,26.6,[26.6],0.0,29.4,0.0,0.0,1.0,,27.5,26.0,1.0,,28.3,26.0,1.0,26.5,27.0,26.0
2023-05-30 09:30:00,,15.23,29.6,26.7,28.15,26.6,26.6,[26.6],0.0,29.6,0.0,0.0,1.0,,27.6,26.0,1.0,,28.3,26.0,1.0,26.7,27.0,26.0
2023-05-30 09:35:00,,15.22,29.6,26.8,28.200000000000003,26.5,26.5,[26.5],0.0,29.6,0.0,0.0,1.0,,27.3,26.0,1.0,,27.8,26.0,1.0,26.8,26.0,26.0
2023-05-30 09:40:00,,15.21,29.4,26.8,28.1,26.4,26.4,[26.4],0.0,29.4,0.0,0.0,1.0,,27.1,26.0,1.0,,27.5,26.0,1.0,26.8,26.0,26.0
2023-05-30 09:45:00,,15.21,29.2,26.7,27.95,26.3,26.3,[26.3],0.0,29.2,0.0,0.0,1.0,,27.0,26.0,1.0,,27.5,26.0,1.0,26.7,26.0,26.0
2023-05-30 09:50:00,,15.23,29.1,26.7,27.9,26.3,26.3,[26.3],0.0,29.1,0.0,0.0,1.0,,27.0,26.0,1.0,,27.5,26.0,1.0,26.7,26.0,26.0
2023-05-30 09:55:00,,15.2,29.1,26.6,27.85,26.3,26.3,[26.3],0.0,29.1,0.0,0.0,1.0,,27.0,26.0,1.0,,27.4,26.0,1.0,26.6,26.0,26.0
2023-05-30 10:00:00,,15.23,29.1,26.6,27.85,26.4,26.4,[26.4],0.0,29.1,0.0,0.0,1.0,,27.0,26.0,1.0,,27.7,26.0,1.0,26.6,26.0,26.0
2023-05-30 10:05:00,,15.24,29.1,26.6,27.85,26.5,26.5,[26.5],0.0,29.1,0.0,0.0,1.0,,27.4,26.0,1.0,,28.0,26.0,1.0,26.6,26.0,26.0
2023-05-30 10:10:00,,15.21,29.3,26.6,27.950000000000003,26.4,26.4,[26.4],0.0,29.3,0.0,0.0,1.0,,27.1,26.0,1.0,,27.6,26.0,1.0,26.6,26.0,26.0
2023-05-30 10:15:00,,15.23,29.3,26.6,27.950000000000003,26.4,26.4,[26.4],0.0,29.3,0.0,0.0,1.0,,27.1,26.0,1.0,,27.6,26.0,1.0,26.6,26.0,26.0
2023-05-30 10:20:00,,15.23,29.2,26.6,27.9,26.4,26.4,[26.4],0.0,29.2,0.0,0.0,1.0,,27.1,26.0,1.0,,27.5,26.0,1.0,26.6,26.0,26.0
2023-05-30 10:25:00,,15.23,29.2,26.6,27.9,26.4,26.4,[26.4],0.0,29.2,0.0,0.0,1.0,,27.2,20.0,1.0,,27.9,26.0,1.0,26.6,26.0,26.0
2023-05-30 10:30:00,,15.23,29.4,26.6,28.0,26.5,26.5,[26.5],0.0,29.4,0.0,0.0,1.0,,27.4,20.0,1.0,,28.0,26.0,1.0,26.6,26.0,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,15.23,29.5,26.4,27.95,26.5,26.5,[26.5],0.0,29.5,0.0,0.0,1.0,,26.6,20.0,1.0,,27.9,26.0,1.0,26.4,25.0,26.0
2023-05-30 10:45:00,,15.23,29.5,26.3,27.9,26.5,26.5,[26.5],0.0,29.5,0.0,0.0,1.0,,26.5,20.0,1.0,,28.0,26.0,1.0,26.3,25.0,26.0
2023-05-30 10:50:00,,15.23,29.5,26.3,27.9,26.5,26.5,[26.5],0.0,29.5,0.0,0.0,1.0,,26.8,20.0,1.0,,27.9,26.0,1.0,26.3,25.0,26.0
2023-05-30 10:55:00,,15.22,29.5,26.1,27.8,26.5,26.5,[26.5],0.0,29.5,0.0,0.0,1.0,,26.5,20.0,1.0,,27.8,26.0,1.0,26.1,25.0,26.0
2023-05-30 11:00:00,,15.22,29.5,26.1,27.8,26.5,26.5,[26.5],0.0,29.5,0.0,0.0,1.0,,26.9,20.0,1.0,,27.8,26.0,1.0,26.1,25.0,26.0
