time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,209187_c,209187_h,209187_p,209187_r,209187_s,209188_c,209188_h,209188_p,209188_r,209188_s,209189_c,209189_h,209189_p,209189_r,209189_s,569473_c,569473_h,569473_p,569473_r,569473_s,569474_c,569474_h,569474_p,569474_r,569474_s
2023-05-30 09:00:00,,,,,,,,,,,15.6,,,,,21.2,,,,,13.4,,,,,4.0,,,,,3.6,,
2023-05-30 09:05:00,,84.4,37.1,26.7,32.64,26.8,26.8,[26.8],1.0,36.6,15.4,25.0,25.0,1.0,30.4,13.8,25.0,25.0,1.0,26.7,13.3,24.0,24.0,1.0,37.1,4.0,35.0,26.0,1.0,32.4,3.6,31.0,25.0
2023-05-30 09:10:00,,84.4,37.1,26.8,32.7,26.8,26.8,[26.8],1.0,36.7,15.3,25.0,25.0,1.0,30.5,13.5,25.0,25.0,1.0,26.8,13.3,24.0,24.0,1.0,37.1,4.0,32.0,26.0,1.0,32.4,3.6,30.0,25.0
2023-05-30 09:15:00,,84.2,37.1,26.3,32.68,26.9,26.9,[26.9],1.0,36.7,15.4,25.0,25.0,1.0,30.8,21.1,25.0,25.0,1.0,26.3,20.0,24.0,24.0,1.0,37.1,4.0,30.0,26.0,1.0,32.5,3.6,29.0,25.0
2023-05-30 09:20:00,,84.1,36.9,26.3,32.62,26.6,26.6,[26.6],1.0,36.9,15.4,25.0,25.0,1.0,30.9,21.6,25.0,25.0,1.0,26.3,13.4,24.0,24.0,1.0,36.5,4.0,34.0,26.0,1.0,32.5,3.6,31.0,25.0
2023-05-30 09:25:00,,84.3,37.1,26.3,32.62,26.7,26.7,[26.7],1.0,37.1,15.4,25.0,25.0,1.0,30.9,14.0,25.0,25.0,1.0,26.3,13.3,24.0,24.0,1.0,36.2,4.0,35.0,26.0,1.0,32.6,3.6,31.0,25.0
2023-05-30 09:30:00,,84.19999999999999,37.0,26.5,32.64,26.7,26.7,[26.7],1.0,37.0,15.3,25.0,25.0,1.0,30.8,13.9,25.0,25.0,1.0,26.5,13.4,24.0,24.0,1.0,36.3,4.0,35.0,26.0,1.0,32.6,3.6,31.0,25.0
2023-05-30 09:35:00,,84.3,36.9,26.7,32.68,26.8,26.8,[26.8],1.0,36.9,15.4,25.0,25.0,1.0,30.7,20.8,25.0,25.0,1.0,26.7,13.2,24.0,24.0,1.0,36.5,4.0,35.0,26.0,1.0,32.6,3.6,32.0,25.0
2023-05-30 09:40:00,,84.4,36.9,26.7,32.660000000000004,26.5,26.5,[26.5],1.0,36.9,15.5,25.0,25.0,1.0,30.7,21.4,25.0,25.0,1.0,26.7,13.4,24.0,24.0,1.0,36.5,4.0,35.0,26.0,1.0,32.5,3.6,31.0,25.0
2023-05-30 09:45:00,,84.5,36.9,26.6,32.64,26.6,26.6,[26.6],1.0,36.9,15.6,25.0,25.0,1.0,30.6,21.4,25.0,25.0,1.0,26.6,13.4,24.0,24.0,1.0,36.6,4.0,35.0,26.0,1.0,32.5,3.6,32.0,25.0
2023-05-30 09:50:00,,84.5,36.9,26.8,32.68,26.7,26.7,[26.7],1.0,36.9,15.5,25.0,25.0,1.0,30.5,13.7,25.0,25.0,1.0,26.8,13.4,24.0,24.0,1.0,36.7,4.0,35.0,26.0,1.0,32.5,3.6,32.0,25.0
2023-05-30 09:55:00,,84.4,36.9,26.8,32.72,26.8,26.8,[26.8],1.0,36.9,15.5,25.0,25.0,1.0,30.5,20.5,25.0,25.0,1.0,26.8,13.3,24.0,24.0,1.0,36.9,4.0,35.0,26.0,1.0,32.5,3.6,32.0,25.0
2023-05-30 10:00:00,,84.4,36.9,26.4,32.62,26.6,26.6,[26.6],1.0,36.8,,25.0,25.0,1.0,30.5,,25.0,25.0,1.0,26.4,,24.0,24.0,1.0,36.9,,35.0,26.0,1.0,32.5,,31.0,25.0
2023-05-30 10:05:00,,84.5,36.9,26.1,32.58,26.9,26.9,[26.9],1.0,36.9,15.4,25.0,25.0,1.0,30.5,13.7,25.0,25.0,1.0,26.1,13.4,24.0,24.0,1.0,36.9,4.0,35.0,26.0,1.0,32.5,3.6,32.0,25.0
2023-05-30 10:10:00,,84.5,37.0,26.5,32.7,26.7,26.7,[26.7],1.0,36.9,15.6,25.0,25.0,1.0,30.6,13.7,25.0,25.0,1.0,26.5,13.4,24.0,24.0,1.0,37.0,4.0,35.0,26.0,1.0,32.5,3.6,31.0,25.0
