time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1596024_c,1596024_h,1596024_r,1596024_s,1596025_c,1596025_h,1596025_r,1596025_s,208867_c,208867_h,208867_r,208867_s,596028_h
2023-05-30 09:05:00,,21.94,32.9,28.6,31.125,22.5,22.5,[22.5],1.0,32.9,26.3,25.0,1.0,31.5,24.9,25.0,1.0,31.5,28.2,26.0,28.6
2023-05-30 09:10:00,,22.05,32.8,28.6,31.1,22.5,22.5,[22.5],1.0,32.8,25.0,25.0,1.0,31.5,24.9,25.0,1.0,31.5,28.1,26.0,28.6
2023-05-30 09:15:00,,22.0,32.8,28.6,31.1,22.5,22.5,[22.5],1.0,32.8,25.9,25.0,1.0,31.5,24.9,25.0,1.0,31.5,28.2,26.0,28.6
2023-05-30 09:20:00,,22.01,32.7,28.6,31.025,22.5,22.5,[22.5],1.0,32.7,25.3,25.0,1.0,31.4,24.9,25.0,1.0,31.4,28.1,26.0,28.6
2023-05-30 09:25:00,,22.09,32.7,28.6,31.025,22.5,22.5,[22.5],1.0,32.7,25.3,25.0,1.0,31.4,24.9,25.0,1.0,31.4,28.1,26.0,28.6
2023-05-30 09:30:00,,22.19,32.8,28.6,31.05,22.5,22.5,[22.5],1.0,32.8,26.4,25.0,1.0,31.4,24.9,25.0,1.0,31.4,28.4,26.0,28.6
2023-05-30 09:35:00,,21.96,32.7,28.6,31.075000000000003,22.4,22.4,[22.4],1.0,32.7,26.1,25.0,1.0,31.5,24.9,25.0,1.0,31.5,28.2,26.0,28.6
2023-05-30 09:40:00,,21.97,32.8,28.6,31.1,22.5,22.5,[22.5],1.0,32.8,25.0,25.0,1.0,31.5,24.9,25.0,1.0,31.5,28.2,26.0,28.6
2023-05-30 09:45:00,,21.97,32.8,28.6,31.1,22.5,22.5,[22.5],1.0,32.8,25.9,25.0,1.0,31.5,25.0,25.0,1.0,31.5,28.4,26.0,28.6
2023-05-30 09:50:00,,21.93,32.8,28.6,31.1,22.6,22.6,[22.6],1.0,32.8,26.0,25.0,1.0,31.5,25.0,25.0,1.0,31.5,28.3,26.0,28.6
2023-05-30 09:55:00,,22.13,32.7,28.6,31.075000000000003,22.8,22.8,[22.8],1.0,32.7,25.4,25.0,1.0,31.5,25.3,25.0,1.0,31.5,28.5,26.0,28.6
2023-05-30 10:00:00,,,32.8,28.6,31.200000000000003,22.8,22.8,[22.8],1.0,32.8,26.0,25.0,1.0,31.7,25.3,25.0,1.0,31.7,28.6,26.0,28.6
2023-05-30 10:05:00,,21.98,33.0,28.6,31.35,22.8,22.8,[22.8],1.0,33.0,26.0,25.0,1.0,31.9,25.3,25.0,1.0,31.9,28.8,26.0,28.6
2023-05-30 10:10:00,,22.0,33.0,28.7,31.375000000000004,22.9,22.9,[22.9],1.0,33.0,25.4,25.0,1.0,31.9,25.3,25.0,1.0,31.9,28.5,26.0,28.7
2023-05-30 10:15:00,,21.94,33.1,28.7,31.500000000000004,23.0,23.0,[23.0],1.0,33.1,27.0,25.0,1.0,32.1,25.5,25.0,1.0,32.1,28.7,26.0,28.7
2023-05-30 10:20:00,,21.92,33.1,28.7,31.500000000000004,22.9,22.9,[22.9],1.0,33.1,26.1,25.0,1.0,32.1,25.5,25.0,1.0,32.1,28.4,26.0,28.7
2023-05-30 10:25:00,,22.07,33.0,28.7,31.525,22.8,22.8,[22.8],1.0,33.0,25.0,25.0,1.0,32.2,25.3,25.0,1.0,32.2,28.3,26.0,28.7
2023-05-30 10:30:00,,,32.7,28.7,31.4,,,,1.0,32.7,26.8,25.0,1.0,32.1,25.1,25.0,1.0,32.1,28.4,26.0,28.7
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,22.03,32.7,28.7,31.25,22.5,22.5,[22.5],1.0,32.7,25.6,25.0,1.0,31.8,25.0,25.0,1.0,31.8,28.3,26.0,28.7
2023-05-30 10:45:00,,21.99,32.7,28.7,31.25,22.7,22.7,[22.7],1.0,32.7,27.0,25.0,1.0,31.8,25.2,25.0,1.0,31.8,28.2,26.0,28.7
2023-05-30 10:50:00,,21.9,32.8,28.7,31.325,22.8,22.8,[22.8],1.0,32.8,25.6,25.0,1.0,31.9,25.1,25.0,1.0,31.9,28.1,26.0,28.7
2023-05-30 10:55:00,,21.86,32.9,28.7,31.35,22.9,22.9,[22.9],1.0,32.9,25.5,25.0,1.0,31.9,25.2,25.0,1.0,31.9,28.3,26.0,28.7
2023-05-30 11:00:00,,21.92,32.9,28.7,31.35,22.8,22.8,[22.8],1.0,32.9,26.3,25.0,1.0,31.9,25.3,25.0,1.0,31.9,28.0,26.0,28.7
2023-05-30 11:05:00,,21.95,32.7,28.7,31.3,22.9,22.9,[22.9],1.0,32.7,25.5,25.0,1.0,31.9,25.2,25.0,1.0,31.9,28.2,26.0,28.7
2023-05-30 11:10:00,,22.01,32.7,28.7,31.3,22.9,22.9,[22.9],1.0,32.7,25.6,25.0,1.0,31.9,25.3,25.0,1.0,31.9,28.3,26.0,28.7
2023-05-30 11:15:00,,22.03,32.9,28.7,31.35,22.9,22.9,[22.9],1.0,32.9,26.8,25.0,1.0,31.9,25.3,25.0,1.0,31.9,28.3,26.0,28.7
2023-05-30 11:20:00,,21.93,32.8,28.7,31.375,22.8,22.8,[22.8],1.0,32.8,25.7,25.0,1.0,32.0,25.3,25.0,1.0,32.0,28.1,26.0,28.7
2023-05-30 11:25:00,,21.94,33.0,28.7,31.375000000000004,22.9,22.9,[22.9],1.0,33.0,25.6,25.0,1.0,31.9,25.2,25.0,1.0,31.9,28.5,26.0,28.7
2023-05-30 11:30:00,,21.89,33.0,28.7,31.425,22.9,22.9,[22.9],1.0,33.0,26.6,25.0,1.0,32.0,25.2,25.0,1.0,32.0,28.3,26.0,28.7
2023-05-30 11:35:00,,21.83,32.8,28.8,31.4,22.8,22.8,[22.8],1.0,32.8,25.4,25.0,1.0,32.0,25.1,25.0,1.0,32.0,28.2,26.0,28.8
