time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1157566_c,1157566_h,1157566_r,1157566_s,1157567_c,1157567_h,1157567_r,1157567_s,3819682_c,3819682_h,3819682_r,3819682_s
2023-05-30 09:10:00,,39.5,26.6,31.46666666666667,25.450000000000003,26.6,"[26.6, 24.3]",1.0,26.6,28.3,25.0,1.0,28.3,26.4,25.0,1.0,39.5,25.0,25.0
2023-05-30 09:15:00,,37.5,26.7,30.866666666666664,25.65,26.6,"[26.6, 24.7]",1.0,26.7,28.4,25.0,1.0,28.4,26.5,25.0,1.0,37.5,26.0,25.0
2023-05-30 09:20:00,,37.2,26.6,30.666666666666668,26.25,26.7,"[26.7, 25.8]",1.0,26.6,28.3,25.0,1.0,28.2,26.3,25.0,1.0,37.2,27.0,25.0
2023-05-30 09:25:00,,37.2,26.7,30.6,26.4,26.6,"[26.6, 26.2]",1.0,26.7,28.2,25.0,1.0,27.9,26.2,25.0,1.0,37.2,24.0,25.0
2023-05-30 09:30:00,,37.0,26.5,30.4,25.3,26.5,"[26.5, 24.1]",1.0,26.5,28.2,25.0,1.0,27.7,26.1,25.0,1.0,37.0,23.0,25.0
2023-05-30 09:35:00,,37.6,26.4,30.5,26.05,26.5,"[26.5, 25.6]",1.0,26.4,28.0,25.0,1.0,27.5,25.9,25.0,1.0,37.6,27.0,25.0
2023-05-30 09:40:00,,37.5,26.4,30.46666666666667,25.35,26.4,"[26.4, 24.3]",1.0,26.4,28.0,25.0,1.0,27.5,26.0,25.0,1.0,37.5,24.0,25.0
2023-05-30 09:45:00,,37.5,26.4,30.46666666666667,25.5,26.4,"[26.4, 24.6]",1.0,26.4,28.2,25.0,1.0,27.5,26.1,25.0,1.0,37.5,27.0,25.0
2023-05-30 09:50:00,,37.8,26.4,30.73333333333333,25.75,26.4,"[26.4, 25.1]",1.0,26.4,28.2,25.0,1.0,28.0,26.3,25.0,1.0,37.8,24.0,25.0
2023-05-30 09:55:00,,37.5,26.5,30.73333333333333,25.55,26.4,"[26.4, 24.7]",1.0,26.5,28.3,25.0,1.0,28.2,26.4,25.0,1.0,37.5,27.0,25.0
2023-05-30 10:00:00,,37.9,26.5,30.899999999999995,26.0,26.5,"[26.5, 25.5]",1.0,26.5,28.3,25.0,1.0,28.3,26.5,25.0,1.0,37.9,26.0,25.0
