time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1157651_c,1157651_h,1157651_p,1157651_r,1157651_s,1157652_c,1157652_h,1157652_p,1157652_r,1157652_s
2023-05-30 09:05:00,,38.22,28.7,28.7,28.7,27.5,27.5,[27.5],1.0,28.7,22.29,28.1,27.0,1.0,28.7,5.15,26.3,26.0
2023-05-30 09:10:00,,38.21,28.9,28.9,28.9,27.5,27.5,[27.5],1.0,28.9,22.1,28.1,27.0,1.0,28.9,22.89,26.3,26.0
2023-05-30 09:15:00,,38.2,28.8,28.8,28.8,27.5,27.5,[27.5],1.0,28.8,22.19,28.1,27.0,1.0,28.8,14.84,26.3,26.0
2023-05-30 09:20:00,,38.2,28.3,28.3,28.3,27.3,27.3,[27.3],1.0,28.3,14.0,28.1,27.0,1.0,28.3,4.71,26.3,26.0
2023-05-30 09:25:00,,38.21,28.3,28.3,28.3,27.4,27.4,[27.4],1.0,28.3,13.93,28.1,27.0,1.0,28.3,14.82,26.3,26.0
2023-05-30 09:30:00,,38.23,28.4,28.4,28.4,27.5,27.5,[27.5],1.0,28.4,13.88,28.1,27.0,1.0,28.4,22.76,26.3,26.0
2023-05-30 09:35:00,,38.23,28.3,28.3,28.3,27.5,27.5,[27.5],1.0,28.3,13.99,28.1,27.0,1.0,28.3,14.78,26.3,26.0
2023-05-30 09:40:00,,38.23,28.2,28.2,28.2,27.5,27.5,[27.5],1.0,28.2,14.06,28.1,27.0,1.0,28.2,4.71,26.3,26.0
2023-05-30 09:45:00,,38.24,28.4,28.4,28.4,27.5,27.5,[27.5],1.0,28.4,14.02,28.1,27.0,1.0,28.4,5.11,26.3,26.0
2023-05-30 09:50:00,,38.34,28.6,28.6,28.6,27.7,27.7,[27.7],1.0,28.6,13.95,28.1,27.0,1.0,28.6,22.75,26.3,26.0
2023-05-30 09:55:00,,38.34,28.6,28.6,28.6,27.7,27.7,[27.7],1.0,28.6,13.91,28.1,27.0,1.0,28.6,22.65,26.3,26.0
2023-05-30 10:00:00,,38.35,28.4,28.4,28.4,27.7,27.7,[27.7],1.0,28.4,14.05,28.1,27.0,1.0,28.4,4.71,26.3,26.0
2023-05-30 10:05:00,,38.25,28.4,28.4,28.4,27.6,27.6,[27.6],1.0,28.4,13.92,28.1,27.0,1.0,28.4,4.71,26.3,26.0
2023-05-30 10:10:00,,38.35,28.6,28.6,28.6,27.7,27.7,[27.7],1.0,28.6,13.84,28.1,27.0,1.0,28.6,22.8,26.3,26.0
2023-05-30 10:15:00,,38.36,28.6,28.6,28.6,27.8,27.8,[27.8],1.0,28.6,14.01,28.1,27.0,1.0,28.6,22.86,26.3,26.0
2023-05-30 10:20:00,,38.36,28.6,28.6,28.6,27.8,27.8,[27.8],1.0,28.6,14.04,28.1,27.0,1.0,28.6,4.71,26.3,26.0
2023-05-30 10:25:00,,38.34,28.9,28.9,28.9,27.7,27.7,[27.7],1.0,28.9,22.44,28.1,27.0,1.0,28.9,4.71,26.3,26.0
2023-05-30 10:30:00,,38.23,28.9,28.9,28.9,27.5,27.5,[27.5],1.0,28.9,22.27,28.1,27.0,1.0,28.9,14.76,26.3,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,38.34,28.9,28.9,28.9,27.7,27.7,[27.7],1.0,28.9,13.94,28.1,27.0,1.0,28.9,14.82,26.3,26.0
2023-05-30 10:45:00,,38.24,28.3,28.3,28.3,27.6,27.6,[27.6],1.0,28.3,14.07,28.1,27.0,1.0,28.3,4.7,26.3,26.0
2023-05-30 10:50:00,,38.35,28.3,28.3,28.3,27.7,27.7,[27.7],1.0,28.3,13.97,28.1,27.0,1.0,28.3,5.08,26.3,26.0
2023-05-30 10:55:00,,38.35,28.3,28.3,28.3,27.7,27.7,[27.7],1.0,28.3,13.97,28.1,27.0,1.0,28.3,22.81,26.3,26.0
2023-05-30 11:00:00,,38.36,,,,27.9,27.9,[27.9],1.0,,13.94,28.1,27.0,1.0,,22.77,26.3,26.0
2023-05-30 11:05:00,,38.25,28.4,28.4,28.4,27.8,27.8,[27.8],1.0,28.4,14.03,28.1,27.0,1.0,28.4,4.65,26.3,26.0
2023-05-30 11:10:00,,38.35,28.5,28.5,28.5,27.8,27.8,[27.8],1.0,28.5,14.1,28.1,27.0,1.0,28.5,14.81,26.3,26.0
2023-05-30 11:15:00,,38.36,28.7,28.7,28.7,27.9,27.9,[27.9],1.0,28.7,13.98,28.1,27.0,1.0,28.7,4.69,26.3,26.0
2023-05-30 11:20:00,,38.35,28.9,28.9,28.9,27.8,27.8,[27.8],1.0,28.9,22.35,28.1,27.0,1.0,28.9,4.69,26.3,26.0
2023-05-30 11:25:00,,38.22,29.1,29.1,29.1,27.7,27.7,[27.7],1.0,29.1,22.45,28.1,27.0,1.0,29.1,14.85,26.3,26.0
2023-05-30 11:30:00,,38.32,29.0,29.0,29.0,27.7,27.7,[27.7],1.0,29.0,22.25,28.1,27.0,1.0,29.0,22.77,26.3,26.0
2023-05-30 11:35:00,,38.2,28.6,28.6,28.6,27.6,27.6,[27.6],1.0,28.6,22.24,28.1,27.0,1.0,28.6,4.71,26.3,26.0
2023-05-30 11:40:00,,38.3,28.6,28.6,28.6,27.5,27.5,[27.5],1.0,28.6,22.26,28.1,27.0,1.0,28.6,4.7,26.3,26.0
2023-05-30 11:45:00,,38.2,28.8,28.8,28.8,27.6,27.6,[27.6],1.0,28.8,22.49,28.1,27.0,1.0,28.8,14.85,26.3,26.0
2023-05-30 11:50:00,,38.19,28.8,28.8,28.8,27.6,27.6,[27.6],1.0,28.8,22.4,28.1,27.0,1.0,28.8,4.7,26.3,26.0
2023-05-30 11:55:00,,38.19,28.5,28.5,28.5,27.4,27.4,[27.4],1.0,28.5,22.55,28.1,27.0,1.0,28.5,5.09,26.3,26.0
2023-05-30 12:00:00,,38.19,28.6,28.6,28.6,27.6,27.6,[27.6],1.0,28.6,22.34,28.1,27.0,1.0,28.6,14.83,26.3,26.0
2023-05-30 12:05:00,,38.19,28.4,28.4,28.4,27.6,27.6,[27.6],1.0,28.4,22.12,28.1,27.0,1.0,28.4,22.83,26.3,26.0
2023-05-30 12:10:00,,38.18,28.3,28.3,28.3,27.6,27.6,[27.6],1.0,28.3,22.68,28.1,27.0,1.0,28.3,4.64,26.3,26.0
2023-05-30 12:15:00,,38.18,28.3,28.3,28.3,27.6,27.6,[27.6],1.0,28.3,22.44,28.1,27.0,1.0,28.3,4.63,26.3,26.0
2023-05-30 12:20:00,,38.17,28.6,28.6,28.6,27.4,27.4,[27.4],1.0,28.6,22.26,28.1,27.0,1.0,28.6,5.13,26.3,26.0
2023-05-30 12:25:00,,38.19,28.6,28.6,28.6,27.7,27.7,[27.7],1.0,28.6,14.04,28.1,27.0,1.0,28.6,14.84,26.3,26.0
2023-05-30 12:30:00,,38.2,28.3,28.3,28.3,27.6,27.6,[27.6],1.0,28.3,13.99,28.1,27.0,1.0,28.3,4.69,26.3,26.0
2023-05-30 12:35:00,,38.21,28.3,28.3,28.3,27.6,27.6,[27.6],1.0,28.3,14.07,28.1,27.0,1.0,28.3,4.69,26.3,26.0
2023-05-30 12:40:00,,38.33,28.3,28.3,28.3,27.8,27.8,[27.8],1.0,28.3,13.91,28.1,27.0,1.0,28.3,5.89,26.3,26.0
2023-05-30 12:45:00,,38.34,28.6,28.6,28.6,27.8,27.8,[27.8],1.0,28.6,13.98,28.1,27.0,1.0,28.6,22.84,26.3,26.0
2023-05-30 12:50:00,,38.34,28.4,28.4,28.4,27.8,27.8,[27.8],1.0,28.4,14.05,28.1,27.0,1.0,28.4,22.58,26.3,26.0
2023-05-30 12:55:00,,38.35,28.4,28.4,28.4,27.8,27.8,[27.8],1.0,28.4,14.07,28.1,27.0,1.0,28.4,4.69,26.3,26.0
2023-05-30 13:00:00,,38.35,28.5,28.5,28.5,27.8,27.8,[27.8],1.0,28.5,13.94,28.1,27.0,1.0,28.5,14.86,26.3,26.0
2023-05-30 13:05:00,,38.35,28.5,28.5,28.5,27.8,27.8,[27.8],1.0,28.5,14.11,28.1,27.0,1.0,28.5,14.91,26.3,26.0
2023-05-30 13:10:00,,38.34,28.5,28.5,28.5,27.8,27.8,[27.8],1.0,28.5,14.11,28.1,27.0,1.0,28.5,14.9,26.3,26.0
2023-05-30 13:15:00,,38.36,28.7,28.7,28.7,27.9,27.9,[27.9],1.0,28.7,14.18,28.1,27.0,1.0,28.7,14.92,26.3,26.0
2023-05-30 13:20:00,,38.35,28.8,28.8,28.8,27.9,27.9,[27.9],1.0,28.8,14.19,28.1,27.0,1.0,28.8,15.03,26.3,26.0
2023-05-30 13:25:00,,38.36,29.0,29.0,29.0,28.0,28.0,[28.0],1.0,29.0,14.03,28.1,27.0,1.0,29.0,14.86,26.3,26.0
2023-05-30 13:30:00,,38.36,29.0,29.0,29.0,28.0,28.0,[28.0],1.0,29.0,14.05,28.1,27.0,1.0,29.0,14.83,26.3,26.0
2023-05-30 13:35:00,,38.36,28.8,28.8,28.8,28.1,28.1,[28.1],1.0,28.8,14.04,28.1,27.0,1.0,28.8,14.83,26.3,26.0
2023-05-30 13:40:00,,38.370000000000005,29.0,29.0,29.0,28.1,28.1,[28.1],1.0,29.0,13.98,28.1,27.0,1.0,29.0,14.9,26.3,26.0
2023-05-30 13:45:00,,38.36,29.3,29.3,29.3,28.1,28.1,[28.1],1.0,29.3,22.47,28.1,27.0,1.0,29.3,14.73,26.3,26.0
2023-05-30 13:50:00,,38.34,29.2,29.2,29.2,27.9,27.9,[27.9],1.0,29.2,22.64,28.1,27.0,1.0,29.2,14.94,26.3,26.0
2023-05-30 13:55:00,,38.32,29.1,29.1,29.1,27.8,27.8,[27.8],1.0,29.1,22.48,28.1,27.0,1.0,29.1,14.79,26.3,26.0
2023-05-30 14:00:00,,38.31,29.3,29.3,29.3,27.9,27.9,[27.9],1.0,29.3,22.57,28.1,27.0,1.0,29.3,22.91,26.3,26.0
2023-05-30 14:05:00,,38.32,29.1,29.1,29.1,27.9,27.9,[27.9],1.0,29.1,22.71,28.1,27.0,1.0,29.1,14.86,26.3,26.0
2023-05-30 14:10:00,,38.21,29.1,29.1,29.1,27.9,27.9,[27.9],1.0,29.1,22.74,28.1,27.0,1.0,29.1,4.68,26.3,26.0
2023-05-30 14:15:00,,38.3,28.8,28.8,28.8,27.8,27.8,[27.8],1.0,28.8,22.49,28.1,27.0,1.0,28.8,14.79,26.3,26.0
2023-05-30 14:20:00,,38.2,29.0,29.0,29.0,27.8,27.8,[27.8],1.0,29.0,22.48,28.1,27.0,1.0,29.0,22.87,26.3,26.0
2023-05-30 14:25:00,,38.3,28.8,28.8,28.8,27.9,27.9,[27.9],1.0,28.8,22.59,28.1,27.0,1.0,28.8,14.66,26.3,26.0
2023-05-30 14:30:00,,38.2,28.9,28.9,28.9,27.7,27.7,[27.7],1.0,28.9,22.76,28.1,27.0,1.0,28.9,4.61,26.3,26.0
2023-05-30 14:35:00,,38.18,28.5,28.5,28.5,27.6,27.6,[27.6],1.0,28.5,22.63,28.1,27.0,1.0,28.5,5.54,26.3,26.0
2023-05-30 14:40:00,,38.19,28.5,28.5,28.5,27.9,27.9,[27.9],1.0,28.5,22.66,28.1,27.0,1.0,28.5,14.84,26.3,26.0
2023-05-30 14:45:00,,38.3,28.7,28.7,28.7,28.1,28.1,[28.1],1.0,28.7,22.58,28.1,27.0,1.0,28.7,4.61,26.3,26.0
2023-05-30 14:50:00,,38.19,28.7,28.7,28.7,27.9,27.9,[27.9],1.0,28.7,22.56,28.1,27.0,1.0,28.7,4.65,26.3,26.0
2023-05-30 14:55:00,,38.18,28.4,28.4,28.4,27.9,27.9,[27.9],1.0,28.4,22.36,28.1,27.0,1.0,28.4,5.84,26.3,26.0
2023-05-30 15:00:00,,38.18,28.8,28.8,28.8,28.0,28.0,[28.0],1.0,28.8,22.34,28.1,27.0,1.0,28.8,22.9,26.3,26.0
2023-05-30 15:05:00,,38.29,28.4,28.4,28.4,28.0,28.0,[28.0],1.0,28.4,14.0,28.1,27.0,1.0,28.4,14.83,26.3,26.0
2023-05-30 15:10:00,,38.2,28.2,28.2,28.2,27.8,27.8,[27.8],1.0,28.2,14.1,28.1,27.0,1.0,28.2,4.63,26.3,26.0
2023-05-30 15:15:00,,38.22,28.4,28.4,28.4,27.8,27.8,[27.8],1.0,28.4,14.05,28.1,27.0,1.0,28.4,5.2,26.3,26.0
2023-05-30 15:20:00,,38.32,28.5,28.5,28.5,28.0,28.0,[28.0],1.0,28.5,14.05,28.1,27.0,1.0,28.5,22.99,26.3,26.0
2023-05-30 15:25:00,,38.33,28.4,28.4,28.4,28.1,28.1,[28.1],1.0,28.4,14.01,28.1,27.0,1.0,28.4,22.69,26.3,26.0
2023-05-30 15:30:00,,38.35,28.4,28.4,28.4,28.0,28.0,[28.0],1.0,28.4,14.1,28.1,27.0,1.0,28.4,4.67,26.3,26.0
2023-05-30 15:35:00,,38.23,28.7,28.7,28.7,27.9,27.9,[27.9],1.0,28.7,22.67,28.1,27.0,1.0,28.7,4.67,26.3,26.0
2023-05-30 15:40:00,,38.32,28.8,28.8,28.8,27.8,27.8,[27.8],1.0,28.8,22.44,28.1,27.0,1.0,28.8,14.74,26.3,26.0
2023-05-30 15:45:00,,38.32,28.8,28.8,28.8,28.0,28.0,[28.0],1.0,28.8,22.44,28.1,27.0,1.0,28.8,22.87,26.3,26.0
2023-05-30 15:50:00,,38.3,28.8,28.8,28.8,27.9,27.9,[27.9],1.0,28.8,22.66,28.1,27.0,1.0,28.8,14.69,26.3,26.0
2023-05-30 15:55:00,,38.2,28.5,28.5,28.5,27.7,27.7,[27.7],1.0,28.5,22.69,28.1,27.0,1.0,28.5,4.68,26.3,26.0
2023-05-30 16:00:00,,38.2,28.8,28.8,28.8,27.9,27.9,[27.9],1.0,28.8,22.46,28.1,27.0,1.0,28.8,14.8,26.3,26.0
2023-05-30 16:05:00,,38.2,28.9,28.9,28.9,28.1,28.1,[28.1],1.0,28.9,22.45,28.1,27.0,1.0,28.9,23.06,26.3,26.0
2023-05-30 16:10:00,,38.19,28.6,28.6,28.6,28.0,28.0,[28.0],1.0,28.6,22.49,28.1,27.0,1.0,28.6,14.74,26.3,26.0
2023-05-30 16:15:00,,38.17,28.4,28.4,28.4,27.7,27.7,[27.7],1.0,28.4,14.02,28.1,27.0,1.0,28.4,4.67,26.3,26.0
2023-05-30 16:20:00,,38.2,28.4,28.4,28.4,27.8,27.8,[27.8],1.0,28.4,13.99,28.1,27.0,1.0,28.4,14.77,26.3,26.0
2023-05-30 16:25:00,,38.21,28.5,28.5,28.5,28.0,28.0,[28.0],1.0,28.5,20.98,28.1,27.0,1.0,28.5,22.91,26.3,26.0
2023-05-30 16:30:00,,38.21,28.5,28.5,28.5,28.1,28.1,[28.1],1.0,28.5,22.45,28.1,27.0,1.0,28.5,14.79,26.3,26.0
2023-05-30 16:35:00,,38.21,28.5,28.5,28.5,27.8,27.8,[27.8],1.0,28.5,22.4,28.1,27.0,1.0,28.5,4.67,26.3,26.0
2023-05-30 16:40:00,,38.19,28.6,28.6,28.6,27.7,27.7,[27.7],1.0,28.6,22.25,28.1,27.0,1.0,28.6,14.72,26.3,26.0
2023-05-30 16:45:00,,38.19,28.6,28.6,28.6,27.9,27.9,[27.9],1.0,28.6,22.19,28.1,27.0,1.0,28.6,22.67,26.3,26.0
2023-05-30 16:50:00,,38.19,28.5,28.5,28.5,27.9,27.9,[27.9],1.0,28.5,13.91,28.1,27.0,1.0,28.5,4.58,26.3,26.0
2023-05-30 16:55:00,,38.21,28.4,28.4,28.4,27.8,27.8,[27.8],1.0,28.4,13.95,28.1,27.0,1.0,28.4,14.7,26.3,26.0
2023-05-30 17:00:00,,38.32,28.4,28.4,28.4,28.1,28.1,[28.1],1.0,28.4,13.91,28.1,27.0,1.0,28.4,22.93,26.3,26.0
2023-05-30 17:05:00,,38.21,28.6,28.6,28.6,28.0,28.0,[28.0],1.0,28.6,22.46,28.1,27.0,1.0,28.6,4.63,26.3,26.0
2023-05-30 17:10:00,,38.29,28.4,28.4,28.4,27.8,27.8,[27.8],1.0,28.4,22.27,28.1,27.0,1.0,28.4,4.67,26.3,26.0
2023-05-30 17:15:00,,38.19,28.5,28.5,28.5,27.8,27.8,[27.8],1.0,28.5,22.22,28.1,27.0,1.0,28.5,14.73,26.3,26.0
2023-05-30 17:20:00,,38.19,28.5,28.5,28.5,28.0,28.0,[28.0],1.0,28.5,22.29,28.1,27.0,1.0,28.5,22.68,26.3,26.0
2023-05-30 17:25:00,,38.19,28.1,28.1,28.1,27.9,27.9,[27.9],1.0,28.1,14.04,28.1,27.0,1.0,28.1,4.69,26.3,26.0
2023-05-30 17:30:00,,38.2,28.1,28.1,28.1,27.8,27.8,[27.8],1.0,28.1,13.99,28.1,27.0,1.0,28.1,5.09,26.3,26.0
2023-05-30 17:35:00,,38.22,28.3,28.3,28.3,27.9,27.9,[27.9],1.0,28.3,13.97,28.1,27.0,1.0,28.3,14.81,26.3,26.0
2023-05-30 17:40:00,,38.24,28.4,28.4,28.4,28.1,28.1,[28.1],1.0,28.4,13.91,28.1,27.0,1.0,28.4,22.82,26.3,26.0
2023-05-30 17:45:00,,38.34,28.4,28.4,28.4,28.1,28.1,[28.1],1.0,28.4,13.94,28.1,27.0,1.0,28.4,15.04,26.3,26.0
2023-05-30 17:50:00,,38.25,28.4,28.4,28.4,28.0,28.0,[28.0],1.0,28.4,13.97,28.1,27.0,1.0,28.4,4.66,26.3,26.0
2023-05-30 17:55:00,,38.34,28.4,28.4,28.4,28.0,28.0,[28.0],1.0,28.4,13.97,28.1,27.0,1.0,28.4,4.66,26.3,26.0
2023-05-30 18:00:00,,38.34,28.8,28.8,28.8,28.0,28.0,[28.0],1.0,28.8,22.09,28.1,27.0,1.0,28.8,22.79,26.3,26.0
2023-05-30 18:05:00,,38.32,28.8,28.8,28.8,28.1,28.1,[28.1],1.0,28.8,22.14,28.1,27.0,1.0,28.8,22.98,26.3,26.0
2023-05-30 18:10:00,,38.32,28.8,28.8,28.8,28.0,28.0,[28.0],1.0,28.8,22.26,28.1,27.0,1.0,28.8,4.69,26.3,26.0
2023-05-30 18:15:00,,38.2,28.6,28.6,28.6,27.8,27.8,[27.8],1.0,28.6,22.17,28.1,27.0,1.0,28.6,4.69,26.3,26.0
2023-05-30 18:20:00,,38.2,28.7,28.7,28.7,27.9,27.9,[27.9],1.0,28.7,22.13,28.1,27.0,1.0,28.7,14.78,26.3,26.0
2023-05-30 18:25:00,,38.2,28.7,28.7,28.7,28.1,28.1,[28.1],1.0,28.7,13.94,28.1,27.0,1.0,28.7,22.25,26.3,26.0
2023-05-30 18:30:00,,38.21,28.7,28.7,28.7,28.0,28.0,[28.0],1.0,28.7,13.96,28.1,27.0,1.0,28.7,4.65,26.3,26.0
2023-05-30 18:35:00,,38.23,28.3,28.3,28.3,27.9,27.9,[27.9],1.0,28.3,22.13,28.1,27.0,1.0,28.3,5.09,26.3,26.0
2023-05-30 18:40:00,,38.21,28.8,28.8,28.8,28.0,28.0,[28.0],1.0,28.8,22.03,28.1,27.0,1.0,28.8,14.73,26.3,26.0
2023-05-30 18:45:00,,38.21,28.8,28.8,28.8,28.1,28.1,[28.1],1.0,28.8,22.09,28.1,27.0,1.0,28.8,22.89,26.3,26.0
2023-05-30 18:50:00,,38.19,28.8,28.8,28.8,28.0,28.0,[28.0],1.0,28.8,22.09,28.1,27.0,1.0,28.8,4.7,26.3,26.0
2023-05-30 18:55:00,,38.18,28.5,28.5,28.5,27.7,27.7,[27.7],1.0,28.5,22.14,28.1,27.0,1.0,28.5,5.09,26.3,26.0
2023-05-30 19:00:00,,38.19,28.5,28.5,28.5,27.8,27.8,[27.8],1.0,28.5,21.78,28.1,27.0,1.0,28.5,22.57,26.3,26.0
2023-05-30 19:05:00,,38.19,28.5,28.5,28.5,27.8,27.8,[27.8],1.0,28.5,21.91,28.1,27.0,1.0,28.5,22.65,26.3,26.0
2023-05-30 19:10:00,,38.19,28.1,28.1,28.1,27.7,27.7,[27.7],1.0,28.1,13.94,28.1,27.0,1.0,28.1,4.7,26.3,26.0
2023-05-30 19:15:00,,38.2,28.1,28.1,28.1,27.7,27.7,[27.7],1.0,28.1,13.96,28.1,27.0,1.0,28.1,5.14,26.3,26.0
2023-05-30 19:20:00,,38.22,28.2,28.2,28.2,27.9,27.9,[27.9],1.0,28.2,13.88,28.1,27.0,1.0,28.2,22.58,26.3,26.0
2023-05-30 19:25:00,,38.23,28.3,28.3,28.3,28.0,28.0,[28.0],1.0,28.3,13.95,28.1,27.0,1.0,28.3,14.83,26.3,26.0
2023-05-30 19:30:00,,38.32,28.3,28.3,28.3,28.0,28.0,[28.0],1.0,28.3,13.94,28.1,27.0,1.0,28.3,4.66,26.3,26.0
2023-05-30 19:35:00,,38.24,28.3,28.3,28.3,27.9,27.9,[27.9],1.0,28.3,13.94,28.1,27.0,1.0,28.3,5.1,26.3,26.0
2023-05-30 19:40:00,,38.34,28.3,28.3,28.3,28.0,28.0,[28.0],1.0,28.3,14.06,28.1,27.0,1.0,28.3,14.9,26.3,26.0
2023-05-30 19:45:00,,38.24,28.7,28.7,28.7,28.0,28.0,[28.0],1.0,28.7,21.91,28.1,27.0,1.0,28.7,22.66,26.3,26.0
2023-05-30 19:50:00,,38.23,28.8,28.8,28.8,28.0,28.0,[28.0],1.0,28.8,21.9,28.1,27.0,1.0,28.8,22.38,26.3,26.0
2023-05-30 19:55:00,,38.31,28.6,28.6,28.6,27.9,27.9,[27.9],1.0,28.6,14.0,28.1,27.0,1.0,28.6,4.71,26.3,26.0
2023-05-30 20:00:00,,38.22,28.3,28.3,28.3,27.8,27.8,[27.8],1.0,28.3,13.95,28.1,27.0,1.0,28.3,5.11,26.3,26.0
2023-05-30 20:05:00,,38.33,28.6,28.6,28.6,28.0,28.0,[28.0],1.0,28.6,13.93,28.1,27.0,1.0,28.6,22.68,26.3,26.0
2023-05-30 20:10:00,,38.34,28.7,28.7,28.7,28.1,28.1,[28.1],1.0,28.7,14.01,28.1,27.0,1.0,28.7,22.94,26.3,26.0
2023-05-30 20:15:00,,38.35,28.5,28.5,28.5,28.0,28.0,[28.0],1.0,28.5,13.97,28.1,27.0,1.0,28.5,14.99,26.3,26.0
2023-05-30 20:20:00,,38.35,28.4,28.4,28.4,28.0,28.0,[28.0],1.0,28.4,14.1,28.1,27.0,1.0,28.4,4.68,26.3,26.0
2023-05-30 20:25:00,,38.35,28.5,28.5,28.5,28.0,28.0,[28.0],1.0,28.5,13.99,28.1,27.0,1.0,28.5,4.72,26.3,26.0
2023-05-30 20:30:00,,38.35,29.1,29.1,29.1,28.0,28.0,[28.0],1.0,29.1,22.05,28.1,27.0,1.0,29.1,14.89,26.3,26.0
