time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1159298_c,1159298_h,1159298_p,1159298_r,1159298_s,2575545_c,2575545_h,2575545_p,2575545_r,2575545_s
2023-05-30 09:00:00,,,,,,,,,,,0.5,,,,,8.6,,
2023-05-30 09:05:00,,,29.1,29.0,29.05,23.5,23.5,[23.5],1.0,29.1,0.5,24.0,26.0,1.0,29.0,8.2,25.4,26.0
2023-05-30 09:10:00,,,29.0,28.8,28.9,23.7,23.7,[23.7],1.0,28.8,0.5,24.4,26.0,1.0,29.0,8.4,25.8,26.0
2023-05-30 09:15:00,,,29.2,29.0,29.1,23.9,23.9,[23.9],1.0,29.2,0.5,24.8,26.0,1.0,29.0,8.4,25.9,26.0
2023-05-30 09:20:00,,,29.4,29.1,29.25,24.0,24.0,[24.0],1.0,29.4,4.3,24.7,26.0,1.0,29.1,8.4,26.4,26.0
2023-05-30 09:25:00,,,29.1,28.7,28.9,23.6,23.6,[23.6],1.0,28.7,4.8,24.2,26.0,1.0,29.1,8.3,25.7,26.0
2023-05-30 09:30:00,,,29.1,28.6,28.85,23.5,23.5,[23.5],1.0,28.6,0.6,24.2,26.0,1.0,29.1,8.4,25.8,26.0
2023-05-30 09:35:00,,,29.1,28.7,28.9,23.7,23.7,[23.7],1.0,28.7,0.6,24.5,26.0,1.0,29.1,8.4,25.8,26.0
2023-05-30 09:40:00,,,29.1,29.1,29.1,23.9,23.9,[23.9],1.0,29.1,0.5,24.7,26.0,1.0,29.1,8.3,26.4,26.0
2023-05-30 09:45:00,,,29.2,29.0,29.1,23.7,23.7,[23.7],1.0,29.0,4.5,24.3,26.0,1.0,29.2,8.4,25.7,26.0
2023-05-30 09:50:00,,,29.1,28.6,28.85,23.5,23.5,[23.5],1.0,28.6,0.6,24.2,26.0,1.0,29.1,8.4,25.8,26.0
2023-05-30 09:55:00,,,29.1,28.6,28.85,23.6,23.6,[23.6],1.0,28.6,4.5,24.4,26.0,1.0,29.1,8.4,25.8,26.0
2023-05-30 10:00:00,,,29.1,28.6,28.85,23.4,23.4,[23.4],1.0,28.6,0.6,24.0,26.0,1.0,29.1,8.0,25.6,26.0
2023-05-30 10:05:00,,,29.1,28.5,28.8,23.6,23.6,[23.6],1.0,28.5,0.6,24.4,26.0,1.0,29.1,8.4,26.3,26.0
2023-05-30 10:10:00,,,29.1,28.6,28.85,23.8,23.8,[23.8],1.0,28.6,0.6,24.7,26.0,1.0,29.1,8.4,26.2,26.0
2023-05-30 10:15:00,,,29.1,28.9,29.0,24.1,24.1,[24.1],1.0,28.9,3.7,24.9,26.0,1.0,29.1,8.4,26.1,26.0
2023-05-30 10:20:00,,,29.2,28.7,28.95,23.6,23.6,[23.6],1.0,28.7,4.5,24.3,26.0,1.0,29.2,8.4,25.8,26.0
2023-05-30 10:25:00,,,29.2,28.6,28.9,23.5,23.5,[23.5],1.0,28.6,0.6,24.1,26.0,1.0,29.2,8.3,26.0,26.0
2023-05-30 10:30:00,,,29.2,28.5,28.85,23.7,23.7,[23.7],1.0,28.5,0.5,24.7,26.0,1.0,29.2,8.4,26.2,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,,29.2,29.0,29.1,23.8,23.8,[23.8],1.0,29.0,4.9,24.6,26.0,1.0,29.2,8.4,26.1,26.0
