time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1158905_h,1158906_c,1158906_h,1158906_p,1158906_r,1158906_s,1158907_c,1158907_h,1158907_p,1158907_r,1158907_s
2023-05-30 09:00:00,,,,,,,,,,,,12.3,,,,,20.5,,
2023-05-30 09:05:00,,,37.1,27.0,31.600000000000005,28.1,28.1,[28.1],27.0,1.0,30.7,12.3,27.2,26.0,1.0,37.1,20.6,27.3,26.0
2023-05-30 09:10:00,,,37.3,26.8,31.6,28.2,28.2,[28.2],26.8,1.0,30.7,12.3,27.3,26.0,1.0,37.3,20.7,27.2,26.0
2023-05-30 09:15:00,,,37.6,26.7,31.633333333333336,28.1,28.1,[28.1],26.7,1.0,30.6,12.2,27.4,26.0,1.0,37.6,12.4,26.9,26.0
2023-05-30 09:20:00,,,37.6,27.2,31.8,28.2,28.2,[28.2],27.2,1.0,30.6,20.4,27.2,26.0,1.0,37.6,12.4,26.9,26.0
2023-05-30 09:25:00,,,37.6,27.6,31.9,28.2,28.2,[28.2],27.6,1.0,30.5,12.3,26.9,26.0,1.0,37.6,12.3,26.8,26.0
2023-05-30 09:30:00,,,37.2,27.4,31.666666666666668,28.2,28.2,[28.2],27.4,1.0,30.4,20.3,27.4,26.0,1.0,37.2,20.9,27.3,26.0
2023-05-30 09:35:00,,,36.9,26.9,31.366666666666664,28.2,28.2,[28.2],26.9,1.0,30.3,12.5,26.8,26.0,1.0,36.9,20.7,27.8,26.0
2023-05-30 09:40:00,,,36.5,26.6,31.1,28.0,28.0,[28.0],26.6,1.0,30.2,2.5,26.6,26.0,1.0,36.5,20.9,27.7,26.0
2023-05-30 09:45:00,,,36.8,26.9,31.266666666666666,28.1,28.1,[28.1],26.9,1.0,30.1,12.2,26.9,26.0,1.0,36.8,20.8,27.9,26.0
2023-05-30 09:50:00,,,36.9,26.7,31.266666666666666,28.0,28.0,[28.0],26.7,1.0,30.2,12.3,26.8,26.0,1.0,36.9,20.8,27.4,26.0
2023-05-30 09:55:00,,,36.9,26.7,31.3,27.9,27.9,[27.9],26.7,1.0,30.3,12.2,27.0,26.0,1.0,36.9,20.6,27.6,26.0
2023-05-30 10:00:00,,,37.0,26.6,31.3,27.8,27.8,[27.8],26.6,1.0,30.3,12.3,27.0,26.0,1.0,37.0,20.8,27.5,26.0
2023-05-30 10:05:00,,,37.0,26.5,31.33333333333333,27.7,27.7,[27.7],26.5,1.0,30.5,12.3,27.0,26.0,1.0,37.0,20.8,27.3,26.0
2023-05-30 10:10:00,,,37.1,26.4,31.366666666666664,27.8,27.8,[27.8],26.4,1.0,30.6,12.3,27.0,26.0,1.0,37.1,12.5,27.3,26.0
2023-05-30 10:15:00,,,37.1,26.7,31.53333333333333,27.8,27.8,[27.8],26.7,1.0,30.8,12.3,27.2,26.0,1.0,37.1,21.0,27.5,26.0
