time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1158992_c,1158992_h,1158992_r,1158992_s,1424945_c,1424945_h,1424945_r,1424945_s,1424946_c,1424946_h,1424946_p,1424946_r,1424946_s,1424947_c,1424947_h,1424947_p,1424947_r,1424947_s,1424948_c,1424948_h,1424948_p,1424948_r,1424948_s,3789826_c,3789826_h,3789826_r,3789826_s
2023-05-30 09:00:00,,,,,,,,,,,,,,,,,,,3.8,,,,,3.5,,,,,0.2,,,,,,
2023-05-30 09:10:00,,34.84,36.7,26.8,31.599999999999994,28.3,29.7,"[26.9, 29.7]",1.0,36.7,26.9,25.0,1.0,26.8,28.5,25.0,1.0,31.0,0.2,27.0,26.0,1.0,33.7,3.5,22.0,20.0,1.0,33.7,0.2,26.5,26.0,1.0,27.7,27.8,27.0
2023-05-30 09:15:00,,34.79,36.8,26.9,31.53333333333333,28.25,29.7,"[26.8, 29.7]",1.0,36.8,25.7,25.0,1.0,26.9,28.5,25.0,1.0,30.6,3.6,26.5,26.0,1.0,33.5,3.5,21.5,20.0,1.0,33.5,0.2,26.0,26.0,1.0,27.9,27.2,27.0
2023-05-30 09:20:00,,34.67,36.8,26.7,31.41666666666666,28.15,29.3,"[27.0, 29.3]",1.0,36.8,25.3,25.0,1.0,26.7,28.5,25.0,1.0,30.1,0.2,27.0,26.0,1.0,33.6,3.4,22.0,20.0,1.0,33.6,0.2,26.5,26.0,1.0,27.7,26.6,27.0
2023-05-30 09:25:00,,34.71,36.8,26.8,31.4,28.0,29.1,"[26.9, 29.1]",1.0,36.8,25.7,25.0,1.0,26.8,28.5,25.0,1.0,30.0,3.6,26.5,26.0,1.0,33.5,3.5,22.0,20.0,1.0,33.5,0.2,25.0,26.0,1.0,27.8,26.5,27.0
2023-05-30 09:30:00,,34.76,36.6,26.7,31.51666666666667,28.2,29.4,"[27.0, 29.4]",1.0,36.6,26.6,25.0,1.0,26.7,29.5,25.0,1.0,31.0,0.2,26.5,26.0,1.0,33.5,3.5,21.5,20.0,1.0,33.5,0.2,26.5,26.0,1.0,27.8,27.6,27.0
2023-05-30 09:35:00,,34.82,36.9,26.9,31.53333333333333,28.3,29.7,"[26.9, 29.7]",1.0,36.9,25.9,25.0,1.0,26.9,28.0,25.0,1.0,30.7,3.6,26.5,26.0,1.0,33.4,3.5,22.0,20.0,1.0,33.4,0.2,26.5,26.0,1.0,27.9,27.6,27.0
2023-05-30 09:40:00,,34.73,36.7,26.7,31.36666666666667,28.25,29.5,"[27.0, 29.5]",1.0,36.7,26.0,25.0,1.0,26.7,28.5,25.0,1.0,30.4,3.7,26.5,26.0,1.0,33.5,3.5,22.0,20.0,1.0,33.5,0.2,26.5,26.0,1.0,27.4,26.9,27.0
2023-05-30 09:45:00,,34.86,36.7,27.0,31.566666666666663,28.1,29.3,"[26.9, 29.3]",1.0,36.7,26.2,25.0,1.0,27.0,29.0,25.0,1.0,30.5,3.9,27.0,26.0,1.0,33.6,3.5,22.0,20.0,1.0,33.6,0.2,27.0,26.0,1.0,28.0,27.0,27.0
2023-05-30 09:50:00,,34.86,36.7,26.7,31.7,28.3,29.7,"[26.9, 29.7]",1.0,36.7,27.0,25.0,1.0,26.7,29.0,25.0,1.0,31.2,3.7,26.0,26.0,1.0,33.8,3.5,22.0,20.0,1.0,33.8,0.2,26.5,26.0,1.0,28.0,28.1,27.0
2023-05-30 09:55:00,,34.84,36.7,26.9,31.48333333333333,28.4,29.9,"[26.9, 29.9]",1.0,36.7,26.1,25.0,1.0,26.9,28.0,25.0,1.0,31.2,3.7,27.5,26.0,1.0,33.3,3.5,22.0,20.0,1.0,33.3,0.2,27.0,26.0,1.0,27.5,27.4,27.0
2023-05-30 10:00:00,,34.8,36.6,26.8,31.450000000000003,28.15,29.4,"[26.9, 29.4]",1.0,36.6,25.5,25.0,1.0,26.8,28.5,25.0,1.0,30.3,3.7,26.0,26.0,1.0,33.6,3.5,22.0,20.0,1.0,33.6,0.2,26.0,26.0,1.0,27.8,26.8,27.0
2023-05-30 10:05:00,,34.77,36.8,26.9,31.683333333333337,28.35,29.7,"[27.0, 29.7]",1.0,36.8,26.5,25.0,1.0,26.9,29.0,25.0,1.0,31.0,3.0,27.5,26.0,1.0,33.8,3.5,22.0,20.0,1.0,33.8,0.2,26.5,26.0,1.0,27.8,27.8,27.0
2023-05-30 10:10:00,,34.81,36.8,26.8,31.41666666666666,28.4,29.8,"[27.0, 29.8]",1.0,36.8,26.1,25.0,1.0,26.8,28.5,25.0,1.0,30.7,3.7,26.5,26.0,1.0,33.3,3.5,22.0,20.0,1.0,33.3,0.2,25.5,26.0,1.0,27.6,27.3,27.0
2023-05-30 10:15:00,,34.8,36.6,26.8,31.38333333333333,28.25,29.6,"[26.9, 29.6]",1.0,36.6,25.6,25.0,1.0,26.8,28.5,25.0,1.0,30.1,0.2,27.0,26.0,1.0,33.6,3.5,22.0,20.0,1.0,33.6,0.2,26.5,26.0,1.0,27.6,26.7,27.0
2023-05-30 10:20:00,,34.76,36.6,26.8,31.38333333333333,28.1,29.1,"[27.1, 29.1]",1.0,36.6,25.1,25.0,1.0,26.8,28.5,25.0,1.0,30.1,3.7,26.5,26.0,1.0,33.6,3.5,22.0,20.0,1.0,33.6,0.2,26.5,26.0,1.0,27.6,26.4,27.0
2023-05-30 10:25:00,,34.81,36.8,26.8,31.53333333333333,28.05,29.2,"[26.9, 29.2]",1.0,36.8,27.5,25.0,1.0,26.8,29.5,25.0,1.0,30.8,3.7,26.5,26.0,1.0,33.8,3.5,22.0,20.0,1.0,33.8,0.2,26.5,26.0,1.0,27.2,27.4,27.0
2023-05-30 10:30:00,,34.8,36.8,27.0,31.63333333333333,28.15,29.4,"[26.9, 29.4]",1.0,36.8,26.1,25.0,1.0,27.0,29.0,25.0,1.0,30.5,3.7,27.0,26.0,1.0,33.9,3.5,23.0,20.0,1.0,33.9,0.2,26.5,26.0,1.0,27.7,26.9,27.0
2023-05-30 10:45:00,,34.84,36.7,26.7,31.4,28.1,29.3,"[26.9, 29.3]",1.0,36.7,25.5,25.0,1.0,26.7,28.5,25.0,1.0,30.1,0.2,26.5,26.0,1.0,33.9,3.5,22.0,20.0,1.0,33.9,0.2,26.5,26.0,1.0,27.1,26.7,27.0
2023-05-30 10:50:00,,34.84,36.7,27.0,31.516666666666666,28.05,29.1,"[27.0, 29.1]",1.0,36.7,26.2,25.0,1.0,27.0,29.0,25.0,1.0,30.1,0.2,27.0,26.0,1.0,33.8,3.5,22.5,20.0,1.0,33.8,0.2,26.0,26.0,1.0,27.7,26.7,27.0
2023-05-30 10:55:00,,34.82,36.9,27.2,31.8,28.15,29.3,"[27.0, 29.3]",1.0,36.9,26.4,25.0,1.0,27.2,29.0,25.0,1.0,30.7,3.7,26.5,26.0,1.0,34.0,3.5,22.0,20.0,1.0,34.0,0.2,26.5,26.0,1.0,28.0,27.2,27.0
