time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1182645_c,1182645_h,1182645_r,1182645_s,1555009_c,1555009_h,1555009_r,1555009_s
2023-05-30 09:05:00,,68.3,35.5,34.5,35.0,30.29,30.29,[30.29],0.0,34.5,32.7,28.0,1.0,35.5,24.8,26.0
2023-05-30 09:10:00,,68.3,35.8,34.5,35.15,30.27,30.27,[30.27],0.0,34.5,32.7,28.0,1.0,35.8,25.6,26.0
2023-05-30 09:15:00,,68.3,35.9,34.7,35.3,30.49,30.49,[30.49],0.0,34.7,32.7,28.0,1.0,35.9,24.8,26.0
2023-05-30 09:20:00,,68.3,35.8,34.8,35.3,30.55,30.55,[30.55],0.0,34.8,32.7,28.0,1.0,35.8,25.7,26.0
2023-05-30 09:25:00,,68.4,35.7,34.5,35.1,30.5,30.5,[30.5],0.0,34.5,32.7,28.0,1.0,35.7,24.8,26.0
2023-05-30 09:30:00,,68.3,35.8,34.6,35.2,30.2,30.2,[30.2],0.0,34.6,32.7,28.0,1.0,35.8,25.1,26.0
2023-05-30 09:35:00,,68.3,36.2,34.6,35.400000000000006,30.49,30.49,[30.49],0.0,34.6,32.7,28.0,1.0,36.2,25.0,26.0
2023-05-30 09:40:00,,68.4,36.2,34.7,35.45,30.41,30.41,[30.41],0.0,34.7,32.7,28.0,1.0,36.2,25.8,26.0
2023-05-30 09:45:00,,68.4,36.0,34.7,35.35,30.68,30.68,[30.68],0.0,34.7,32.7,28.0,1.0,36.0,24.9,26.0
2023-05-30 09:50:00,,68.3,34.6,33.0,33.8,30.43,30.43,[30.43],0.0,34.6,32.8,28.0,1.0,33.0,24.8,26.0
2023-05-30 09:55:00,,68.19999999999999,34.7,32.9,33.8,30.56,30.56,[30.56],0.0,34.7,32.8,28.0,1.0,32.9,26.0,26.0
2023-05-30 10:00:00,,68.19999999999999,34.8,32.8,33.8,30.35,30.35,[30.35],0.0,34.8,32.8,28.0,1.0,32.8,25.0,26.0
2023-05-30 10:05:00,,68.2,34.8,32.8,33.8,30.07,30.07,[30.07],0.0,34.8,32.8,28.0,1.0,32.8,25.2,26.0
2023-05-30 10:10:00,,68.3,34.8,32.7,33.75,30.35,30.35,[30.35],0.0,34.8,32.8,28.0,1.0,32.7,25.0,26.0
2023-05-30 10:15:00,,68.4,34.7,32.6,33.650000000000006,30.35,30.35,[30.35],0.0,34.7,32.8,28.0,1.0,32.6,25.0,26.0
2023-05-30 10:20:00,,68.5,34.7,32.6,33.650000000000006,30.13,30.13,[30.13],0.0,34.7,32.7,28.0,1.0,32.6,25.1,26.0
2023-05-30 10:25:00,,68.69999999999999,34.7,32.6,33.650000000000006,30.21,30.21,[30.21],0.0,34.7,32.7,28.0,1.0,32.6,25.5,26.0
2023-05-30 10:30:00,,68.8,34.7,32.7,33.7,30.24,30.24,[30.24],0.0,34.7,32.7,28.0,1.0,32.7,25.4,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,68.69999999999999,34.7,32.7,33.7,30.08,30.08,[30.08],0.0,34.7,32.7,28.0,1.0,32.7,25.3,26.0
2023-05-30 10:45:00,,68.8,34.8,32.7,33.75,30.0,30.0,[30.0],0.0,34.8,32.7,28.0,1.0,32.7,24.8,26.0
2023-05-30 10:50:00,,68.6,34.6,32.5,33.55,30.29,30.29,[30.29],0.0,34.6,32.6,28.0,1.0,32.5,24.3,26.0
2023-05-30 10:55:00,,68.4,34.6,32.5,33.55,30.24,30.24,[30.24],0.0,34.6,32.5,28.0,1.0,32.5,23.9,26.0
2023-05-30 11:00:00,,68.4,34.5,32.3,33.4,30.06,30.06,[30.06],0.0,34.5,32.5,28.0,1.0,32.3,24.3,26.0
2023-05-30 11:05:00,,68.5,34.4,32.4,33.4,29.83,29.83,[29.83],0.0,34.4,32.5,28.0,1.0,32.4,24.7,26.0
2023-05-30 11:10:00,,68.5,34.5,32.4,33.45,29.99,29.99,[29.99],0.0,34.5,32.4,28.0,1.0,32.4,24.6,26.0
