time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1200283_c,1200283_h,1200283_r,1200283_s,1200284_c,1200284_h,1200284_r,1200284_s,3795598_c,3795598_h,3795598_r,3795598_s
2023-05-30 09:05:00,,44.64,34.4,27.1,30.76666666666667,27.0,27.0,[27.0],1.0,30.8,31.7,23.0,1.0,34.4,28.8,29.0,0.0,27.1,-99999.0,-99999.0
2023-05-30 09:10:00,,44.620000000000005,34.2,27.1,30.666666666666668,27.0,27.0,[27.0],1.0,30.7,31.7,23.0,1.0,34.2,28.8,29.0,0.0,27.1,-99999.0,-99999.0
2023-05-30 09:15:00,,44.6,34.1,27.1,30.633333333333336,27.0,27.0,[27.0],1.0,30.7,31.7,23.0,1.0,34.1,28.8,29.0,0.0,27.1,-99999.0,-99999.0
2023-05-30 09:20:00,,44.61,34.1,27.1,30.633333333333336,27.0,27.0,[27.0],1.0,30.7,31.7,23.0,1.0,34.1,28.8,29.0,0.0,27.1,-99999.0,-99999.0
2023-05-30 09:25:00,,44.63,34.2,27.1,30.666666666666668,27.0,27.0,[27.0],1.0,30.7,31.7,23.0,1.0,34.2,28.8,29.0,0.0,27.1,-99999.0,-99999.0
2023-05-30 09:30:00,,44.69,34.7,27.1,31.133333333333336,27.0,27.0,[27.0],1.0,31.6,31.7,23.0,1.0,34.7,28.8,29.0,0.0,27.1,-99999.0,-99999.0
2023-05-30 09:35:00,,44.75,35.2,27.1,31.3,27.0,27.0,[27.0],1.0,31.6,31.7,23.0,1.0,35.2,28.8,29.0,0.0,27.1,-99999.0,-99999.0
2023-05-30 09:40:00,,44.690000000000005,35.0,27.1,31.23333333333333,27.0,27.0,[27.0],1.0,31.6,31.7,23.0,1.0,35.0,28.8,29.0,0.0,27.1,-99999.0,-99999.0
2023-05-30 09:45:00,,44.7,34.8,27.2,31.13333333333333,27.0,27.0,[27.0],1.0,31.4,31.7,23.0,1.0,34.8,28.8,29.0,0.0,27.2,-99999.0,-99999.0
2023-05-30 09:50:00,,44.64,34.7,27.3,31.03333333333333,27.0,27.0,[27.0],1.0,31.1,31.7,23.0,1.0,34.7,28.8,29.0,0.0,27.3,-99999.0,-99999.0
2023-05-30 09:55:00,,44.62,34.5,27.2,30.9,27.0,27.0,[27.0],1.0,31.0,31.7,23.0,1.0,34.5,28.8,29.0,0.0,27.2,-99999.0,-99999.0
