time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3819523_c,3819523_h,3819523_p,3819523_r,3819523_s,3819524_c,3819524_h,3819524_p,3819524_r,3819524_s,3819525_c,3819525_h,3819525_p,3819525_r,3819525_s
2023-05-30 09:10:00,,,30.7,25.7,29.03333333333333,26.2,26.4,"[26.4, 26.0]",1.0,25.7,0.3,26.0,25.0,1.0,30.7,3.9,27.3,26.0,1.0,30.7,3.3,27.0,26.0
2023-05-30 09:15:00,,,30.8,27.0,29.53333333333333,26.35,26.6,"[26.6, 26.1]",1.0,27.0,3.4,25.0,25.0,1.0,30.8,3.9,27.1,26.0,1.0,30.8,3.3,27.0,26.0
2023-05-30 09:20:00,,,30.8,26.0,29.2,26.15,26.3,"[26.3, 26.0]",1.0,26.0,3.4,24.0,25.0,1.0,30.8,3.8,26.4,26.0,1.0,30.8,3.3,27.0,26.0
2023-05-30 09:25:00,,,30.7,25.6,29.0,26.05,26.1,"[26.1, 26.0]",1.0,25.6,3.4,24.0,25.0,1.0,30.7,3.8,26.3,26.0,1.0,30.7,3.4,27.0,26.0
2023-05-30 09:30:00,,,30.7,25.5,28.96666666666667,25.95,26.0,"[26.0, 25.9]",1.0,25.5,3.4,24.0,25.0,1.0,30.7,3.9,26.2,26.0,1.0,30.7,3.3,27.0,26.0
2023-05-30 09:35:00,,,30.7,26.0,29.133333333333336,26.1,26.2,"[26.2, 26.0]",1.0,26.0,0.3,25.0,25.0,1.0,30.7,3.8,26.9,26.0,1.0,30.7,3.2,27.0,26.0
2023-05-30 09:40:00,,,30.9,26.8,29.53333333333333,26.25,26.4,"[26.4, 26.1]",1.0,26.8,0.3,26.0,25.0,1.0,30.9,3.8,27.5,26.0,1.0,30.9,3.2,27.0,26.0
2023-05-30 09:45:00,,,30.8,27.5,29.7,26.4,26.7,"[26.7, 26.1]",1.0,27.5,3.3,26.0,25.0,1.0,30.8,3.9,27.4,26.0,1.0,30.8,3.3,27.0,26.0
2023-05-30 09:50:00,,,30.8,26.4,29.33333333333333,26.15,26.4,"[26.4, 25.9]",1.0,26.4,0.3,24.0,25.0,1.0,30.8,3.8,26.3,26.0,1.0,30.8,3.2,27.0,26.0
2023-05-30 09:55:00,,,30.8,27.2,29.6,26.25,26.5,"[26.5, 26.0]",1.0,27.2,0.3,26.0,25.0,1.0,30.8,3.9,27.3,26.0,1.0,30.8,3.2,27.0,26.0
2023-05-30 10:00:00,,,30.7,27.7,29.7,26.3,26.6,"[26.6, 26.0]",1.0,27.7,0.3,26.0,25.0,1.0,30.7,3.8,27.5,26.0,1.0,30.7,3.2,27.0,26.0
2023-05-30 10:05:00,,,30.7,26.8,29.4,26.2,26.5,"[26.5, 25.9]",1.0,26.8,3.4,24.0,25.0,1.0,30.7,3.8,26.4,26.0,1.0,30.7,3.2,27.0,26.0
2023-05-30 10:10:00,,,30.7,27.1,29.5,26.15,26.4,"[26.4, 25.9]",1.0,27.1,0.3,26.0,25.0,1.0,30.7,3.8,26.9,26.0,1.0,30.7,3.3,27.0,26.0
2023-05-30 10:15:00,,,30.7,27.5,29.633333333333336,26.2,26.5,"[26.5, 25.9]",1.0,27.5,3.4,25.0,25.0,1.0,30.7,3.9,26.9,26.0,1.0,30.7,3.3,27.0,26.0
2023-05-30 10:20:00,,,30.7,26.7,29.366666666666664,26.2,26.5,"[26.5, 25.9]",1.0,26.7,0.3,24.0,25.0,1.0,30.7,3.8,26.5,26.0,1.0,30.7,3.3,27.0,26.0
2023-05-30 10:25:00,,,30.6,27.8,29.666666666666668,26.25,26.6,"[26.6, 25.9]",1.0,27.8,0.3,26.0,25.0,1.0,30.6,3.8,27.4,26.0,1.0,30.6,3.3,27.0,26.0
2023-05-30 10:30:00,,,30.7,27.7,29.7,26.25,26.6,"[26.6, 25.9]",1.0,27.7,3.4,25.0,25.0,1.0,30.7,3.8,27.4,26.0,1.0,30.7,3.3,27.0,26.0
2023-05-30 10:45:00,,,30.6,27.8,29.666666666666668,26.25,26.5,"[26.5, 26.0]",1.0,27.8,3.5,25.0,25.0,1.0,30.6,3.8,26.7,26.0,1.0,30.6,3.3,27.0,26.0
2023-05-30 10:50:00,,,30.7,26.7,29.366666666666664,26.1,26.3,"[26.3, 25.9]",1.0,26.7,0.3,25.0,25.0,1.0,30.7,3.8,26.6,26.0,1.0,30.7,3.2,27.0,26.0
2023-05-30 10:55:00,,,30.6,27.8,29.666666666666668,26.15,26.4,"[26.4, 25.9]",1.0,27.8,0.3,26.0,25.0,1.0,30.6,3.8,27.3,26.0,1.0,30.6,3.2,27.0,26.0
2023-05-30 11:00:00,,,30.6,27.5,29.566666666666663,26.2,26.5,"[26.5, 25.9]",1.0,27.5,3.3,24.0,25.0,1.0,30.6,3.8,26.7,26.0,1.0,30.6,3.2,27.0,26.0
2023-05-30 11:05:00,,,30.6,27.5,29.566666666666663,26.1,26.3,"[26.3, 25.9]",1.0,27.5,0.3,25.0,25.0,1.0,30.6,3.7,26.7,26.0,1.0,30.6,3.2,27.0,26.0
2023-05-30 11:10:00,,,30.6,27.9,29.7,26.25,26.5,"[26.5, 26.0]",1.0,27.9,0.3,26.0,25.0,1.0,30.6,3.9,27.6,26.0,1.0,30.6,3.3,27.0,26.0
2023-05-30 11:15:00,,,30.6,27.1,29.433333333333337,26.2,26.5,"[26.5, 25.9]",1.0,27.1,3.4,24.0,25.0,1.0,30.6,3.8,26.6,26.0,1.0,30.6,3.3,27.0,26.0
2023-05-30 11:20:00,,,30.6,26.4,29.2,26.2,26.4,"[26.4, 26.0]",1.0,26.4,0.3,25.0,25.0,1.0,30.6,3.8,26.5,26.0,1.0,30.6,3.3,27.0,26.0
2023-05-30 11:25:00,,,30.7,27.4,29.6,26.35,26.7,"[26.7, 26.0]",1.0,27.4,0.3,26.0,25.0,1.0,30.7,3.8,27.5,26.0,1.0,30.7,3.2,27.0,26.0
2023-05-30 11:30:00,,,30.7,27.4,29.6,26.4,26.7,"[26.7, 26.1]",1.0,27.4,3.3,26.0,25.0,1.0,30.7,3.8,27.3,26.0,1.0,30.7,3.2,27.0,26.0
2023-05-30 11:35:00,,,30.7,26.3,29.23333333333333,26.25,26.6,"[26.6, 25.9]",1.0,26.3,0.3,24.0,25.0,1.0,30.7,3.7,26.5,26.0,1.0,30.7,3.2,27.0,26.0
2023-05-30 11:40:00,,,30.7,27.5,29.633333333333336,26.2,26.4,"[26.4, 26.0]",1.0,27.5,0.3,26.0,25.0,1.0,30.7,3.8,27.5,26.0,1.0,30.7,3.2,27.0,26.0
2023-05-30 11:45:00,,,30.7,27.5,29.633333333333336,26.25,26.5,"[26.5, 26.0]",1.0,27.5,3.2,27.0,25.0,1.0,30.7,3.8,27.6,26.0,1.0,30.7,3.2,27.0,26.0
2023-05-30 11:50:00,,,30.7,26.7,29.366666666666664,26.2,26.5,"[26.5, 25.9]",1.0,26.7,3.4,24.0,25.0,1.0,30.7,3.9,26.3,26.0,1.0,30.7,3.2,27.0,26.0
2023-05-30 11:55:00,,,30.7,26.7,29.366666666666664,26.25,26.5,"[26.5, 26.0]",1.0,26.7,0.3,26.0,25.0,1.0,30.7,3.8,27.0,26.0,1.0,30.7,3.3,27.0,26.0
2023-05-30 12:00:00,,,30.7,27.7,29.7,26.35,26.7,"[26.7, 26.0]",1.0,27.7,0.3,26.0,25.0,1.0,30.7,3.8,27.5,26.0,1.0,30.7,3.2,27.0,26.0
2023-05-30 12:05:00,,,30.7,27.0,29.46666666666667,26.2,26.5,"[26.5, 25.9]",1.0,27.0,3.4,24.0,25.0,1.0,30.7,3.8,26.5,26.0,1.0,30.7,3.3,27.0,26.0
2023-05-30 12:10:00,,,30.6,27.1,29.433333333333337,26.15,26.4,"[26.4, 25.9]",,27.1,,,,,30.6,,,,,30.6,,,
2023-05-30 12:15:00,,,30.6,27.8,29.666666666666668,26.25,26.5,"[26.5, 26.0]",1.0,27.8,0.3,26.0,25.0,1.0,30.6,3.8,27.5,26.0,1.0,30.6,3.3,27.0,26.0
2023-05-30 12:20:00,,,30.7,27.8,29.73333333333333,26.25,26.6,"[26.6, 25.9]",1.0,27.8,3.4,24.0,25.0,1.0,30.7,3.7,26.4,26.0,1.0,30.7,3.3,27.0,26.0
2023-05-30 12:25:00,,,30.6,27.1,29.433333333333337,26.15,26.4,"[26.4, 25.9]",1.0,27.1,0.3,26.0,25.0,1.0,30.6,3.9,27.0,26.0,1.0,30.6,3.2,27.0,26.0
2023-05-30 12:30:00,,,30.7,27.5,29.633333333333336,26.2,26.5,"[26.5, 25.9]",1.0,27.5,0.3,26.0,25.0,1.0,30.7,3.8,27.4,26.0,1.0,30.7,3.3,27.0,26.0
2023-05-30 12:35:00,,,30.7,27.5,29.633333333333336,26.35,26.7,"[26.7, 26.0]",1.0,27.5,3.3,26.0,25.0,1.0,30.7,3.7,27.0,26.0,1.0,30.7,3.3,27.0,26.0
2023-05-30 12:40:00,,,30.6,26.5,29.23333333333333,26.2,26.5,"[26.5, 25.9]",1.0,26.5,0.3,23.0,25.0,1.0,30.6,3.9,26.2,26.0,1.0,30.6,3.3,26.0,26.0
2023-05-30 12:45:00,,,30.6,27.4,29.53333333333333,26.15,26.4,"[26.4, 25.9]",1.0,27.4,0.3,26.0,25.0,1.0,30.6,3.8,27.1,26.0,1.0,30.6,3.3,27.0,26.0
2023-05-30 12:50:00,,,30.6,27.8,29.666666666666668,26.2,26.5,"[26.5, 25.9]",1.0,27.8,0.3,26.0,25.0,1.0,30.6,3.9,27.4,26.0,1.0,30.6,3.3,27.0,26.0
2023-05-30 12:55:00,,,30.6,26.8,29.33333333333333,26.2,26.5,"[26.5, 25.9]",1.0,26.8,3.4,24.0,25.0,1.0,30.6,3.9,26.3,26.0,1.0,30.6,3.3,26.0,26.0
2023-05-30 13:00:00,,,30.6,27.5,29.566666666666663,26.15,26.4,"[26.4, 25.9]",1.0,27.5,0.3,26.0,25.0,1.0,30.6,3.9,27.3,26.0,1.0,30.6,3.3,27.0,26.0
2023-05-30 13:05:00,,,30.6,27.9,29.7,26.2,26.5,"[26.5, 25.9]",1.0,27.9,3.4,27.0,25.0,1.0,30.6,4.0,27.4,26.0,1.0,30.6,3.4,27.0,26.0
2023-05-30 13:10:00,,,30.6,26.8,29.33333333333333,26.200000000000003,26.6,"[26.6, 25.8]",1.0,26.8,3.5,24.0,25.0,1.0,30.6,3.8,26.3,26.0,1.0,30.6,3.3,26.0,26.0
2023-05-30 13:15:00,,,30.6,26.8,29.33333333333333,26.15,26.4,"[26.4, 25.9]",1.0,26.8,0.3,26.0,25.0,1.0,30.6,3.8,27.1,26.0,1.0,30.6,3.3,27.0,26.0
2023-05-30 13:20:00,,,30.6,27.8,29.666666666666668,26.25,26.5,"[26.5, 26.0]",1.0,27.8,3.3,26.0,25.0,1.0,30.6,3.8,27.3,26.0,1.0,30.6,3.3,27.0,26.0
