time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1176760_c,1176760_h,1176760_p,1176760_r,1176760_s,3819596_c,3819596_h,3819596_p,3819596_r,3819596_s,3819597_c,3819597_h,3819597_p,3819597_r,3819597_s,3819598_c,3819598_p,3819598_r,3819598_s
2023-05-30 09:10:00,,,35.3,29.7,31.566666666666663,27.600000000000005,28.6,"[28.6, 26.6, 27.6]",1.0,35.3,5.6,25.1,25.0,1.0,29.7,3.1,27.0,25.0,1.0,29.7,0.0,26.0,25.0,0.0,3.7,0.0,0.0
2023-05-30 09:15:00,,,35.0,28.7,30.8,27.7,28.2,"[28.1, 26.8, 28.2]",1.0,35.0,5.5,26.5,25.0,1.0,28.7,0.1,24.0,25.0,1.0,28.7,0.2,26.0,25.0,0.0,3.7,0.0,0.0
2023-05-30 09:20:00,,,35.1,29.4,31.3,27.633333333333336,28.3,"[28.3, 26.8, 27.8]",1.0,35.1,5.5,25.5,25.0,1.0,29.4,0.1,27.0,25.0,1.0,29.4,0.0,27.0,25.0,0.0,3.8,0.0,0.0
2023-05-30 09:25:00,,,35.1,29.5,31.366666666666664,27.766666666666666,28.7,"[28.7, 26.9, 27.7]",1.0,35.1,5.7,26.3,25.0,1.0,29.5,0.1,27.0,25.0,1.0,29.5,0.4,27.0,25.0,0.0,3.8,0.0,0.0
2023-05-30 09:30:00,,,35.0,29.0,31.0,27.46666666666667,28.4,"[28.4, 26.6, 27.4]",1.0,35.0,5.5,25.5,25.0,1.0,29.0,3.2,23.0,25.0,1.0,29.0,0.1,22.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 09:35:00,,,35.1,29.0,31.03333333333333,27.73333333333333,28.4,"[28.2, 26.6, 28.4]",1.0,35.1,1.5,26.8,25.0,1.0,29.0,0.1,26.0,25.0,1.0,29.0,0.0,26.0,25.0,0.0,3.8,0.0,0.0
2023-05-30 09:40:00,,,35.2,29.3,31.266666666666666,27.73333333333333,28.7,"[28.7, 26.7, 27.8]",1.0,35.2,5.6,26.2,25.0,1.0,29.3,0.1,26.0,25.0,1.0,29.3,0.1,27.0,25.0,0.0,3.8,0.0,0.0
2023-05-30 09:45:00,,,34.6,29.3,31.066666666666663,27.7,28.8,"[28.8, 26.8, 27.5]",1.0,34.6,5.6,26.0,25.0,1.0,29.3,3.1,27.0,25.0,1.0,29.3,0.0,27.0,25.0,0.0,3.8,0.0,0.0
2023-05-30 09:50:00,,,34.5,28.7,30.633333333333336,27.566666666666663,28.0,"[28.0, 26.8, 27.9]",1.0,34.5,1.5,25.3,25.0,1.0,28.7,0.1,24.0,25.0,1.0,28.7,3.0,27.0,25.0,0.0,3.8,0.0,0.0
2023-05-30 09:55:00,,,34.6,29.5,31.2,27.7,28.4,"[28.4, 26.6, 28.1]",1.0,34.6,5.5,26.0,25.0,1.0,29.5,0.4,27.0,25.0,1.0,29.5,0.1,24.0,25.0,0.0,3.8,0.0,0.0
2023-05-30 10:00:00,,,33.8,29.5,30.933333333333334,27.3,27.8,"[27.8, 26.6, 27.5]",1.0,33.8,5.6,26.2,25.0,1.0,29.5,0.1,23.0,25.0,1.0,29.5,0.0,27.0,25.0,0.0,3.8,0.0,0.0
2023-05-30 10:05:00,,,33.1,29.1,30.433333333333337,27.4,28.2,"[28.2, 26.7, 27.3]",1.0,33.1,5.7,27.6,25.0,1.0,29.1,0.1,27.0,25.0,1.0,29.1,3.0,26.0,25.0,0.0,3.8,0.0,0.0
2023-05-30 10:10:00,,,33.4,29.3,30.666666666666668,27.5,28.7,"[28.7, 26.5, 27.3]",1.0,33.4,5.6,27.1,25.0,1.0,29.3,0.1,26.0,25.0,1.0,29.3,0.1,24.0,25.0,0.0,3.8,0.0,0.0
2023-05-30 10:15:00,,,32.3,28.8,29.966666666666665,27.33333333333333,28.3,"[28.3, 26.5, 27.2]",1.0,32.3,5.7,26.1,25.0,1.0,28.8,3.2,23.0,25.0,1.0,28.8,0.0,27.0,25.0,0.0,3.8,0.0,0.0
2023-05-30 10:20:00,,,32.3,28.8,29.966666666666665,27.366666666666664,28.2,"[28.2, 26.7, 27.2]",1.0,32.3,5.8,27.3,25.0,1.0,28.8,0.1,25.0,25.0,1.0,28.8,3.2,27.0,25.0,0.0,3.8,0.0,0.0
2023-05-30 10:25:00,,,34.1,29.4,30.96666666666667,27.433333333333334,28.7,"[28.7, 26.4, 27.2]",1.0,34.1,5.8,27.4,25.0,1.0,29.4,0.1,26.0,25.0,1.0,29.4,0.1,24.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 10:30:00,,,32.6,29.7,30.666666666666668,27.5,28.8,"[28.8, 26.5, 27.2]",1.0,32.6,5.7,26.1,25.0,1.0,29.7,0.4,27.0,25.0,1.0,29.7,0.0,26.0,25.0,0.0,3.8,0.0,0.0
2023-05-30 10:45:00,,,33.7,28.5,30.23333333333333,27.2,27.9,"[27.9, 26.5, 27.2]",1.0,33.7,5.7,26.4,25.0,1.0,28.5,3.2,23.0,25.0,1.0,28.5,0.0,26.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 10:50:00,,,31.9,29.1,30.03333333333333,27.266666666666666,28.2,"[28.2, 26.6, 27.0]",1.0,31.9,5.7,26.6,25.0,1.0,29.1,0.1,27.0,25.0,1.0,29.1,0.1,27.0,25.0,0.0,3.8,0.0,0.0
2023-05-30 10:55:00,,,33.3,29.2,30.566666666666663,27.4,28.6,"[28.6, 26.5, 27.1]",1.0,33.3,5.7,27.2,25.0,1.0,29.2,0.1,26.0,25.0,1.0,29.2,3.2,23.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 11:00:00,,,32.5,29.0,30.166666666666668,27.366666666666664,28.4,"[28.4, 26.5, 27.2]",1.0,32.5,5.7,26.2,25.0,1.0,29.0,3.2,23.0,25.0,1.0,29.0,0.0,27.0,25.0,0.0,3.8,0.0,0.0
2023-05-30 11:05:00,,,31.7,29.0,29.9,27.266666666666666,28.2,"[28.2, 26.6, 27.0]",1.0,31.7,5.7,26.8,25.0,1.0,29.0,0.1,26.0,25.0,1.0,29.0,0.1,27.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 11:10:00,,,33.3,29.4,30.7,27.4,28.6,"[28.6, 26.5, 27.1]",1.0,33.3,5.8,26.3,25.0,1.0,29.4,0.1,26.0,25.0,1.0,29.4,3.2,22.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 11:15:00,,,33.5,29.7,30.96666666666667,27.5,28.9,"[28.9, 26.4, 27.2]",1.0,33.5,5.8,26.2,25.0,1.0,29.7,0.1,27.0,25.0,1.0,29.7,0.0,26.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 11:20:00,,,31.8,28.6,29.666666666666668,27.266666666666666,28.2,"[28.2, 26.6, 27.0]",1.0,31.8,5.8,26.4,25.0,1.0,28.6,0.1,23.0,25.0,1.0,28.6,0.1,27.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 11:25:00,,,33.3,29.4,30.7,27.366666666666664,28.4,"[28.4, 26.5, 27.2]",1.0,33.3,5.8,27.3,25.0,1.0,29.4,0.1,27.0,25.0,1.0,29.4,3.2,23.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 11:30:00,,,33.3,29.4,30.7,27.5,28.9,"[28.9, 26.4, 27.2]",1.0,33.3,5.8,26.4,25.0,1.0,29.4,0.1,26.0,25.0,1.0,29.4,0.0,26.0,25.0,0.0,3.8,0.0,0.0
