time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1177328_c,1177328_h,1177328_p,1177328_r,1177328_s,3819567_c,3819567_h,3819567_p,3819567_r,3819567_s,3819568_c,3819568_h,3819568_p,3819568_r,3819568_s
2023-05-30 09:10:00,,1990.0,31.4,28.6,29.53333333333333,27.55,29.3,"[29.3, 25.8]",1.0,28.6,3.9,29.1,24.0,0.0,28.6,4.0,0.0,0.0,1.0,31.4,0.1,28.0,28.0
2023-05-30 09:15:00,,1994.0,31.5,28.6,29.566666666666663,27.85,29.8,"[29.8, 25.9]",1.0,28.6,4.1,29.3,24.0,0.0,28.6,4.0,0.0,0.0,1.0,31.5,0.1,29.0,28.0
2023-05-30 09:20:00,,2007.0,31.5,28.6,29.566666666666663,27.95,30.0,"[30.0, 25.9]",1.0,28.6,4.1,28.3,24.0,0.0,28.6,4.0,0.0,0.0,1.0,31.5,0.1,30.0,28.0
2023-05-30 09:25:00,,2002.0,31.5,28.5,29.5,27.200000000000003,28.6,"[28.6, 25.8]",1.0,28.5,4.1,29.4,24.0,0.0,28.5,4.2,0.0,0.0,1.0,31.5,3.4,25.0,26.0
2023-05-30 09:30:00,,2014.0,31.6,28.6,29.600000000000005,27.1,28.3,"[28.3, 25.9]",1.0,28.6,4.0,29.2,24.0,0.0,28.6,4.0,0.0,0.0,1.0,31.6,0.1,26.0,26.0
2023-05-30 09:35:00,,2003.0,31.5,28.6,29.566666666666663,27.35,28.9,"[28.9, 25.8]",1.0,28.6,4.0,28.2,24.0,0.0,28.6,4.1,0.0,0.0,1.0,31.5,0.4,28.0,26.0
2023-05-30 09:40:00,,1999.0,31.5,28.4,29.433333333333334,26.8,27.8,"[27.8, 25.8]",1.0,28.4,4.1,29.9,24.0,0.0,28.4,4.0,0.0,0.0,1.0,31.5,0.1,24.0,26.0
2023-05-30 09:45:00,,1995.0,31.5,28.6,29.566666666666663,27.05,28.3,"[28.3, 25.8]",1.0,28.6,4.1,28.9,23.0,0.0,28.6,4.0,0.0,0.0,1.0,31.5,0.1,27.0,26.0
2023-05-30 09:50:00,,2022.0,31.5,28.5,29.5,27.200000000000003,28.6,"[28.6, 25.8]",1.0,28.5,4.1,28.1,23.0,0.0,28.5,4.3,0.0,0.0,1.0,31.5,3.3,27.0,26.0
2023-05-30 09:55:00,,1997.0,31.5,28.6,29.566666666666663,26.8,27.8,"[27.8, 25.8]",1.0,28.6,4.1,30.4,23.0,0.0,28.6,4.1,0.0,0.0,1.0,31.5,0.1,25.0,26.0
2023-05-30 10:00:00,,2002.0,31.5,28.6,29.566666666666663,27.15,28.4,"[28.4, 25.9]",1.0,28.6,4.0,28.5,22.0,0.0,28.6,4.0,0.0,0.0,1.0,31.5,0.1,27.0,26.0
2023-05-30 10:05:00,,1996.0,31.5,28.5,29.5,26.85,27.9,"[27.9, 25.8]",1.0,28.5,4.1,29.0,22.0,0.0,28.5,4.2,0.0,0.0,1.0,31.5,3.3,25.0,26.0
2023-05-30 10:10:00,,1995.0,31.6,28.5,29.53333333333333,26.85,27.8,"[27.8, 25.9]",1.0,28.5,4.0,29.3,22.0,0.0,28.5,4.0,0.0,0.0,1.0,31.6,0.1,25.0,26.0
2023-05-30 10:15:00,,2008.0,31.6,28.6,29.600000000000005,27.25,28.7,"[28.7, 25.8]",1.0,28.6,4.1,28.2,22.0,0.0,28.6,4.4,0.0,0.0,1.0,31.6,0.1,28.0,26.0
2023-05-30 10:20:00,,1998.0,31.5,28.5,29.5,26.8,27.9,"[27.9, 25.7]",1.0,28.5,3.9,29.9,22.0,0.0,28.5,4.2,0.0,0.0,1.0,31.5,3.3,24.0,26.0
2023-05-30 10:25:00,,1997.0,31.5,28.6,29.566666666666663,26.9,28.0,"[28.0, 25.8]",,28.6,,,,,28.6,,,,,31.5,,,
2023-05-30 10:30:00,,2000.0,31.5,28.6,29.566666666666663,27.15,28.6,"[28.6, 25.7]",1.0,28.6,4.1,28.2,21.0,0.0,28.6,4.3,0.0,0.0,1.0,31.5,0.1,26.0,26.0
2023-05-30 10:45:00,,2006.0,31.5,28.6,29.566666666666663,27.25,28.7,"[28.7, 25.8]",1.0,28.6,4.0,28.2,21.0,0.0,28.6,4.2,0.0,0.0,1.0,31.5,0.4,28.0,26.0
2023-05-30 10:50:00,,1993.0,31.5,28.6,29.566666666666663,26.75,27.6,"[27.6, 25.9]",1.0,28.6,4.2,30.3,21.0,0.0,28.6,4.3,0.0,0.0,1.0,31.5,0.1,28.0,26.0
2023-05-30 10:55:00,,2002.0,31.5,28.6,29.566666666666663,27.0,28.1,"[28.1, 25.9]",1.0,28.6,4.1,28.4,21.0,0.0,28.6,4.4,0.0,0.0,1.0,31.5,0.1,27.0,26.0
2023-05-30 11:00:00,,1999.0,31.6,28.6,29.600000000000005,27.0,28.3,"[28.3, 25.7]",1.0,28.6,3.9,29.6,21.0,0.0,28.6,4.3,0.0,0.0,1.0,31.6,3.3,26.0,26.0
2023-05-30 11:05:00,,2015.0,31.6,28.7,29.666666666666668,26.75,27.6,"[27.6, 25.9]",1.0,28.7,4.1,29.5,21.0,0.0,28.7,4.4,0.0,0.0,1.0,31.6,0.1,24.0,26.0
2023-05-30 11:10:00,,2007.0,31.6,28.7,29.666666666666668,27.0,28.1,"[28.1, 25.9]",1.0,28.7,4.1,28.5,21.0,0.0,28.7,4.4,0.0,0.0,1.0,31.6,0.1,27.0,26.0
2023-05-30 11:15:00,,2013.0,31.6,28.6,29.600000000000005,27.15,28.5,"[28.5, 25.8]",1.0,28.6,4.0,29.0,21.0,0.0,28.6,4.3,0.0,0.0,1.0,31.6,3.3,27.0,26.0
2023-05-30 11:20:00,,2004.0,31.6,28.7,29.666666666666668,26.75,27.7,"[27.7, 25.8]",1.0,28.7,4.2,29.4,21.0,0.0,28.7,4.5,0.0,0.0,1.0,31.6,0.1,27.0,26.0
2023-05-30 11:25:00,,1995.0,31.6,28.6,29.600000000000005,27.0,28.2,"[28.2, 25.8]",1.0,28.6,4.1,28.3,21.0,0.0,28.6,4.5,0.0,0.0,1.0,31.6,0.1,27.0,26.0
2023-05-30 11:30:00,,2014.0,31.6,28.6,29.600000000000005,27.0,28.3,"[28.3, 25.7]",1.0,28.6,4.1,29.2,21.0,0.0,28.6,4.3,0.0,0.0,1.0,31.6,3.3,26.0,26.0
2023-05-30 11:35:00,,2013.0,31.6,28.7,29.666666666666668,26.75,27.7,"[27.7, 25.8]",1.0,28.7,4.2,29.3,23.0,0.0,28.7,4.4,0.0,0.0,1.0,31.6,0.1,25.0,27.0
2023-05-30 11:40:00,,2009.0,31.7,28.7,29.7,27.1,28.4,"[28.4, 25.8]",1.0,28.7,4.1,28.2,23.0,0.0,28.7,4.4,0.0,0.0,1.0,31.7,0.1,28.0,27.0
2023-05-30 11:45:00,,1994.0,31.7,28.5,29.566666666666663,27.4,29.1,"[29.1, 25.7]",1.0,28.5,4.1,28.2,23.0,0.0,28.5,4.4,0.0,0.0,1.0,31.7,0.1,29.0,27.0
2023-05-30 11:50:00,,1999.0,31.7,28.6,29.633333333333336,27.7,29.5,"[29.5, 25.9]",1.0,28.6,4.1,29.5,23.0,0.0,28.6,4.4,0.0,0.0,1.0,31.7,0.4,29.0,27.0
2023-05-30 11:55:00,,2001.0,31.7,28.7,29.7,26.85,27.9,"[27.9, 25.8]",1.0,28.7,4.1,28.3,22.0,0.0,28.7,4.4,0.0,0.0,1.0,31.7,0.1,24.0,26.0
2023-05-30 12:00:00,,2000.0,31.7,28.6,29.633333333333336,27.0,28.2,"[28.2, 25.8]",1.0,28.6,4.1,29.0,22.0,0.0,28.6,4.4,0.0,0.0,1.0,31.7,0.1,27.0,26.0
2023-05-30 12:05:00,,2006.0,31.7,28.7,29.7,27.05,28.2,"[28.2, 25.9]",1.0,28.7,4.1,29.1,22.0,0.0,28.7,4.5,0.0,0.0,1.0,31.7,3.2,26.0,26.0
