time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1157752_c,1157752_h,1157752_r,1157752_s,1157753_c,1157753_h,1157753_r,1157753_s,1157754_c,1157754_h,1157754_p,1157754_r,1157754_s
2023-05-30 09:00:00,,,,,,,,,,,,,,,,,,,18.15,,
2023-05-30 09:05:00,,53.69,36.5,24.7,30.766666666666666,30.1,30.1,[30.1],1.0,24.7,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.5,18.07,26.0,26.0
2023-05-30 09:10:00,,53.64,36.6,24.8,30.83333333333333,30.1,30.1,[30.1],1.0,24.8,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.6,18.16,26.2,26.0
2023-05-30 09:15:00,,53.67,36.5,24.8,30.8,30.0,30.0,[30.0],1.0,24.8,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.5,17.92,25.8,26.0
2023-05-30 09:20:00,,53.67,36.6,24.8,30.83333333333333,30.0,30.0,[30.0],1.0,24.8,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.6,18.1,25.9,26.0
2023-05-30 09:25:00,,53.67,36.6,24.8,30.83333333333333,30.0,30.0,[30.0],1.0,24.8,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.6,17.95,25.8,26.0
2023-05-30 09:30:00,,53.64,36.5,24.8,30.8,30.0,30.0,[30.0],1.0,24.8,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.5,18.07,26.0,26.0
2023-05-30 09:35:00,,53.71,36.6,24.8,30.83333333333333,30.0,30.0,[30.0],1.0,24.8,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.6,17.97,25.8,26.0
2023-05-30 09:40:00,,53.69,36.6,24.7,30.8,30.1,30.1,[30.1],1.0,24.7,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.6,18.14,26.0,26.0
2023-05-30 09:45:00,,53.68,36.6,24.8,30.83333333333333,30.0,30.0,[30.0],1.0,24.8,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.6,18.09,26.0,26.0
2023-05-30 09:50:00,,53.69,36.6,24.7,30.8,30.0,30.0,[30.0],1.0,24.7,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.6,18.09,25.9,26.0
2023-05-30 09:55:00,,53.68,36.6,24.7,30.8,30.0,30.0,[30.0],1.0,24.7,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.6,18.03,25.9,26.0
2023-05-30 10:00:00,,53.7,36.6,24.8,30.866666666666664,30.0,30.0,[30.0],1.0,24.8,24.0,25.0,1.0,31.2,26.2,25.0,1.0,36.6,17.96,25.8,26.0
2023-05-30 10:05:00,,53.71,36.6,24.8,30.83333333333333,30.0,30.0,[30.0],1.0,24.8,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.6,18.09,25.9,26.0
2023-05-30 10:10:00,,53.64,36.6,24.7,30.8,30.0,30.0,[30.0],1.0,24.7,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.6,18.07,25.9,26.0
2023-05-30 10:15:00,,53.67,36.6,24.7,30.8,30.0,30.0,[30.0],1.0,24.7,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.6,22.27,26.1,26.0
2023-05-30 10:20:00,,53.68,36.5,24.6,30.73333333333333,30.0,30.0,[30.0],1.0,24.6,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.5,18.62,25.9,26.0
2023-05-30 10:25:00,,53.69,36.5,24.6,30.73333333333333,30.0,30.0,[30.0],1.0,24.6,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.5,18.14,25.8,26.0
2023-05-30 10:30:00,,53.68,36.5,24.6,30.7,30.0,30.0,[30.0],1.0,24.6,24.0,25.0,1.0,31.0,26.2,25.0,1.0,36.5,18.11,25.8,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,53.65,36.5,24.6,30.7,30.0,30.0,[30.0],1.0,24.6,24.0,25.0,1.0,31.0,26.2,25.0,1.0,36.5,18.14,25.6,26.0
2023-05-30 10:45:00,,53.64,36.5,24.6,30.7,30.0,30.0,[30.0],1.0,24.6,24.0,25.0,1.0,31.0,26.2,25.0,1.0,36.5,18.12,25.7,26.0
2023-05-30 10:50:00,,53.67,36.5,24.7,30.73333333333333,30.0,30.0,[30.0],1.0,24.7,24.0,25.0,1.0,31.0,26.2,25.0,1.0,36.5,18.01,25.8,26.0
2023-05-30 10:55:00,,53.67,36.5,24.6,30.7,30.0,30.0,[30.0],1.0,24.6,24.0,25.0,1.0,31.0,26.2,25.0,1.0,36.5,18.02,25.9,26.0
2023-05-30 11:00:00,,53.69,36.5,24.6,30.7,30.0,30.0,[30.0],1.0,24.6,24.0,25.0,1.0,31.0,26.2,25.0,1.0,36.5,18.03,25.8,26.0
2023-05-30 11:05:00,,53.63,36.5,24.7,30.766666666666666,30.0,30.0,[30.0],1.0,24.7,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.5,18.3,26.0,26.0
2023-05-30 11:10:00,,53.62,36.5,24.7,30.73333333333333,29.9,29.9,[29.9],1.0,24.7,24.0,25.0,1.0,31.0,26.2,25.0,1.0,36.5,17.94,25.9,26.0
2023-05-30 11:15:00,,53.69,36.5,24.7,30.73333333333333,29.9,29.9,[29.9],1.0,24.7,24.0,25.0,1.0,31.0,26.2,25.0,1.0,36.5,18.09,25.8,26.0
2023-05-30 11:20:00,,53.67,36.5,24.7,30.73333333333333,30.0,30.0,[30.0],1.0,24.7,24.0,25.0,1.0,31.0,26.2,25.0,1.0,36.5,18.0,25.8,26.0
2023-05-30 11:25:00,,53.65,36.5,24.6,30.7,30.0,30.0,[30.0],1.0,24.6,24.0,25.0,1.0,31.0,26.2,25.0,1.0,36.5,18.22,25.8,26.0
2023-05-30 11:30:00,,53.67,36.5,24.7,30.766666666666666,30.0,30.0,[30.0],1.0,24.7,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.5,18.12,25.7,26.0
2023-05-30 11:35:00,,53.65,36.6,24.7,30.8,29.9,29.9,[29.9],1.0,24.7,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.6,18.42,25.8,26.0
2023-05-30 11:40:00,,53.66,36.6,24.7,30.8,30.0,30.0,[30.0],1.0,24.7,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.6,18.28,25.9,26.0
2023-05-30 11:45:00,,53.68,36.5,24.7,30.766666666666666,29.9,29.9,[29.9],1.0,24.7,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.5,18.38,25.9,26.0
2023-05-30 11:50:00,,53.65,36.6,24.7,30.8,29.9,29.9,[29.9],1.0,24.7,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.6,18.28,25.9,26.0
2023-05-30 11:55:00,,53.67,36.6,24.6,30.76666666666667,29.9,29.9,[29.9],1.0,24.6,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.6,18.25,25.8,26.0
2023-05-30 12:00:00,,53.66,36.5,24.7,30.766666666666666,29.9,29.9,[29.9],1.0,24.7,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.5,18.21,25.9,26.0
2023-05-30 12:05:00,,53.69,36.5,24.6,30.73333333333333,29.9,29.9,[29.9],1.0,24.6,24.0,25.0,1.0,31.1,26.2,25.0,1.0,36.5,18.29,25.8,26.0
2023-05-30 12:10:00,,53.76,36.5,24.7,30.766666666666666,29.9,29.9,[29.9],1.0,24.7,24.0,25.0,1.0,31.1,26.1,25.0,1.0,36.5,18.19,25.9,26.0
2023-05-30 12:15:00,,53.69,36.5,24.7,30.766666666666666,30.0,30.0,[30.0],1.0,24.7,24.0,25.0,1.0,31.1,26.1,25.0,1.0,36.5,18.24,26.1,26.0
2023-05-30 12:20:00,,53.65,36.5,24.7,30.73333333333333,29.9,29.9,[29.9],1.0,24.7,24.0,25.0,1.0,31.0,26.1,25.0,1.0,36.5,18.35,25.9,26.0
2023-05-30 12:25:00,,53.7,36.5,24.7,30.766666666666666,30.0,30.0,[30.0],1.0,24.7,24.0,25.0,1.0,31.1,26.1,25.0,1.0,36.5,18.27,25.9,26.0
2023-05-30 12:30:00,,53.69,36.5,24.7,30.766666666666666,29.9,29.9,[29.9],1.0,24.7,24.0,25.0,1.0,31.1,26.1,25.0,1.0,36.5,18.22,26.0,26.0
2023-05-30 12:35:00,,53.7,36.6,24.7,30.8,29.9,29.9,[29.9],1.0,24.7,24.0,25.0,1.0,31.1,26.1,25.0,1.0,36.6,18.31,25.8,26.0
2023-05-30 12:40:00,,53.66,36.5,24.8,30.8,30.0,30.0,[30.0],1.0,24.8,24.0,25.0,1.0,31.1,26.1,25.0,1.0,36.5,18.22,25.9,26.0
2023-05-30 12:45:00,,53.66,36.5,24.7,30.766666666666666,30.0,30.0,[30.0],1.0,24.7,24.0,25.0,1.0,31.1,26.1,25.0,1.0,36.5,18.35,25.9,26.0
2023-05-30 12:50:00,,53.66,36.5,24.7,30.766666666666666,30.0,30.0,[30.0],1.0,24.7,24.0,25.0,1.0,31.1,26.1,25.0,1.0,36.5,18.77,26.0,26.0
2023-05-30 12:55:00,,53.67,36.6,24.8,30.83333333333333,29.9,29.9,[29.9],1.0,24.8,24.0,25.0,1.0,31.1,26.1,25.0,1.0,36.6,18.33,26.0,26.0
2023-05-30 13:00:00,,53.68,36.6,24.7,30.8,30.0,30.0,[30.0],1.0,24.7,24.0,25.0,1.0,31.1,26.1,25.0,1.0,36.6,18.27,25.8,26.0
2023-05-30 13:05:00,,53.66,36.6,24.8,30.866666666666664,29.9,29.9,[29.9],1.0,24.8,24.0,25.0,1.0,31.2,26.1,25.0,1.0,36.6,18.28,26.0,26.0
2023-05-30 13:10:00,,53.65,36.6,24.8,30.83333333333333,30.0,30.0,[30.0],1.0,24.8,24.0,25.0,1.0,31.1,26.1,25.0,1.0,36.6,18.31,25.9,26.0
2023-05-30 13:15:00,,53.66,36.6,24.7,30.8,30.0,30.0,[30.0],1.0,24.7,24.0,25.0,1.0,31.1,26.1,25.0,1.0,36.6,18.2,25.8,26.0
2023-05-30 13:20:00,,53.71,36.6,24.7,30.8,30.0,30.0,[30.0],1.0,24.7,24.0,25.0,1.0,31.1,26.1,25.0,1.0,36.6,18.75,25.9,26.0
2023-05-30 13:25:00,,53.66,36.6,24.8,30.83333333333333,30.0,30.0,[30.0],1.0,24.8,24.0,25.0,1.0,31.1,26.1,25.0,1.0,36.6,18.36,25.9,26.0
2023-05-30 13:30:00,,53.73,36.6,24.8,30.866666666666664,30.0,30.0,[30.0],1.0,24.8,24.0,25.0,1.0,31.2,26.1,25.0,1.0,36.6,18.45,25.9,26.0
2023-05-30 13:35:00,,53.68,36.6,24.8,30.866666666666664,30.0,30.0,[30.0],1.0,24.8,24.0,25.0,1.0,31.2,26.1,25.0,1.0,36.6,18.43,26.0,26.0
2023-05-30 13:40:00,,53.66,36.6,24.9,30.933333333333337,30.0,30.0,[30.0],1.0,24.9,24.0,25.0,1.0,31.3,26.1,25.0,1.0,36.6,18.41,26.0,26.0
2023-05-30 13:45:00,,53.68,36.6,24.9,30.866666666666664,30.0,30.0,[30.0],1.0,24.9,24.0,25.0,1.0,31.1,26.1,25.0,1.0,36.6,18.43,25.9,26.0
2023-05-30 13:50:00,,53.7,36.7,24.9,30.933333333333334,30.0,30.0,[30.0],1.0,24.9,24.0,25.0,1.0,31.2,26.1,25.0,1.0,36.7,18.71,25.9,26.0
2023-05-30 13:55:00,,53.66,36.8,24.8,30.933333333333334,30.0,30.0,[30.0],1.0,24.8,24.0,25.0,1.0,31.2,26.1,25.0,1.0,36.8,18.82,25.9,26.0
2023-05-30 14:00:00,,53.71,36.9,24.8,30.96666666666667,30.0,30.0,[30.0],1.0,24.8,24.0,23.0,1.0,31.2,26.1,23.0,1.0,36.9,19.97,25.7,24.0
2023-05-30 14:05:00,,53.71,37.0,24.9,31.03333333333333,30.1,30.1,[30.1],1.0,24.9,24.0,23.0,1.0,31.2,26.1,23.0,1.0,37.0,23.63,25.5,24.0
2023-05-30 14:10:00,,53.69,37.0,24.7,30.933333333333334,30.0,30.0,[30.0],1.0,24.7,24.0,25.0,1.0,31.1,26.1,25.0,1.0,37.0,21.12,25.4,26.0
2023-05-30 14:15:00,,53.67,36.9,24.7,30.899999999999995,30.0,30.0,[30.0],1.0,24.7,24.0,25.0,1.0,31.1,26.1,25.0,1.0,36.9,21.17,25.6,26.0
2023-05-30 14:20:00,,53.68,36.9,24.7,30.866666666666664,30.0,30.0,[30.0],1.0,24.7,24.0,25.0,1.0,31.0,26.1,25.0,1.0,36.9,20.48,25.3,26.0
2023-05-30 14:25:00,,53.67,36.9,24.7,30.83333333333333,29.9,29.9,[29.9],1.0,24.7,24.0,25.0,1.0,30.9,26.1,25.0,1.0,36.9,23.56,25.6,26.0
2023-05-30 14:30:00,,53.68,36.8,24.5,30.73333333333333,29.9,29.9,[29.9],1.0,24.5,24.0,25.0,1.0,30.9,26.1,25.0,1.0,36.8,20.1,25.6,26.0
2023-05-30 14:35:00,,53.65,36.8,24.5,30.7,29.9,29.9,[29.9],1.0,24.5,24.0,25.0,1.0,30.8,26.1,25.0,1.0,36.8,19.28,25.4,26.0
2023-05-30 14:40:00,,53.63,36.8,24.4,30.666666666666668,29.9,29.9,[29.9],1.0,24.4,24.0,25.0,1.0,30.8,26.0,25.0,1.0,36.8,20.03,25.6,26.0
2023-05-30 14:45:00,,53.64,36.7,24.5,30.633333333333336,29.9,29.9,[29.9],1.0,24.5,24.0,25.0,1.0,30.7,26.0,25.0,1.0,36.7,19.79,25.6,26.0
