time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,6416_c,6416_h,6416_r,6416_s,6417_c,6417_h,6417_r,6417_s,6418_c,6418_h,6418_r,6418_s,6419_c,6419_r,6419_s
2023-05-30 09:10:00,,17.2,32.0,24.3,29.33333333333333,26.200000000000003,27.1,"[25.3, 27.1]",1.0,24.3,26.0,28.0,1.0,31.7,26.0,27.0,1.0,32.0,26.0,26.0,1.0,25.0,26.0
2023-05-30 09:15:00,,17.2,31.9,24.4,29.366666666666664,26.4,27.2,"[25.6, 27.2]",1.0,24.4,26.0,28.0,1.0,31.8,27.0,27.0,1.0,31.9,26.0,26.0,1.0,26.0,26.0
2023-05-30 09:20:00,,17.2,32.0,24.7,29.53333333333333,26.7,27.4,"[26.0, 27.4]",1.0,24.7,26.0,28.0,1.0,31.9,27.0,27.0,1.0,32.0,26.0,26.0,1.0,26.0,26.0
2023-05-30 09:25:00,,17.2,32.1,25.0,29.666666666666668,26.9,27.6,"[26.2, 27.6]",1.0,25.0,26.0,28.0,1.0,31.9,27.0,27.0,1.0,32.1,27.0,26.0,1.0,26.0,26.0
2023-05-30 09:30:00,,17.2,32.5,25.2,29.933333333333337,27.1,27.8,"[26.4, 27.8]",1.0,25.2,26.0,28.0,1.0,32.5,28.0,27.0,1.0,32.1,27.0,26.0,1.0,26.0,26.0
2023-05-30 09:35:00,,17.2,32.5,25.4,30.1,27.2,27.9,"[26.5, 27.9]",1.0,25.4,26.0,27.0,1.0,32.5,28.0,26.0,1.0,32.4,27.0,25.0,1.0,26.0,25.0
2023-05-30 09:40:00,,17.2,32.9,25.4,30.266666666666666,27.1,27.9,"[26.3, 27.9]",1.0,25.4,26.0,27.0,1.0,32.9,27.0,26.0,1.0,32.5,26.0,25.0,1.0,26.0,25.0
2023-05-30 09:45:00,,17.2,32.9,25.4,30.266666666666666,26.950000000000003,27.8,"[26.1, 27.8]",1.0,25.4,26.0,27.0,1.0,32.9,26.0,26.0,1.0,32.5,26.0,25.0,1.0,26.0,25.0
2023-05-30 09:50:00,,17.2,32.8,25.2,30.166666666666668,26.75,27.6,"[25.9, 27.6]",1.0,25.2,26.0,27.0,1.0,32.8,26.0,26.0,1.0,32.5,26.0,25.0,1.0,26.0,25.0
2023-05-30 09:55:00,,17.2,32.8,24.9,30.066666666666663,26.65,27.5,"[25.8, 27.5]",1.0,24.9,26.0,27.0,1.0,32.8,26.0,26.0,1.0,32.5,26.0,25.0,1.0,26.0,25.0
2023-05-30 10:00:00,,17.2,32.5,24.9,29.96666666666667,26.55,27.4,"[25.7, 27.4]",1.0,24.9,26.0,27.0,1.0,32.5,26.0,26.0,1.0,32.5,26.0,25.0,1.0,25.0,25.0
2023-05-30 10:05:00,,17.2,32.5,24.7,29.866666666666664,26.55,27.4,"[25.7, 27.4]",1.0,24.7,26.0,27.0,1.0,32.5,26.0,26.0,1.0,32.4,26.0,25.0,1.0,25.0,25.0
