time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1062742_c,1062742_h,1062742_p,1062742_r,1062742_s,1062743_c,1062743_h,1062743_p,1062743_r,1062743_s,1062744_c,1062744_h,1062744_p,1062744_r,1062744_s,1062745_c,1062745_h,1062745_p,1062745_r,1062745_s,1062746_c,1062746_h,1062746_p,1062746_r,1062746_s
2023-05-30 09:00:00,,,,,,,,,,,3.2,,,,,16.5,,,,,16.6,,,,,2.6,,,,,16.0,,
2023-05-30 09:10:00,,45.61,24.7,23.1,23.9,23.46666666666667,25.1,"[25.1, 22.5, 23.0, 24.6, 24.1, 21.5]",1.0,24.7,2.9,25.0,24.0,1.0,23.8,2.5,23.0,23.0,1.0,24.2,2.5,24.0,23.0,1.0,23.7,3.1,22.0,23.0,1.0,23.1,2.5,23.0,23.0
2023-05-30 09:15:00,,45.31,25.0,23.5,24.16,23.933333333333334,25.3,"[24.6, 23.1, 23.7, 25.3, 24.4, 22.5]",1.0,24.8,16.4,25.0,24.0,1.0,23.8,3.1,24.0,23.0,1.0,25.0,16.3,25.0,24.0,1.0,23.7,2.6,23.0,23.0,1.0,23.5,2.9,24.0,23.0
2023-05-30 09:20:00,,46.29,25.2,23.8,24.14,23.83333333333333,25.4,"[23.8, 22.6, 23.2, 25.4, 24.7, 23.3]",1.0,23.8,2.6,24.0,24.0,1.0,23.9,15.3,23.0,23.0,1.0,25.2,17.0,25.0,24.0,1.0,24.0,2.6,23.0,23.0,1.0,23.8,3.4,24.0,23.0
2023-05-30 09:25:00,,45.05,25.3,23.5,24.24,24.166666666666668,25.5,"[24.2, 23.2, 23.6, 25.5, 24.9, 23.6]",1.0,23.8,2.8,25.0,24.0,1.0,23.5,2.7,24.0,23.0,1.0,25.3,16.9,26.0,24.0,1.0,24.3,3.1,24.0,23.0,1.0,24.3,3.7,25.0,23.0
2023-05-30 09:30:00,,45.58,25.4,23.5,24.34,23.816666666666663,25.6,"[23.6, 22.5, 23.2, 25.6, 24.9, 23.1]",1.0,23.9,15.7,24.0,24.0,1.0,23.5,15.9,23.0,23.0,1.0,25.4,17.0,25.0,24.0,1.0,24.6,3.2,24.0,23.0,1.0,24.3,16.7,24.0,23.0
2023-05-30 09:35:00,,45.760000000000005,25.4,23.6,24.32,23.71666666666667,24.7,"[24.3, 23.3, 22.9, 24.7, 24.6, 22.5]",1.0,23.7,2.6,25.0,25.0,1.0,23.6,2.5,24.0,22.0,1.0,25.4,17.4,25.0,22.0,1.0,24.6,4.3,23.0,22.0,1.0,24.3,17.5,24.0,22.0
2023-05-30 09:40:00,,45.59,25.2,23.4,24.06,22.71666666666667,24.2,"[24.2, 21.9, 21.2, 23.3, 23.9, 21.8]",1.0,23.9,2.9,24.0,25.0,1.0,23.4,29.5,23.0,22.0,1.0,25.2,32.8,25.0,22.0,1.0,24.2,16.2,22.0,22.0,1.0,23.6,16.5,23.0,22.0
2023-05-30 09:45:00,,44.93,24.0,23.2,23.58,22.5,24.4,"[24.4, 21.8, 21.6, 22.2, 23.6, 21.4]",1.0,24.0,3.5,24.0,25.0,1.0,23.2,15.4,23.0,22.0,1.0,23.3,31.0,24.0,22.0,1.0,23.8,2.6,22.0,22.0,1.0,23.6,16.6,23.0,22.0
2023-05-30 09:50:00,,44.760000000000005,24.0,22.8,23.36,22.3,24.5,"[24.5, 21.6, 21.5, 21.4, 23.6, 21.2]",1.0,24.0,3.4,24.0,25.0,1.0,23.2,15.3,23.0,22.0,1.0,22.8,30.2,24.0,22.0,1.0,23.8,2.7,22.0,22.0,1.0,23.0,15.4,22.0,22.0
