time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,2745000_c,2745000_r,2745000_s,2745001_c,2745001_h,2745001_r,2745001_s,2745002_c,2745002_r,2745002_s,2745003_c,2745003_r,2745003_s,2745004_c,2745004_r,2745004_s,2745005_c,2745005_r,2745005_s,2745006_c,2745006_r,2745006_s,2745007_c,2745007_h,2745007_r,2745007_s,2745008_c,2745008_r,2745008_s,2745009_c,2745009_r,2745009_s
2023-05-30 09:10:00,,36.67,24.9,21.6,23.25,22.0,24.1,"[21.6, 20.3, 24.1]",0.0,23.6,27.0,0.0,24.9,24.7,27.0,0.0,20.6,27.0,1.0,25.3,28.0,0.0,21.0,27.0,1.0,27.1,26.0,0.0,24.3,27.0,1.0,21.6,25.4,27.0,1.0,28.5,27.0,1.0,28.7,27.0
2023-05-30 09:15:00,,36.11,23.4,21.6,22.5,20.766666666666666,23.6,"[21.0, 17.7, 23.6]",0.0,23.5,27.0,0.0,23.4,24.7,27.0,0.0,20.9,27.0,1.0,23.1,28.0,0.0,20.6,27.0,1.0,25.5,26.0,0.0,24.1,27.0,1.0,21.6,24.6,27.0,1.0,27.4,27.0,1.0,27.2,27.0
2023-05-30 09:20:00,,36.12,22.4,21.3,21.85,22.5,23.7,"[22.4, 21.4, 23.7]",0.0,23.3,27.0,0.0,22.4,24.5,27.0,0.0,20.4,27.0,1.0,22.4,28.0,0.0,19.8,27.0,1.0,27.0,26.0,0.0,23.9,27.0,1.0,21.3,25.0,27.0,1.0,27.7,27.0,1.0,27.7,27.0
2023-05-30 09:25:00,,36.58,23.3,21.8,22.55,22.7,23.9,"[21.6, 22.6, 23.9]",0.0,23.5,27.0,0.0,23.3,24.4,27.0,0.0,20.0,27.0,1.0,25.9,28.0,0.0,20.5,27.0,1.0,27.3,26.0,0.0,24.2,27.0,1.0,21.8,25.2,27.0,1.0,28.4,27.0,1.0,28.6,27.0
2023-05-30 09:30:00,,36.38,22.7,21.4,22.05,21.0,23.4,"[21.2, 18.4, 23.4]",0.0,23.3,27.0,0.0,22.7,24.4,27.0,0.0,19.8,27.0,1.0,22.6,28.0,0.0,20.8,27.0,1.0,26.0,26.0,0.0,24.0,27.0,1.0,21.4,24.6,27.0,1.0,27.7,27.0,1.0,27.8,27.0
2023-05-30 09:35:00,,36.6,22.5,22.5,22.5,22.46666666666667,23.5,"[22.4, 21.5, 23.5]",0.0,23.4,27.0,0.0,22.5,24.3,27.0,0.0,19.5,27.0,1.0,23.2,28.0,0.0,20.3,27.0,1.0,27.0,26.0,0.0,23.9,27.0,1.0,22.5,24.9,27.0,1.0,27.8,27.0,1.0,27.7,27.0
2023-05-30 09:40:00,,36.43,22.5,22.5,22.5,22.566666666666663,23.8,"[21.6, 22.3, 23.8]",0.0,23.5,27.0,0.0,22.5,24.4,27.0,0.0,19.3,27.0,1.0,26.0,28.0,0.0,21.2,27.0,1.0,27.6,26.0,0.0,24.1,27.0,1.0,22.5,25.2,27.0,1.0,28.5,27.0,1.0,28.5,27.0
2023-05-30 09:45:00,,35.91,22.5,20.9,21.7,20.83333333333333,23.3,"[20.8, 18.4, 23.3]",0.0,23.5,27.0,0.0,22.5,24.3,27.0,0.0,19.3,27.0,1.0,23.6,28.0,0.0,21.4,27.0,1.0,25.6,26.0,0.0,24.2,27.0,1.0,20.9,24.5,27.0,1.0,27.7,27.0,1.0,27.6,27.0
2023-05-30 09:50:00,,36.41,22.1,20.9,21.5,22.866666666666664,23.7,"[23.0, 21.9, 23.7]",0.0,23.4,27.0,0.0,22.1,24.1,27.0,0.0,19.1,27.0,1.0,24.0,28.0,0.0,20.6,27.0,1.0,27.0,26.0,0.0,23.9,27.0,1.0,20.9,24.9,27.0,1.0,28.0,27.0,1.0,28.0,27.0
2023-05-30 09:55:00,,36.4,24.5,21.2,22.85,21.666666666666668,23.9,"[21.2, 19.9, 23.9]",0.0,23.6,27.0,0.0,24.5,24.5,27.0,0.0,20.0,27.0,1.0,25.5,28.0,0.0,21.1,27.0,1.0,26.6,26.0,0.0,24.1,27.0,1.0,21.2,25.0,27.0,1.0,28.2,27.0,1.0,28.3,27.0
2023-05-30 10:00:00,,36.06,22.6,21.2,21.9,20.8,23.5,"[21.1, 17.8, 23.5]",0.0,23.6,27.0,0.0,22.6,24.4,27.0,0.0,20.4,27.0,1.0,22.3,28.0,0.0,20.7,27.0,1.0,25.5,26.0,0.0,24.0,27.0,1.0,21.2,24.4,27.0,1.0,27.3,27.0,1.0,27.3,27.0
2023-05-30 10:05:00,,36.65,25.4,21.4,23.4,23.03333333333333,24.0,"[23.3, 21.8, 24.0]",0.0,23.4,27.0,0.0,25.4,24.4,27.0,0.0,20.3,27.0,1.0,23.3,28.0,0.0,20.1,27.0,1.0,27.1,26.0,0.0,23.7,27.0,1.0,21.4,25.3,27.0,1.0,28.0,27.0,1.0,27.9,27.0
2023-05-30 10:10:00,,36.21,25.4,20.8,23.1,21.23333333333333,23.9,"[20.7, 19.1, 23.9]",0.0,23.7,27.0,0.0,25.4,24.8,27.0,0.0,21.3,27.0,1.0,25.0,28.0,0.0,20.5,27.0,1.0,27.0,26.0,0.0,24.2,27.0,1.0,20.8,25.2,27.0,1.0,28.5,27.0,1.0,28.7,27.0
2023-05-30 10:15:00,,36.19,22.5,21.4,21.95,20.8,23.6,"[21.1, 17.7, 23.6]",0.0,23.3,27.0,0.0,22.5,24.7,27.0,0.0,21.0,27.0,1.0,21.9,28.0,0.0,19.8,27.0,1.0,25.4,26.0,0.0,24.0,27.0,1.0,21.4,24.7,27.0,1.0,27.5,27.0,1.0,27.6,27.0
2023-05-30 10:20:00,,36.38,22.5,21.4,21.95,23.066666666666663,24.2,"[23.5, 21.5, 24.2]",0.0,23.4,27.0,0.0,22.5,24.7,27.0,0.0,20.8,27.0,1.0,22.8,28.0,0.0,19.5,27.0,1.0,27.7,26.0,0.0,23.9,27.0,1.0,21.4,25.7,27.0,1.0,28.7,27.0,1.0,28.5,27.0
