time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3821152_c,3821152_h,3821152_r,3821152_s,7372_c,7372_h,7372_r,7372_s,7373_c,7373_h,7373_r,7373_s,7382_c,7382_h,7382_r,7382_s
2023-05-30 09:05:00,,60.6,36.6,27.7,33.2,,,,1.0,36.6,24.1,26.0,1.0,27.7,28.4,26.0,1.0,32.7,26.4,26.0,1.0,35.8,22.9,24.0
2023-05-30 09:15:00,,60.6,36.2,27.4,33.050000000000004,25.7,28.0,"[28.0, 23.4]",1.0,36.2,23.5,26.0,1.0,27.4,28.0,26.0,1.0,32.7,25.7,26.0,1.0,35.9,22.7,24.0
2023-05-30 09:20:00,,60.6,35.9,27.5,32.974999999999994,25.75,28.1,"[28.1, 23.4]",1.0,35.9,23.8,26.0,1.0,27.5,28.2,26.0,1.0,32.7,26.1,26.0,1.0,35.8,22.7,24.0
2023-05-30 09:25:00,,60.6,35.9,27.6,33.0,25.75,28.1,"[28.1, 23.4]",1.0,35.9,24.0,26.0,1.0,27.6,28.3,26.0,1.0,32.7,26.2,26.0,1.0,35.8,22.7,24.0
2023-05-30 09:30:00,,60.5,36.0,27.6,33.025000000000006,25.75,28.1,"[28.1, 23.4]",1.0,36.0,24.1,26.0,1.0,27.6,28.3,26.0,1.0,32.7,25.9,26.0,1.0,35.8,22.7,24.0
2023-05-30 09:35:00,,60.6,36.2,27.6,33.075,25.7,28.0,"[28.0, 23.4]",1.0,36.2,24.1,26.0,1.0,27.6,28.3,26.0,1.0,32.7,26.2,26.0,1.0,35.8,22.7,24.0
2023-05-30 09:40:00,,60.5,36.3,27.6,33.099999999999994,25.75,28.1,"[28.1, 23.4]",1.0,36.3,24.1,26.0,1.0,27.6,28.3,26.0,1.0,32.7,26.2,26.0,1.0,35.8,22.7,24.0
2023-05-30 09:45:00,,60.6,,,,25.75,28.1,"[28.1, 23.4]",1.0,,24.0,26.0,1.0,,28.3,26.0,1.0,,26.0,26.0,1.0,,22.7,24.0
2023-05-30 09:50:00,,60.5,36.3,27.7,33.1,25.7,28.0,"[28.0, 23.4]",1.0,36.3,24.0,26.0,1.0,27.7,28.3,26.0,1.0,32.7,25.8,26.0,1.0,35.7,22.7,24.0
2023-05-30 09:55:00,,60.5,36.3,27.7,33.15,25.75,28.1,"[28.1, 23.4]",1.0,36.3,24.1,26.0,1.0,27.7,28.4,26.0,1.0,32.7,26.2,26.0,1.0,35.9,22.7,24.0
2023-05-30 10:00:00,,60.5,36.4,27.7,33.175,25.75,28.1,"[28.1, 23.4]",1.0,36.4,24.1,26.0,1.0,27.7,28.4,26.0,1.0,32.7,26.4,26.0,1.0,35.9,22.7,24.0
2023-05-30 10:15:00,,60.6,36.6,27.7,33.225,25.75,28.0,"[28.0, 23.5]",1.0,36.6,24.2,26.0,1.0,27.7,28.3,26.0,1.0,32.7,26.1,26.0,1.0,35.9,23.0,24.0
2023-05-30 10:20:00,,60.6,36.6,27.7,33.2,25.8,28.1,"[28.1, 23.5]",1.0,36.6,24.0,26.0,1.0,27.7,28.4,26.0,1.0,32.7,26.3,26.0,1.0,35.8,22.9,24.0
2023-05-30 10:25:00,,60.5,36.5,27.6,33.175,25.75,28.1,"[28.1, 23.4]",1.0,36.5,24.1,26.0,1.0,27.6,28.1,26.0,1.0,32.7,25.9,26.0,1.0,35.9,22.9,24.0
2023-05-30 10:30:00,,60.5,36.5,27.6,33.175,25.7,28.0,"[28.0, 23.4]",1.0,36.5,24.2,26.0,1.0,27.6,28.1,26.0,1.0,32.7,25.8,26.0,1.0,35.9,22.8,24.0
2023-05-30 10:45:00,,60.6,36.5,27.7,33.225,25.75,28.1,"[28.1, 23.4]",1.0,36.5,24.1,26.0,1.0,27.7,28.5,26.0,1.0,32.7,26.1,26.0,1.0,36.0,22.8,24.0
2023-05-30 10:50:00,,60.5,36.5,27.7,33.2,25.8,28.1,"[28.1, 23.5]",1.0,36.5,24.2,26.0,1.0,27.7,28.4,26.0,1.0,32.7,25.9,26.0,1.0,35.9,23.4,24.0
2023-05-30 10:55:00,,60.5,36.6,27.7,33.225,25.75,28.0,"[28.0, 23.5]",1.0,36.6,24.3,26.0,1.0,27.7,28.4,26.0,1.0,32.7,26.2,26.0,1.0,35.9,23.1,24.0
